职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
硬件主管/经理(J10496),厦门,厦门汉印股份有限公司,本科,5-10年,硬件开发,2-3.5万,岗位职责:1. 负责公司硬件产品的研发和管理工作；2. 制定硬件研发计划，组织并实施研发项目；3. 管理硬件研发团队，提升团队工作效率和产品质量；4. 跟踪硬件行业技术发展趋势，进行技术预研和创新。任职要求:1. 本科及以上学历，电子信息相关专业；2. 具备5年以上硬件研发经验，3年以上硬件团队管理经验；3. 熟悉常用的硬件设计工具和硬件编程语言；4. 具备良好的项目管理能力和团队协作精神。,电子设备制造,http://jobs.zhaopin.com/CC608178620J40898262302.htm,1000-9999人,2026-01-09 14:02:58
高级硬件工程师（深圳/厦门）,厦门,科华数据股份有限公司,本科,3-5年,"硬件开发,光伏并网逆变器,UPS,储能变流器",1.8-3.5万·14薪,工作职责:1、负责UPS、高压直流、逆变器、储能、变流器、充电桩等产品硬件开发工作；2、负责完成ACDC、DCDC、DCAC等功率板的设计和调试；3、负责调试及优化ACDC控制板、功率板的硬件电路；4、根据产品标准，配合软件工程师完成ACDC部分在不同工况下的性能优化；5、负责模块的并机调试等工作。任职要求:1、电力电子、电气工程、自动化、电子信息等相关专业，本科学历；2、有3年以上光伏逆变器、储...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40929826904.htm,1000-9999人,2026-01-08 16:19:20
开关电源硬件工程师（BBU）,厦门,厦门新能安科技有限公司,硕士,5-10年,"BBU,AIDC",1.8-3.5万·18薪,岗位职责:1、负责BBU((Battery Backup Unit))电源产品硬件设计、技术指标定义、性能验证、认证推进、量产交付；2、负责BBU电源产品的磁性器件的的设计、关键功率器件参数计算、选型；3、负责BBU电源产品新技术预研和导入，规划产品开发方向。 任职要求:1、专业背景：电子/电气工程、电力电子、自动化相关专业硕士及以上学历；有BBU、UPS、服务器电源产品硬件研发经验者优先；2、技...,新能源,http://jobs.zhaopin.com/CCL1409591300J40818055207.htm,1000-9999人,2025-12-19 10:30:13
光学设计专家,厦门,中国航空技术国际控股有限公司,本科,5-10年,"OLED,光学研发,仿真",1.5-3万·15薪,"工作职责: 1、负责AMOLED产品光学评估、模拟仿真以及版图设计工作； 2、负责与厂商及客户进行技术交流，梳理技术问题； 3、负责研发量产品/新品开发及新技术开发工作,对重点问题，制定DOE方案，并完成相关新材料或新工艺开发； 4、负责产品异常解析及设计问题分析工作。 任职资格: 1、2年以上AMOLED光学设计经验，有1款以上主流客户的柔性手机量产品开发经验； 2、熟悉AMOLED OLED张...",贸易/进出口,http://jobs.zhaopin.com/CC144916330J40214553104.htm,500-999人,2026-01-09 01:07:31
高级硬件工程师,厦门,厦门彼格科技有限公司,本科,10年以上,"设计,硬件测试,PCB设计,FPGA研发,DSP研发",1.7-3万·13薪,岗位职责：1.负责新品的硬件设计开发调试工作，确保满足功能、性能及可靠性要求；2.独立完成硬件需求分析、方案设计、元器件选型、原理图设计及相关的PCB LAYOUT工作(包含审核及调试优化工作)；3.配合团队人员的系统调试及产品优化，解决跨领域技术问题；4.主导硬件开发全流程，包含原型机测试、量产问题解决、设计文档编写及BOM的相关维护管理；5.协助制定硬件开发规范，参与部门技术评审及经验沉淀，提...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC278744130J40763039308.htm,100-299人,2026-01-07 01:19:25
研发工程师（博士）,厦门,厦门亚锝电子科技有限公司,博士,经验不限,,2-3万·13薪,公司主要是做电源、灯具、智能家居及充电桩产品，目前招聘博士岗位如下：1、专业要求： 电子、通信等相关理工科技术领域博士（还没去过其他博士站）2、岗位职责：负责公司电源、智能家居、充电桩等相关产品的研发。3、招收要求：（1）具有良好的政治素质和道德修养，遵纪守法；（2）年纪35岁以下，在国内外获得博士学位，身体健康；（3）具有较强的研发能力和敬业精神，能够尽职尽责地完成科研工作。4、福利待遇：（1）...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853758713.htm,500-999人,2026-01-06 10:53:59
OLED电子设计岗（EE）,厦门,天马微电子,本科,3-5年,"设计,研发,PCB设计,消费电子产品",1.5-3万·14薪,岗位职责:1. OLED产品模组EE评估、硬件设计，产品调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写2. OELD产品模组 Demura 评估、导入、算法调试优化，对应驱动硬件调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写3. FPC 、PCB layout评估、设计，FPC issue 处理、专项题能力提升及规范文件输出、完善或撰写任职要求:1.大学本科以上，电...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831637110.htm,1000-9999人,2026-01-05 13:14:49
demura调试专家/资深工程师,厦门,中国航空技术国际控股有限公司,本科,3-5年,"DEMURA调试,电子设计",1.5-3万·15薪,工作职责1、项目跟进 ——能根据项目需求进行Demura程序调试，屏幕视效优化，满足项目目标 ——参与对客户和供应商拜访和沟通2、issue分析及新技术探索 ——不良分析及改善方案导出，新技术专利/论文撰写3、演算法开发 ——负责中小尺寸OLED屏幕画质补偿相关算法开发（Demura/VDC等） 任职资格：1、本科及以上学历，电子信息相关专业 2、有2年以上AMOLED电子设计经验或1年以上dem...,贸易/进出口,http://jobs.zhaopin.com/CC144916330J40477268204.htm,500-999人,2026-01-04 11:24:45
硬件测试经理,厦门,厦门汉印股份有限公司,本科,10年以上,硬件测试,1.8-3万,岗位职责： 1.负责实验室管理工作，确保实验室环境、设备等满足测试需求 2.执行硬件测试任务，包括测试计划制定、测试执行及测试报告编写 3.分析测试结果，定位硬件问题并推动问题解决 4.管理测试团队，提升团队测试效率与质量任职要求： 1.本科以上学历，电子信息等工科专业 2.具备硬件测试相关工作经验，熟悉测试流程与方法 3.具备良好的实验室管理能力，熟悉实验室安全规范 4.具备较强的团队协作能力与...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40894320002.htm,1000-9999人,2026-01-04 09:32:18
资深电子工程师,厦门,普为光电,大专,5-10年,"LED灯具照明,电路设计",1.5-3万·13薪,一、岗位职责 1、负责LED灯具驱动电源电路的设计、优化、可靠性试验。 2、根据项目需求，制定新产品的开发方案。 3、根据方案进行进行参数设定调试、测试。 4、产品技术文件整理 测试报告 产品规格书 BOM 材料信息。 5、协助生产部门制定产品的生产工艺流程、QC工程表等。 6、协助生产部门根据工艺要求设计工装夹具或改进工装夹具。 7、 全程指导新品的样品制作并跟踪小批量试产并对发现的问题进行改善...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC393470020J40400675014.htm,1000-9999人,2025-12-28 01:39:39
硬件工程师（机芯主板）,厦门,理工睿视(北京)光电科技有限公司,本科,3-5年,硬件测试,1.5-3万,岗位一：硬件工程师（机芯主板）你将负责：1. 参与相机机芯的系统方案设计，独立完成“原理图设计和PCB Layout”（高速数字电路为主）。2. 负责元器件选型、BOM制作，并跟进PCB打样、焊接和调试全过程。3. 协同解决信号完整性、电源完整性等硬件问题，保障硬件平台的稳定与可靠。4. 参与制定硬件测试方案，完成硬件板的验证与优化。我们希望你：1. 本科及以上学历，电子、通信、自动化等相关专业。...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1513454610J40819882314.htm,20-99人,2025-12-12 16:38:49
资深/高级电子工程师,厦门,国科光芯(海宁)科技股份有限公司,本科,3-5年,,1.5-3万,岗位职责： 1、负责各种新型仪器及传感器的电路及固件开发； 2、负责传感器产品的相关驱动电路优化； 3、项目研发过程控制及问题处理。 任职要求： 1、本科及以上学历，电子工程、自动化、机电一体化等相关专业优先考虑； 2、精通嵌入式系统硬件/固件开发，有OFDR或OCT或FMCW开发经验者优先； 3、熟悉模拟电路和数字电路，有传感器设计经验者优先； 4、3年以上相关研发经验，至少独立完成过两个项目，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC866055990J40804798107.htm,100-299人,2025-10-29 15:48:36
