职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
数据算法工程师,厦门,上海启高信息科技有限公司,本科,5-10年,"机器学习,深度学习,Transformer,LSTM,随机森林,K-means算法,GBDT,搜索/推荐算法,Python,Java",18-25万,"1. 统招本科及以上，计算机，数学，自动化或相关专业2. 至少6年以上算法工作经验，能独立完成算法开发，部署和优化3. 熟练掌握常用机器学习、深度学习算法，包括不限于（LR，决策树，集成树，时序算法，Transformer等） 4. 熟练掌握python/scala/java中一种，掌握Hive SQL, Spark等大数据技术 5. 具备良好的沟通能力，分析能力和解决问题的能力，责任心强",互联网,http://jobs.zhaopin.com/CC385075520J40845460403.htm,20-99人,2025-10-11 11:24:01
电机控制算法工程师,厦门,厦门雅迅智联科技股份有限公司,硕士,3-5年,"FOC/SVPWM,嵌入式实现,参数标定,诊断保护,台架测试",5-8万,岗位职责：1.负责两轮电动车用永磁同步电机控制算法的设计、仿真与实现，包括FOC、弱磁控制等，确保电机动态响应、效率及平顺性达到最优。2.负责算法在嵌入式平台上的代码实现、优化与调试，完成参数整定，解决电机运行中的振动、噪声等实际问题。3.设计与开发电机控制相关的诊断与保护功能，如过流、过压、过热、缺相等，提升系统鲁棒性与安全性。4.搭建电机台架测试环境，与硬件、测试工程师协同完成算法性能的验证与...,物联网,http://jobs.zhaopin.com/CC138128960J40776401016.htm,1000-9999人,2025-11-26 10:24:03
人工智能专家（博士 福建福州办公）,厦门,福建新大陆时代科技有限公司,博士,经验不限,"深度学习,机器学习,图像算法",3-6万·14薪,1、主导人工智能教学产品的整体开发工作，结合职业教育业务形态和教学目标，设计涵盖人工智能所有技术模块的教学产品架构。2、深入研究职业教育学生的特点和学习需求，开发出具有针对性、实用性和创新性的教学内容，包括但不限于课程体系、教学案例、实践项目等，确保学生能够有效掌握人工智能知识和技能。3、运用深厚的人工智能专业知识，为研发团队提供技术指导，解决产品开发过程中涉及到的复杂技术问题，如机器学习算法优化...,计算机软件,http://jobs.zhaopin.com/CC847122470J40830671502.htm,500-999人,2025-09-29 09:44:00
博士-AI算法（工业图像大模型缺陷检测方向）,厦门,厦门思泰克智能科技股份有限公司,博士,经验不限,"图像算法,大模型算法,深度学习,C++,Python,C语言,缺陷检测,SMT行业",3-5万,工作职责：-负责SMT行业图像AI缺陷检测模型/大模型研发，实现产品快速迭代，满足业务产品需求。-研发方向主要为：缺陷/异物识别定位，图像增强，3D成型，模型压缩-对现有模型进行评估、改进和优化，提高性能和鲁棒性。-与软件开发团队合作，将算法集成到产品和系统中。-跟踪最新深度学习技术，研究和应用新的算法和方法。职责要求：1、计算机、数字图像处理、模式识别，自动化等相关专业博士/博士后;2、从硕士研...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC436134330J40700108806.htm,100-299人,2025-10-09 11:21:38
音频算法工程师,厦门,厦门贤士达信息咨询有限公司,硕士,3-5年,"音频算法,降噪,回声消除",2.5-5万·15薪,岗位职责：1、维护音频前端音质算法，保证产品音质质量2、优化回声消除，降噪，自动增益，麦克风阵列等算法3、跟踪业界前沿的语音处理技术，包括语音增强，麦克风阵列技术岗位要求：1、本科以上学历，计算机、软件、通信、理工科相关专业；2、三年及以上语音信号处理相关经验；3、具备C/C++、Matlab、Python功底；4、有音视频行业语音算法经验优先。,人力资源服务,http://jobs.zhaopin.com/CC416345810J40486520509.htm,20-99人,2025-06-12 15:05:26
深度学习算法工程师,厦门,同致电子科技(厦门)有限公司,硕士,1-3年,"图像算法,智能驾驶,PyTorch,TensorFlow,Caffe",2-4万,岗位职责：1.负责公司原有影像产品相关算法的维护和优化；2.负责车载行业图像相关产品调研，掌握业内新应用.新技术的相关动态，并结合实际需求进行技术预研；3.负责图像算法实现的研究设计.效果仿真.代码编写及优化；4.负责算法实车效果及性能测试，对问题点进行分析定位，并快速应对；5.负责整理编写算法软件开发中的流程图.软件框架.接口定义.说明书等相关文档；6.负责算法：目标检测（主要是行人/车辆）.交...,汽车研发/制造,http://jobs.zhaopin.com/CC204092510J40803567912.htm,1000-9999人,2026-01-09 01:31:59
视觉算法工程师/专家 base上海/厦门,厦门,厦门思泰克智能科技股份有限公司,硕士,3-5年,"图像识别产品,PyTorch",4-5万,工作职责：1. 预研和开发用于工业质检（PCB板，晶圆，芯片）的视觉小模型。2. 预研和开发用于工业质检领域（PCB板，晶圆，芯片）的视觉通用模型。3. 预研用于工业质检领域（PCB板，晶圆，芯片）的VLA模型。技能：1. 熟悉各种高精度轻量化的one-stage检出网络， 尤其是yolo系列。2. 熟悉长尾样本分类和检出算法。3. 熟悉各种高精度轻量化分割网络。4. 对Positive Only...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC436134330J40711566106.htm,100-299人,2025-10-09 11:19:33
语音算法工程师,厦门,厦门睿云联创新科技股份有限公司,本科,3-5年,"声纹识别,TTS,语音信号处理,ASR,PyTorch,CNN,C++,AEC,语音降噪,AGC",2.5-4万·14薪,一、岗位职责:1、负责语音识别算法的研究和语音识别引擎的开发，包括声学模型、语言模型的训练及解码器的开发；2、负责语音识别模型的压缩和离线解码器的开发和优化；3、负责小语种小样本数据情况下的语音识别算法性能优化；4、针对公司硬件产品的声学特性，优化语音识别性能；5、负责国内外语音识别/机器翻译相关领域的前沿技术研究。二、任职要求:1、硕士及以上学历，计算机、模式识别、自动化相关专业；2、三年以上语...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40721563601.htm,300-499人,2025-12-31 01:00:42
感知融合算法工程师,厦门,同致电子科技(厦门)有限公司,硕士,3-5年,"机器学习,多模态算法,大模型算法,BEV",2-4万,任职要求：1.硕士研究生及以上学历，3年以上同岗位工作经验；2.熟悉超声波雷达识别障碍物高低属性的机器学习算法； 3.熟悉超声波雷达定位障碍物边界的机器学习算法； 4.超声感知数据采集回灌及仿真的数据闭环开发能力。5.具有车载超声波雷达算法开发经验，有利用机器学习进行障碍物高低测量相关项目量产经验；或利用机器学习进行障碍物边界识别相关项目量产经验。 岗位职责：1.负责基于车载编码探头的超声波算法的...,汽车研发/制造,http://jobs.zhaopin.com/CC204092510J40759663212.htm,1000-9999人,2025-05-22 13:25:15
推荐算法工程师,厦门,厦门铠甲网络股份有限公司,硕士,3-5年,"CNN,GBDT,Boosting,DNN",2-3.5万·13薪,岗位职责：1、负责推荐系统研发，探索内容消费价值与商业价值的平衡方案，在保障用户体验的前提下提升内容变现效率，优化可变现内容的渗透率和转化效果；2、主导公司APP多场景（猜你喜欢等）推荐排序算法的研发，持续优化推荐模型，提升推荐精准度和用户满意度；3、构建并维护推荐系统全链路，包括数据采集、特征工程、模型训练等核心模块的开发和性能优化；4、参与技术方案设计与评审，为团队提供专业的技术支持，解决复杂...,互联网,http://jobs.zhaopin.com/CC710611720J40865455503.htm,100-299人,2025-12-23 10:04:11
