职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
前端开发工程师 (J12384),郑州,蜜雪冰城股份有限公司,本科,3-5年,"CSS,JavaScript,HTML5,Vue,uni-app,Flutter,Node.js",1.5-2.5万,岗位职责:1.负责海外供应链相关系统的持续建设和前端开发，对产出的质量和效率负责；2.与产品经理、后端研发及测试密切合作，协调各方需求，确保前端与后端的无缝对接和整体体验；3.积极推动团队内技术架构、产品体验、稳定性等各维度的升级迭代；任职要求:1.计算机、软件工程等相关专业，3年以上前端开发经验；2.熟悉App混合开发模式，对H5、Android/iOS系统、后台服务之间的数据交互有较深入的理解...,快速消费品,http://jobs.zhaopin.com/CC407014910J40633113606.htm,1000-9999人,2026-01-12 09:18:46
Python开发工程师,郑州,河南九御博电电气工程有限公司,大专,经验不限,"Django,PyQt,node.js,Python",8000-16000元,岗位内容：1、构建和维护Python应用程序。2、解决软件开发生命周期中出现的各种问题，并提供技术支持。3、协助团队开发和维护产品文档和用户手册。任职要求：1、有丰富的Python开发经验。熟悉Python的常用框架和库，如Django、Flask、Pandas等。2、熟悉版本控制工具Git，具备团队协作经验。3、熟悉Linux操作系统，熟练使用Docker部署。4、熟悉物联网通信协议者优先，如M...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC859521860J40810003501.htm,100-299人,2025-12-01 00:00:01
web前端开发工程师+社保+地铁口+单双休,郑州,河南省教育网,本科,5-10年,"HTML5,Web前端,移动端,AJAX,VueX,uni-app,Node.js,Webpack",8000-15000元,一、岗位职责： 1、负责公司PC端、移动端、小程序、app产品的开发、维护； 2、负责前端功能开发，优化和维护产品页面，缩减页面体积、加快加载速度及优化用户体验； 3、配合后台开发人员实现界面和功能，完成部门主管交代的其他事宜。 4、要有较强的责任心 岗位需求： 1、5-10年工作经验， 熟练掌握HTML、CSS、Javascript，DOM、BOM、Ajax、JSON等，并理解其工原理 2、熟悉...,IT服务,http://jobs.zhaopin.com/CC227152410J40059326716.htm,100-299人,2025-12-17 15:04:58
web前端开发工程师,郑州,郑州天迈科技股份有限公司,本科,3-5年,"大屏/可视化项目,GIS/地图项目,ERP项目,CSS,JavaScript,HTML5,Vue,React,ElementUI,Node.js,Echarts",1-1.5万,岗位职责： 1、负责后台管理系统、移动端H5、小程序的业务模块功能开发； 2、负责Javascript核心程序模块的开发，通用组件和模块的编写； 3、负责配合产品经理、设计师、后端开发人员实现产品界面和性能需求； 4、负责制定产品前端代码的规范，提高实现代码的可重用性； 5、负责开发HTML5页面，并保证在移动端上运行的性能； 6、快速响应产品迭代以及优化升级，持续优化前端体验。 任职要求： 1、...,互联网,http://jobs.zhaopin.com/CC214081510J40774646501.htm,500-999人,2025-09-02 11:17:25
全栈工程师 Node.js/PHP + React (郑州),郑州,北京盛安德科技发展有限公司郑州分公司,本科,3-5年,"后端开发,前端开发,Vue,react,JavaScript,Python,node.js,GO、JAVA、PHP,MySQL,SQL Server,PostgreSQL",1-1.5万·13薪,我们在寻找谁· 热爱技术，追求优雅架构和 10x 效率开发、追求卓越的工程师；· 追求用 AI 工具（Claude、Cursor、ChatGPT…）放大生产力，而不是被习惯束缚；· 能独立完成从需求到上线的完整开发闭环，并在敏捷团队中找到属于自己的节奏和价值；· 你喜欢探索新技术、保持分享与反思，愿意和同样热爱代码的伙伴交流；· 对 AI 应用开发（Dify、n8n、LangChain、MCP）有...,IT服务,http://jobs.zhaopin.com/CC400909110J40815302813.htm,500-999人,2025-09-02 09:57:15
中高级前端开发工程师,郑州,河南牛贝网络科技有限公司,大专,5-10年,"Vue,Node.js,CHROME浏览器插件,Electron,PUPPETEER,VUE3全家桶",1-1.5万,薪资待遇：1.法定节假日+餐补+全勤奖+生日福利+每月聚餐+每年国内外旅游+带薪年假+年终奖+工龄奖+零食补助；2.每半年调薪，完善的培训+晋升体系，有晋升空间；3.交纳五险一金；4.工作时间：09：00-12：00，14：00-18：00.岗位职责：1、根据设计要求，完成Web或者移动端前端开发工作；2、对主流浏览器和移动设备做兼容调试与修改， 解决各种疑难问题；3、使用JavaScript等脚...,计算机软件,http://jobs.zhaopin.com/CCL1289791270J40570471115.htm,20-99人,2025-07-05 11:51:42
web前端工程师,郑州,软通动力信息技术(集团)股份有限公司,本科,5-10年,"大屏/可视化项目,GIS/地图项目,直播视频项目,CSS,JavaScript,HTML5,Vue,React,Angular,Node.js,Echarts,WebGL",1-1.4万,1、▶统招本科，计算机、电子信息或相关专业，7年及以上相关工作经验；2、熟练掌握VUE、ES6、elementUI、CSS、Sass、TypeScript等前端开发技术，有华为AUI框架基础者优先3、良好的编程习惯，对于自己的代码质量有一定追求者优先。4、可独立完成系统模块的设计与开发工作5、熟悉基本的前台架构基础,互联网,http://jobs.zhaopin.com/CC000544460J40705517816.htm,10000人以上,2025-04-23 09:11:54
移动前端开发工程师,郑州,东华医为科技有限公司,本科,经验不限,"Vue,uni-app,React,HTML5,JavaScript,CSS,Node.js",7000-13000元,职责：1. 负责医疗方向前端项目调试、上线及开发（h5、各平台小程序等）；2. 负责部门新产品前端部分研发；3. 负责已上线旧项目的维护及重构。技能要求：1. 掌握HTML5，CSS3，JavaScript等基础技术，熟悉W3C标准及规范，具备良好的代码编写习惯，可编写可复用的用户界面及组件；2. 熟练Vue技术栈，并有一定的实际的开发经验；3. 熟悉uniapp框架，有uniapp实际项目开发经...,IT服务,http://jobs.zhaopin.com/CC649781480J40792914305.htm,1000-9999人,2026-01-12 00:37:02
前端开发工程师,郑州,中豫航信(河南)数字科技有限公司,本科,经验不限,"CSS,JavaScript,TypeScript,Vue,React,Ant Design,Node.js,Echarts",8000-13000元·13薪,岗位职责：1、参与Web前端系统的开发、调试、部署、维护；2、参与前端框架的研讨与设计，迭代技术框架；3、参与前后端数据交互接口设计；4、准确理解把握项目需求、交互设计要求；5、理解后端架构，与后端工程师配合，为项目提供最优化的技术解决方案。任职要求：1、本科或本科以上学历，计算机等相关专业者优先；2、熟练掌握Web开发技术，比如：HTML5，CSS3，ES6；3、熟练掌握Vue、React框架等...,投资/融资,http://jobs.zhaopin.com/CCL1505190650J40734612406.htm,20-99人,2025-11-19 10:39:22
前端开发（VUE3+大厂福利多多+双休）,郑州,德科信息有限公司,本科,3-5年,"JavaScript,Vue,uni-app,Node.js",1-1.2万,岗位职责：分析前端项目业务需求，提交项目开发设计； 负责前端项目页面及效果的开发和维护；负责项目功能模块开发和拆解安排； 总结前端项目研发规范及代码优化与封装； 负责项目模块级组件开发、调整和 Vue3 生态新技术、工具、框架的研究引入和迭代； 完成项目组安排的其他工作。 任职要求：本科及以上学历；3 年以上工作经验，能够独立承担、协作实现前端 VUE 项目开发；熟练使用 TypeScript 开...,IT服务,http://jobs.zhaopin.com/CC589380620J40935511404.htm,1000-9999人,2026-01-06 15:14:22
