职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
研发经理/总监（PDU/BDU）,郑州,长春捷翼汽车科技股份有限公司,本科,5-10年,"PDU,BDU,BUSBAR,结构设计",3-5万,1. 战略与规划：- 制定并执行PDU/BDU产品线的中长期技术发展路线图与产品平台规划。- 洞察行业技术趋势和竞争对手动态，主导前瞻性技术（如新材料、新工艺、集成化、热管理技术等）的调研、引进与落地。- 参与公司级产品战略会议，为决策提供技术输入。2. 研发管理：- 全面负责PDU/BDU产品从概念设计、详细设计、样机试制、测试验证到量产导入的全过程研发管理。- 监督并评审关键设计方案，确保其满...,汽车研发/制造,http://jobs.zhaopin.com/CC601432520J40898495508.htm,1000-9999人,2025-11-06 14:08:56
研发经理,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,"Java,PHP,JavaScript,微服务架构,全栈开发,SpringBoot,SpringCloud",2.5-4万,岗位职责1. 团队管理①领导和管理涵盖后端、前端、移动端及桌面端的复合型研发团队，负责任务分配、进度控制与质量保证。②制定并推动团队的技术发展规划，确保技术栈的合理选型、更新与沉淀，构建稳定、高效、可扩展的技术体系。③建立和完善研发规范、代码评审、持续集成/持续交付流程，提升团队整体工程能力与交付质量。2. 系统交付与建设①深度理解公司业务，主导关键业务系统的架构设计、核心模块开发与全生命周期管理...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40835250514.htm,500-999人,2026-01-06 13:49:45
项目研发（数字冷钱包）负责人,郑州,郑州中科集成电路与系统应用研究院,硕士,3-5年,PCB  、（EMC）,2-4万,岗位职责（一）技术研发与产品规划1.主导数字冷钱包核心技术架构设计，包括硬件选型、固件开发框架搭建、加密算法集成，确保产品具备高安全性、稳定性与易用性。2.制定数字冷钱包研发 roadmap，结合市场需求与行业安全标准，推动产品迭代升级。3.攻克数字冷钱包研发关键技术难题，如离线签名安全机制优化、硬件侧信道攻击防护、多链资产兼容适配、固件安全升级方案设计等，保障产品安全性能领先行业。（二）团队管理...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1242924060J40834675712.htm,100-299人,2025-12-27 00:42:01
传感器技术带头人,郑州,河南广电计量检测有限公司,博士,3-5年,,1.5-3万,岗位职责：1、负责传感器在具身智能、量子科技、航空航天、新能源等行业测试应用的研发与落地：2、负责传感器测试、试验验证等价值挖掘、以及科研项目申报与攻关；3、负责传感器专业技术建设和预研工作；4、作为公司内部的传感器专家，提供相应技术咨询和解决方案，协助开拓市场；5、负责传感器技术团队的组建与培养。任职要求：1、博士学历，电子工程、自动化工程、机械工程、计算机科学与技术等专业；2、了解国内传感器产...,检测/认证,http://jobs.zhaopin.com/CC245744030J40771435816.htm,1000-9999人,2025-11-05 10:27:52
科技发展部部长,郑州,国机精工集团股份有限公司,硕士,5-10年,,2-3万,岗位职责：1.负责科技管理体系建设；2.负责科技规划的制定和实施；3.负责各类科技项目管理；4.负责科技成果管理；5.负责公司重大项目研究开发和产业孵化；6.其他科技相关工作。任职要求：1.教育水平：硕士研究生及以上学历。2.学习专业：机械、材料、轴承、工磨具、工业工程等相关专业。3.工作经验：10 年及以上大中型企业科技管理工作经验。4.资格证书：具有高级工程师及以上专业技术职务任职资格。5.知...,新材料,http://jobs.zhaopin.com/CCL1476070270J40705359506.htm,1000-9999人,2025-08-15 09:47:05
后量子密码算法研发部经理,郑州,郑州中科集成电路与系统应用研究院,硕士,3-5年,FPGA、ASIC,2-4万,岗位职责： （一）团队管理与建设 负责后量子密码算法实现团队的组建、人才培养与梯队建设。 （二）技术研发与规划 1.主导后量子密码算法的工程化实现。 2.结合行业技术发展趋势与公司业务需求，制定后量子密码技术研发，推动技术成果转化为产品竞争力。 3.跟踪全球后量子密码标准化进展，为公司技术选型提供专业决策支持。 （三）项目管理与交付 负责后量子密码相关研发项目的全生命周期管理 （四）技术合作与行业...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1242924060J40834688712.htm,100-299人,2025-12-27 00:25:41
研发总监（畜牧业设备，双休),郑州,河南万华畜牧设备有限公司,本科,5-10年,,1.4-2.8万,公司是做养鸡设备研产销一体的，产品有养鸡设备、环保设备-鸡粪风干机、数字化设备和机器人4种产品，招聘需求有环保或者机器人研发经验优先一、岗位职责1.研发规划与团队管理·参与制定研发战略规划，与公司整体战略契合;并根据市场需求和技术发展趋势，合理分配研发资源，包括人力、物力和财力，提高研发效率、提升研发质量。·打造一支充满活力、创造力的研发团队，激发潜能，提升团队凝聚力和战斗力。2.项目管理与技术革...,专用设备制造,http://jobs.zhaopin.com/CC465288280J40812597208.htm,300-499人,2025-08-25 17:03:18
前端开发工程师 (J12384),郑州,蜜雪冰城股份有限公司,本科,3-5年,"CSS,JavaScript,HTML5,Vue,uni-app,Flutter,Node.js",1.5-2.5万,岗位职责:1.负责海外供应链相关系统的持续建设和前端开发，对产出的质量和效率负责；2.与产品经理、后端研发及测试密切合作，协调各方需求，确保前端与后端的无缝对接和整体体验；3.积极推动团队内技术架构、产品体验、稳定性等各维度的升级迭代；任职要求:1.计算机、软件工程等相关专业，3年以上前端开发经验；2.熟悉App混合开发模式，对H5、Android/iOS系统、后台服务之间的数据交互有较深入的理解...,快速消费品,http://jobs.zhaopin.com/CC407014910J40633113606.htm,1000-9999人,2026-01-12 09:18:46
避雷器研发主管兼项目经理,郑州,明电舍(郑州)电气工程有限公司,本科,5-10年,,1.4-2.5万,学历：电气工程、机械工程或相关专业本科及以上学历。工作经验：5年以上避雷器或相关领域的研发经验，具备项目管理经验者优先。技术能力：熟悉避雷器的设计、测试及应用。精通相关行业标准和法规。有电气安全和可靠性分析的经验。沟通能力：优秀的团队合作精神，能够有效沟通和协调不同部门。能够清晰地向非技术人员解释复杂技术概念。项目管理：熟悉项目管理流程，能够独立管理研发项目，从立项到实施及评估。能够制定项目计划，...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC424031610J40756727915.htm,20-99人,2025-10-20 16:21:45
变压器技术研发部经理,郑州,北京科锐集团股份有限公司,本科,5-10年,,1.5-2.5万·13薪,工作职责：1、负责技术研发部管理工作。组建技术梯队，有计划的推荐、引进、培养专业技术人员，负责业务培训，满足公司发展需要；2、建立和完善产品的设计开发工作，同时负责现有产品的技术改进工作；3、为市场、生产、质量、供应链部门提供技术支持，处理协调和解决产品的技术问题；4、负责协调技术部与公司其他部门的工作交叉，提高工作效率。任职要求：1、本科及以上学历，电气、机电工程、机械制造等相关专业背景；2、1...,电气机械/电力设备,http://jobs.zhaopin.com/CC130044360J40817818212.htm,1000-9999人,2025-09-26 08:58:08
