职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
资深视觉设计/视觉设计组长,郑州,郑州挖藕文化传播有限公司,本科,5-10年,"视觉设计,包装设计,品牌设计,全职,延展设计",1.8-2.2万·13薪,挖藕咨询作为base在郑州服务全国的品牌咨询机构，致力于为客户和员工伙伴创造具有成长价值的服务和产品体验。 工作内容： 1、FMCG(快消品)产品包装、营销视觉设计等延展物料设计 2、视觉设计内容制作，包括但不限于KV、海报、H5等 3、参与创意发想，积极在头脑风暴中贡献自己的洞察、想法、创意资料库 4、协助完成方案，配合提案设计策略，生产新颖吸睛的方案模版与物料Demo，从视觉表现方面为提案增色...,广告/营销,http://jobs.zhaopin.com/CCL1446943950J40468829515.htm,20-99人,2025-05-16 00:07:40
美工设计师,郑州,苏州英格玛服务外包股份有限公司,本科,5-10年,"交互设计,界面设计,Figma,SCADA,MES,网页端,客户端,IIOT",1.2-2万,"岗位职责；1、主导体验策略与设计把控，制定产品UX愿量与设计策略，主导交互设计及高保真原型，严格把控复杂工业场景下的信息架构、操作流程与交互逻辑，确保高效、防错。2、定义视觉语言与设计系统，建立并维护统一的U视觉风格规范，确保跨产品线的设计一致性与品牌调性3、驱动质量落地与协作赋能，深度参与产品全流程，组织设计评审，把控前端实现质量:向团队宣导设计价值,用户体验持续提升岗位要求：1、3年以上工业领...",人力资源服务,http://jobs.zhaopin.com/CC483354880J40832778610.htm,10000人以上,2026-01-09 17:51:18
独立站技术,郑州,河南省华畜生物科技有限公司,大专,1-3年,,1.5-2万,岗位要求：2年以上 电商设计经验，至少有 5个以上 独立站装修/UI设计作品集。代码能力： 精通 HTML、CSS，能独立修改 Shopify 主题代码（Liquid语言），优化网站移动端加载速度。视频能力： 熟练使用剪映/CapCut 或 PR，能针对 TikTok 流量特性快速产出高点击率的广告素材。核心技能： 深刻理解 UI/UX 设计原则，能显著通过页面优化降低独立站丢单率。,电子商务,http://jobs.zhaopin.com/CCL1262565370J40836979405.htm,500-999人,2026-01-08 01:14:36
高级UI设计师(A164302),郑州,捷安高科,本科,3-5年,,1.5-2万,职位描述：岗位职责：1. 负责Web和移动端界面的UI设计工作，包括界面风格设定、组件设计与交互配合，将业务需求转化为优质的视觉呈现；；2. 与产品经理、深入理解业务，参与需求分析，制定交互策略，完成产品交互方案设计，保证用户交互流程高效流畅；3. 持续优化设计流程与设计规范，推动规范在团队中执行，提升整体产品体验一致性；4. 参与品牌视觉相关内容制作，如icon、插画、动效等；5. 跟踪设计效果...,计算机软件,http://jobs.zhaopin.com/CC219039210J40902718815.htm,500-999人,2025-12-25 11:27:16
ui设计工程师,郑州,中电金信软件有限公司,本科,3-5年,UI设计,1.2-1.8万,负责产品（移动端 APP / 网页端 / 小程序等）的 UI 设计工作，包括界面布局、图标设计、视觉风格定义、交互流程优化等，输出符合用户体验和品牌调性的高质量设计方案。独立完成从需求分析、原型草图、视觉设计到最终切图交付的全流程设计工作，确保设计稿的规范性、一致性和可落地性。与研发团队密切协作，跟进设计稿的开发还原过程，及时解决开发中的设计问题，保证最终产品效果与设计方案高度契合。视觉传达设计、...,计算机软件,http://jobs.zhaopin.com/CC443657520J40826245209.htm,10000人以上,2026-01-09 15:40:16
品牌全案设计,郑州,郑州意想餐谋品牌策划有限公司,大专,3-5年,"VI设计,包装设计,PS,AI,全案设计,商业设计",1-1.8万,岗位职责：1、主要负责品牌全案设计2、有自己的想法和创意，并能参与到品牌前期定位策划等工作当中;3、参与品牌项目视觉及内容的创意制定，独立完成创意视觉全案设计，确保项目设计的完整性和实用性;4、关注行业优秀品牌设计案例并收集竞品资料做分析，参与品牌设计研究、设计趋势分析并共享团队;5、熟悉线下印刷各类平面物料材质等，可为设计落地提供制作建议。任职要求:1、本科及以上学历，视觉传达、平面设计等相关专...,咨询服务,http://jobs.zhaopin.com/CCL1513619230J40857177903.htm,20-99人,2025-11-29 16:51:33
平面策划经理,郑州,河南博群置业有限公司,本科,5-10年,"PS,CDR",1.2-1.8万,1、负责集团日常宣传、平面设计制作、大型活动场地布置指导；2、统筹广告平面设计、制作及其它图文处理工作，包括企业logo制作、宣传资料的设计、制作与创新。3、根据业务需要，合理安排部门工作任务，保质保量，为部门工作完成度负责；4、负责部门间沟通协调，从专业角度为设计及营销工作提出有效设计、策划意见；5、负责部门内部工作节奏制定，明晰节点工作，明确部门定位与价值；6、利用自身的行业背景和知识，在设计...,房地产开发,http://jobs.zhaopin.com/CC625159520J40812216107.htm,500-999人,2025-11-26 14:56:22
平面设计,郑州,郑州商都商业发展有限公司,本科,3-5年,"包装设计,排版设计,PS,CDR,CAD",1.2-1.8万,岗位职责：1. 负责商场/商业街区的整体视觉形象设计，包括但不限于：季度/年度促销活动主视觉、线上线下宣传物料、商场美陈、导视系统优化等；2. 独立完成各类营销活动物料的设计与延展；3. 准确理解商业需求与策略，提供具有高吸引力和商业价值的创意设计方案。4. 参与商场美陈、主题展览等空间视觉项目的创意构思与设计执行。5. 把控设计出品质量，确保所有视觉输出符合品牌调性且具备高水准的审美。任职要求：...,房地产开发,http://jobs.zhaopin.com/CC820994630J40853305302.htm,20人以下,2025-11-06 14:23:02
品牌平面设计师,郑州,郑州意想餐谋品牌策划有限公司,大专,3-5年,"VI设计,方案设计,包装设计,PS,AI,全案策划,视觉设计师",1-1.8万,岗位职责： 1、主要负责品牌全案设计 2、有自己的想法和创意，并能参与到品牌前期定位策划等工作当中; 3、参与品牌项目视觉及内容的创意制定，独立完成创意视觉全案设计，确保项目设计的完整性和实用性; 4、关注行业优秀品牌设计案例并收集竞品资料做分析，参与品牌设计研究、设计趋势分析并共享团队; 5、熟悉线下印刷各类平面物料材质等，可为设计落地提供制作建议。 任职要求: 1、本科及以上学历，视觉传达、平...,咨询服务,http://jobs.zhaopin.com/CCL1513619230J40857280803.htm,20-99人,2025-11-19 14:42:06
UI/UX设计师+七险一金+食堂,郑州,软语科技,本科,3-5年,,1.1-1.6万,岗位职责1、主导体验策略与设计把控，制定产品UX愿景与设计策略，主导交互设计及高保真原型，严格把控复杂工业场景下的信息架构、操作流程与交互逻辑，确保高效、防错。2、定义视觉语言与设计系统，建立并维护统一的U视觉风格规范，确保跨产品线的设计一致性与品牌调性。3、驱动质量落地与协作赋能，深度参与产品全流程，组织设计评审，把控前端实现质量;向团队宣导设计价值，推动用户体验持续提升。,计算机软件,http://jobs.zhaopin.com/CC404924910J40866076812.htm,100-299人,2026-01-11 01:31:21
