职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
全国运营总负责人,郑州,河南广顺兴餐饮管理有限公司,本科,10年以上,"门店运营,toC",5-10万,工作职责：1、体系构建与优化：负责全面规划与实施门店运营体系，包括新店选址策略的制定与执行，确保新店选址符合品牌发展战略及市场需求；同时，对已开门店的运营体系进行持续优化，保障门店运营的高效与有序；2、数据驱动决策：依据市场数据，制定并监控关键运营指标，通过深入的数据分析洞察市场趋势与消费者偏好，为公司战略决策提供数据支持与洞见；3、运营赋能与管理：建立并持续优化门店运营标准与流程，确保各门店运营...,餐饮服务,http://jobs.zhaopin.com/CCL1200545800J40732854801.htm,300-499人,2025-11-07 09:16:49
电商运营总监,郑州,河南启瑞健康科技有限公司,大专,5-10年,"淘宝/天猫,京东,拼多多",4-8万,硬性要求：有老年卫品类目运营经验！！！工作地点：郑州市二七区或杭州市滨江区一、岗位职责1、 战略规划与执行：根据公司发展战略，制定电商业务的长期规划与年度计划，包括销售目标、市场拓展、品牌建设等方面，并确保计划的有效执行与落地。2、平台运营管理：全面负责公司电商平台（如天猫、京东、抖音、拼多多、1688、小红书等）的日常运营工作，监控平台数据，分析运营效果，及时调整运营策略，提升店铺的流量、转化率...,互联网,http://jobs.zhaopin.com/CCL1503820170J40840265912.htm,100-299人,2025-10-17 13:47:06
运营总监,郑州,定成(郑州)商贸有限公司,本科,5-10年,"销售运营,门店运营,数据运营,toC,toB",4.5-7.5万,岗位职责1、根据公司总体经营战略规划，组织推进公司重大运营方案，及时进行市场跟踪和策略调整；2、负责全盘统筹营运部直营、加盟体系的标准化管理；3、制定公司年度、月度经营计划，领导部门完成公司各项指标；4、建设和发展优秀的运营队伍，搭建内部人才梯队，赋能员工绩效产出；5、整体负责品牌运营管理，包括店务、服务规范、营业培训等管理工作；6、完善各门店的组织架构、工作流程、重要规章制度，参与建立规范高效的...,零售/批发,http://jobs.zhaopin.com/CCL1391083050J40791920211.htm,1000-9999人,2025-12-03 15:28:51
临境春秋运营总监,郑州,河南挥动智能科技有限公司,本科,5-10年,,3.5-7万,一、公司简介：河南挥动智能科技有限公司成立于2023年5月15日，致力于用临境科技和竞商模式为想经商的人们提供低成本、低风险和高效率的机会。发展竞商，服务竞商，是挥动智能的主营业务。挥动智能第一阶段的主要目标：在中国发展3000个育商，共同为330万竞商打造一个临境智能化服务平台。挥动智能的核心竞争力：临境科技+竞商模式！挥动智能的服务宗旨：为您所想，给您所需！挥动智能的愿景：让每个想经商的人都能...,企业服务,http://jobs.zhaopin.com/CCL1506470090J40745834906.htm,300-499人,2026-01-06 18:34:28
家装/装修公司运营总监,郑州,河南东方华然装饰设计有限公司,学历不限,5-10年,门店运营,3-6万,"1、熟悉家装物料与设计，报价等，全面主持整个门店的日常管理工作带领属下员工，保质保量地完成公司下达的各项工作任务和指标。2、根据公司长远发展整体规划，重新制定店的经营计划,管理目标。3、有独立签单现场指挥能力。4、不断完善店内各工作岗位不断创新的工作程序及规章制度，监督检查员工的执行情况，做好对各级员工的考核,负责属下员工的考核评价、培训、奖罚，科学安排人力资源,不断提高人员素质及岗位技能,充分调...",装饰装修,http://jobs.zhaopin.com/CCL1307614470J40748158414.htm,20-99人,2025-11-20 14:59:59
电商总监,郑州,杨掌柜食品科技(河南)有限公司,本科,5-10年,"淘宝/天猫,拼多多,抖音小店",3-6万,一、职责概述主要负责全面管理公司的电商业务，确保业务的高效运营和持续增长。具体职责包括制定电商战略及规划、带领团队完成销售目标、管理线上渠道并优化产品推广、合理配置人员和费用预算等。二、职责详述1.制定营销规划根据企业战略目标，制定电商平台年度营销计划、预算分配及活动方案。跟踪全年规划的落地情况，建立日报跟踪机制，定期提报总经理审批并协同新媒体部门执行。2.行业洞察与数据分析收集线上行业数据，分析...,食品/饮料,http://jobs.zhaopin.com/CCL1422983630J40748567607.htm,1000-9999人,2025-06-19 00:27:43
京东运营负责人（小家电产品/3亿体量+）,郑州,河南聚量信息技术有限公司,本科,3-5年,"京东,经理,总监,家电3C经验,团队管理,品牌运营",3-5万,一、主要职责：1. 负责品牌事业部：美的、创维、海尔、苏泊尔（其一）；业绩达成：基于市场分析，制定品牌整体业务目标，完成选品、定价及销售目标拆解与达成（含CID）； 2. 渠道业绩达成：制定并拆解分渠道（如京东、天猫、拼多多等）业绩目标并达成，确保渠道协同增长； 3. 平台对接：对接平台核心资源，争取活动位、流量扶持等关键支持； 4. 策略制定：制定站内营销策略、促销方案及销售节奏；5. 机制建设...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40979067504.htm,1000-9999人,2026-01-09 19:45:32
电商运营总监+高薪可谈,郑州,河南嗨雅企业管理有限公司,大专,5-10年,"京东,拼多多,淘宝/天猫",3-5万,岗位职责:1.统筹公司各运营渠道（京东、天猫、拼多多、抖音等）；2.制定公司各渠道战略方向、产品规划等；3.了解各平台规则及玩法。任职要求:1.有两年以上电商全平台管理经验2.白牌类目优先薪资待遇：底薪+绩效+提成分红,电子商务,http://jobs.zhaopin.com/CCL1491064850J40908284708.htm,500-999人,2025-12-24 17:56:14
亚马逊vc运营经理,郑州,郑州迪云网络科技有限公司,本科,5-10年,"toB,toC,电商运营,亚马逊,VC",3-5万·14薪,岗位职责：1、制定亚马逊及多平台营销、推广方案，包含美国vc及欧洲sc等，指导团队成员的运营工作，带领团队完成销售目标，并保证账号的安全健康；2、规范现有运营体系，优化运营流程、分工，优化工作和协作效率；3、跟踪评估运营效果，分析销售数据和库存数据，结合市调和历史数据预估未来销量，制定销售策略和备货计划（FBA和海外仓），保持健康的库存周转；4、深入研究平台政策及功能，了解行业最新信息及先进的运营...,电子商务,http://jobs.zhaopin.com/CC849379720J40865776503.htm,100-299人,2025-12-24 12:27:00
品牌运营总监,郑州,郑州炉小哥餐饮有限公司,学历不限,经验不限,"餐饮运营,餐饮客群",2.5-5万,岗位核心职责1.品牌整体业务战略与目标管理：承接公司总体战略，制定所辖品牌的年度、季度、月度业务计划（开店、营收、利润指标），并分解至各门店及团队。全面负责区域的损益表管理，通过精细化运营，实现销售额增长与利润最大化。2.门店运营标准化与品质监控：确保所有门店在服务、品质、清洁（QSC）方面严格执行公司标准，保持高度一致性。建立并执行常态化的门店巡检和审计体系，及时发现并解决运营机会点，持...,餐饮服务,http://jobs.zhaopin.com/CC412015330J40894464615.htm,1000-9999人,2025-11-24 00:08:21
