职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
原油处理工艺工程师,郑州,天津缘众达管道工程有限公司,大专,3-5年,"储运工艺,炼化工艺",4.5-5.5万,要求：45岁以下，大专或以上学历，英语流利。职责：1、负责审核试运阶段的工艺流程文件，根据装置特性调整工艺参数和操作规范，确保技术方案符合行业标准。2、分析潜在工艺风险，制定应急预案，监控试运过程中设备运行状态，及时解决技术异常问题。3、通过数据采集和流程分析，优化装置运行效率，提升试运阶段的工艺稳定性和经济性。4、编制试运阶段的工艺操作手册、维护规程等技术文档，建立长期可追溯的工艺数据库。,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40733126516.htm,20人以下,2025-12-30 01:46:24
工艺总监（郑州）,郑州,新领先,本科,10年以上,"固体制剂,液体制剂",2.5-4万,岗位职责：1、负责制剂处方工艺研究开发的技术指导及方案把控；2、负责制剂处方工艺放大验证的技术指导及问题解决；3、负责技术转移工作的指导、协调及技术支持；4、协调制剂注册申报相关工作。5、负责人员管理工作。任职要求：1、药剂学及相关专业，本科及以上学历，有10年及以上工作经验；2、有丰富的常规口服固体制剂及注射制剂的研发及生产经验，能够指导处方工艺的开发并解决开发工程中出现的问题，能够指导工艺进行...,医药制造,http://jobs.zhaopin.com/CC155523710J40337872103.htm,1000-9999人,2026-01-12 09:25:23
环保工艺研发,郑州,牧原股份,本科,无经验,"废水,废气",2-4万,岗位职责：1、实时跟进当前环保形势，依据宏观形势及公司战略需求，预见未来养殖环保方向，设计并落地养殖场环保水处理/粪肥/沼气利用工艺模式，推行养殖清洁生产；2、进行现有环保工艺改进升级，提高设备运行效率，降低环保投资和环保运行成本；3、洞察环保形势，进行养殖废水处理工艺技术突破，打通粪肥高价值利用路径和利润提升，实现养殖场合规且更低成本稳定运营；4、依据客户需求设计、建设、维护除臭及水处理工程项目...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40817969811.htm,10000人以上,2026-01-10 01:34:10
座椅工艺师,郑州,郑州精益达汽车零部件有限公司,本科,10年以上,"商用车,装配工艺,汽车座椅",2.5-3.5万,岗位职责：1、座椅新产品工艺开发：根据事业部战略规划及业务发展需求，对新产品的加工过程进行开发，支撑新产品的实现和批量生产及产品生产过程的稳定；2、座椅加工工艺升级：根据工艺升级计划，完成工艺升级策划、设备引进、验证、实施及工艺规范固化发布；3、量产产品的工艺完善：根据产品质量问题和技术变更完善量产产品的加工工艺，提升产品质量稳定性和支撑技术变更实现；4、降本挖掘：通过改进工艺方法、材料用量节约等...,汽车研发/制造,http://jobs.zhaopin.com/CC579822120J40690101214.htm,1000-9999人,2025-11-07 15:08:27
CAR-T工艺负责人,郑州,郑州德迈医药发展有限公司,硕士,5-10年,"细胞治疗,细胞药物,CAR-T,工艺开发",1.6-3万,【岗位职责】1. 工艺开发与放大：①主导CAR-T细胞治疗产品的工艺开发、优化和放大，确保工艺的稳健性、可重复性和商业化能力。②设计和执行工艺表征研究，识别和建立关键工艺参数（CPP）与关键质量属性（CQA）之间的关联。③领导团队解决工艺开发、放大过程中的复杂技术难题，如细胞扩增、病毒载体转导效率、KO效率、细胞培养收获和以及提升每一步的得率和最终的产量等。2. IIT临床研究备案和IND注册申报...,医药制造,http://jobs.zhaopin.com/CCL1515240930J40910087608.htm,300-499人,2026-01-08 01:21:51
金刚石微粉工程师,郑州,郑州天璇新材料有限公司,大专,3-5年,"材料工艺设计,纳米材料,功能材料,晶体材料",1.5-3万,岗位职责： 1、工艺开发：负责刚石微粉生产工艺的优化，制定实验方案并执行设备维护升级 。 2、质量控制：制定金刚石微粉的粒度标准及生产规范 。 任职要求： 1、专业背景：物理学、材料学或机械工程等专业大专及以上学历。 2、经验积累：3年及以上金刚石微粉从业经验 。,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1466379940J40805414611.htm,300-499人,2026-01-05 01:30:34
淀粉糖工程工艺设计师,郑州,鲁山县华豫万通工程技术有限公司,本科,3-5年,"工艺设计,工程设计",2-3万,岗位职责：1.负责低脂玉米粉转化葡萄糖、麦芽糖、果葡糖工程工艺的设计工作，并负责施工现场的技术指导;2.负责玉米淀粉糖工程的工艺设计工作，包括流程设计、设备选型及布局优化3.使用CAD软件完成相关设计图纸的绘制与修改4.参与项目技术交流，提供工艺技术支持及解决方案 5.跟进项目实施过程，解决工艺技术问题并优化设计方案任职要求：1.本科及以上学历，粮食工程、化工工艺或相关专业，3-5年工作经验 2....,电气机械/电力设备,http://jobs.zhaopin.com/CC559744580J40777996516.htm,100-299人,2025-12-02 16:31:07
场站工艺管道工程师,郑州,天津缘众达管道工程有限公司,大专,5-10年,"管道安装,油气管道,压力管道,工业管道",1.5-2.5万,一、岗位：场站工艺管道工程师二、要求：1、至少5年场站工艺管道施工经验。2、具备文书工作能力、图纸识别及施工指导能力。3、有站场工艺管道配管或长输管道。三、职责：编写PRO（方案文件）和MS（施工计划）等。,石油/石化,http://jobs.zhaopin.com/CCL1439424390J40604826316.htm,20人以下,2026-01-10 01:46:57
水泥烧成工艺工程师,郑州,安阳市通用国际贸易有限责任公司,本科,5-10年,"材料工艺设计,金属材料,功能材料",1.5-2.5万,职位描述： 1.进行水泥热工烧成工艺设计2.编制项目设计说明书3.海外项目售前技术支持 任职要求： 1.材料科学或相关专业，本科以上学历。 2.至少六年以上省级建材设计院工作背景，精通新型干法水泥生产工艺。 3.熟悉水泥热工烧成工艺及相关配套设施设备，熟练掌握AutoCAD、SolidWorks等软件，可设计三维建模优先。 4.有设计项目的实践经验，熟知相关行业的标准，具备自主报价核价能力优先。 ...,贸易/进出口,http://jobs.zhaopin.com/CC196312420J40662656108.htm,100-299人,2026-01-07 01:19:23
粮食成套工程工艺设计师,郑州,鲁山县华豫万通工程技术有限公司,本科,3-5年,"设计院,粮食机械",1.5-3万,岗位职责： 1.负责粮食成套设备工程的设计与优化，根据客户需求制定粮食生产线的生产工艺方案，确保设计符合生产效率和质量要求。2.根据工艺需求，设计并规划面粉、杂粮、谷物、面粉、荞麦、青稞等粮食加工生产线的工艺流程。3.完成设备选型、布局设计及相关技术文件的编制。4.为销售人员提供技术支持，如前期工厂规划，设备布置等。任职要求： 1.粮食工程、食品工程等相关专业本科毕业。2.具有3-5年粮食成套工程...,电气机械/电力设备,http://jobs.zhaopin.com/CC559744580J40712749816.htm,100-299人,2025-12-02 16:21:14
