职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
白酒客服+朝九晚六+五险 不加班,郑州,河南圣酿酒业有限责任公司,学历不限,经验不限,,7.5-15万,收入：月薪过万，上不封顶的。 客户来源：公司提供精准客源。 招聘要求：男女不限，25－35岁 。有销售经验优先。 任职要求：普通话标准，热爱销售，执行力强，有责任心，有团队合作意识 薪资待遇：无责底薪5500+绩效+提成（单品单提）+奖金+工龄工资 福利：旅游，餐补，话补，生日福利，节日福利，缴纳五险， 上班时间：单双轮休 节假日正常休,食品/饮料,http://jobs.zhaopin.com/CCL1480889580J40703130609.htm,20-99人,2025-12-12 18:14:08
客管总监,郑州,河南整形美容医院有限公司,本科,5-10年,"客服管理,运营管理,业务流程管理,客服",2-3.5万,岗位职责：1.大客管系统体系的搭建、业务梳理、流程再造；2.建立客管CRM系统，对十万数量级客户数据建档、分类、挖掘，实施客户分级管理；3.负责制定会员顾客的开发和维护战略，制定会员精细化管理，多维度有效管理会员，挖掘潜在会员顾客的二次消费，从而不断持续提升老客业绩；4. VIP顾客活动策划及执行；5.负责电话回访小组的管理，业绩目标的达成；6.管理整个大客管团队及业务培训；7.协调本部门与其他部...,卫生服务,http://jobs.zhaopin.com/CC137506443J00254846505.htm,500-999人,2025-12-26 01:02:10
美学设计师,郑州,郑州壹加壹医疗美容医院有限公司,大专,1-3年,office,1.5-3万,任职要求： 1、3年以上医疗美容医院美学设计工作或相关工作经验；2、良好的职业形象与服务意识，开朗、亲和力强、忠诚、思维敏锐； 3、专科以上学历，营销类、临床医学或护理专业； 4、气质好，有一定的审美观； 5、具备较高的谈判技巧、敏锐的观察能力、应变能力、综合分析能力。职位福利：五险一金、绩效奖金、包住,医院,http://jobs.zhaopin.com/CC862884260J00219450309.htm,100-299人,2025-04-22 09:46:56
百信银行标服业务总监,郑州,河南晨颖汽车销售有限公司,本科,5-10年,,1.5-2.6万,我们正在寻找一位资深的客服总监，带领和管理整个客服团队，确保为客户提供卓越的服务体验。工作内容：1. 制定和优化客服策略、流程和标准；2. 管理和培训客服团队，确保服务质量和效率；3. 与其他部门协同，解决客户问题和改进产品；4. 分析客户反馈，为产品和服务提供改进建议；5. 维护客户关系，提高客户满意度和忠诚度。岗位要求：1. 本科及以上学历，5年以上客服团队管理经验；2. 优秀的领导力和团队管...,汽车金融,http://jobs.zhaopin.com/CC703121580J40789414001.htm,100-299人,2025-12-19 01:01:04
客服主管/经理+社保+提成+年终分红,郑州,河南斯巴达通信有限公司,大专,3-5年,"团队建设,目标拆解,人才梯队",1.5-2.5万,寻人!!寻志同道合之人、寻竭忠尽智之人、寻深思远虑之人、寻勤恳至诚之人!在郑州，我们正在寻找一位具有丰富团队经验和卓越团队管理能力的客服经理，加入我们的团队并领导客服部门走向更高的服务水平。作为客服经理，您将负责整个客服团队的日常运营，确保客户满意度和团队绩效的持续提升。 工作职责: 1.带领团队制定并执行客服服务标准和流程，确保客户满意度; 2.监督和管理客服团队的日常工作，包括客户咨询、投诉处...,电子商务,http://jobs.zhaopin.com/CCL1469122320J40784658002.htm,100-299人,2026-01-12 09:42:12
网络客服经理+无责10-15k+社保+餐补+单人宿舍+福利,郑州,郑州中平电子商务有限公司,大专,5-10年,短视频平台,2-2.5万,岗位内容：1. 管理并协调客服团队，确保高效的服务水平和问题解决能力2. 制定客户服务标准和流程，并根据需要推出新的方案和策略3. 分析客户反馈信息和数据，制定改进计划和培训计划，提高客户满意度4. 与其他部门合作，共同解决客户问题并实现团队目标任职要求：1. 具备5年以上客户服务或客户支持经验，其中3年以上担任客服主管或经理职位2. 具备良好的沟通技巧、人际关系处理和协商能力。3. 具备较高的英...,电子商务,http://jobs.zhaopin.com/CCL1505278020J40834351914.htm,500-999人,2026-01-02 11:49:40
售后总经理10K+,郑州,河南海一云商实业集团有限公司,大专,5-10年,售后客服,1.2-2.4万,岗位职责：1，服务体系搭建： 制定售后全流程服务标准（安装、维修、保养），确保客户满意度达100%2，售后数字化转型：推动售后服务数字化转型（如智能客服系统、远程诊断平台、服务大数据分析等），驱动服务模式创新与资源调配优化。 3，团队服务支撑：统筹售后团队相关工作，链接全国售后网点资源，为销售前端做好服务支撑工作。制定绩效考核机制，提升售后团队专业能力与响应效率，打造高效服务梯队。 4，成本与效率...,零售/批发,http://jobs.zhaopin.com/CC673304930J40815294108.htm,1000-9999人,2026-01-09 19:04:49
40%提成+4000底薪+只邀约不销售+前端客服,郑州,河南玖橡咨询服务有限公司,学历不限,经验不限,"销售,电话销售",1.2-2.4万,薪资待遇1．底薪40002．高提成10%~40%3．社保＋带薪休假＋带薪旅游4．下午茶＋生日会＋节假日礼品工作时间9:00~12:00 14:00~18:30 单双休，法定假日全休岗位职责:1.负责邀约客户，提供专业的金融服务咨询2.通过电话和网络平台与客户进行有效沟通3.为客户提供个性化的金融产品推荐和解决方案任职要求:1.具备良好的沟通技巧和客户服务意识2.能够熟练使用办公软件和网络通讯工具3...,企业服务,http://jobs.zhaopin.com/CCL1470549300J40682077005.htm,100-299人,2025-11-05 11:42:44
客服总监+20-25k+社保+餐补+单人宿舍+福利,郑州,郑州中平电子商务有限公司,大专,3-5年,"售后客服,网络客服",2-2.5万·14薪,岗位内容：1. 管理客服团队，确保他们能够有效地解决客户问题并提供卓越的客户服务。2. 分析客户流量、客户反馈和其他相关数据，制定改进计划并实施以提高客户体验。3. 协助其他部门推进客户服务相关项目，以改善客户体验。任职要求：1. 有客服管理或领导经验者优先考虑。2. 出色的沟通能力和团队管理能力。3. 具有分析客户反馈和数据的能力，并制定和实施改进计划。4. 积极主动和注重细节。5. 能够使用常...,电子商务,http://jobs.zhaopin.com/CCL1505278020J40828664014.htm,500-999人,2025-12-29 01:40:04
在家办公 日赚千元,郑州,河南诚尊企业管理咨询有限公司,学历不限,经验不限,不限,500-1000元/天,不用来公司，直接在家办公 年龄18-55岁 男女均可,咨询服务,http://jobs.zhaopin.com/CCL1399640650J40905426008.htm,20-99人,2025-12-09 17:06:25
