职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
三电系统专家-郑州日产Y,郑州,东风汽车,本科,经验不限,三电系统,3-6万,岗位职责:*此岗位招聘单位为郑州日产汽车有限公司1、6年以上三电系统相关工作经验，参与3个以上新能源车型开发2、大学本科及以上学历，车辆工程、计算机技术，控制工程，电子等相关专业；3、对整车三电系统的匹配有较全面的掌握（BMS/充配电/MCU），能够解决三电系统中的疑难问题；4、了解动力电池管理系统核心算法（SOX估算，电源管理，故障诊断及处理）；5、具备三电系统问题识别和主观评价能力；6、熟练使...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40726947705.htm,10000人以上,2025-03-28 00:11:24
发输电方向电气工程师,郑州,中讯邮电咨询设计院有限公司(上海)建筑能源分公司,本科,10年以上,"注册电气工程师（发输变电）证书,10年以上设计经历,主持中型项目3项、或大型项目1项",2.5-4万,任职资格：一、学历要求：普通高等院校本科及以上学历二、专业要求：电气工程、自动化相关专业三、专业技能：1、具有10年以上设计经历，且主持过相应专业设计类型的中型项目工程设计不少于3项，或大型项目工程设计不少于1项。2、持有注册电气工程师（发输变电）证书3、具备研发供电系统及供配电设备的能力，优先考虑4、熟练使用WPS、CAD等办公软件5、具备良好的沟通能力、表达能力及团队协作能力>岗位职责：1、变...,通信/网络设备,http://jobs.zhaopin.com/CCL1503107450J40810158903.htm,100-299人,2026-01-09 11:28:57
充电桩软件工程师/电子工程师,郑州,三一集团有限公司,本科,5-10年,"嵌入式软件,超充",2-4万·16薪,岗位职责：1、负责交/直流充电桩软件的开发、调试、测试、升级及维护工作，包括“车-桩”交互功能、与云平台交互功2、分析产品需求，进行软件架构设计和详细设计，编写相关设计文档，将系统需求分解到软件需求、功能、架构层面并实3、跟踪充电控制板软件开发和交付，负责充电桩软件与硬件的联调，以及与电动汽车的互联互通测试，解决测试过程中出现的问题；4、为售后和市场提供技术支持，解决现场应用中的疑难问题，对产品进...,专用设备制造,http://jobs.zhaopin.com/CC134218700J40828062110.htm,10000人以上,2026-01-09 01:28:14
高级硬件工程师,郑州,郑州万特电气股份有限公司,本科,5-10年,"嵌入式硬件开发,单片机开发,PCB设计,电路设计,单板开发,电气设计,CAN,仪器仪表",2-4万·13薪,任职资格： 1、本科及以上学历，电子技术、自动化、电力电气等相关专业，5年以上电子、仪器仪表、电力等相关行业电路设计、仪器仪表开发的工作经验； 2、熟练操作CAD、Office、Excel等软件，完成设计文件的编制与整理； 3、有扎实的专业理论基础 ①精通模拟电子和电路分析，熟悉常用的模拟或数字IC及电路设计； ②熟练掌握STM32等系列单片机的使用，具有一定的编程基础； ③熟悉AD转换、CAN、...,仪器仪表制造,http://jobs.zhaopin.com/CC142539960J40380668811.htm,300-499人,2025-12-09 09:31:45
硬件工程师,郑州,深圳中弘时代智能装备科技有限公司,本科,3-5年,"PCB设计,仪器仪表,电路设计,设计",1.8-3.5万,岗位职责:1、根据项目需求，编写设计说明，并完成相应的电路原理图和PCB设计，完成符合质量标准的硬件开发设计工作;2、负责产品硬件设计、开发、维护，以及硬件产品开发中元器件的选型;3、负责硬件调试、测试和电路验证;4、按照要求编写开发、测试文档，产品使用说明书等文档;5、解决产品开发、生产中出现的问题;6、有仪表产品设计经验者优先。任职要求:1、本科以上学历，电子、通信、自动化、仪器仪表等相关专业...,专用设备制造,http://jobs.zhaopin.com/CCL1484532240J40979460904.htm,20-99人,2026-01-11 13:25:20
电气工程师,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"设计,安装/调试,电气选型",2-3.5万,工作职责1、负责 AGV/AMR 电气原理图、线束图、控制柜布局设计，编制物料清单（BOM）；2、电气元件选型、评估成本与性能，确保系统可靠性和安全性；3、现场调试并解决电气系统问题，如通信异常、电磁兼容性（EMC）问题。4、与机械、软件团队协作，完成 AGV 样机联调与量产交付；参与客户现场技术对接，提供系统安装指导、故障排查及培训；5、撰写电气系统说明书、操作系统、维护指南；制定电气设计规范和...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40745620006.htm,20-99人,2026-01-06 09:35:40
{上市公司}高级硬件开发工程师,郑州,北京外企人力资源服务河南有限公司,本科,5-10年,设计,2-3.5万,岗位职责：1、按照硬件产品技术规格书或需求进行电子电路设计，确保交付的硬件产品稳定、可靠；2、负责硬件产品整体硬件方案设计、PCB原理图设计、layout布板等；3、从整机电气特性做完整设计及验证，确保产品在结构、EMC、功能等层面的一次成功率；4、编写硬件相关文档:如关键器件/电路验证报告、硬件详细设计、实验报告、验收报告等；5、跟踪产品原型机、样机、小批量等研发及实现过程中发生的技术问题，确保...,人力资源服务,http://jobs.zhaopin.com/CC329281210J40800600901.htm,100-299人,2025-10-27 10:54:44
电气专业-博士（央企）,郑州,智联猎头,博士,经验不限,研究员,2.5-3.5万,35 岁以下1.专业方向：电气工程 / 电力系统 / 高压技术 / 电力电子 / 新能源 / 能源互联网等2.工作地点：河南待遇亮点1.薪资：面议+中长期激励2.福利：七险二金、人才公寓、职工食堂、带薪年休假、,互联网,http://jobs.zhaopin.com/CCL1318355140J40848277203.htm,10000人以上,2025-10-20 09:27:46
研发工程师,郑州,郑州沃能电气设备有限公司,本科,5-10年,变频器,2-3万,岗位职责：1、负责有源滤波APF和SVG无功补偿电容器的开发研新工作，遵循研发流程完成相应电路的设计输入，样机开发，调试并主导开发样机试产；2、协助研发经理进行电路设计方案的评估和优化，确保设计方案的可行性和高效性；3、参与电路仿真和测试，分析测试结果并提出改进建议；4、协助研发经理进行运用说明书，作业指导书，产品安装等技术文档的编写和维护，确保技术资料的完整性和准确性；5、参与团队的技术讨论和评...,仪器仪表制造,http://jobs.zhaopin.com/CC477744120J40655725716.htm,100-299人,2026-01-10 01:46:59
汽车电子系统工程师,郑州,河南天海电器有限公司,本科,3-5年,"汽车电子系统研发,汽车电子系统设计,控制器,车灯,MCU,BCM,DCU,汽车电子,域控制器,SJB",2-3万,岗位职责： 1、在项目报价阶段，负责收集客户对产品的技术需求，制作报价版产品系统框图；制作报价工程假设文档的系统需求部分，收集其他部门的报价工程假设，整合成完整的报价工程假设文档。 2、在项目开发中，负责识别和整理客户技术需求，执行需求挖掘工作。 3、负责产品系统框图、产品系统架构的设计和产品系统需求规格说明书的编制。负责开发体系（功能安全、ASPICE）要求中的系统级设计文档及任务的编制和执行。...,汽车研发/制造,http://jobs.zhaopin.com/CC450924520J40859599412.htm,10000人以上,2026-01-09 01:34:06
