职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
中电信招聘 Android工程开发师,北京,河南能才人力科技有限公司,本科,5-10年,"Flutter,Java,Kotlin",4-6.5万·14薪,岗位职责：1.负责公司APP客户端业务功能规划、设计、开发以及文档撰写；2.核心功能模块的设计和开发，完成高质量编码，能独立完成APP的发布工作；3.针对App运行中出现问题，持续优化相关的产品的质量、用户体验；4.负责android平台现有方法的改进、新技术研究、技术难题攻关。任职要求1.本科及以上学历，计算机相关专业；2.5年以上Android原生开发经验，对Android开发有较强兴趣，同时...,专业技术服务,http://jobs.zhaopin.com/CCL1453281710J40819354101.htm,100-299人,2026-01-08 10:48:07
Android开发工程师-豆包手机助手,北京,字节跳动,本科,经验不限,,3-6万,岗位职责：1、负责Android上应用及服务的设计、开发及实现工作，与产品，设计，QA等团队保持良好沟通，共同保证产品迭代顺利推进；2、参与Android端应用品质优化、架构设计等相关研发工作，推动团队技术体系建设；3、关注前沿技术，结合业务特点，推动新技术落地。任职要求：1、本科及以上学历，计算机、通信等相关专业；2、熟练掌握Java/Kotlin/C++，熟悉Android SDK/NDK，对...,互联网,http://jobs.zhaopin.com/CC469217510J40599781301.htm,10000人以上,2026-01-06 15:45:47
Model Inference Engineer (PC & Android),北京,联想(北京)有限公司,硕士,5-10年,大模型,面议,We are looking for a senior-level engineer to focus on high-performance model inference across PC and Android platforms. The role centers on optimizing LLM/multimodal models for low latency and effici...,计算机硬件,http://jobs.zhaopin.com/CC000024060J40907064208.htm,10000人以上,2025-12-17 23:13:50
资深移动端开发工程师,北京,大连蓝海时代信息技术有限公司,本科,10年以上,"iOS开发,Android开发",3.5-5万,本科及以上学历，10 年以上移动端开发经验。精通 iOS（Objective-C/Swift）或 Android（Java/Kotlin）原生开发，熟悉平台核心原理与架构设计。主导过大型项目开发，负责功能模块设计、性能优化及技术攻坚，能解决卡顿、崩溃等复杂问题。具备良好的团队协作与技术沉淀能力，推动研发规范落地，助力产品体验升级。,企业服务,http://jobs.zhaopin.com/CC852808000J40910394908.htm,500-999人,2026-01-07 14:57:26
Android Framework（动效渲染）-豆包手机助手,北京,字节跳动,本科,经验不限,,3-5万,岗位职责：1、负责Android渲染系统（SurfaceFlinger、HWC、Skia等模块）相关功能的代码开发；2、负责复杂图形定制能力开发，高阶特效能力集成；3、负责渲染流程的优化与完善，解决渲染相关的稳定性问题及优化渲染性能。任职要求：1、本科及以上学历，计算机相关专业，具备3年以上渲染开发经验；2、掌握C/C++语言开发，熟悉Java、Kotlin语言开发；3、熟悉渲染管线，熟悉Skia...,互联网,http://jobs.zhaopin.com/CC469217510J40819671401.htm,10000人以上,2026-01-09 13:33:09
APP技术-大前端（iOS/Android/FE）资深工程师,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40819768609.htm,10000人以上,2026-01-11 19:02:14
安卓开发工程师（大厂）-KS,北京,外企德科数字技术有限公司,本科,1-3年,"Kotlin,鸿蒙,安卓开发,KMP",2-4万,20名KMP新增-ks 工作地点：北京市海淀区西二旗西路16号 岗位职责 · 负责Kotlin Multiplatform (KMP) 跨平台模块的设计与开发，包括共业务逻辑、数据模型 等，并完成与鸿蒙端的集成与调试。 · 参与应用向鸿蒙及KMP架构演进的方案设计，确保技术方案的统一落地。 · 负责所开发模块的代码质量，编写单元测试，解决开发过程中的复杂技术难题。 任职要求 拥有2年以上Andro...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837142605.htm,10000人以上,2026-01-11 00:27:04
Android XR开发工程师-移动OS,北京,字节跳动,本科,1-3年,,3-5万,岗位职责：1、负责抖音XR和PICO视频相关业务的客户端研发工作；2、负责创新型XR操作系统的相关技术调研，学习并应用新技术，提升产品力；3、持续优化性能和打磨产品细节，提高产品体验；4、与产品经理配合，参与产品需求讨论，功能定义，给出合理的技术方案等。任职要求：1、本科以上，计算机相关专业；2、热爱并看好VR行业的未来，愿意在此领域持续钻研并成为专家；3、2年以上Android开发经验，扎实的数...,互联网,http://jobs.zhaopin.com/CC469217510J40755859601.htm,10000人以上,2025-12-29 14:30:02
APP技术-用户体验优化方向-Android技术专家,北京,北京三快在线科技有限公司,本科,1-3年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40824483109.htm,10000人以上,2026-01-11 08:50:13
安卓开发工程师（大厂）-JY,北京,外企德科数字技术有限公司,本科,3-5年,"Kotlin,安卓开发,KMP",2.5-4万,5名KMP新增-JY 深圳南山景湖大厦北京大钟寺广场职位描述 1、负责推进现有Android工程向KMP（Kotlin Multiplatform） 跨端改造，实现代码在Android及鸿蒙平台的复用； 职位要求 1、本科及以上学历，计算机、通信等相关专业； 2、3年以上Android开发经验，熟练掌握Java，Kotlin编程语言，对Android底层技术有一定理解； 3、具有扎实的编程功底，具...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837143705.htm,10000人以上,2026-01-11 00:27:04
