职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Python,北京,中国电信股份有限公司北京云网操作系统研发中心,本科,3-5年,"Python,Django,Tornado,Flask,MySQL,Redis,ELK",20-25万,岗位职责：1.能够独立承担SDN项目组原子能力层需求，完成需求分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；2.Python基础扎实，熟悉Django、Flask、Tornado等框架，熟悉YDK者优先；3.具备良好的学习能力，能够快速的了解网络协议、设备等网络工程知识。任职要求：1.本科及以上学历，计算机软件、网络工程、软件工程、及其相关专业；2.精通Python语言，具有异...,计算机软件,http://jobs.zhaopin.com/CCL1502763210J40796575911.htm,300-499人,2025-10-21 14:46:34
Ai大模型工程师,北京,书生电子,硕士,3-5年,"大模型算法,GPT,PyTorch,搜索/推荐算法,Python",12-20万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40814235808.htm,100-299人,2025-07-22 16:42:25
高级算法研究员,北京,锐仕方达人才科技集团有限公司,硕士,1-3年,"深度学习,多模态算法,大模型算法,Transformer,自然语言处理,知识图谱,TensorFlow,PyTorch,C++,Python",5-10万,招聘岗位：高级算法研究员汇报对象： 技术合伙人 / CTO工作地点： 北京市朝阳区航空科技大厦13层岗位职责：1、基于多源异构金融数据（交易数据、新闻舆情、财务报表等），完成从数据预处理到模型设计、训练、评估与部署的全流程；2、与团队协同，构建具备实用价值的金融决策模型，并持续优化与迭代；3、跟踪AI及量化投资领域最新研究成果，推动前沿算法在实际业务中的应用落地。任职要求：1、深厚的深度学习建模能...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40820719914.htm,1000-9999人,2025-11-12 10:53:29
高级人工智能专家（海油正式编制）(J10080),北京,天津北海油人力资源咨询服务有限公司,本科,10年以上,"Python,C++,Java",8-10万,岗位职责:1.具备数据处理和特征工程经验，能够处理和清洗数据，进行特征选择、转换和提取，处理缺失值和异常值；2.具备模型训练和优化经验，了解模型训练的基本流程，包括数据集划分、超参数选择、模型调优等，掌握模型优化技术如正则化、批标准化、学习率调整等；3.熟悉大规模计算和并行处理技术，能够在分布式环境中进行高效的模型训练；4.熟悉模型评估指标和技术，能够进行模型性能评估和调优，如交叉验证、网格搜索、...,人力资源服务,http://jobs.zhaopin.com/CC644737230J40789430801.htm,1000-9999人,2025-09-18 15:52:11
高级AI大模型工程师,北京,书生电子,硕士,5-10年,"大模型算法,GPT,PyTorch,Python,探索/推荐算法",5-10万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40826355008.htm,100-299人,2025-08-14 17:56:54
检测算法工程师,北京,北京壹据技术有限公司,本科,3-5年,"Python,深度学习,TensorFlow",4.5-9万,"岗位职责: 利用机器学习、深度学习和人工智能的方法研究各年代窑口的历史元素含量规律;探索适合检测领域的模型和算法;任职要求:教育背景: 本科及以上学历, 有 计算机、数学、人工智能等相关专业优先;精通机器学习(深度学习)并有应用模型解决实际问题的经验;精通 C / C++ / Python 任意一种.具有扎实的数学建模及编程能力, 能熟练通过Python、R等语言建立机器学习模型. 掌握至少一种深...",检测/认证,http://jobs.zhaopin.com/CCL1357408770J40178807516.htm,20-99人,2024-11-18 00:00:01
资深技术专家（信创）,北京,中电信数智科技有限公司,本科,5-10年,"微服务架构,负载均衡技术,Java,C语言,C#,PHP,Python",面议,岗位职责： 1. 主导GHGY重大项目的技术交流，具有敏锐的行业信创应用洞察能力，精准识别党政、国央企、金融等客户在信创建设中的核心需求与业务痛点； 负责基于客户场景的信创改造集成架构设计，完成产品选型论证及全周期技术答疑和支持，并提供专业级解决方案演示； 2. 担任大型复杂信创项目（软硬件总包集成）技术负责人， 牵头制定项目总体实施方案、深化设计方案，组织解决集成过程中的关键技术难题； 3. 持...,IT服务,http://jobs.zhaopin.com/CC000520810J40898916808.htm,10000人以上,2025-11-14 13:55:25
高级算法工程师,北京,北京位与资产管理有限公司,硕士,3-5年,"图像算法,智能驾驶,导航算法,搜索/推荐算法,Python",6-8万,工作职责 1.拼车订单分配与匹配算法研发： 负责核心的实时拼车订单匹配算法，根据乘客的实时位置、目的地、路线和时间，为多个乘客寻找最优的共乘车辆和路径方案。 建模并求解大规模、高并发的在线司乘匹配问题，平衡用户体验、司机收入和平台效率等多重目标。 设计和优化拼车全局路径规划算法，计算最优的接送、送达序列，以最小化总行驶距离和时间。 2.优化与建模： 将复杂的业务场景抽象为数学模型，如车辆路径问题、...,法律服务,http://jobs.zhaopin.com/CCL1419466950J40819544010.htm,100-299人,2025-11-13 08:32:15
算法工程师,北京,北京沃东天骏信息技术有限公司,硕士,5-10年,"深度学习,机器学习,多模态算法,Transformer,Attention,自然语言处理,知识图谱,搜索/推荐算法,PyTorch,TensorFlow,Python,Java",4-8万·19薪,岗位内容：1. 在电商交易场景下通过智能化技术提高用户转化效率，提高增量单量。2.分析和解决现有业务中的技术难题，提供全面的解决方案和支持。3. 设计和开发智能化的软件系统和工具，提高公司的信息化水平和竞争力。4. 参与团队项目开发，保证代码质量和项目进度。任职要求：1. 具备扎实的计算机科学基础和算法设计能力。2. 精通至少一种编程语言（如Python、Java等），并熟悉软件开发流程和工具。3...,电子商务,http://jobs.zhaopin.com/CC699180530J40764865412.htm,10000人以上,2025-04-19 16:22:53
助理安全专家（攻防方向）,北京,头部运营商行业控股子公司,本科,10年以上,"云安全,主机安全,IDC安全,Python,Java,Shell",6-7.5万·15薪,一、岗位职责：1、攻防技术研究：主导/参与红队演练，模拟APT攻击手法（钓鱼、横向移动、权限维持等）。2、负责蓝队防御体系建设，包括威胁检测（EDR、NDR）、入侵分析、应急响应（如勒索病毒处置）。3、研究最新攻防技术（如云原生逃逸、0day利用），输出对抗策略，沉淀核心能力到相关武器库和工具平台。4、漏洞挖掘与利用，对企业Web应用、API、云服务（AWS/Azure/K8s）进行渗透测试，提交...,互联网,http://jobs.zhaopin.com/CCL1318355140J40821312703.htm,500-999人,2026-01-09 01:05:06
