职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
UI设计师,北京,北京祝融视觉科技股份有限公司,大专,经验不限,交互设计,6-12万,【工作职责】1. 数据可视化、信息图表等方面的视觉设计；2. 多媒体展示、交互界面、移动应用、网站网页等方面的UI设计；3. 项目相关平面设计、视觉设计；4. 参与项目规划、构思创意、用户体验。【职位要求】1. 专注视觉平面设计，擅长UI设计和信息设计，对数据可视化感兴趣；2. 艺术设计相关专业；3. 熟练掌握photoshop、illustrator等设计软件；4. 团结向上、善于沟通、踏实刻苦...,互联网,http://jobs.zhaopin.com/CC634185820J40786537609.htm,20-99人,2025-12-31 15:19:17
Keeta-C端视觉设计师,北京,北京三快在线科技有限公司,本科,5-10年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40762254209.htm,10000人以上,2026-01-11 08:27:33
UI设计师-PICO,北京,字节跳动,本科,3-5年,,4-7万,岗位职责：1、负责PICO的产品设计，提出设计需求和用户体验目标，并能够主导某个业务模块从概念到设计落地全流程；2、参与制定产品设计规范和标准，沉淀设计经验与方法，提升团队的设计效率与质量；3、与跨学科研究人员、工程师和设计师合作，提出创新的交互路径或产品设计方案；4、探索前瞻性设计，积极创新，提升产品生命力。任职要求：1、设计、人机交互或计算机专业，3年以上操作系统/平台设计经验/XR产品/新硬...,互联网,http://jobs.zhaopin.com/CC469217510J40792526101.htm,10000人以上,2025-10-27 14:47:14
UE/UI设计师,北京,云梦泽(北京)电子商务有限公司,本科,3-5年,,面议,岗位职责：1、负责全平台全链路的体验设计、视觉提升、迭代优化等工作，交互设计和视觉设计能力需有突出项； 2、敏锐洞察用户需求和产品诉求，独立完成设计方案，并推动方案落地； 3、制定完整、合理、适配的设计规范，保证体验一致性； 任职要求：1、具有良好的政治素质和思想品德，拥护中国共产党的领导，拥护党的路线、方针、政策。遵纪守法，品行端正，热爱石油事业，认同中国石油企业文化; 2、符合电商行业需要及关...,电子商务,http://jobs.zhaopin.com/CCL1478504940J40825481008.htm,100-299人,2025-12-26 00:06:02
Keeta-B端体验设计师,北京,北京三快在线科技有限公司,本科,1-3年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40818144509.htm,10000人以上,2026-01-11 08:23:18
产品设计师-抖音激励,北京,字节跳动,本科,1-3年,,2-4万,岗位职责：1、负责抖音系产品的用户增长-激励方向设计工作，平衡数据与体验，提供完善的产品解决方案；2、前置参与产品讨论，深度参与全流程产品构建，提供完善的产品设计解决办法；3、深入理解业务，参与调研、方案讨论、落地及迭代的全流程工作；4、参与负责抖音系产品激励业务核心体验，从设计角度为抖音业务提供增长助力。任职要求：1、本科及以上学历，美术/设计相关专业毕业，1-3年UX设计经验，有激励/电商等增...,互联网,http://jobs.zhaopin.com/CC469217510J40760420201.htm,10000人以上,2025-11-13 11:33:42
ui设计（日英双语）,北京,苏州英格玛服务外包股份有限公司,本科,5-10年,"交互设计,界面设计,移动端,日本留学,日英双语",1.5-3万,岗位职责：1负责公司旗下APP产品的UI设计工作，独立完成从交互原型到视觉设计的全流程输出。2深入理解业务需求与用户场景，设计界面解决方案。3与产品、开发团队紧密协作，推动设计落地，并基于用户反馈与数据持续优化产品体验。4建立和维护产品的设计规范与组件库，确保多端设计语言的一致性。5关注行业设计趋势，探索适合产品的视觉风格与交互创新。任职要求：1本科及以上学历，设计、艺术或相关专业背景，5年以上U...,人力资源服务,http://jobs.zhaopin.com/CC483354880J40832413110.htm,1000-9999人,2026-01-08 14:07:14
产品视觉设计师（AI 方向）,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40702658609.htm,10000人以上,2026-01-11 08:47:49
创意视觉设计师-豆包爱学,北京,字节跳动,硕士,3-5年,,2-4万,岗位职责：1、负责豆包爱学等国内/国际化AI产品的视觉设计工作，包括但不限于品牌建设和管理、功能运营活动、IP等相关设计工作；2、结合业务和用户洞察，完成前期创意和设计执行落地，为项目提供有创意和想象力的设计方案；3、对行业主流趋势和AI产品的风格特性有较强的视觉敏锐度，与产品设计师一起做好创新产品的设计探索。任职要求：1、本科及以上设计专业学历，两年以上互联网视觉设计经验；2、熟练使用AIGC工...,互联网,http://jobs.zhaopin.com/CC469217510J40803265301.htm,10000人以上,2025-11-03 11:38:03
技术研发工程师（后端/前端/UI/运维/测试/数据库等)(有司法行业、司法办案系统经验者优先）,北京,人民法院电子音像出版社,本科,1-3年,,1.5-3万,岗位职责：1.前端方向：负责平台前端页面的设计、开发、维护与性能优化，协同产品经理、设计师等确保前端实现符合需求规范与视觉标准，撰写规范代码并跟进前端技术迭代。2.UI设计方向：负责平台的用户界面设计，确保界面美观、易用、符合用户需求，根据平台的定位、用户群体和业务目标，制定并维护设计规范，保证整体视觉风格一致。跟踪趋势并针对用户行为分析结果优化设计等。3.系统运维方向：搭建并优化自动化运维体系，...,云计算/大数据,http://jobs.zhaopin.com/CC570076820J40855016212.htm,100-299人,2026-01-08 12:01:32
体验研究专家,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40822124309.htm,10000人以上,2026-01-11 08:33:14
UX设计师-豆包爱学,北京,字节跳动,硕士,3-5年,,2-4万,岗位职责：1、负责国内/国际化AI产品体验设计工作；2、与业务共同构想产品形态，从体验视角完成具体的设计解决方案；3、以定义行业下一代产品交互体验为追求，确保产品的高质量、高标准实现；4、对模型系统方向进行前沿洞察，挖掘有价值的AI能力进行实践。任职要求：1、设计类专业本科及以上学历，3年以上产品设计经验，熟练的英语沟通协作能力；2、较好的产品体验意识与用户视角，敏锐判断设计的可行性；3、熟悉国内...,互联网,http://jobs.zhaopin.com/CC469217510J40789752301.htm,10000人以上,2025-10-23 18:35:23
品牌创意设计师,北京,山东东明石化集团有限公司,本科,1-3年,,1.5-3万,岗位职责品牌视觉设计与维护• 负责企业 Logo 规范应用、品牌视觉识别系统（VI）的落地，确保官网、宣传册、展会物料等所有对外物料的视觉统一性；• 负责品牌整体视觉形象的设计与优化，通过创意设计提升品牌的视觉吸引力和市场竞争力；市场推广素材设计• 设计各类营销素材，如产品手册、解决方案 PPT 模板、海报、Banner、短视频封面、社交媒体配图等；• 设计展会展位布局、展板、宣传品，以及企业举办...,石油/石化,http://jobs.zhaopin.com/CC171215710J40887828615.htm,1000-9999人,2026-01-06 19:53:03
外卖用户端-UX设计师,北京,北京三快在线科技有限公司,本科,1-3年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40739603809.htm,10000人以上,2026-01-11 08:23:39
ui设计工程师,北京,重庆海尔家电销售有限公司,本科,3-5年,界面设计,面议,岗位职责：1、负责商城产品的UI设计，视觉能力突出，熟悉UI设计流程，确保产品质量和性能符合标准;2、配合产品及研发人员共同创建用户界面，跟踪产品效果，保证产品最终设计效果;3、把握产品界面风格，深度理解交互逻辑，持续提升用户体验;4、推动设计规范与流程的制定，提高团队的输出效率;5、进行市场和竞品分析，以了解行业趋势和竞争对手的动态;任职要求：1、本科及以上学历，设计艺术、交互与体验设计等相关专...,耐用消费品,http://jobs.zhaopin.com/CC358862320J40832376414.htm,10000人以上,2025-12-23 14:53:26
兼职中西翻译（UI字符串）,北京,新宇智慧,本科,经验不限,"笔译,西班牙语专业八级,CATTI翻译资格证,CATTI西班牙语二级笔译,CATTI西班牙语三级笔译,西班牙语,翻译,本地化",1.5-3万,岗位职责主要负责与“鉴别”模块相关的用户界面（UI）字符串翻译或审校工作。任职要求具备优秀的简体中文和西班牙语双语能力，有相关翻译或审校经验者优先。熟悉翻译工具crowdin的操作，或愿意学习使用该在线翻译平台。任务详情任务频率：预计每周2 - 3次任务。工具支持：我们将提供crowdin平台账号和相关操作培训。,互联网,http://jobs.zhaopin.com/CC227023580J40907283715.htm,100-299人,2025-12-01 15:24:28
AI体验设计师,北京,北京三快在线科技有限公司,本科,1-3年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40751168209.htm,10000人以上,2026-01-11 08:22:32
产品动效设计师-AI工具产品,北京,字节跳动,本科,3-5年,,1.5-3万,岗位职责：1、负责AI工具产品功能动效和产品设计工作，承担团队重点项目攻坚工作；2、参与产品方向定位和探讨，打造差异化、独特性的品牌视觉符号，搭建品牌、动画体系，提升品牌传播力和影响力。任职要求：1、多媒体、影视动画、平面设计等相关专业，本科及以上学历，3年以上设计经验，具备3D和UI能力优先考虑；有良好的设计审美能力和丰富的动态视频经验；2、对互联网产品动效视频的特性有一定理解，熟悉动效制作流程...,互联网,http://jobs.zhaopin.com/CC469217510J40788974001.htm,10000人以上,2025-10-23 18:42:44
高级UX设计师,北京,智影微视(北京)网络科技有限公司,本科,3-5年,"交互设计,动画动效设计,界面设计,AI",1.6-3万,岗位职责：1. 负责AI产品的交互与UI设计，独立完成业务相关全链路设计工作 ；2. 与产品共建，提供成熟创新的界面视觉解决方案；3. 兼具业务思维与用户视角，把控链路逻辑及整体界面品质，打磨产品体验的细节及实现落地；4. 关注设计动态与竞品趋势，对外界设计保持敏感，并优化现有产品；5. 参与系统级规范定制，为提供团队专业化建议，输出专业沉淀。任职要求：1. 本科及以上学历，3年以上互联网UI和U...,互联网,http://jobs.zhaopin.com/CCL1365084880J40780184012.htm,100-299人,2025-07-17 15:07:15
体验设计师,北京,北京三快在线科技有限公司,本科,3-5年,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40715158409.htm,10000人以上,2026-01-11 08:39:00
高级体验设计师-财经,北京,字节跳动,本科,3-5年,,2-3万,岗位职责：1、主要负责抖音金融产品设计，通过设计不断提升产品的用户体验及交互体验；2、与产品经理一起进行产品方案的设计和探讨，提升产品的用户转化及增长。任职要求：1、设计类专业本科及以上学历，3年以上产品设计经验，有成熟作品；2、能在常见的产品设计方式中不断微创新，提高用户体验；3、有较强的学习能力，对时下移动端流行产品设计感兴趣；4、逻辑思维强，主动性高，有长期和产品合作经验，善于沟通总结，具备...,互联网,http://jobs.zhaopin.com/CC469217510J40759818401.htm,10000人以上,2025-09-04 14:08:21
UI/UE设计师,北京,北京北辰实业股份有限公司,本科,5-10年,,2.5-2.9万,岗位职责 1. 承担数据产品主流程与核心功能的UE/UI设计，推动从0到1的产品体验构建与关键版本迭代。2. 负责公司核心/创新产品的整体用户体验，确保设计质量与交付节奏。3. 搭建符合行业特性的各端组件，帮助业务在流程运营中实现降本提效。完善设计流程、评审机制与组件规范，提升团队协作效率与产出一致性。4. 策划并执行用户访谈、可用性测试、竞品研究，从设计视角洞察问题、提炼机会、制定优化策略。 任...,房地产开发,http://jobs.zhaopin.com/CC000223000J40901518215.htm,100-299人,2025-12-05 17:17:04
鸭觅-品牌与视觉设计师,北京,北京三快在线科技有限公司,本科,1-3年,,面议,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,互联网,http://jobs.zhaopin.com/CC383625320J40815340409.htm,10000人以上,2026-01-11 08:34:23
高级UI设计师,北京,北京五八信息技术有限公司,本科,3-5年,"UI设计,设计师,视觉设计",1.5-2.8万·14薪,职位描述：1、主导58核心业务的UI设计工作，全面负责从设计策略到执行落地的全流程设计。具备复杂问题拆解能力，合理安排团队任务，带领小组成员高质量完成设计输出；2、结合用户研究方法深入洞察用户需求，把控产品的信息架构、界面布局、交互流程及UI视觉设计；3、根据产品定位推导设计理念与原则，制定统一的设计语言，确保产品在易用性、扩展性和一致性方面的良好表现，并通过建立高效的设计机制保障设计语言的高质量...,互联网,http://jobs.zhaopin.com/CC330611210J40863605103.htm,10000人以上,2026-01-11 00:20:20
中高级游戏ui设计师,北京,巴鲁(北京)科技有限公司,学历不限,3-5年,"界面设计,移动端",2-2.8万,"岗位内容： 1、负责游戏的UI系统界面的设计，图标按钮设计，界面组装 2、与技术和特效协作，实现系统功能，完成UI相关工具开发并校验。 3、项目周期：2025年11月-2026年4月（有可能延期） 任职要求： 1、3年以上游戏行业相关工作经验； 2、精通视觉效果呈现，了解游戏中人机交互设计，具备独立的视觉 设计和制作能力； 3、熟练使用各种设计软件，如Unreal引擎， UMG,PS、Flash、...",IT服务,http://jobs.zhaopin.com/CC860668890J40850149312.htm,100-299人,2025-11-17 13:04:45
电商创意设计师,北京,重庆海尔家电销售有限公司,本科,5-10年,"电商设计,C4D,PS,AE",面议,工作职责：1、主导并参与大型运营活动全案设计（包括但不限于专题设计、H5设计、创意模板、组件库、动效标准等）；2、分析行业竞品主流app的设计风格以及趋势，总结适用于海尔商城的视觉体系，搭建海尔商城的视觉规范体系，输出重点资源模板； 3、推动跨部门协同沟通，对接营销活动相关需求评审，给予专业设计建议及时跟进并保证活动的实现质量及视觉呈现效果；4、及时回收数据，分析设计原因，输出可指导后期活动的设计...,耐用消费品,http://jobs.zhaopin.com/CC358862320J40804586114.htm,10000人以上,2025-09-18 15:41:45
高级ui设计工程师（北京）,北京,中创智维科技,本科,5-10年,"界面设计,数据可视化",2-2.6万,岗位职责 1、全流程设计主导 从用户调研、原型设计到视觉落地，推动设计方案的工程化实现，确保与前端开发无缝衔接。 制定设计规范文档，统一多端产品（大屏指挥系统/Web后台/移动巡检端）体验一致性。 2、行业化设计解决方案 主导铁路运输监控、线路规划、车辆调度等可视化系统的界面设计，将复杂数据转化为直观、易操作的视觉方案 3、三维可视化与交互创新 协同开发团队实现地理信息（GIS）、列车运行3D模型...,人工智能,http://jobs.zhaopin.com/CC272222130J40770615814.htm,100-299人,2025-09-26 14:24:38
