职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
休闲有机农场运营主管/经理（昌平南庄营农场）,北京,北京天安农业发展有限公司,大专,1-3年,"活动运营,社群运营,销售运营",8-15万,岗位职责：1、主要负责休闲有机农场的整体规划与运营。2、负责农业体验项目的活动策划与组织。3、负责完成农场客户开发维护，销售任务分解及任务达成。4、公司宣传平台(微信等)创建与运营。5、与内外客户进行沟通、交流，全面了解客户的需求。6、参与市场调研及营销推广执行。7、负责维护公司品牌形象。8、完成上级领导交办的各项工作。要求：有休闲农场3年以上运营经验，有出色的运营成功案例。,快速消费品,http://jobs.zhaopin.com/CC152249620J40718051509.htm,300-499人,2026-01-08 09:00:00
内容策略运营Leader-Lemon8,北京,字节跳动,本科,3-5年,,8.6-14万,岗位职责：1、搭建Lemon 8的推荐问题发现体系，基于监控数据与画风快速识别分发结构和内容质量问题（如画风异常、相似内容密集、流量分配不均等），并结合用户洞察和数据分析进行论证与量化；2、与推荐产品及算法团队协作，完成从问题发现、定义、策略制定到效果验证与迭代优化的全流程；3、制定方向与目标，规划并优先化项目，推动跨部门合作与资源获取，确保优化策略落地并兼顾用户体验、业务增长和平台生态；4、深入...,互联网,http://jobs.zhaopin.com/CC469217510J40808586001.htm,10000人以上,2025-11-21 13:31:24
千亿机遇消费电商COO运营总经理,北京,东方魂集团有限公司,本科,10年以上,"副总裁/副总经理/VP,合伙人,消费电商平台,产业电商平台,线下业务渠道运营,平台运营,TO C,产品运营",6-12万,千亿机遇消费电商/产业电商COO、运营总经理启事 (优秀产品VP、产品总经理、产品总监也请投递简历)80-150K30-45岁 一、电商英雄何在？ 时势造英雄，英雄造时势！ 今天，当我们的社会发展到新时代，新机遇、新问题同时诞生，如何做一个百年企业、世界500强？如何更好创建新的商业模式、施行科学战略去建设全新的电商平台，更好利于社会消费、生产、就业？如何高瞻远瞩、匠心独运、矢志不渝去协同成就人生...,电子商务,http://jobs.zhaopin.com/CCL1447401100J40696091909.htm,100-299人,2025-10-10 09:39:40
服务风险运营负责人,北京,北京三快在线科技有限公司,本科,5-10年,用户运营,面议,岗位职责:1.基于业务策略及未来趋势预判，制定服务策略，提供服务建议，不断提升用户体验、控制服务风险。2.制定清晰的服务规划及目标，控制体验、效率、风险、成本各项指标之间的平衡，保证投入产出的合理性并达成整体业务目标。3.洞察客户需求、行业趋势，诊断核心问题诊断，通过产品、流程、机制等确定解决方案，提升问题处理效率及人效。4.优化迭代服务运营及交付团队管理体系，保障团队战斗力。5.协调内外部资源以...,互联网,http://jobs.zhaopin.com/CC383625320J40812980209.htm,10000人以上,2025-11-24 11:45:12
高级软件项目经理-AI硬件,北京,字节跳动,本科,经验不限,,5-10万,岗位职责：1、承接软件项目与跨软件项目，组织团队准时交付，并达成质量标准；2、负责软件需求收集及分析、需求变更管理；3、组建项目团队，制定项目计划、协调各方面资源达成项目目标；4、负责软件项目全流程管理，包括项目规划、启动、执行、总结与维护；5、建立有效的沟通机制，保持与项目干系人的良好沟通，确保项目交付达成；6、根据项目推进情况负责业务各相关团队的协调，包括资源需求及人员调配；组织攻关项目中遇到...,互联网,http://jobs.zhaopin.com/CC469217510J40751245901.htm,10000人以上,2025-07-02 14:59:39
NMN保健品总经理,北京,多弗国际控股集团有限公司,大专,5-10年,"电商运营,新媒体运营,产品运营,搜推产品,商业化产品,增长产品,toB,toC,NAD+,赛派诺,NMN,吉瑞维",6-8万,岗位职责：1. 制定NMN保健品的电商发展战略，聚焦主流电商平台（天猫、京东、抖音、小红书等），搭建精细化运营体系，包括店铺运营、流量获取（付费推广、内容营销、直播带货等）、转化优化及用户复购。2.拓展新兴电商渠道（如跨境电商、私域社群等），整合平台资源，争取流量倾斜与活动资源，提升品类线上渗透率。3.基于电商用户需求（如抗衰、健康保养等），优化NMN产品配方、包装及定价策略，打造符合线上消费场景...,投资/融资,http://jobs.zhaopin.com/CC497171630J40864150903.htm,10000人以上,2025-12-17 18:47:08
无人机-高级软件产品经理,北京,北京三快在线科技有限公司,本科,5-10年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068409.htm,10000人以上,2026-01-11 08:30:12
生态治理策略运营经理-Lemon8,北京,字节跳动,本科,3-5年,,4-8万,岗位职责：1、负责Lemon8内容生态治理策略体系建设，协同相关团队落地问题发现、定义、识别、处置、沟通的治理流程机制，如：营销号等风险问题；2、负责内容治理相关的处置策略、沟通方案的设计，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；3、负责维持内容健康，以内容理解为基础，深入消费数据分析，设计内容处置策略并持续迭代更新；4、规划业务方向和目标，产出具有长期价值的优化思路，...,互联网,http://jobs.zhaopin.com/CC469217510J40815984101.htm,10000人以上,2025-12-22 14:58:50
养老运营销售/经理,北京,泰康人寿保险有限责任公司北京西城支公司,本科,经验不限,"代理商销售,会销,专员,经理,主管",4-7.5万,岗位职责：1、根据客户需求，为客户提供顾问式咨询服务，制定产品方案2、根据部门要求，完成销售指标3、定期收集市场信息及竞争对手的分析4、定期回访用户，深挖用户需求任职要求：1、本科及以上学历(学信网可查）， 1年以上销售工作经验优先 2、具有较强的沟通能力及交际技巧3、具备一定的市场分析及判断能力，良好的客户服务意识4、有责任心，能承受较大的工作压力5、有团队协作精神，善于挑战，突破自己薪资待遇底...,保险,http://jobs.zhaopin.com/CC133110360J40708847006.htm,10000人以上,2025-08-25 18:13:42
品牌广告产品负责人,北京,北京三快在线科技有限公司,本科,5-10年,,面议,商业增值部是服务于美团核心本地商业客户的增值服务平台，覆盖餐饮、即时零售、医药、休闲娱乐、丽人医美、生活服务、酒旅度假等业务领域。我们致力于构建健康的本地商业生态，通过为平台客户和消费者提供符合其需求的多元、便捷、高效的商业产品和服务，帮助生态伙伴提高效率、优化经营、实现持续健康发展，推动本地商业数字化营销的发展，促进商业生态繁荣。作为本地商业的头部平台，我们为产品、运营、商务、技术、商业分析等领...,互联网,http://jobs.zhaopin.com/CC383625320J40816957809.htm,10000人以上,2026-01-11 08:34:42
数据运营Leader（代码方向）-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据构建、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注大模型行业前沿，包括但不限于ChatGPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列数据生产交付的重要环节负责，包括但不限于需求分析、...,互联网,http://jobs.zhaopin.com/CC469217510J40786082801.htm,10000人以上,2025-10-28 14:03:57
国内K12培训业务总监,北京,启德教育集团,本科,5-10年,"toC,销售运营,产品运营,K12,初中,高中",4-7万,岗位描述1. 根据公司战略，制定K12事业部年度/季度业务目标、销售策略与落地路径，对收入、利润、续费率、退费率等核心指标负责。2. 统筹全国/大区市场、咨询、教学、教务、校区五大模块，搭建标准化运营体系（SOP、质检、绩效、预算），实现复制扩张。3. 带领区域校长、销售总监、教学总监完成新开校区0→1爬坡及老校区1→N增长，确保校区月度、季度、年度业绩达成。4. 监控招生漏斗与转化数据，快速迭代...,咨询服务,http://jobs.zhaopin.com/CC184747420J40813044711.htm,1000-9999人,2025-12-12 00:10:03
Keeta-海外投放增长数据专家,北京,北京三快在线科技有限公司,本科,3-5年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40733740609.htm,10000人以上,2026-01-11 08:22:15
AI专项模型运营Leader-大模型数据服务中心,北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、基于公司战略需要，承接产品研发AI专项，进行LLM模型训练数据样本集标注、模型迭代效果评估、行业应用调研，以及安全合规保障等任务，与上游产品技术通力合作，共同推进业务目标达成；2、持续关注AI行业，包括但不限于Chat-GPT、大语言模型、AIGC等，及时了解行业最新技术，对数据标注、模型训练、模型评估等工作方式持续更新赋能；3、对队列交付中的重要环节负责，包括但不限于需求分析、承接...,互联网,http://jobs.zhaopin.com/CC469217510J40724987601.htm,10000人以上,2025-10-28 13:46:17
互联网产品经理,北京,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"软件产品,AI产品",3.5-7万,岗位职责：1. 负责公司互联网产品的整体规划、设计和管理工作。2. 深入了解市场需求，分析竞争对手，制定产品策略。3. 组织产品需求调研，撰写产品需求文档。4. 协调资源，推动产品开发进度，确保产品按期上线。5. 跟踪产品运营数据，优化产品，提升用户体验。岗位要求：1. 本科及以上学历，计算机或市场营销相关专业。2. 3年以上互联网产品经理工作经验。3. 熟悉产品管理流程和方法论，具备扎实的需求分...,互联网,http://jobs.zhaopin.com/CC427775130J40882022615.htm,20-99人,2025-11-27 10:14:18
