职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Ai大模型工程师,北京,书生电子,硕士,3-5年,"大模型算法,GPT,PyTorch,搜索/推荐算法,Python",12-20万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40814235808.htm,100-299人,2025-07-22 16:42:25
算法工程师,北京,北京莱维塞尔科技有限公司,硕士,经验不限,"推荐算法,定位算法,机器人算法,算法研究,运动控制算法",10-15万,岗位职责：● 新能源领域算法模型研究，优化现有算法，提高模型性能● 机器学习、运筹学领域的研发工作● 时间序列数据的分析和预测相关工作● 利用机器学习算法进行数据分析和模型训练● 与业务、产品团队密切合作，支撑支持数据业务岗位基本需求：● 硕士及以上学历应届生，数学、统计学、控制学相关专业优先，其他理工科专业成绩优异者● 熟练掌握机器学习、运筹学领域的典型算法，包括但不限于数据降维、特征提取、分类...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC189974710J40491639306.htm,100-299人,2025-11-16 00:01:22
销售合伙人,北京,北京博阳大数科技有限公司,本科,1-3年,"人工智能,软件行业,IT服务,建筑业,新能源,物流仓储,信托业务,房地产",10-15万,寻找档案管理软件合伙人，成立自己的团队，寻找商机，负责完成签约实施交付全过程，分成模式，博阳大数有一整套知识体系的培训和售前售中售后的业务支撑体系，如果你拥有管理软件行业领域人脉、伙伴、经验、技术或资源，欢迎你的加入。岗位职责：1、负责公司档案软件产品的销售，建立区域业务团队。2、承担公司在规定所辖区域市场的全面拓展，组织实施营销推广计划，完成区域的销售目标和利润目标。3、带领团队负责项目商务谈判...,计算机软件,http://jobs.zhaopin.com/CC145931530J40097956911.htm,100-299人,2025-06-15 00:00:02
AI人工智能企业公安口渠道合作伙伴招募公告,北京,北京世鼎科技发展有限公司,学历不限,经验不限,"政府客户,企业客户,KA大客户,渠道销售,区域销售,代理商销售",5-10万,为深入贯彻落实公安智能化建设发展要求，充分发挥人工智能技术在公安工作中的支撑作用，我公司作为AI智能体领域专业企业，现面向全国公开招募公安口渠道合作伙伴（含企业及个人）。依托公司在公安监所（看守所、拘留所等）领域的成熟项目经验与技术优势，构建稳定高效的合作体系，共同推动公安智能化应用落地，服务公安工作高质量发展。一、公司及产品优势公司专注AI人工智能领域研发与应用多年，始终以技术创新为核心，在AI,计算机软件,http://jobs.zhaopin.com/CC571018730J40822217810.htm,20-99人,2026-01-09 14:11:29
高级算法研究员,北京,锐仕方达人才科技集团有限公司,硕士,1-3年,"深度学习,多模态算法,大模型算法,Transformer,自然语言处理,知识图谱,TensorFlow,PyTorch,C++,Python",5-10万,招聘岗位：高级算法研究员汇报对象： 技术合伙人 / CTO工作地点： 北京市朝阳区航空科技大厦13层岗位职责：1、基于多源异构金融数据（交易数据、新闻舆情、财务报表等），完成从数据预处理到模型设计、训练、评估与部署的全流程；2、与团队协同，构建具备实用价值的金融决策模型，并持续优化与迭代；3、跟踪AI及量化投资领域最新研究成果，推动前沿算法在实际业务中的应用落地。任职要求：1、深厚的深度学习建模能...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40820719914.htm,1000-9999人,2025-11-12 10:53:29
图像算法主管,北京,辉煌科技,本科,5-10年,"OpenCV,PyTorch",5-10万·13薪,技能要求：1、具备扎实的图像处理和算法基础，掌握学习算法，熟练使用opencv、pytorch工具；2、掌握分类、检测、分类、跟踪等深度学习算法，并熟练应用；对transformer、DINO有一定理解，具有网络修改及优化能力；3、模型量化、剪枝、蒸馏方法掌握熟练，对半监督/自监督训练有应用经验；4、熟悉大模型技术，对图像大模型、多模态大模型技术有应用且熟练；熟悉AIGC技术及相关模型和工具的使用...,通信/网络设备,http://jobs.zhaopin.com/CC138093480J40828589213.htm,500-999人,2025-09-25 11:34:57
高级人工智能专家（海油正式编制）(J10080),北京,天津北海油人力资源咨询服务有限公司,本科,10年以上,"Python,C++,Java",8-10万,岗位职责:1.具备数据处理和特征工程经验，能够处理和清洗数据，进行特征选择、转换和提取，处理缺失值和异常值；2.具备模型训练和优化经验，了解模型训练的基本流程，包括数据集划分、超参数选择、模型调优等，掌握模型优化技术如正则化、批标准化、学习率调整等；3.熟悉大规模计算和并行处理技术，能够在分布式环境中进行高效的模型训练；4.熟悉模型评估指标和技术，能够进行模型性能评估和调优，如交叉验证、网格搜索、...,人力资源服务,http://jobs.zhaopin.com/CC644737230J40789430801.htm,1000-9999人,2025-09-18 15:52:11
高级AI大模型工程师,北京,书生电子,硕士,5-10年,"大模型算法,GPT,PyTorch,Python,探索/推荐算法",5-10万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40826355008.htm,100-299人,2025-08-14 17:56:54
AI大模型训练专家(A142920),北京,捷安高科,硕士,10年以上,"框架,微调,训练",8-10万,职位描述： 1. 战略规划与技术攻坚 - 负责垂类大模型技术战略制定，包括模型训练调优、平台架构设计、应用场景创新（如AI Agent、智能外呼）。 - 主导核心技术突破，如异构计算优化、多模态模型融合、推理性能提升等。 2. 团队管理与项目落地 - 搭建并管理AI技术团队，统筹大模型训练、平台开发、应用落地的全流程项目交付。 - 深入业务场景（如云计算服务、数据分析工具），设计端到端解决方案并打...,计算机软件,http://jobs.zhaopin.com/CC219039210J40816915715.htm,500-999人,2025-03-05 13:15:53
大模型技术领军人（团队负责人）,北京,中译语通,博士,3-5年,"机器学习,大模型算法",6.5-9万,工作职责：1.主导大模型（LLM、CV、多模态、时序等主流大模型）智能体或RAG等关键技术的训练框架设计、分布式训练优化及推理加速技术研发。2.负责模型压缩（量化、剪枝）、低资源推理（边缘计算/端侧部署）及性能调优，提升模型效率与成本收益。3.搭建高可用训练基础设施（如GPU集群管理、分布式训练框架开发），解决超大规模数据并行与模型并行的技术难题。4.作为核心骨干配合国家省部级项目申报、建设和交付...,互联网,http://jobs.zhaopin.com/CC457216910J40779612116.htm,500-999人,2025-12-09 10:01:24
大模型技术专家,北京,歌尔股份,硕士,5-10年,大模型算法,6-9万,工作职责1. 负责制定大语言模型方向的技术战略与演进路线，持续带领团队在算法创新、系统部署、智能体架构等关键方向取得突破； 2. 全面统筹垂域大语言模型的研发、评估与部署生命周期，推动算法与系统能力的标准化、模块化和可复用建设； 3. 牵头在研发、制造、品质、供应链、财经、人力及办公智能等核心领域构建智能体系统，重构关键业务流程，推动大语言模型的深度融合与落地应用； 4. 主导复杂业务问题的抽象建...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40734229506.htm,10000人以上,2025-11-17 18:14:25
模型训练专家,北京,厦门贤士达信息咨询有限公司,本科,5-10年,"深度学习,预训练,工程化落地",5-9万·14薪,"一、岗位需求：1、能独立闭环专项算法研发的实战专家，强调工程化能力(代码/实验/部署全流程经验)；2、负责大语言模型关键技术攻关。二、能力画像/专业要求：1、深度参与过千亿/百亿参数级大模型全生命周期开发(数据-训练-微调-部署)，具有一线实操经验；2、熟悉预训练中的关键技术陷阱(如梯度爆炸、显存溢出、过拟合)，掌握预训练调参黄金法则，掌握分布式训练优化策略(如ZeRO、Offload、PP, T...",人力资源服务,http://jobs.zhaopin.com/CC416345810J40787359609.htm,20-99人,2025-09-20 14:09:29
检测算法工程师,北京,北京壹据技术有限公司,本科,3-5年,"Python,深度学习,TensorFlow",4.5-9万,"岗位职责: 利用机器学习、深度学习和人工智能的方法研究各年代窑口的历史元素含量规律;探索适合检测领域的模型和算法;任职要求:教育背景: 本科及以上学历, 有 计算机、数学、人工智能等相关专业优先;精通机器学习(深度学习)并有应用模型解决实际问题的经验;精通 C / C++ / Python 任意一种.具有扎实的数学建模及编程能力, 能熟练通过Python、R等语言建立机器学习模型. 掌握至少一种深...",检测/认证,http://jobs.zhaopin.com/CCL1357408770J40178807516.htm,20-99人,2024-11-18 00:00:01
ai算法工程师,北京,中国电信股份有限公司北京分公司,硕士,5-10年,"深度学习,多模态算法,大模型算法,TensorFlow,PyTorch,自然语言处理,机器视觉",面议,岗位职责 1. 支撑北京电信大模型及AI项目的具体落地，参与技术评估、架构设计、算法调优，推理部署工作，实现大语言模型、多模态大模型在行业场景中落地 2. 参与生成式大模型能力和工具集构建，不限于预训练、微调、量化推理、prompt调优、检索增强、智能体、数据集能力建设、模型评估等多个方面 3. 长期追踪AI的前沿技术发展，结合行业场景，提供全面的技术解决方案，参与前沿算法和应用的研究 任职资格 ...,运营商/增值服务,http://jobs.zhaopin.com/CC120036580J40834773504.htm,1000-9999人,2025-01-17 12:20:20
多模态算法开发工程师-大模型,北京,京东集团,本科,3-5年,"多模态算法,大模型算法",5-8万·18薪,岗位职责及目标1.结合实际场景，提供全面的技术解决方案，包括不限于数据迭代、模型训练、模型评估；2.负责大语言模型的技术研究，包括预训练、指令微调、RLHF等手段，提升大模型在指令遵循、医学推理能力、长文本、角色扮演等核心任务上的能力。涉及技术包括但不限于自动数据配比、提升指令数据质量、数据合成、奖励建模、DPO、自进化等技术；3.基于强化学习技术增强大模型在医疗领域的多模态推理能力，尤其是多模态...,互联网,http://jobs.zhaopin.com/CC192921310J40813701209.htm,10000人以上,2026-01-11 00:12:41
大模型算法工程师-AI Agent(北京),北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、负责模型的全流程工作，包括但不限于数据、训练、评测、推理部署，保证数据的高质量和有效性； 2、LLM算法应用研究与算法落地工作，包括但不限于语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等LLM相关前沿技术； 3、持续探索在各种用户场景下，利用AI能力增强业务迭代效果； 4、深度参与产品研发项目，和产品经理/业务研发/质量/等同学密切配合，提高项目...,互联网,http://jobs.zhaopin.com/CC469217510J40676068701.htm,10000人以上,2026-01-09 18:20:33
理工科博士研究员（需博士学历）,北京,中财信忠(北京)科技有限公司,博士,3-5年,"太阳能,其他能源,风能,研究员,副研究员,研究实习员,人工智能,石油化工,智能制造",4-8万,一、岗位要求：1.学历：博士学历、理工科专业（已毕业，有毕业证书）2.近3年的海外工作经验：（26年1月之后回国或至今仍在国外）博士毕业后连续3年以上海外工作经验，企业或者高校工作经验或者连续2年博士后工作经验。 二、工作地点：可根据您的期望地点进行调整 三、专业要求：（9大类方向都可以，任选） 专业方向：人工智能、通讯技术、新能源与储能、材料方向、机械与结构、石油矿产、工业控制与自动化（系统整合...,科学技术推广,http://jobs.zhaopin.com/CC424188630J40855230112.htm,1000-9999人,2026-01-07 17:00:30
多模态算法开发工程师,北京,京东集团,本科,1-3年,多模态算法,5-8万·18薪,岗位职责及目标1.结合实际场景，提供全面的技术解决方案，包括不限于数据迭代、模型训练、模型评估；2.负责大语言模型的技术研究，包括预训练、指令微调、RLHF等手段，提升大模型在指令遵循、医学推理能力、长文本、角色扮演等核心任务上的能力。涉及技术包括但不限于自动数据配比、提升指令数据质量、数据合成、奖励建模、DPO、自进化等技术；3.基于强化学习技术增强大模型在医疗领域的多模态推理能力，尤其是多模态...,互联网,http://jobs.zhaopin.com/CC192921310J40813859809.htm,10000人以上,2026-01-11 00:08:01
LLM算法专家 (上海),北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、负责模型的全流程工作，包括但不限于数据、训练、评测、推理部署，保证数据的高质量和有效性； 2、LLM算法应用研究与算法落地工作，包括但不限于语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等LLM相关前沿技术； 3、持续探索在各种用户场景下，利用AI能力增强业务迭代效果； 4、深度参与产品研发项目，和产品经理/业务研发/质量/等同学密切配合，提高项目...,互联网,http://jobs.zhaopin.com/CC469217510J40676074401.htm,10000人以上,2026-01-09 18:20:28
