职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
质量总监,北京,美巢集团股份公司,硕士,5-10年,质量,10-11万,岗位职责:1、全面主持质量管理部的工作；2、负责部门团队建设，建立轻松、和谐、高效的工作环境，打造团队的凝聚力、创造力；对团队成员规章制度的遵守及行为规范负管理责任；3、贯彻执行国家、公司相关的法规、标准和规范，组织识别检验过程中与环境保护、安全生产及职业健康有关的风险，落实安全生产、人员职业健康保障措施；4、负责落实公司的质量方针，通过质量策划、质量保证、质量控制和质量改进，推动全面质量管理；5...,建材,http://jobs.zhaopin.com/CC120230250J40489534806.htm,500-999人,2026-01-11 00:00:41
软件测试高级项目经理/测试专家,北京,中思创新(北京)科技有限公司,本科,10年以上,,6-9万,工作职责：1.组织需求分析和技术评估；2.客户需求和问题的沟通及管理；3.项目周期内的软件风险和进度管控；4.部门及部门间资源协调；5.确保项目按计划实施，组织重大问题的分析和解决；6.定期报告项目软件开发状态及相关数据；7.项目后期软件开发总结，项目流程的持续改进。任职资格：1.大学本科以上学历，计算机.电子工程.通信及相关专业毕业；2.具备10年以上经验；3.工作踏实.勤奋.有责任心；4.良好...,互联网,http://jobs.zhaopin.com/CCL1479243980J40780166611.htm,300-499人,2025-11-14 11:12:05
质量中心一号位,北京,中际联合,本科,10年以上,,5-9万,岗位职责：1. 制定并实施公司的质量战略，质量计划，质量方针，质量体系等工作；2、质量团队搭建及管理；3、公司质量管理活动的策划、实施、宣贯、培训等；4、客户准入，产品研发、生产、交付等全流程的质量管理工作。5、充分理解客户的需求，通过前端预控，发现，预判和推动质量活动；6、关键问题质量改善。任职要求：1、本科以上学历，机械、电子、管理类专业；2、3年以上全盘质量管理工作经验，对质量管理体系非常熟...,专用设备制造,http://jobs.zhaopin.com/CC141855450J40889133515.htm,500-999人,2025-09-17 14:54:13
生产质量总经理,北京,欧伏电气股份有限公司,本科,5-10年,"QC,QA,QE,质量管理,全面质量管理体系",4-7万,岗位职责：1.负责公司质量体系的建立、维护以及持续改进。2.负责制定IPD各阶段质量目标和品质改善计划。3.组织产品线质量会议，识别重大市场质量问题及风险并协调解决4.参与研发项目APQP策划及过程评审，对接客户前期质量需求5.负责组织召开质量例会、开展员工质量培训和质量管理活动。6.负责部门内部管理工作。任职要求：1.本科及以上学历，电气、机电等相关专业；2.五年以上电气行业质量管理工作经验，两...,电气机械/电力设备,http://jobs.zhaopin.com/CC491078920J40711824906.htm,500-999人,2025-09-29 13:59:07
软件测试高级项目经理,北京,中思创新(北京)科技有限公司,本科,5-10年,,5-8万,岗位内容：1. 开发和实施测试策略，制定测试计划和测试用例，设计测试场景等。2. 确保所有测试活动按时交付，并且测试结果准确无误。3. 管理测试资料，生成和维护测试报告等文件。4. 持续改善质量控制流程，提高测试效率和准确性。5. 协调项目组成员，有效地传递并解决测试问题。任职要求：1. 本科及以上学历，计算机或相关专业背景。2. 具有7-8年以上软件测试经验，对于测试技能有深入的认知和实践。3....,互联网,http://jobs.zhaopin.com/CCL1479243980J40780156811.htm,300-499人,2025-11-14 11:13:09
Keeta-测试Leader(履约方向)-北京,北京,北京三快在线科技有限公司,本科,5-10年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40780812609.htm,10000人以上,2026-01-11 08:39:13
质量总监（半导体行业）,北京,北京烁科中科信电子装备有限公司,本科,5-10年,,5.5-6.5万·15薪,岗位职责：1、根据公司整体战略规划及客户要求，制定公司及产品质量管理体系和管理制度，并监督执行计划的实施； 2、主导产品质量相关活动，从试制阶段拟定产品质量控制计划，到试制过程质量管理，到量产制程质量改善等，全流程保障和推动产品质量；3、监控公司产品在客户端的表现，从使用数据上识别出产品的改善机会，通过积极主动的举措，不断驱动产品改善；4、主导内外部审核，按照要求对质量管理体系进行内部审计管理和持...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC881853230J40854513513.htm,500-999人,2026-01-09 17:02:08
卫星测试指挥,北京,哈尔滨工大卫星技术有限公司,硕士,5-10年,"硬件测试,通信测试,软件测试",3-6万·15薪,1.规划卫星系统测试，组织完成卫星不同阶段测试任务，主要包括整星AIT阶段测试、大型环境试验、地面站对接、发射场测试、飞控任务等；2.负责自动化测试软件用户需求、技术要求等文件编写；3.将测试工作前移，对总体设计、需求问题进行评审；4.与项目组沟通，审核项目提取的测试点、测试范围、测试程度的准确性；5.有效预估产品风险并协助开发尽量规避；6.参与需求、设计评审，提出有效产品意见；,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1302997450J40832167405.htm,100-299人,2025-12-11 10:11:28
综合测试总体工程师-主任设计师级,北京,北京蓝箭鸿擎科技有限公司,硕士,5-10年,"硬件测试,系统测试",3-6万·17薪,职位描述1、负责设计和组织航天器各阶段电测试、验证航天器电气性能交付；2、参与航天器总体论证，组建地面自动化测试系统；3、负责大系统联试、与发射场、运载火箭的总体协调。职位要求1、硕士及以上学历，飞行器设计、电气、通信、电子信息工程、自动化、计算机技术专业；2、具有5年以上航天器电测试经验，可独立开展航天器电测试设计；3、熟悉航天器电测试的要求和方法，熟悉航天器研制流程。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1491166830J40827010614.htm,100-299人,2025-12-02 17:13:37
质量总监,北京,北京烁科中科信电子装备有限公司,本科,10年以上,,5.5-6.5万·15薪,岗位职责：1、根据公司整体战略规划及客户要求，制定公司及产品质量管理体系和管理制度，并监督执行计划的实施； 2、主导产品质量相关活动，从试制阶段拟定产品质量控制计划，到试制过程质量管理，到量产制程质量改善等，全流程保障和推动产品质量；3、监控公司产品在客户端的表现，从使用数据上识别出产品的改善机会，通过积极主动的举措，不断驱动产品改善；4、主导内外部审核，按照要求对质量管理体系进行内部审计管理和持...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC881853230J40819588913.htm,500-999人,2026-01-09 10:38:48
