职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Ai大模型工程师,北京,书生电子,硕士,3-5年,"大模型算法,GPT,PyTorch,搜索/推荐算法,Python",12-20万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40814235808.htm,100-299人,2025-07-22 16:42:25
算法工程师,北京,北京莱维塞尔科技有限公司,硕士,经验不限,"推荐算法,定位算法,机器人算法,算法研究,运动控制算法",10-15万,岗位职责：● 新能源领域算法模型研究，优化现有算法，提高模型性能● 机器学习、运筹学领域的研发工作● 时间序列数据的分析和预测相关工作● 利用机器学习算法进行数据分析和模型训练● 与业务、产品团队密切合作，支撑支持数据业务岗位基本需求：● 硕士及以上学历应届生，数学、统计学、控制学相关专业优先，其他理工科专业成绩优异者● 熟练掌握机器学习、运筹学领域的典型算法，包括但不限于数据降维、特征提取、分类...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC189974710J40491639306.htm,100-299人,2025-11-16 00:01:22
多源融合SLAM算法开发工程师,北京,北斗星通,硕士,5-10年,"导航算法,感知,激光雷达",7-12万·14薪,职位描述：负责开发机器⼈平台的多传感器（IMU/GNSS/RGB-D/Lidar等）融合SLAM算法设计开发，并落地产品。包括但不限于：1. 负责研发基于视觉、LiDAR、IMU、GNSS等多传感器融合的SLAM算法，设计算法加速和优化方案，并落地产品。2. 参与机器人导航系统架构设计，整合硬件、软件、算法模块，完成系统级联调与性能测试，解决复杂场景下的系统瓶颈，提升整体鲁棒性。3. 对接及整合分...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120166610J40733251106.htm,1000-9999人,2026-01-05 01:15:33
制导设计岗,北京,北京箭元科技有限责任公司,硕士,5-10年,"制导算法,RTK,C/C++",5-10万,岗位职责： 1. 负责运载火箭制导方案设计； 2.负责运载火箭制导算法和参数设计及精度分析等工作； 3.负责导航制导算法验证仿真，与姿控六自由度数学仿真，半实物仿真试验等工作； 4、参加火箭飞行试验并处理有关技术问题。 任职要求： 1、硕士以上学历，飞行器设计、导航、制导、控制等相关专业； 2、5-10年飞行制导工作经验，有回收运载火箭制导项目经历优先； 3、熟悉火箭制导系统研制流程，掌握火箭动力...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40708155414.htm,100-299人,2025-12-17 11:05:12
高级算法研究员,北京,锐仕方达人才科技集团有限公司,硕士,1-3年,"深度学习,多模态算法,大模型算法,Transformer,自然语言处理,知识图谱,TensorFlow,PyTorch,C++,Python",5-10万,招聘岗位：高级算法研究员汇报对象： 技术合伙人 / CTO工作地点： 北京市朝阳区航空科技大厦13层岗位职责：1、基于多源异构金融数据（交易数据、新闻舆情、财务报表等），完成从数据预处理到模型设计、训练、评估与部署的全流程；2、与团队协同，构建具备实用价值的金融决策模型，并持续优化与迭代；3、跟踪AI及量化投资领域最新研究成果，推动前沿算法在实际业务中的应用落地。任职要求：1、深厚的深度学习建模能...,人力资源服务,http://jobs.zhaopin.com/CCL1236606730J40820719914.htm,1000-9999人,2025-11-12 10:53:29
AI算法Leader,北京,字节跳动,本科,5-10年,,8-10万,岗位职责：1、带领团队统筹模型的全流程工作，包括但不限于数据、训练、评测、推理部署，保证数据的高质量和有效性； 2、主导LLM算法应用研究与落地实践，密切关注LLM领域的前沿技术动态，包括语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等最新研究成果；3、带领团队开展创新性的应用研究，将前沿技术转化为实际生产力，为公司产品和业务提供技术优势；4、积极与业务部门沟通...,互联网,http://jobs.zhaopin.com/CC469217510J40676078401.htm,10000人以上,2025-10-27 19:19:32
图像算法主管,北京,辉煌科技,本科,5-10年,"OpenCV,PyTorch",5-10万·13薪,技能要求：1、具备扎实的图像处理和算法基础，掌握学习算法，熟练使用opencv、pytorch工具；2、掌握分类、检测、分类、跟踪等深度学习算法，并熟练应用；对transformer、DINO有一定理解，具有网络修改及优化能力；3、模型量化、剪枝、蒸馏方法掌握熟练，对半监督/自监督训练有应用经验；4、熟悉大模型技术，对图像大模型、多模态大模型技术有应用且熟练；熟悉AIGC技术及相关模型和工具的使用...,通信/网络设备,http://jobs.zhaopin.com/CC138093480J40828589213.htm,500-999人,2025-09-25 11:34:57
高级人工智能专家（海油正式编制）(J10080),北京,天津北海油人力资源咨询服务有限公司,本科,10年以上,"Python,C++,Java",8-10万,岗位职责:1.具备数据处理和特征工程经验，能够处理和清洗数据，进行特征选择、转换和提取，处理缺失值和异常值；2.具备模型训练和优化经验，了解模型训练的基本流程，包括数据集划分、超参数选择、模型调优等，掌握模型优化技术如正则化、批标准化、学习率调整等；3.熟悉大规模计算和并行处理技术，能够在分布式环境中进行高效的模型训练；4.熟悉模型评估指标和技术，能够进行模型性能评估和调优，如交叉验证、网格搜索、...,人力资源服务,http://jobs.zhaopin.com/CC644737230J40789430801.htm,1000-9999人,2025-09-18 15:52:11
高级AI大模型工程师,北京,书生电子,硕士,5-10年,"大模型算法,GPT,PyTorch,Python,探索/推荐算法",5-10万,岗位职责： 前沿算法研究与技术创新：负责人工智能领域前沿算法研究和创新，重点聚焦LLM、生成式AI、时序类大模型等，探索人类反馈强化学习、MoE、多模态、long-context等方向。 模型微调与优化：负责对大语言模型（LLM）进行领域适配微调（如LoRA、P-Tuning等），提升模型在特定任务（如对话、文本生成等）上的性能。 数据处理与构建：清洗、标注和构建高质量的微调数据集，设计数据增强策...,计算机软件,http://jobs.zhaopin.com/CC244040410J40826355008.htm,100-299人,2025-08-14 17:56:54
AI大模型训练专家(A142920),北京,捷安高科,硕士,10年以上,"框架,微调,训练",8-10万,职位描述： 1. 战略规划与技术攻坚 - 负责垂类大模型技术战略制定，包括模型训练调优、平台架构设计、应用场景创新（如AI Agent、智能外呼）。 - 主导核心技术突破，如异构计算优化、多模态模型融合、推理性能提升等。 2. 团队管理与项目落地 - 搭建并管理AI技术团队，统筹大模型训练、平台开发、应用落地的全流程项目交付。 - 深入业务场景（如云计算服务、数据分析工具），设计端到端解决方案并打...,计算机软件,http://jobs.zhaopin.com/CC219039210J40816915715.htm,500-999人,2025-03-05 13:15:53
大模型技术领军人（团队负责人）,北京,中译语通,博士,3-5年,"机器学习,大模型算法",6.5-9万,工作职责：1.主导大模型（LLM、CV、多模态、时序等主流大模型）智能体或RAG等关键技术的训练框架设计、分布式训练优化及推理加速技术研发。2.负责模型压缩（量化、剪枝）、低资源推理（边缘计算/端侧部署）及性能调优，提升模型效率与成本收益。3.搭建高可用训练基础设施（如GPU集群管理、分布式训练框架开发），解决超大规模数据并行与模型并行的技术难题。4.作为核心骨干配合国家省部级项目申报、建设和交付...,互联网,http://jobs.zhaopin.com/CC457216910J40779612116.htm,500-999人,2025-12-09 10:01:24
大模型技术专家,北京,歌尔股份,硕士,5-10年,大模型算法,6-9万,工作职责1. 负责制定大语言模型方向的技术战略与演进路线，持续带领团队在算法创新、系统部署、智能体架构等关键方向取得突破； 2. 全面统筹垂域大语言模型的研发、评估与部署生命周期，推动算法与系统能力的标准化、模块化和可复用建设； 3. 牵头在研发、制造、品质、供应链、财经、人力及办公智能等核心领域构建智能体系统，重构关键业务流程，推动大语言模型的深度融合与落地应用； 4. 主导复杂业务问题的抽象建...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC132726540J40734229506.htm,10000人以上,2025-11-17 18:14:25
模型训练专家,北京,厦门贤士达信息咨询有限公司,本科,5-10年,"深度学习,预训练,工程化落地",5-9万·14薪,"一、岗位需求：1、能独立闭环专项算法研发的实战专家，强调工程化能力(代码/实验/部署全流程经验)；2、负责大语言模型关键技术攻关。二、能力画像/专业要求：1、深度参与过千亿/百亿参数级大模型全生命周期开发(数据-训练-微调-部署)，具有一线实操经验；2、熟悉预训练中的关键技术陷阱(如梯度爆炸、显存溢出、过拟合)，掌握预训练调参黄金法则，掌握分布式训练优化策略(如ZeRO、Offload、PP, T...",人力资源服务,http://jobs.zhaopin.com/CC416345810J40787359609.htm,20-99人,2025-09-20 14:09:29
检测算法工程师,北京,北京壹据技术有限公司,本科,3-5年,"Python,深度学习,TensorFlow",4.5-9万,"岗位职责: 利用机器学习、深度学习和人工智能的方法研究各年代窑口的历史元素含量规律;探索适合检测领域的模型和算法;任职要求:教育背景: 本科及以上学历, 有 计算机、数学、人工智能等相关专业优先;精通机器学习(深度学习)并有应用模型解决实际问题的经验;精通 C / C++ / Python 任意一种.具有扎实的数学建模及编程能力, 能熟练通过Python、R等语言建立机器学习模型. 掌握至少一种深...",检测/认证,http://jobs.zhaopin.com/CCL1357408770J40178807516.htm,20-99人,2024-11-18 00:00:01
ai算法工程师,北京,中国电信股份有限公司北京分公司,硕士,5-10年,"深度学习,多模态算法,大模型算法,TensorFlow,PyTorch,自然语言处理,机器视觉",面议,岗位职责 1. 支撑北京电信大模型及AI项目的具体落地，参与技术评估、架构设计、算法调优，推理部署工作，实现大语言模型、多模态大模型在行业场景中落地 2. 参与生成式大模型能力和工具集构建，不限于预训练、微调、量化推理、prompt调优、检索增强、智能体、数据集能力建设、模型评估等多个方面 3. 长期追踪AI的前沿技术发展，结合行业场景，提供全面的技术解决方案，参与前沿算法和应用的研究 任职资格 ...,运营商/增值服务,http://jobs.zhaopin.com/CC120036580J40834773504.htm,1000-9999人,2025-01-17 12:20:20
大模型应用开发专家（机器人方向）-H6609F,北京,京东集团,学历不限,经验不限,"Java,Go,工具调用,机器学习,深度学习",4-8万·20薪,工作内容：1、负责大模型在机器人方向的应用服务研发，设计基于语音视觉的多模态Agent、实现上下文管理、工具调用、提示词工程等基本功能，基于大模型持续创新，满足机器人智能交互的需求。2、设计并实施全双工流式通信的机器人应用架构，实现端到端最佳性能和最低时延，并保证系统的健壮性。任职资格：1、精通Linux环境下的Java、C/C++、Go 中的 1~2 门，扎实的编程能力，优秀的系统设计思维。有大...,互联网,http://jobs.zhaopin.com/CC192921310J40695361909.htm,10000人以上,2026-01-11 00:28:22
导航算法工程师,北京,开拓导航控制技术股份有限公司北京分公司,硕士,5-10年,"惯性导航算法,导航算法,组合导航",4-8万,岗位职责：1. 负责航姿仪、导航产品软件编写和售前售后服务，配合客户现场调试；2. 参与新产品策划，搭建软件框架，调试导航代码，组织新样机测试，完成产品研制总结；3. 参与导航技术组年度新技术、新产品工作策划；4. 及时总结技术成果，积极申报发明专利；5. 完成公司领导交办的其它工作。任职要求：1. 惯性导航、卫星导航相关专业背景，导航相关工作经验5年以上；2. 具有良好的数学基础，接触过卡尔曼滤...,仪器仪表制造,http://jobs.zhaopin.com/CCL1367357080J40771083113.htm,300-499人,2026-01-11 00:11:42
大模型算法工程师-AI Agent(北京),北京,字节跳动,本科,5-10年,,4-8万,岗位职责：1、负责模型的全流程工作，包括但不限于数据、训练、评测、推理部署，保证数据的高质量和有效性； 2、LLM算法应用研究与算法落地工作，包括但不限于语言LLM、多模态LLM，Prompt工程/RAG/Agents/SFT/RLHF等LLM相关前沿技术； 3、持续探索在各种用户场景下，利用AI能力增强业务迭代效果； 4、深度参与产品研发项目，和产品经理/业务研发/质量/等同学密切配合，提高项目...,互联网,http://jobs.zhaopin.com/CC469217510J40676068701.htm,10000人以上,2026-01-09 18:20:33
多模态算法开发工程师-大模型,北京,京东集团,本科,3-5年,"多模态算法,大模型算法",5-8万·18薪,岗位职责及目标1.结合实际场景，提供全面的技术解决方案，包括不限于数据迭代、模型训练、模型评估；2.负责大语言模型的技术研究，包括预训练、指令微调、RLHF等手段，提升大模型在指令遵循、医学推理能力、长文本、角色扮演等核心任务上的能力。涉及技术包括但不限于自动数据配比、提升指令数据质量、数据合成、奖励建模、DPO、自进化等技术；3.基于强化学习技术增强大模型在医疗领域的多模态推理能力，尤其是多模态...,互联网,http://jobs.zhaopin.com/CC192921310J40813701209.htm,10000人以上,2026-01-11 00:12:41
