职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级硬件工程师(J10406),北京,中国大恒(集团)有限公司北京图像视觉技术分公司,硕士,5-10年,,20-25万,工作职责1.负责工业相机和图像板卡中硬件总体方案的设计；主导关键器件选型、模块分解，各模块指标的控制。2.协同结构工程师，进行整机热、EMC的设计。3.进行连接器、线缆、PCB等元件的建模、仿真，确定设计参数。4.对SerDes器件的参数调优，确定理论的最佳范围，并在多码型、高低温环境条件下，满足电气一致性、误码率指标。5.指导PCB工程师完成单板设计，审核PCB设计。6.返修故障器件失效分析；客...,计算机硬件,http://jobs.zhaopin.com/CC120188730J40795193012.htm,500-999人,2025-07-15 10:18:55
高级硬件工程师,北京,北京中科腾越科技发展有限公司,硕士,5-10年,"硬件开发,原理图设计,电路设计,PCB设计,器件选型",7-10万,工作内容： 基于x86/powerpc/arm的核心板卡的开发； A/D、D/A采集板卡的开发； 各种计算机外围接口板卡（如串口卡、以太网卡、CAN卡等）的开发； 专业要求： 硕士学历。电子、计算机、通信、自动化或者相关专业 岗位技能要求： 全面的模拟、数字（高速）电路设计知识，深厚的电路分析和调试经验，丰富的元器件知识； 6年以上硬件研发经历； 有多款基于x86架构主板的研发经验（作为主要设计人...,通信/网络设备,http://jobs.zhaopin.com/CC207292611J00159746709.htm,20-99人,2025-12-03 00:02:01
硬件系统工程师,北京,大连良机予人管理咨询有限公司,本科,3-5年,,5-8万,工作职责1、电机驱动算法开发与调试：负责电机控制算法的设计、仿真与落地验证，完成基于FOC算法驱动系统的嵌入式软件开发、优化与测试，解决调试过程中遇到的问题，提升控制精度；2、参与机器人关节电机硬件系统设计：参与驱动电路的方案评审、元器件选型及验证；参与关节电机的方案评审与设计；参与搭建硬件系统框架并完善落地。任职要求1、本科及以上学历，电子工程、电力电子、自动化、机械电子等相关专业，对电机驱动控...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896138902.htm,100-299人,2026-01-09 14:10:02
动力系统设计岗,北京,北京箭元科技有限责任公司,硕士,5-10年,"研发,动力系统,AutoCAD,SolidWorks,Pro/E",3.5-7万·13薪,岗位职责： 1.负责运载火箭动力系统方案论证与设计。 2.负责发动机系统、增压输送系统参数设计、组合件性能要求的制定。 3.负责单机及动力系统的各类试验策划及实施，可靠性设计和评定。 4.生产试验技术支持及配合。 任职要求： 1.流体力学、动力工程及工程热物理、工程热物理、机械设计等相关专业硕士及以上学历。2.掌握常用二维、三维辅助设计软件和结构强度、流场等仿真分析软件，掌握常用数据分析软件，掌握...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40685969214.htm,100-299人,2025-11-12 00:10:03
机械经理,北京,美巢集团股份公司,本科,5-10年,"维修/保养,设计",4-7万,岗位职责:1、 机械经理为所辖分部机械专业的主要负责人，向部门总监汇报工作；2、 全面管理机械设备点巡检、维护维修工作，监督工作进程，对工作结果验收，对工作质量和时效性负责；识别机械设备运行中的重大风险，制定应急预案和快速处置措施；3、 制定机械类备件的安全库存，审核备件需求计划，负责机械类备件品牌的选择与推荐，对备件数量和库龄的合理性负责；4、 参与机电设备相关项目的技术调研、规划、设计和选型；...,建材,http://jobs.zhaopin.com/CC120230250J40653800006.htm,500-999人,2025-09-15 13:11:59
硬件工程师,北京,大连良机予人管理咨询有限公司,本科,5-10年,,4-8万,岗位职责：1、负责拉通各领域XR产品摄像头需求分析评估，将产品需求及不同领域技术需求转化为供应商的设计输入；2、负责看护摄像头总体设计方案，关键器件选型及评估，对整体设计重点、难点技术以及成本进行把关；3、负责XR产品项目各阶段出现的摄像头器件相关技术、品质异常处理，主导硬件方面疑难技术问题的解决；4、负责拉通算法、供应商、产线，制定摄像头（供应商/整机产线）管控标准；5、负责收集行业前沿技术信息...,咨询服务,http://jobs.zhaopin.com/CC490242920J40896137102.htm,100-299人,2026-01-09 14:09:49
工程管理总指挥,北京,中铁亚欧建设投资有限公司,本科,10年以上,"工程管理,施工管理,一级建造师",5-7万,职位描述：1、负责制定并完善项目实施的总体方案、工程筹划和各专项方案；2、负责项目立项阶段的可研报告编制，落实哈萨克斯坦政府部门相关政策，签署项目的 合作协议、框架协议等工作；3、负责项目分包合同的签,投资/融资,http://jobs.zhaopin.com/CC292349530J00142729115.htm,100-299人,2024-12-20 15:05:57
管路设计岗,北京,北京箭元科技有限责任公司,本科,经验不限,"液体火箭,发动机,CREO,航空管路,发动机总装,低温管道",3-6万,岗位职责： 1、负责液体火箭管路系统布局方案与管路结构详细设计，与各分系统结构接口协调； 2、负责管路产品单机及总装图样设计； 3、负责管路系统地面试验方案设计、技术协调、组织实施和总结； 4、负责管路系统相关文件及报告的编制； 5、负责本专业范围内产品质量管控、生产问题协调，技术前沿跟踪、发展规划论证等工作。 任职要求： 1、具有2年以上航天结构相关工作经验优先，机械工程大类、力学专业； 2、掌...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40588806114.htm,100-299人,2025-12-30 00:00:20
航空发动机总体结构工程师（高层次研发人员）,北京,清航空天(北京)科技有限公司,硕士,5-10年,"结构设计,航空发动机",3-6万,岗位职责： 1、负责微小型航空发动机总体结构布局； 2、负责发动机转子系统支撑方案和承力方案的布局设计； 3、负责转子动力学的计算与调整； 4、负责发动机各关键部件强度、疲劳和寿命计算分析； 5、参与设计规范和技术文件的编制； 6、完成领导交办的其他工作。 岗位需求： 1、熟悉燃气涡轮发动机基本原理，总体结构设计、支撑方案和承力方案； 2、熟悉航空发动机的结构组成、各部件的功能； 3、掌握结构强度...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC879098050J40689987010.htm,100-299人,2025-12-03 16:15:12
结构求解器算法开发工程师,北京,山东创合信息化教学设备有限公司,博士,经验不限,,3-6万,岗位职责：1、负责通用仿真软件平台结构求解器开发，包括材料本构、单元算法或接触算法开发等；2、负责竞品软件算法调研；3、负责理论文档编写。任职要求：1、固体力学、计算数学、机械、土木、材料等相关专业，博士研究生学历；2、熟悉有限元理论，掌握非线性有限元算法、隐式/显式动力学算法等相关知识；3、具备优秀的数学基础和编程能力；4、有数值仿真软件研发经验者优先。,计算机硬件,http://jobs.zhaopin.com/CCL1501137490J40811606101.htm,100-299人,2025-12-03 13:58:53
高级硬件工程师,北京,北京盛衡星科技发展有限公司,本科,经验不限,,3-6万,画像：1、电路设计及调测 高级；2、嵌软设计及调测 中级；3、设备整机联调能力 高级； 3、产品定义能力 高级；4、项目管理能力 中级关键词：1、硬件架构， 电路设计， 模拟电路， 数字电路， PCB设计， 硬件调试， 系统联调2、嵌入式系统， ARM/MCU， 传感器接口， 信号完整性3、产品定义， 需求分析， 技术可行性评估精密仪器， 分析仪器， 光谱探测， 水质监测， 工业设备， 传感器4、...,互联网,http://jobs.zhaopin.com/CC877847790J40808645807.htm,20人以下,2025-11-12 14:41:49
贮箱设计,北京,北京箭元科技有限责任公司,硕士,3-5年,"研发,贮箱",3-6万,岗位职责： 1.负责贮箱方案论证工作，进行贮箱结构设计，封头、箱段、箱内附件、仪器电缆安装的设计。 2.负责贮箱生产制造的调研及工艺方案选型工作。 3.负责贮箱结构部件试验及整体策划，提出试验任务书并参加试验，完成结果分析。 任职要求： 1.流体力学、动力工程及工程热物理、工程热物理、机械设计等相关专业硕士及以上学历。 2.航天相关液体压力容器产品研制经验者优先。 3.掌握常用二维、三维辅助设计软...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40683530214.htm,100-299人,2025-11-12 00:08:41
SE专家(J14837),北京,北方华创,硕士,经验不限,"SE,系统工程师,设计,架构",3-6万,岗位职责:1.负责产品需求、系统/架构/模块功能分析与设计、确定技术方案、评估变更；2.负责产品各项配置可行性及方案设计、验证与实施；3.负责产品级问题的系统分析和解决方案实施；4.负责定义产品标准、CBB、专利等使用与构建提供系统方案级的支持；5.主导制定子技术域接口、技术冲突协调和仲裁；6.负责子技术域研发重点问题跟踪和产品技术评审；7.支持完成各项工艺设计参数调试、验证；8.支持现场共性问题...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40840984612.htm,1000-9999人,2025-10-20 14:55:00
海外基建项目经理/土建工程师,北京,加拿大希尔威金属矿业中国有限公司,大专,5-10年,办公建筑,3-6万,该岗位工作地点在厄瓜多尔，不接受勿投递，工程师、主管、经理级别都可投递，按级别定薪。岗位职责1、组织实施各项工程建设，深入工程建设全过程，从项目立项、施工、投产运行进行过程监管，确保各项目工程质量。2、制定新建、改建、扩建工厂的技术方案，有效控制投资成本及建设进度。3、矿区道路设计、线路土建设计。4、编制招标文件、工程清单等。5、编制质量管理体系、安全生产管理体系，并负责审核通过。6、负责本部门年...,矿产/采掘,http://jobs.zhaopin.com/CC190868810J40914713204.htm,1000-9999人,2025-09-11 10:00:02
结构设计岗,北京,北京箭元科技有限责任公司,硕士,3-5年,"结构,Adams",3-6万,岗位职责：1.负责运载火箭结构总体方案论证与设计、结构产品研发。2.负责舱段结构设计 ，产品研制与配套。 3.全箭机械接口协调与控制 ，负责箭体结构与其他分系统机械接口的协调设计，编制机械接口协调技术要求。 4.结构相关试验的组织及实施 ，提出箭体结构、机构功能性试验等任务书、试验大纲，负责相关试验的技术抓总与状态把控。5.总装厂及靶场工作，编制总装厂及靶场使用的技术文件。任职要求：1.飞行器设计...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40611035514.htm,100-299人,2025-08-20 10:45:17
硬件研发总监,北京,万佳信,硕士,5-10年,嵌入式硬件开发,3-6万·13薪,岗位职责：1. 全面负责公司智能硬件的产品设计与研发；2. 熟悉产品硬件设计，具有常见EDA设计软件使用经验；3. 参加产品/项目的需求调研和需求分析、概要设计和详细设计，撰写相关技术文档；4. 能够根据项目需求，协助完成项目的测试、系统交付工作，对项目实施提供工程支持；5. 具有开发风险管控能力，可快速分析并解决产品/项目开发过程中相关的技术问题；6. 负责产品从研发到生产及投入市场全流程产品生...,物联网,http://jobs.zhaopin.com/CC179890420J90250494000.htm,100-299人,2025-08-02 20:16:10
结构设计师-北京-00435,北京,北京天兵科技有限公司,硕士,经验不限,"航天、运载型号,UGNX,Pro/E,CATIA",4-6万,岗位职责1、负责火箭结构总体方案论证、结构系统设计、与其他分系统的协调并提出结构系统设计要求；2、负责结构产品详细设计、出图、编写相关设计文件、运用工程算法进行强度核算，负责产品地面试验设计和试验工作；3、负责仪器电缆的布局，提出电缆分支长度及相关防护措施；4、负责火箭总装设计及出图，编写总装相关技术文件；5、负责新型号或关键技术的论证及试验；6、协助型号项目的质量、采购、计划等相关工作；7、参加...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC873790450J40728324614.htm,500-999人,2025-03-11 11:31:35
