职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
短视频文案策划,北京,北京叩之问诚品精购商贸有限公司,本科,经验不限,"直播类,电商类",5-10万,研究分析目标客户需求和使用场景，研究产品品质和功能，策划、编辑短视频文案,电子商务,http://jobs.zhaopin.com/CCL1510210640J40857539902.htm,20人以下,2025-12-29 11:58:08
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585614.htm,10000人以上,2025-09-10 00:17:04
食品饮料频道总编辑,北京,央视国际网络有限公司,本科,10年以上,"生活类,财经类",3-6万,岗位使命全面负责食品饮料频道的内容战略制定与执行管理，主导内容策划、生产、传播及团队统筹工作。深度融合食品、饮品、农业领域产业链，打造兼具专业深度与市场影响力的内容产品矩阵，提升垂直领域品牌权威性。岗位职责一、业务拓展1.组建并领导垂类团队，统筹垂类各类内容的交付，包括但不限于原创软文/栏目、指南解读、研究解读、案例解析、会议报道等。2.孵化高价值内容产品IP，拓展内容衍生价值。3.深挖食品饮料产...,互联网,http://jobs.zhaopin.com/CC138910710J40793504114.htm,1000-9999人,2025-08-20 15:03:04
高级文字编辑,北京,北京方大炭素科技有限公司,硕士,5-10年,"大笔杆子,领导讲话稿",2.5-5万,【辽宁方大集团总部】高级文字编辑一、岗位职责 1.独立完成主要领导在重要活动、重要会议的讲话提纲、活动致辞、座谈发言、工作汇报等文字材料。 2.撰写用于汇报和交流的企业经营发展、党建经验、社会责任等内容的文字综合材料。 3.完成宣传文稿统稿、创作。 4.完成领导交办的其他工作。 二、任职要求 1.统招硕士及以上学历，在省市级政府（政研室、办公厅等部门）、省市级及以上党政媒体相关工作经历者优先。 2...,金属制品业,http://jobs.zhaopin.com/CC147434410J40742495910.htm,10000人以上,2025-12-05 14:48:59
新媒体营销负责人—（智能图书、管幅30+）,北京,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585414.htm,10000人以上,2025-09-10 00:05:21
科技频道总编辑,北京,央视国际网络有限公司,本科,10年以上,"科技类,新闻类,财经类",3-6万,岗位使命全面负责科技频道的内容战略制定与执行管理，主导内容策划、生产、传播及团队统筹工作。基于对科技产业的敏锐洞察力，掌握其传播规律，打造兼具专业深度与市场影响力的内容产品矩阵，提升垂直领域品牌权威性。岗位职责一、业务拓展1.组建并领导垂类团队，统筹垂类各类内容的交付，包括但不限于原创软文/栏目、指南解读、研究解读、案例解析、会议报道等。2.具备创新力和组织策划能力，孵化高价值内容产品IP，拓展内...,互联网,http://jobs.zhaopin.com/CC138910710J40793502614.htm,1000-9999人,2025-08-20 15:01:08
垂类策略leader,北京,北京三快在线科技有限公司,本科,5-10年,,面议,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,互联网,http://jobs.zhaopin.com/CC383625320J40811623009.htm,10000人以上,2026-01-11 08:46:12
采编经理,北京,海思科医药,本科,5-10年,"英语,职场类,健康类,品牌文案,公关文案,宣传稿,原创撰稿,策划选题,审稿改稿",3-4.5万,岗位职责:1.建立跨部门信息采集与协同机制，联动质量、法务、业务等部门，确保信息来源全面、准确；在突发事件中牵头组织信息对接与内容整合，保障决策一致性与执行效率；2.制定并执行全平台（官网、媒体、社交媒体）内容发布标准与审核流程；统一管理对外信息文本、视觉与传播调性，防范信息偏差引发的公众误解；3.规划并执行信息发布节奏，匹配不同渠道特点，提升传播响应速度；把握关键传播窗口期，确保企业重要动态及时...,医药制造,http://jobs.zhaopin.com/CC472494920J40835497714.htm,1000-9999人,2026-01-07 09:49:15
家居家电频道总编辑,北京,央视国际网络有限公司,本科,10年以上,"科技类,新闻类,财经类,生活类",3-6万,岗位使命全面负责家居家电频道的内容战略制定与执行管理，主导内容策划、生产、传播及团队统筹工作。基于对功能细分家电品类、场景化智能家居等产业的敏锐洞察力，掌握其传播规律，打造兼具专业深度与市场影响力的内容产品矩阵，提升垂直领域品牌权威性。岗位职责一、业务拓展1.组建并领导垂类团队，统筹垂类各类内容的交付，包括但不限于原创软文/栏目、指南解读、研究解读、案例解析、会议报道等。2.孵化高价值内容产品IP...,互联网,http://jobs.zhaopin.com/CC138910710J40793496414.htm,1000-9999人,2025-08-20 14:59:03
新媒体运营专员：,北京,北京华夏天工网络技术有限公司,中专/中技,无经验,,4-4.5万,（抖音/公众号/小红书等平台运营方向）岗位职责：1.多平台运营 - 负责公司微信公众号、抖音、小红书、微博等新媒体矩阵的日常运营，包括内容策划、编辑排期、粉丝互动及数据跟踪； - 根据平台特性制定差异化的运营策略，提升用户活跃度与品牌曝光。2.内容生产与传播 - 独立完成选题策划、脚本撰写、图文/短视频内容创作（需协同设计团队完成素材制作）； - 打造符合平台调性的爆款内容，促进用户裂变传播与精准...,互联网,http://jobs.zhaopin.com/CC547271720J40725021807.htm,100-299人,2025-08-22 00:00:02
诚招杂志社总编 副总编 编辑部主任,北京,北京华文智赢科技有限公司,本科,3-5年,"杂志社总编、副总   编辑部主任,新闻类,文学类,科技类,体育类,出版专业职业资格高级,出版专业职业资格中级,责任编辑证,社科类,历史类",2.2-4万,职位描述：1、协助负责人制定杂志社的中长期发展规划与品牌建设战略；2、负责组织制定并推进落实年度选题计划与出版计划；3、负责稿件的选题审核与内容质量把关，妥善处理审稿过程中的疑难问题；4、统筹协调内外部资源，持续提升杂志内容质量与运营效率，确保按时高质量出版；5、负责编辑团队的招聘、培训、绩效考核及日常管理工作。6、拥有杂志社或学术期刊的资源者优先。职位要求：1、具备杂志社总编或同等岗位的实际工作...,新闻/出版,http://jobs.zhaopin.com/CC387016430J40403750308.htm,100-299人,2026-01-11 08:56:40
健康频道总编辑,北京,央视国际网络有限公司,本科,10年以上,"科技类,新闻类,财经类,生活类",3-6万,岗位使命全面负责健康频道的内容战略制定与执行管理，主导内容策划、生产、传播及团队统筹工作。基于对健康产业的敏锐洞察力，掌握其传播规律，打造兼具专业深度与市场影响力的内容产品矩阵，提升垂直领域品牌权威性。岗位职责一、业务拓展1.组建并领导垂类团队，统筹垂类各类内容的交付，包括但不限于原创软文/栏目、指南解读、研究解读、案例解析、会议报道等。2.具备创新力和组织策划能力，孵化高价值内容产品IP，拓展内...,互联网,http://jobs.zhaopin.com/CC138910710J40793499114.htm,1000-9999人,2025-08-20 14:57:49
ai社媒运营,北京,北京三快在线科技有限公司,本科,经验不限,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40813580009.htm,10000人以上,2026-01-11 08:41:39
AI 产品新媒体运营负责人,北京,外企德科,大专,3-5年,短视频平台,2-4万,【岗位职责】1.全平台账号运营：统筹策划并落地各官方新媒体账号的日常内容发布、活动运营及用户维护，持续提升账号粉丝量级与互动活跃度，打造高传播、强影响力的优质内容矩阵；2.短视频创意策划：主导抖音、小红书等主流新媒体平台的差异化内容输出，结合 AI 产品核心调性，制定短视频内容策略与创意方向，保障内容的趣味性与传播力；3.平台资源拓展：对接主流视频平台，深度洞察各平台生态与调性，在既定预算框架外，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40837698505.htm,1000-9999人,2026-01-11 00:14:40
城市频道总编辑,北京,央视国际网络有限公司,本科,10年以上,"科技类,新闻类,财经类,生活类",3-6万,岗位使命全面负责城市频道的内容战略制定与执行管理，主导内容策划、生产、传播及团队统筹工作。基于对城市文旅、生活服务、消费经济、城市品牌建设的敏锐洞察力，掌握其传播规律，打造兼具专业深度与市场影响力的内容产品矩阵，提升垂直领域品牌权威性。岗位职责一、业务拓展1.组建并领导垂类团队，统筹垂类各类内容的交付，包括但不限于原创软文/栏目、指南解读、研究解读、案例解析、会议报道等。2.孵化高价值内容产品IP...,互联网,http://jobs.zhaopin.com/CC138910710J40793494414.htm,1000-9999人,2025-08-20 14:52:01
内容策略运营,北京,北京三快在线科技有限公司,本科,经验不限,,面议,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的...,互联网,http://jobs.zhaopin.com/CC383625320J40799863609.htm,10000人以上,2026-01-11 08:22:44
新媒体运营,北京,北京叩之问诚品精购商贸有限公司,本科,1-3年,"短视频平台,抖音,快手,微信视频号",2-4万,岗位职责:1.负责公司各品牌产品线的文案策划和撰写，包括但不限于品牌宣传、促销文案产品推广短视频脚本等；2.负责公司社交媒体平台的内容策划与实施，包括但不限于微信视频号、抖音小红书等平台的拍摄脚本输出及日常账号发布运营。3.跟踪和分析社交媒体趋势，为公司品牌提供内容策略建议。4.与团队协作，参与品牌营销活动，提升品牌形象和用户参与度。5.监控社交媒体反馈，及时调整内容策略以满足用户需求。 任职要求...,电子商务,http://jobs.zhaopin.com/CCL1510210640J40879364702.htm,20人以下,2025-12-29 11:57:58
文案策划,北京,中美联泰大都会人寿保险有限公司上海分公司,本科,3-5年,"直播类,广告类,电商类",3-4万,岗位内容：1. 负责公司各品牌产品线的文案策划和撰写，包括但不限于品牌宣传、促销文案等；2. 制定各种类型文案编辑标准，规范公司文案表达风格；3. 协助各部门开展各类营销活动，为活动提供文案策划、撰写与执行支持。任职要求：1. 热爱文案，专业不限，有优秀的文案创作能力和逻辑思维能力；2. 熟练掌握各类文案撰写技巧，有严谨、细致的文案修辞风格和语言表达能力；3. 具备市场洞察能力，善于发现文案中的关...,保险,http://jobs.zhaopin.com/CC282397530J40842451013.htm,10000人以上,2025-12-17 11:45:46
出版人/出版总监,北京,中郁教育科技(集团)有限公司,博士,5-10年,"英语可作为工作语言,线上发行经验,海外发行经验,编辑经验,出版,发行",2-4万·14薪,一、工作职责 1.把控学科内期刊发展方向：掌握和分析学科领域发展的难点、热点及趋势，每年结束前根据公司制定的各项发展指标完成下一年的学科发展计划书；推荐学科前沿热点及领域新闻给学科内相关期刊；审批期刊 Section 的新增/关闭/删除；参与新期刊的创办和协调内部期刊孵化合作； 2. 协调期刊差异化发展目标：根据学科内期刊整体市场份额、各期刊影响因子、排名及发展状态等信息，对制定各期刊差异化发展目...,学术/科研,http://jobs.zhaopin.com/CCL1355533590J40789837713.htm,100-299人,2025-12-10 10:08:39
新媒体副总监-医疗大健康,北京,北京四惠中医医院有限责任公司,本科,1-3年,"医生IP,新媒体编导,新媒体平台",2-4万,"岗位职责：1.负责搭建新媒体组织框架，建立新媒体（抖音、快手、头条）营销模式，提升品牌传播、认知度和价值；2.根据用户特点进行整体策划发展方向，全方位进行打造专家个人IP在新媒体平台,提高影响力和关注度，负责账号的整体的矩阵；3.制定新媒体健康内容运营策略，计划和方案，进行自有媒体宣传推广活动的策划、制定活动或广告方案推广活动；4.提升关注用户的活跃度和粘性，利用专业运营数据分析工具分析粉丝媒体运...",卫生服务,http://jobs.zhaopin.com/CC449883330J40780752611.htm,100-299人,2025-09-05 16:46:33
新媒体运营,北京,北京链家置地房地产经纪有限公司,学历不限,1-3年,"短视频平台,微信视频号",2-4万,岗位职责：1. 负责公司新媒体平台的内容策划与日常运营2. 制定并执行新媒体推广计划，提升品牌知名度和影响力3. 策划线上线下活动，增强用户互动和粘性4. 跟踪分析运营数据，优化运营策略岗位要求：1. 熟悉新媒体运营和推广，有相关工作经验2. 具备良好的文案撰写和编辑能力3. 熟练使用办公软件及新媒体运营工具4. 具有较强的沟通协调能力和团队协作精神,房地产中介,http://jobs.zhaopin.com/CC252944430J40701426316.htm,10000人以上,2025-08-18 19:56:54
资深文案策划,北京,国金黄金股份有限公司,本科,5-10年,"热爱中国传统文化,熟悉典籍",2-4万,我们寻找这样的你：一位心怀对中华传统文化的敬畏与热爱，文字功底深厚且富有灵性，能将古老智慧与现代语境巧妙融合的文案策划高手。如果你曾在《生活周刊》的深度叙事、《卷宗》的先锋美学表达或《典籍里的中国》的恢弘文化转译中留下过精彩笔触，我们将热忱欢迎你的加入，共同书写新的文化篇章。 核心职责： 1. 文化内容创作与诠释： 深度挖掘中国传统文化（儒、释、道、诗词歌赋、历史典故、哲学思想等）精髓，将其转化为...,银行,http://jobs.zhaopin.com/CC380003830J40818224803.htm,1000-9999人,2025-07-26 19:53:59
