职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
CRM售前技术顾问,北京,北京恒信志远科技有限公司,本科,3-5年,,15-25万,驻场外企，工资可面议 【岗位职责】1. 负责 CRM 系统开发项目的全生命周期管理，涵盖项目规划、需求梳理、进度把控、风险预判与防控、上线验收等全流程，确保项目按时、按预算交付，且满足业务核心目标； 2. 协调跨部门资源，解决项目执行中的技术卡点与业务分歧 ；3. 技术售前；4. 项目管理及开发等。 【任职要求】 1. 学历：正规院校本科及以上学历，双证齐全， 2. 专业：计计算机科学、软件工程或...,IT服务,http://jobs.zhaopin.com/CC475472880J40776883616.htm,20-99人,2025-12-02 10:22:01
水处理设备销售,北京,沃利雅(上海)水处理设备有限公司,本科,3-5年,,18-25万,职位描述 沃利雅（上海）水处理设备有限公司是一家致力于提供高效HVAC和工业给排水水处理产品和解决方案的专业水处理厂商。服务于数据中心、人工智能、云储、电子、发电站、石油化工、造纸、汽车工业、食品饮料、酒店、浴池、景观、船舶、金属加工等行业领域。现因业务扩展需要，特面向社会广纳贤才！ 岗位职责（核心价值点）： 一·市场开拓与客户开发1. 主动挖掘潜在客户资源，建立并维护长期合作关系；2. 精准分析...,专用设备制造,http://jobs.zhaopin.com/CCL1508585730J40765781609.htm,20-99人,2025-11-25 12:51:59
高级销售经理（消防设备）,北京,尼特智能科技股份有限公司,本科,3-5年,"企业客户,政府客户",10-20万,1、负责及时了解获取有关的市场信息，获取客户业务需求2、负责设计院、行业类大客户开发；3、负责重大项目的推进，维护客户关系；4、负责应收账款的回收；5、协助渠道进行重点客户或重大项目的开发；6、负责相关行业市场推广工作；7、完成领导交办的其它工作。1、27-40岁，本科及以上学历；2、3年以上消防行业的设备销售经验；3、有轨道交通、石油石化、及某一特定行业领域客户资源及开发经验；4、有设计院开发经...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC357458420J40668074402.htm,300-499人,2025-09-17 08:41:08
电气工程师（高压）,北京,北京科锐集团股份有限公司,本科,5-10年,"电气设计,电力电气,Eplan,SolidWorks",10-20万·13薪,岗位职责：1、负责成套产品电气一次（一次方案、结构、主要元器件采购规范、检验文件、工艺文件的编写等）设计；2、参与工程方案设计、工程设计图审核、工程的技术交底工作；3、提供技术支持（解决现场技术问题及处理相关的电气故障）；4、编制产品（项目）电气元件物料BOM、编制采购清单；5、负责解决生产过程中的技术问题。任职要求：1、 电气工程类、自动化、机电一体化等相关专业，本科及以上学历；同行业5年以上工...,电气机械/电力设备,http://jobs.zhaopin.com/CC130044360J40411730312.htm,1000-9999人,2025-08-07 08:45:29
Solution Advisor (APC售前技术顾问),北京,艾默生过程控制有限公司,本科,10年以上,"APC,先进过程控制,流程工业软件,ASPEN,售前技术支持,解决方案专家,化学工程",面议,Overview职位概况 The APC Solution Advisor provides technical support in Aspen APC for our Team in China. You will partner with AspenTech sales teams during the sales cycle to lead in consultative discover...,仪器仪表制造,http://jobs.zhaopin.com/CC000001610J40797387801.htm,500-999人,2025-10-16 15:02:14
机电安装技术负责人,北京,北京智恒通联信息科技有限公司,学历不限,10年以上,,5-8万,2项业绩在四库显示B级以上业绩需求市区以上薪资需求面谈 自有公司非中介，中介勿扰,IT服务,http://jobs.zhaopin.com/CC257668380J40969436104.htm,100-299人,2025-11-26 15:02:25
精密运动控制专家(J14835),北京,北方华创,硕士,10年以上,机械设备,5-8万·16薪,岗位职责:1、负责复杂环境下实时控制系统的架构设计、控制策略和控制算法开发，负责系统实时性、稳定性和鲁棒性等关键指标的达成及产品中的软硬件功能落地；2、设计、开发和维护运动控制器软件及相关应用程序；3、负责高精密自动化控制系统的设计和开发，负责机台控制策略、流程和算法开发，实现机台状态的管理和自动转换；4、负责控制系统的调试，分析解决调试中遇到的问题；5、负责控制系统的优化，进行系统辨识、性能分析...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40837889212.htm,1000-9999人,2025-10-11 13:51:14
设备规划总监-W7714L,北京,京东集团,学历不限,经验不限,"物流,设备管理,故障分析,团队管理,自动化设备",4-7万·16薪,工作内容：1、负责地区设备的计划性维修保养，故障抢修、设备巡检及遗留问题整改等，保障场地操作运营稳定；2、负责自动化设备项目的测试及验收等工作；3、负责自动化设备的资源管理，包括人员安排、维修效率提升、设备考核指标、成本控制、安全管理等；4、负责自动化设备维修技能培训，提升自动化维养能力等。任职资格：1. 本科及以上学历，物流管理、机械工程、自动化等相关专业优先，理解物流行业设备支持工作特点，能够...,互联网,http://jobs.zhaopin.com/CC192921310J40809609309.htm,10000人以上,2026-01-11 01:22:42
动力系统设计岗,北京,北京箭元科技有限责任公司,硕士,5-10年,"研发,动力系统,AutoCAD,SolidWorks,Pro/E",3.5-7万·13薪,岗位职责： 1.负责运载火箭动力系统方案论证与设计。 2.负责发动机系统、增压输送系统参数设计、组合件性能要求的制定。 3.负责单机及动力系统的各类试验策划及实施，可靠性设计和评定。 4.生产试验技术支持及配合。 任职要求： 1.流体力学、动力工程及工程热物理、工程热物理、机械设计等相关专业硕士及以上学历。2.掌握常用二维、三维辅助设计软件和结构强度、流场等仿真分析软件，掌握常用数据分析软件，掌握...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1451662510J40685969214.htm,100-299人,2025-11-12 00:10:03
电气经理,北京,美巢集团股份公司,本科,5-10年,"西门子,ABB,发那科,控制柜,控制器,安装/调试,维修/保养,设计",4-7万,岗位职责:1、负责组织电气技术人员确保公司车间自动化生产线设备正常稳定运行，及时解决生产过程中出现的各种电气故障，确保生产系统稳定运行。2、完善电气设备及其控制系统的日常维保计划，做好生产系统中现场电气设备的日常维护、保养和管理。3、指导现场操作员进行合理操作，完善操作规程，排查生产系统的电气安全隐患，负责组织做好车间内电气事故的预防工作，制定重大事故抢修应急预案。4、根据公司计量管理规定，维护公...,建材,http://jobs.zhaopin.com/CC120230250J40653776106.htm,500-999人,2025-09-15 13:11:59
