职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
资深大数据架构师（遥感）,成都,成都某信息通信科技公司（央企）,硕士,5-10年,资深大数据架构师（遥感）,4-8万,岗位要求：1、硕士研究生及以上学历、计算机、软件信息、遥感等相关专业；2、5年以上地理空间分析和建模、遥感应用开发、数据平台与管理体系建设等相关工作经验；3、精通行业标准和开源地理空间软件、前端和后端框架及应用程序、地理空间服务器和数据库，如：Geo Server、Carto、ArcGIS、Goole Earth Engine等；4、了解传统遥感解译算法、深度学习算法且具有实际项目开发经验者优先；...,互联网,http://jobs.zhaopin.com/CCL1318355140J40788795003.htm,500-999人,2026-01-07 01:05:14
数据库内核（C/C++）研发工程师-成都,成都,云和恩墨,本科,3-5年,"C语言,C++,PostgreSQL,MySQL,SQL引擎,存储引擎,优化器",2.5-3.5万,岗位职责：1、负责公司企业级数据库产品研发，包含SQL引擎、事务引擎、存储引擎、集群管理、数据安全等模块的设计和开发工作；2、负责数据库系统内核的开发以及测试；3、负责数据库系统性能分析，设计开发提高数据库系统性能。任职要求：1、熟悉Linux下的C/C++开发，熟悉C/C++语言的工程化开发和单元测试，熟悉至少一种脚本语言；2、大学本科以上学历，计算机相关专业，能够熟练阅读计算机相关英文材料和论...,IT服务,http://jobs.zhaopin.com/CC401559420J40782316707.htm,300-499人,2026-01-08 01:18:21
大模型应用开发工程师,成都,四川业亿辰科技有限公司,本科,3-5年,"Python,自然语言处理（NLP）,大模型（LLM）应用,LANGCHAIN,BERT/TRANSFORMER,RAG构建,模型微调,提示词工程",2-3.5万,职位概要:深度参与垂类大模型全流程开发与应用落地，工作内容涵盖模型开发优化（含微调、评估、部署）、复杂业务场景落地（涉及 llm 应用助手、multi agent 编排、MCP应用）、企业级 RAG 系统构建、跨部门协作及数据处理分析、提示词工程等。 岗位职责: 1、深度参与垂类大模型开发全流程，从模型选型开始，精准实施模型微调工作，运用科学方法进行模型评估，确保模型性能卓越。同时，熟练运用常见的...,互联网,http://jobs.zhaopin.com/CC490489880J40766398609.htm,20-99人,2026-01-05 00:26:41
资深数据应用专家,成都,成都某信息通信科技公司（央企）,硕士,5-10年,"数据架构,大数据开发",4-8万,岗位要求：1.硕士研究生及以上学，计算机、通信、互联网、IT、数学相关专业；2.5年以上大数据和数据分析领域研发及交付经验；3.至少独立完成1个及以上大中型项目的大数据设计，有至少TB以上级大数据处理经验；4.熟悉主流大数据框架及核心组件，包括但不限于Hadoop、Spark、Flink等，熟悉大数据平台的常见问题和优化方法5.精通分布式计算、高可用性和容灾等相关技能；6.具备海量数据的建模、处理...,互联网,http://jobs.zhaopin.com/CCL1318355140J40787300403.htm,500-999人,2026-01-05 01:05:02
数据架构师（架构工程师）,成都,金航数码科技有限责任公司,本科,5-10年,"数据治理,数据库开发,数据建模",1.5-3万·14薪,※岗位职责1.负责ToB客户数据治理（元数据、数据目录、数据标准、数据质量、数据安全等）功能的总体方案设计，确定数据治理流程与制度建设方案；2.依据业务场景和需求分析提供技术、业务解决方案并加以实现，包括：（1）平台数据治理（元数据、数据目录、数据政策、数据质量等）功能的技术方向评估；（2）开发实时计算（如Flink）与离线计算（如Hive）任务；3.提供咨询服务，指导梳理数据标准、构件数据安全和...,IT服务,http://jobs.zhaopin.com/CC000402820J40722651102.htm,500-999人,2026-01-11 01:02:23
数据挖掘（互联网平台朝九晚六）,成都,成都图巧科技有限公司,本科,3-5年,"机器学习,决策树",1.5-3万·13薪,岗位职责：1、使用数据挖掘技术，如分类、聚类、关联规则学习和异常检测等，从大量数据中提取有用的信息和知识，包括但不限于用户画像的挖掘；2、 与工程团队密切合作，将数据挖掘结果应用到业务中。任职要求：1、本科及以上学历，计算机、数学和统计等相关专业；2、 具有较强的业务模型抽象能力，能够将复杂的业务抽象为数学模型；3、 熟练使用至少一种编程语言，如Python、R或Java；4、 熟悉常用机器学习算...,互联网,http://jobs.zhaopin.com/CCL1430033070J40810691401.htm,500-999人,2025-12-17 13:32:25
大模型数据 开发工程师,成都,成都严川电器有限公司,硕士,3-5年,"数据架构,数据建模,数据库开发,Python",1.5-3万,1. 大模型架构开发与优化a) 基于LLM（如GPT、LLaMA，DeepSeek等）构建垂类模型b) 实现模型压缩（量化/剪枝）、微调（LoRA/P-Tuning）及私有化部署2. 数据治理体系搭建a) 构建涵盖文本，图表，图片等结构，半结构，非结构化数据处理的Pipelineb) 设计数据标注规范c) 建立敏感数据脱敏机制与访问权限控制体系3. 私有化知识库开发a)搭建基于知识库，知识图谱的行...,仪器仪表制造,http://jobs.zhaopin.com/CC562537320J40786841209.htm,100-299人,2025-10-17 13:55:42
数据治理专家(004570),成都,中国移动,本科,5-10年,"数据治理,数据建模,数据库开发",面议,岗位描述 1、参与数据中台产品设计与数据开发;负责解决数据平台系统开发过程中的技术难点和性能瓶颈； 2、负责数据仓库主题模型的设计与开发，对数据资源的分析、展现，深度挖掘数据价值，建立模型，提升数据的商业应用价值 3、负责数据应用集市以及相关数据需求开发，负责大数据治理解决方案制定和推动实施，包括：数据标准化制定和落地、数据质量管理、生命周期管理等。 任职要求 1、本科及以上学历，计算机、人工智能...,运营商/增值服务,http://jobs.zhaopin.com/CC000413680J40812386613.htm,10000人以上,2026-01-09 01:35:39
高级开发工程师（大数据方向）,成都,成都九洲电子信息系统股份有限公司,本科,3-5年,"数据建模,数据治理,数据仓库,Java,Flink,Spark,Kafka",1.4-2.5万·13薪,岗位职责：1、设计、构建和维护高可靠、高性能的大数据平台架构（Hadoop/Spark/Flink/Kafka等）； 2、开发数据管道（ETL/ELT），处理海量文本、图片、视频等结构化/非结构化数据，支持实时与离线分析场景； 3、优化数据存储、计算性能与成本，解决数据倾斜、资源调度等核心问题； 4、与算法、业务团队协作，为机器学习、BI可视化等场景提供高质量数据服务； 5、保障数据安全、质量与合...,计算机软件,http://jobs.zhaopin.com/CC142850050J40796049502.htm,100-299人,2025-08-19 17:45:24
软件开发师,成都,外企德科数字技术有限公司,本科,经验不限,"软件开发,数据库开发,数据中台开发,Java,Python,C语言,Hadoop,Flink,Spark",1.2-2.4万·14薪,岗位职责：参与云端大数据服务与产品的质量保障体系建设，负责测试方案设计、自动化脚本开发及系统质量评估；深入理解大数据产品架构，参与测试工具与平台研发，提升测试效能与产品可靠性；基于竞品分析与用户反馈，协助优化产品体验与服务质量；支持重点项目全流程测试，参与技术难题攻关与问题定位。 职位要求： 统招本科及以上学历，计算机、软件工程等相关专业优先； 具备良好的计算机基础知识，熟悉数据结构、操作系统、网...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837064005.htm,10000人以上,2026-01-11 00:27:04
数据处理工程师,成都,四川九洲防控科技有限责任公司,硕士,1-3年,嵌入式软件开发,1.2-2.4万,岗位职责1、参与软件需求分析；2、负责雷达数据处理软件方案设计；3、负责软件具体设计及调试；4、负责软件相关文档拟制；5、协助项目总体相关工作。任职要求：1、基本条件：遵纪守法、品行端正、身体健康、无不良记录；认同和遵循公司的企业文化，具有较强的事业心和责任感，具备良好的职业素养，作风严谨、正派，有良好的团队合作精神和组织协调与沟通能力；为人诚信、工作勤奋、学习能力强，具有创新精神。 2、应聘年龄...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC569121930J40465045101.htm,100-299人,2025-10-22 15:23:11
后端研发工程师（大数据开发）,成都,成都天奥集团有限公司,本科,3-5年,"大数据开发,数据分析,Java,MySQL",1.2-2.4万,岗位职责：1.负责数据分析、加工、清洗、处理程序的开发、故障修复处理；2.协助进行大数据相关的需求分析及架构方案设计； 3.负责大数据相关平台的搭建、开发、维护、优化； 4.负责部分后端java后端开发； 5.负责项目中文档的编写工作；6.能够根据项目需要，接受出差，在现场完成部分开发工作。 任职要求： 1.本科及以上学历，计算机或者数学等相关专业，具备3年以上工作经验；2.熟悉MySQL/Ora...,IT服务,http://jobs.zhaopin.com/CC319727210J40271742815.htm,300-499人,2025-07-17 00:00:22
数据治理顾问,成都,北京三维天地科技股份有限公司,本科,5-10年,"数据治理,数据建模,数据仓库,DAMA",1.1-2.2万,工作职责1、参与数据治理项目规划设计、形成专项解决方案2、负责数据治理相关制度设计与搭建，推动体系落地执行3、推进数据资产定义、盘点、维护工作。4、负责或参与数据仓库/数据湖的建设，包括采集、清洗、建模、ETL、数据开发。5、负责或参与数据指标体系的定义、设计、维护。6、负责或参与推动数据标准、质量、安全等领域的规划与设计。7、负责或参与数据产品的设计与应用落地。,计算机软件,http://jobs.zhaopin.com/CC000573220J40829961913.htm,1000-9999人,2026-01-06 01:35:54
SAP ABAP开发工程师(J17541),成都,新希望乳业股份有限公司,本科,5-10年,"SAP,SAP系统开发工程师,C++",1.8-2.2万,岗位职责:1、需求分析与设计：① 与业务分析师和用户沟通，理解业务需求，转化为技术解决方案。② 设计ABAP程序、报表、接口和增强功能，确保符合SAP最佳实践。2、开发与测试：① 编写高效、可维护的ABAP代码，包括事务码、表单、函数模块和增强点。② 执行单元测试、集成测试和用户验收测试，确保代码质量。③ 调试和优化现有程序，提升系统性能。3、系统集成与维护：① 开发和管理SAP与外部系统（如数据...,快速消费品,http://jobs.zhaopin.com/CC366254420J40828981714.htm,10000人以上,2025-12-09 15:27:25
