职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
博士研发经理,成都,中电九天智能科技有限公司,博士,经验不限,"Java,JavaScript,TypeScript,全栈开发",3-5万·14薪,岗位职责：1、负责智能制造MES/WMS/TMS软件系统后端架构的建立。2、参与日常需求沟通，并进行系统分析和研发设计的工作。3、独立完成较复杂模块的分析和设计，主导完成详细设计和编码任务。4、遵循部门开发相关规范，完成开发任务，保障代码质量。5、能够指导初级开发工程师的日常开发过程中遇到的技术问题。6、维护处理系统日常问题。7、专业对口，具有较强的科研能力和协调沟通能力。8、善于开展团队合作、团...,计算机软件,http://jobs.zhaopin.com/CC448411530J40579458211.htm,100-299人,2025-03-11 00:00:06
嵌入式团队技术负责人,成都,四川希尔得科技有限公司,本科,10年以上,"嵌入式软件开发,单片机开发,MCU平台,ARM开发",2-4万,一、主要职责1. 技术规划与架构设计（30%）负责公司嵌入式产品线的技术路线图规划，主导关键技术的预研与选型。主导复杂嵌入式系统的整体架构设计、核心模块划分及软硬件协同方案评审。制定并持续优化软件开发流程、代码规范、测试与质量保证体系。跟踪行业前沿技术（如低功耗设计、新型无线协议、物联网安全），推动技术升级与创新。2. 团队管理与建设（40%）负责嵌入式软件团队的日常管理、工作安排、绩效考核与人才...,仪器仪表制造,http://jobs.zhaopin.com/CC480442780J40831719710.htm,100-299人,2026-01-05 16:18:44
技术研发主管,成都,浙江中力机械股份有限公司杭州,本科,5-10年,,3-4万,职位详情工作内容：1、完成公司安排的各种智能化自动化定向开发产品，主要针对轨道交通行业和无人物流行业的技术服务、技术开发、智能机器人研发等；2、负责项目现场调研和需求分析工作，深度挖掘客户需求，完成机械自动化方案设计及汇报；3、负责非标产品的设计、试制、调试、测试和客户试用的0-1全流程方案，做好技术方案说明材料；4、配合销售人员做市场拓展提供技术支持，编写技术方案报告和技术投标书等；5、做好客户...,专用设备制造,http://jobs.zhaopin.com/CCL1215541500J40835545805.htm,1000-9999人,2025-12-29 10:45:19
技术研发主管,成都,交大中力(成都)科创有限公司,本科,5-10年,,3-4万,薪资待遇：3万+ 工作内容：1、完成公司安排的各种智能化自动化定向开发产品，主要针对轨道交通行业和无人物流行业的技术服务、技术开发、智能机器人研发等；2、负责项目现场调研和需求分析工作，深度挖掘客户需求，完成机械自动化方案设计及汇报；3、负责非标产品的设计、试制、调试、测试和客户试用的0-1全流程方案，做好技术方案说明材料；4、配合销售人员做市场拓展提供技术支持，编写技术方案报告和技术投标书等；5...,人工智能,http://jobs.zhaopin.com/CCL1515334280J40743737106.htm,20-99人,2025-12-25 15:59:06
研发团队技术负责人,成都,四川希尔得科技有限公司,本科,10年以上,"嵌入式技术,微服务架构,嵌入式软件开发,嵌入式硬件开发,ARM开发,全栈开发",2-4万·14薪,工作职责1、参与公司战略和技术规划、业务规划，并制定产品发展方向和研究技术发展路线。2、主持管理研发工作，分解研发目标与任务，负责各项工作的进程把控和结果检查。3、负责研发项目指导，审核总体技术方案，了解和监督实施执行情况。4、带领团队进行技术难题(或重大技术决策、技术方案)的攻关和预研，提升团队整体核心技术能力。5、建立研发的标准化流程，规范技术文件的管理，负责保密和专利等事宜。6、负责组织研发...,仪器仪表制造,http://jobs.zhaopin.com/CC480442780J40831484310.htm,100-299人,2026-01-04 16:36:27
研发部长/副部长,成都,佑赛科技,硕士,10年以上,压缩空气储能,2.5-4万,岗位职责：1、负责牵头组织创新部门完成科技研究规划，共识公司科研方向，编制科技战略、发展规划，对新能源、储能领域技术迭代、工艺创新、研发升级进行统筹规划管理；2、统筹公司各类研发项目，明确各参与方责任分工，督促项目按时按质完成技术成果交付；3、建立与完善公司科技项目管理相关制度，优化管理流程，配合推动科技成果转化；4、组织、制定并完善各类主机装备的技术文件、设计体系与管理制度；5、负责储能系统集成...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC415887220J40910385615.htm,300-499人,2025-12-15 15:38:35
研发部经理,成都,广东甘化科工股份有限公司,本科,5-10年,"研发部总监,研发部经理,技术负责人,开关电源研发,模块电源,组件电源,大功率电源",2-4万,【岗位职责】1、制定开关电源产品线的发展战略和业务计划，确保市场竞争力。 2、进行市场调研，分析市场需求，调整产品定位，提高品牌影响力和市场占有率。 3、主导电源产品的技术研发工作，包括电路设计、安全设计、热设计、电磁兼容设计等。4、全面负责电源研发项目的策划、组织、协调和控制，确保项目按时、按质、按量完成。 5、管理研发团队，包括人员招聘、培训、考核等，确保团队高效运作。【我们期待您拥有】1、精...,专用设备制造,http://jobs.zhaopin.com/CC141941260J40831031105.htm,300-499人,2025-12-05 15:51:55
技术部经理,成都,成都德图福思科技有限公司,本科,10年以上,"C++,QT",2.5-4万,工作内容:1.参与公司技术发展战略规划制定以及公司产品线规划工作；2.主持公司新产品技术可行性分析工作，对新产品的技术可行性负责；3.负责带领技术部解决生产和客户问题4.参与产品研发各阶段评审工作，负责组织技术难点攻关工作；5.负责制定研发相关技术标准，并负责监督、协助实施；6.负责制定、优化并贯彻产品研发流程、团队绩效管理；7.负责指导技术团队的技术开发工作、建立技术人才梯队、落实研发部绩效考核...,专用设备制造,http://jobs.zhaopin.com/CC881962260J40656311810.htm,20-99人,2025-11-04 09:49:19
组件研发高级经理,成都,通威集团,硕士,5-10年,,2.5-4万·15薪,岗位职责：1、负责光伏组件新产品设计和开发方案的制定；2、负责新产品、新技术开发过程中的产品性能评估和分析；3、负责新产品的开发立项，建立技术方案，组织实施新产品的研发、导入可行性分析；4、负责调研行业前言信息，对标国内外一线大厂，保证研发产品的先进性和经济性，提升产品的竞争力； 5、负责相关项目文献查阅，撰写相关专利；6、负责研发项目管理。 任职资格： 1、硕士及以上学历，机械、材料学、物理化学...,新能源,http://jobs.zhaopin.com/CC120939450J40605459111.htm,10000人以上,2025-06-10 00:12:03
技术部经理,成都,黄鹄科学技术有限公司,本科,5-10年,"光电信息,激光器,技术管理,硬件开发,系统集成",2.5-4万,岗位职责：1、负责统筹技术部所有研发及管理工作，按照公司要求完成部门年度工作任务；2、负责按照公司规划及管理要求组织开展部门各项日常工作，保证各项工作顺利开展；3、负责按照公司产品开发及项目研制要求，制定并组织实施部门工作目标与工作计划；4、负责技术部的人才培训培养、团队能力与文化建设、绩效管理与人才激励等；5、负责带领技术团队学习并研究新技术、新工艺、新材料，将其应用到公司产品中，为公司产品优化...,电子设备制造,http://jobs.zhaopin.com/CC608512830J40719869716.htm,20-99人,2025-06-06 10:03:49
研发经理,成都,四川九通智路科技有限公司,硕士,3-5年,"Java,嵌入式技术,嵌入式软件开发",2.5-3.5万,"岗位要求：1.熟悉物联网“云-网-边-端”架构,知识面覆盖智能终端、边缘计算、网络协议、后台及大前端。2.精通云计算和边缘计算关键技术，如 MQTT、物模型、设备影子、规则引擎、协同计算、高可用、系统安全等。3.精通 SpringCloud、SpringBoot、Spring AI 等主流开发框架。4.熟练应用各种设计模式和软件开发方法；擅长团队建设和团队管理。任职要求：1.985 高校硕士及以上...",计算机软件,http://jobs.zhaopin.com/CC875824200J40759374216.htm,20-99人,2025-11-22 00:00:02
