职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
抖音直播合伙人,成都,刺小仙(成都)科技有限公司,中专/中技,3-5年,"抖音,小红书,淘宝,电商类",15-20万,"岗位职责：1、至少三年以上电商行业运营直播工作经验；2、有运营或策划过中高端品牌线上运营及直播，并取得较高的销售业绩；3、对市场营销工作有较深刻认知，有较强的市场感知能力，敏锐地把握市场动态、市场方向的能力；4、具备良好的沟通合作技巧和丰富的团队建设经验，全面负责线上平台的运营工作,制定运营策略和平。5、负责线上电商平台的经营战略,制定线上平台总体6、定位,策划和运营线上平台的活动和市场推广,从创...",食品/饮料,http://jobs.zhaopin.com/CCL1484418280J40840700902.htm,20-99人,2025-10-23 10:07:58
高级营销运营总监（Global）,成都,成都云雅信息技术有限公司,本科,5-10年,"电商运营,新媒体运营,销售运营,亚马逊,跨境电商,SAAS平台",5.5-11万,工作地点： 中国成都（支持灵活办公） 我们是卖家精灵团队，我们的产品已服务于全球超过50个国家和地区的电商卖家，是全球领先的亚马逊卖家智能运营平台； 我们目前正在寻找一位具备全球视野和战略思维的高级营销领导者，负责公司的全球营销大盘。产品官网可搜“卖家精灵”查看。 岗位职责 1.全球营销战略制定 制定并执行公司全球营销战略，确保各区域市场策略与公司整体目标对齐。 建立全球营销运营体系，制定标准化流...,互联网,http://jobs.zhaopin.com/CC661448420J40904528208.htm,100-299人,2025-12-04 17:17:17
抖音运营总监,成都,成都华神科技集团股份有限公司,本科,3-5年,"电商运营,直播运营,新媒体运营",3.5-6.5万,一、岗位职责1. 战略规划与目标管理：制定抖音/快手/视频号等平台的年度营销策略、GMV目标及预算分配，对销售业绩和渠道利润负责。搭建账号矩阵（品牌自播号、达人号、种草号），完成从0-1的起号、稳号及规模化复制。2. 内容与IP运营：主导账号定位、人设打造、爆款内容策划（短视频/直播），结合热点及用户需求提升粉丝量、互动率及转化率。管理内容全流程：选题→脚本→拍摄→剪辑→投放，确保内容质量与平台算...,医药制造,http://jobs.zhaopin.com/CC130992090J40724806916.htm,500-999人,2025-06-20 10:23:31
全平台新媒体快销品农产品类电商总经理,成都,山西田森集团,本科,3-5年,"电商运营,新媒体运营,销售运营",3-5万,品类：口感番茄鲜果、红酒、番茄衍生品：番茄饮品、番茄调味品、番茄食品，正在开发重点还有功能饮品、保健品、保健食品等一、岗位核心内容1. 战略与经营管理：依据公司整体战略，制定天猫、京东、抖音等全电商平台的年度经营计划，明确GMV、利润、市场占有率等核心指标，主导预算编制与执行，对最终经营结果负总责。2. 全渠道运营统筹：管控各平台日常运营，制定推广、活动及商品策略，优化流量结构与转化路径；主导爆品...,房地产开发,http://jobs.zhaopin.com/CC214754910J40835355702.htm,100-299人,2025-10-10 08:43:57
新媒体运营经理,成都,成都嘉合二手车销售有限公司,学历不限,3-5年,"短视频平台,抖音,微信视频号,汽车类,短视频运营,内容运营,直播运营",2-4万,您好，我们是成都嘉合 专营品质精品二手车抖音名字：嘉合二手车（鄢老板）我们有精准粉丝群体和超高转化率！工作职责：1、制定符合公司的新媒体整体战略，统筹全平台内容规划与执行节奏。2、负责抖音（主要）、小红书、微信视频号等核心流量平台的账号运营与内容优化，提升品牌曝光与线索获取效率。3、负责管理新媒体部门（主播、拍摄、剪辑、客服、邀约等人员）。4、建立数据监测体系，通过用户行为分析迭代运营策略，提升内...,零售/批发,http://jobs.zhaopin.com/CC406820530J40979397904.htm,20-99人,2026-01-10 14:13:17
渠道财富顾问（新媒体）,成都,华西证券股份有限公司成都天府新区正东中街证券营业部,本科,经验不限,"基金从业资格证,证券从业资格证,个人客户",2-4万,薪资构成：绩效工资、五险二金（公积金、企业年金）、业务专项奖励，上不封顶。包括餐补、带薪年假、定期体检、周末双休、全勤奖励、学历补贴、工会福利（节日、生日、慰问）等多项福利补贴。还有证券行业特有的别人调班我调休！任职要求：1、本科及以上；有互联网运营、线上营销经验者可优先录取；2、持有证券从业资格证、基金从业资格证。（如暂时没有证书，针对条件优秀者可辅导考证）3、品行端正，具有良好的职业道德；4、...,证券/期货,http://jobs.zhaopin.com/CC807553020J40737180101.htm,1000-9999人,2025-12-30 16:05:53
抖音运营总监/操盘手,成都,四川金宫川派味业食品有限公司,大专,5-10年,"直播运营,新媒体运营,电商运营",2-4万,一：岗位职责1.矩阵战略与孵化：负责从0到1孵化食品/调味品直播矩阵，规划100-200个账号的差异化定位（如：测评号、菜谱号、工厂直播号、达人分发号）。2.MCN供应链整合：不仅管理运营，需深度介入食品供应链，针对调味品/水饮的高频特征，建立“快选品、快测试、快迭代”的选品SOP。3.大规模协同体系：建立针对百个直播间的人货场匹配模型，利用AI素材分发解决食品类目内容重复率高的痛点，实现规模化养...,快速消费品,http://jobs.zhaopin.com/CC205023210J40912527915.htm,1000-9999人,2025-12-25 10:06:01
新媒体房产经纪人（无责5k+高提成94%）,成都,成都海纳千川房地产经纪有限公司,学历不限,经验不限,"商业房产,住宅房产,二手房,新房,电话销售,面销/陌拜	,网络销售,高提成",2-4万,成都海纳千川是一家房产自媒体品牌公司，通过孵化【房产】专家类IP，在抖音直播间分享购房知识，解答粉丝提问，从而协助粉丝在线下成功置业，买对房。公司分配客户 公司分配客户 成交周期短，时间相对自由、公司40%以上的员工月入5w+职位描述1、接手公司优质主播的留资客户（至少每月100-200组）的后续工作，按照公司服务标准为客户提供专业置业方案；2、熟悉各大楼盘，能做到精准的推荐，维护客户促进交易;3...,房地产开发,http://jobs.zhaopin.com/CCL1466148560J40973361304.htm,100-299人,2025-12-17 17:54:05
新媒体运营主管,成都,成都高新大韩原辰医疗美容门诊部有限公司,大专,3-5年,"短视频平台,图文平台,微信公众号,小红书,快手,短视频运营",2.5-4万,岗位职责：1、负责企业小红书自媒体的内容创意、策划、审核，打造新媒体矩阵，吸引粉丝进行转化，提升帐号形象和业绩，并跟踪推广效果;2、挖掘素材，结合产品运营内容，创作噱头，做好宣传3、制定并执行每月的新媒体传播规划，包括平台的视频图文等创意内容，确保内容持续输出与优化;4、负责新媒体相关内容、选题、执行、出稿等整体规划和运营管理，把握整体风格和方向;5、关注竞品及医美行业营销动态，结合品牌项目营销节...,美发/美容/保健,http://jobs.zhaopin.com/CCL1373419080J40387124911.htm,20-99人,2025-11-13 12:07:50
新媒体推广专员,成都,四川大鱼印象文化传媒有限公司,学历不限,经验不限,"直播运营,短视频运营",100-200元/时,主要协助我们老师做一些新媒体的日常推广工作，工作简单轻松，工资日结或周结，月均收入4000-8000,新媒体,http://jobs.zhaopin.com/CCL1515683790J40865057203.htm,20-99人,2025-12-27 10:40:33
