职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
售后服务专员（双休）,成都,中国人寿保险股份有限公司简阳市支公司,高中,经验不限,全白班,4-8万,保险售后/客户服务岗热招中岗位亮点客户服务核心岗 | 全流程保单维护 | 双休+法定假全休 | 薪资随能力稳步增长你将负责1.客户专属服务：承接公司分配的客户名单，围绕保单全生命周期提供优质、专属服务，成为客户信赖的保险服务伙伴。2.保单全流程管理：负责客户资料整理与精准存档；主导保费续收，通过专业沟通提醒保障保单持续有效；高效处理理赔服务，从资料收集到进度跟进全程护航，让客户安心；根据客户需求调...,保险,http://jobs.zhaopin.com/CC445047130J40789268707.htm,100-299人,2025-10-21 10:47:33
电商客服总监,成都,四川蓉城蕾茗科技有限公司,大专,5-10年,"售后客服,售前客服,电商客服,客服总监,电商客服总监",1.5-3万,"岗位职责:1、负责项目交付流程管理,监控各个项目实际运营过程中交付达成情况,从运营经验沉淀交付管理方案;2、负责业务的成本及流程管理,协助交付及达成月年度利润要求;3、月度项目结算跟进,内部成本的把控管理,及时规避成本风险;4、负责各个项目绩效管理的监控及合理性,月度把控产出及绩效的管理;5、各个交付团队的管理HC配置评估,绩效晋升体系化管理机制;岗位要求:任职要求：1、有电商售前、电商售后管理经...",互联网,http://jobs.zhaopin.com/CCL1244220070J40780503112.htm,1000-9999人,2026-01-10 01:34:46
3700无责/ 助贷邀约客服 /双休,成都,四川锦源投资咨询有限公司,中专/中技,经验不限,个人客户,1.5-3万,一、工作内容;1、根据公司免费提供的客户资源，通过电话沟通方式发掘客户的贷款需求;2、与客户保持良好的沟通状况，完成公司贷款产品的销售；3、可以只负责邀约，谈单由主管去谈。二、工作时间:9:00-18:00，中午休息一个半小时，周末双休，节假日正常休假！三、薪资待遇：无责底薪3700+提成10%-30%（通提）+其它激励性奖金等，不扣后台成本，月薪轻轻松松上万四、招聘要求:1、中专及以上学历，25...,咨询服务,http://jobs.zhaopin.com/CC658505820J40746690309.htm,100-299人,2026-01-08 09:23:13
10K＋聘云产品客服＋周末双休,成都,成都维音信息技术有限公司,本科,无经验,"阿里巴巴国际站,Facebook,TikTok,英语,德语,泰语,欧美区域,北美区域,澳新区域",1.5-3万,——这是TOB的销售—— ——可提供员工宿舍—— 【有淘宝店未注销或者法人的身份勿扰】 【工作内容】 与全国客户建立良好，持续的合作关系，了解客户公司的技术范围和需求，结合现有产品给出针对性的解决方案来促进产品（云服务器、大数据库、存储）的使用，从而进行签单。销售方式为【电销＋网销】相结合 要求： 大专及以上学历， 半年以上销售经验，沟通表达良好 工作时间：早9晚6 周末双休 法定休息 薪资待遇:...,互联网,http://jobs.zhaopin.com/CC271152910J40559292016.htm,1000-9999人,2025-12-02 17:30:52
BPO项目总监/客服中心,成都,四川蓉城蕾茗科技有限公司,本科,5-10年,"售后客服,呼叫中心,3C,项目交付",2-3万,"岗位职责:1、负责项目交付流程管理,监控各个项目实际运营过程中交付达成情况,从运营经验沉淀交付管理方案;2、负责计件业务的成本及流程管理,协助交付及达成月年度利润要求:3、月度项目结算跟进,内部成本的把控管理,及时规避成本风险;4、负责各个项目绩效管理的监控及合理性,月度把控产出及绩效,计件提成的管理:5、各个交付团队的管理HC配置评估,绩效晋升体系化管理机制;岗位要求:1、做过大型互联网公司80...",互联网,http://jobs.zhaopin.com/CCL1244220070J40789498312.htm,1000-9999人,2026-01-06 01:31:45
客服主管,成都,四川中童儿童互联网医院管理有限公司,大专,1-3年,,1.5-3万,一、岗位职责：业务层面：1. 组织网络咨询模式的建设；2. 针对不同的客户类型制定不同的咨询方案；3. 组织研究网络咨询的方式方法，充分突出医院的特点及优势，并整理专业话术体系；4. 配合医院各种促销活动的策划和推动，确保各类活动项目顺利完成；5. 网站留言咨询项目及数量的统计；6. 网络咨询项目分类数据、信息来源、客户来源区域的统计；7. 网络咨询项目、咨询量、预约量、现场到院量、成交量、成交金...,卫生服务,http://jobs.zhaopin.com/CC847206350J40585757406.htm,500-999人,2025-04-21 11:47:26
医美客服 早10晚7 双休,成都,四川中正百年科技集团有限公司,学历不限,经验不限,"口腔美容,面部美容,美体瘦身,网络咨询,电话咨询",1.3-2.6万,公司是给美业商家做业绩提成营业额的。只需要沟通商家到峰会现场即可，商家不缴费。新人一个月20-30家门店，高额提成，轻松氛围，无考核要求。岗位职责：1、公司提供客户资源，邀约本地美业实体商家参加公司峰会即可。2、不去线下，峰会现场有讲师 、销售成交商家，只管拿门店提成。3、每月峰会3-4场4、入职一对一指导和培训，帮助新人迅速掌握专业知识，以及技巧尽快出结果，抓住颜值经济的大趋势；任职要求：1、普...,医美/健康服务,http://jobs.zhaopin.com/CCL1481248800J40785833216.htm,300-499人,2026-01-07 10:02:16
人保车险续约,成都,人保汽车保险销售服务有限公司成都市营业部,大专,经验不限,,1.5-2.5万,【官方人保成都直营渠道】1.中国人保财险成都市公司唯一电销渠道2.不看人脉资源，客户全部公司提供3.不用自己花钱充话费，外呼系统任你用4.不用面谈客户，不用风吹日晒，吹着空调办公。只要你积极向上，踏实肯干就可以依托全球最大保险公司平台，通过电话销售给客户办理车险，在成都拥有一席之地。【岗位职责】1.公司提供车险即将到期的续保客户资源，无需自己开发客户。2.通过电话或微信的方式联系车险即将到期的客户...,保险,http://jobs.zhaopin.com/CC613623580J40781071407.htm,10000人以上,2026-01-08 09:53:38
呼叫中心运营主管,成都,安盛天平财产保险有限公司,本科,3-5年,"售后客服运营总监,英语,保险行业售后呼叫中心,呼叫中心运营管理",1.5-2.5万,岗位职责：1、负责电话客服呼叫中心的日常运营管理，全面完成工作指标，并保持日常指标稳定；2、负责多团队的人员管理、绩效管理、培训管理和团队建设，不断提升团队业务水平、执行能力和工作效率；3、根据公司的发展战略和业务规划，建立健全业务制度和流程规则，完善服务能力和优化系统工具；4、不断提升服务质量，控制操作风险，保证合规守法运营，提升人员风险意识和职业道德水平；5、推动各项工作的规划与创新，负责中心...,保险,http://jobs.zhaopin.com/CC131663160J40899753015.htm,1000-9999人,2025-12-31 01:42:36
知名旅游大厂客服经理/全额五险一金,成都,位来小猎(宁波)信息技术有限公司,本科,3-5年,"客服经理,客服团队管理",1.5-2.5万,岗位职责：• 目标与团队宣贯：通过宣贯，拉齐团队目标，指标，工作思路，通过定期开展复盘会议，确保团队成员理解并保持一致。• 团队指标达成与持续优化：交付团队指标结果。定期复盘输出偏差解决方案，周期性提高团队服务指标。• 管理规范与秩序维护：负责执行并迭代管理方法论，宣导并执行公司管理制度，确保现场秩序良好。• 业务预测与排班管理：通过业务量预测，排班，确保业务接起率。同时负责成本指标的降低，推动达...,计算机软件,http://jobs.zhaopin.com/CCL1320375780J40819875407.htm,100-299人,2025-12-29 16:21:21
