职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级营销运营总监（Global）,成都,成都云雅信息技术有限公司,本科,5-10年,"电商运营,新媒体运营,销售运营,亚马逊,跨境电商,SAAS平台",5.5-11万,工作地点： 中国成都（支持灵活办公） 我们是卖家精灵团队，我们的产品已服务于全球超过50个国家和地区的电商卖家，是全球领先的亚马逊卖家智能运营平台； 我们目前正在寻找一位具备全球视野和战略思维的高级营销领导者，负责公司的全球营销大盘。产品官网可搜“卖家精灵”查看。 岗位职责 1.全球营销战略制定 制定并执行公司全球营销战略，确保各区域市场策略与公司整体目标对齐。 建立全球营销运营体系，制定标准化流...,互联网,http://jobs.zhaopin.com/CC661448420J40904528208.htm,100-299人,2025-12-04 17:17:17
运营总监,成都,昌都市卡若区明珠物业服务有限公司,本科,3-5年,"销售运营,产品运营",4-8万,岗位内容：1. 制定和执行公司运营策略，实现业务增长和盈利目标2. 分析市场和用户需求，优化产品和服务的特性和差异性3. 挖掘和引入新的运营模式和流程，提高效率和降低成本4. 合理规划并管理预算，确保预算使用的高效5. 协调各部门和团队间的合作，保证工作流程的顺畅和高效任职要求：1. 熟练掌握市场和流程管理的基本原则和理论2.具有丰富的团队管理和协调能力，擅长解决复杂问题3.拥有扎实的数据分析和业...,景区/商业/市场等综合管理,http://jobs.zhaopin.com/CCL1491575820J40733548807.htm,20-99人,2025-08-09 09:07:43
抖音运营总监,成都,成都华神科技集团股份有限公司,本科,3-5年,"电商运营,直播运营,新媒体运营",3.5-6.5万,一、岗位职责1. 战略规划与目标管理：制定抖音/快手/视频号等平台的年度营销策略、GMV目标及预算分配，对销售业绩和渠道利润负责。搭建账号矩阵（品牌自播号、达人号、种草号），完成从0-1的起号、稳号及规模化复制。2. 内容与IP运营：主导账号定位、人设打造、爆款内容策划（短视频/直播），结合热点及用户需求提升粉丝量、互动率及转化率。管理内容全流程：选题→脚本→拍摄→剪辑→投放，确保内容质量与平台算...,医药制造,http://jobs.zhaopin.com/CC130992090J40724806916.htm,500-999人,2025-06-20 10:23:31
营运总,成都,成都盛世腾龙娱乐管理有限公司,本科,5-10年,"门店运营,toC",4-5.5万,负责统筹全国40余家直营门店的营运管理与客户体验优化，确保业绩目标达成与服务标准统一。【岗位职责】1、经营达成与策略管理：统筹全国40+直营门店经营目标，制定并执行销售策略，通过市场分析、数据洞察、定价优化与成本管控，推动业绩达成与效率提升。2、客户体验与服务标准保障：监督门店日常营运，优化服务流程与SOP，持续提服务品质与客户满意度。3、服务与产品创新推进：识别共性运营问题，统筹资源推动服务创新...,文化艺术/娱乐,http://jobs.zhaopin.com/CC566403520J40842714703.htm,500-999人,2025-12-09 13:52:39
电商总经理,成都,四川徽记食品股份有限公司,本科,5-10年,"电商运营,toB,toC",3-5万·13薪,全面负责公司电商业务的战略规划、经营目标实现、团队管理与跨部门协同，推动业绩持续增长与品牌数字化升级。1.战略规划与目标落地制定公司电商整体战略，包括渠道布局（传统/新零售/兴趣）、增长路径及年度经营目标实现。监控行业趋势与竞争动态，快速迭代业务策略，探索创新增长点。2.全渠道运营管理统筹管理各渠道，优化各渠道运营策略与资源投放。推动跨渠道联动与用户生命周期管理，提升全域销售转化与复购率。负责市场...,快速消费品,http://jobs.zhaopin.com/CC120944710J40782923516.htm,1000-9999人,2026-01-07 15:23:29
亚马逊平台运营负责人,成都,四川蓉城蕾茗科技有限公司,大专,5-10年,"亚马逊,鞋服类目",3-5万,岗位职责1、组建 AMAZON (亚马逊)运营团队，制定月度、季度销售目标，并带领团队达成销售目标；2、进行市场调研，分析竞争对手产品，根据市场需求制定合理的价格策略和推广计划，并监督执行；3、熟悉亚马逊销售平台规则，持续的提升产品的销售排名和销售量，维护店铺的好评率和店铺安全，提高客户满意度；4、负责管理线上产品的上传、编辑和优化、广告投放方案、订单处理和售后服务的管理工作，达成运营绩效指标；5...,互联网,http://jobs.zhaopin.com/CCL1244220070J40851434612.htm,1000-9999人,2025-11-20 13:55:03
运营总监（私域）(J10130),成都,海天水务集团股份公司,本科,10年以上,用户运营,3-5万,岗位职责:一、 战略规划与体系搭建制定集团私域运营的整体战略、商业模式及年度/季度目标（包括用户增长、活跃度、转化率及营收目标）。从0到1规划并搭建以小程序、企业微信为核心的私域运营矩阵与用户管理体系。建立私域运营的流程、规范和数据监控体系，并持续优化。二、 技术产品与平台开发管理主导线上平台开发： 全面负责集团私域小程序、官方商城的规划、需求撰写、设计评审，并主导与技术开发团队（内部或外部）的对...,环保,http://jobs.zhaopin.com/CC202056710J40899344508.htm,1000-9999人,2025-11-10 17:40:52
四川生物医药产业集团有限责任公司+医美医院（筹）+副总经理（分管运营业务）,成都,四川发展(控股)有限责任公司,本科,5-10年,,面议,岗位职责：1.分管运营业务，全面负责公司的市场运营及品牌建设，制定公司运营策略，建立健全公司运营管理体系，实现客户获取、转化、服务及维护的全生命周期管理，推动公司客户增长和业绩达成；2.负责运营战略制定，并实施开展公司的市场推广、品牌建设、销售转化及客户服务等工作，提升市场占有率，完成工作目标；3.负责开展营销推广工作，统筹线上线下营销渠道，策划并执行有效的市场活动工作，提升品牌知名度和美誉度；4...,投资/融资,http://jobs.zhaopin.com/CC255622310J40726762606.htm,10000人以上,2025-10-21 16:48:56
全平台新媒体快销品农产品类电商总经理,成都,山西田森集团,本科,3-5年,"电商运营,新媒体运营,销售运营",3-5万,品类：口感番茄鲜果、红酒、番茄衍生品：番茄饮品、番茄调味品、番茄食品，正在开发重点还有功能饮品、保健品、保健食品等一、岗位核心内容1. 战略与经营管理：依据公司整体战略，制定天猫、京东、抖音等全电商平台的年度经营计划，明确GMV、利润、市场占有率等核心指标，主导预算编制与执行，对最终经营结果负总责。2. 全渠道运营统筹：管控各平台日常运营，制定推广、活动及商品策略，优化流量结构与转化路径；主导爆品...,房地产开发,http://jobs.zhaopin.com/CC214754910J40835355702.htm,100-299人,2025-10-10 08:43:57
全国酒类运营总监,成都,成都五商供应链管理有限责任公司,本科,10年以上,"销售运营,产品运营,消费品",2.5-5万,1. 全面负责200 - 300价位段浓香白酒品牌的全国运营工作，制定清晰、切实可行的品牌运营战略与年度经营计划，确保品牌在市场中实现持续增长与盈利目标。2. 深入研究市场动态、消费者需求及竞品情况，独立策划极具创新性与竞争力的市场营销方案，涵盖品牌推广、渠道拓展、活动策划等多个维度，有效提升品牌知名度与市场占有率。3. 精心制定宴席政策，深度挖掘宴席市场潜力，通过精准的营销策略与优惠政策，吸引消...,零售/批发,http://jobs.zhaopin.com/CC881961700J40744437909.htm,20-99人,2025-08-11 11:07:31
