职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
对日软件开发工程师,重庆,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",1.8-3.5万,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853033513.htm,500-999人,2026-01-08 01:36:23
基于鸿蒙系统软件设计,重庆,重庆航天火箭电子技术有限公司,本科,3-5年,鸿蒙系统,2-3.5万,1.本科毕业于211及以上院校，硕士研究生优先。2.具有3年以上鸿蒙系统软件开发相关工作经验。3.深入了解鸿蒙操作系统，包括其核心、分布式能力、多设备协同等特性，以及架构、设计理念、运行机制等。4.掌握鸿蒙系统编程语言及应用开发结构。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC399395110J40713874403.htm,500-999人,2025-12-23 14:40:26
android安卓开发工程师,重庆,诚迈科技股份有限公司,本科,5-10年,CAMERA,2-3万,任职要求：1、本科及以上学历，计算机、软件工程、通信等软件相关专业；3年以上10年以下APP开发经验，具备Android Camera APP开发经历者优先。2、热爱编程，具备扎实的数据结构、操作系统、数据库、计算机原理、网络协议等知识。3、熟练掌握 Java、Kotlin开发语言，对设计模式有深入研究并在实际编码过程中广泛运用，有大型项目开发经历者优先。4、熟练掌握OpenGL/GPU渲染技术，...,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40912773915.htm,1000-9999人,2026-01-08 01:42:06
Framework开发工程师,重庆,深圳市众鸿科技股份有限公司,大专,3-5年,"车载项目,物联网项目,Framework,C++,Java,C",2-3万,1.负责Android新平台的搭建。2.负责Android与MCU通信机制的搭建与维护。3.负责Android 平台的针对车机的音频策略的搭建。4.负责处理Android音视频播放问题5.负责Android系统蓝牙、wifi、GPS等接口适配。6.负责Android系统启动速度优化。7.协助App开发，扩展非原生系统的接口供应用调用。任职要求：1、通信、电子工程、自动化、计算机、软件开发及其相关专...,计算机软件,http://jobs.zhaopin.com/CC553074220J40687101102.htm,100-299人,2025-12-23 16:35:07
安卓开发工程师,重庆,中科创达软件股份有限公司,本科,5-10年,"Java,Kotlin,IOT,手机,影像,安卓应用",1.8-3万,岗位内容：1. 以用户为中心设计交互体验，开发高质量的Android应用程序，确保用户满意；2. 协同开发团队完成产品规划和交付；3. 与后端团队协调，处理各种api接口的请求和响应。任职要求：1. 精通Java/Android SDK，熟悉Kotlin者优先；2. 对网络通讯、HTTP协议、Socket编程、通信方式等技术有深入的理解和积累；3. 熟悉Restful API，熟练使用Retrof...,计算机软件,http://jobs.zhaopin.com/CC285451210J40804866711.htm,1000-9999人,2025-11-12 18:26:43
智能座舱系统工程师,重庆,廊坊宁宇人力资源有限公司,本科,5-10年,"HYPERVISOR,QNX,Android,智能座舱",1.5-3万·13薪,岗位职责：1、负责智能座舱域控制器的技术需求对接，软硬件需求分解；2、负责智能座舱域的产品方案设计，包括主要硬件选型和系统原理设计；3、负责智能座舱相关功能的系统方案设计，包括系统资源规划、人机交互、多屏互动、音视频媒体、导航、语音、WIFI/BT、Android车载应用等；4、负责智能座舱域系统开发文档的编写，包括功能规范，诊断规范，架构设计，信息安全规范及测试等规范的编写；5、与项目经理、研发...,人力资源服务,http://jobs.zhaopin.com/CCL1496000350J40773306116.htm,20-99人,2025-11-12 16:34:43
安卓BSP软件工程师,重庆,重庆力华自动化技术有限责任公司,本科,1-3年,"车载项目,HAL",1.4-2.8万·14薪,1、负责Android BSP（Board Support Package）开发和维护；2、负责HAL（Hardware Abstraction Layer）层驱动开发；3、负责车载SOC平台（MTK8667、高通8155、RK3588等）的底层适配；4、负责车载外设驱动开发（CAN、LIN、以太网、USB、串口等；5、负责系统启动流程优化和性能调优；负责车载安全机制实现（SELinux、加密、安...,汽车零部件,http://jobs.zhaopin.com/CC270553110J40803095009.htm,1000-9999人,2025-10-28 15:07:18
Android（重庆）,重庆,南京蓝魔云信息技术有限公司,本科,经验不限,"Kotlin,Java",1.5-2.8万,1、开发Android手机相机APP。2、参与相机模块的需求评审和策划评审，输出设计方案，编码实现相关功能。3、优化相机APP性能和内存，对部分功能进行微重构。4、参与产品项目开发，确保相机功能在各产品项目上落地。5、总结项目经验输出文档，分享开发成果。 1、精通安卓app开发 2、熟练掌握 Java、Kotlin 开发语言 3、3年以上10年以下相关工作经验 4、没有手机行业的安卓经验者，最好是...,计算机软件,http://jobs.zhaopin.com/CCL1215728260J40769092216.htm,20-99人,2025-10-27 17:02:21
移动软件开发（安卓CAMBSP/HAL/AP/WIFI/BT/音频+京东方长期）,重庆,广东善世企业服务集团有限公司,大专,3-5年,"HAL,AP,WiFi,BT,音频",1.5-2.6万,软件开发（安卓CAMBSP/HAL/AP/WIFI/BT/音频+京东方长期）如下是京东方重庆软件开发的长期外包岗位，如下9个方向的软件开发，请告知我您偏向应聘岗位几？线上一轮面试即可：薪资：13K-24K/月+入职即购买五险一金+双休工作地点：重庆BOE-重庆市北碚区云汉大道11号岗位一安卓应用工程师1. 计算机. 通信等专业大专及以上学历. 有3年以上安卓应用开发经验2. 熟练掌握android...,人力资源服务,http://jobs.zhaopin.com/CC667241620J40826314809.htm,10000人以上,2026-01-09 21:01:47
安卓开发工程师,重庆,软通动力信息技术(集团)股份有限公司,大专,5-10年,Flutter,1.5-2.5万,1. 5年以上Android APP开发经验，精通Java/Kotlin，对Android 机制（如性能优化、内存管理、多线程）有深刻理解。2. 至少2年Flutter项目(Flutter/Android原生混合开发或纯flutter）开发经验，Dart语言，深入理解Flutter框架原理（渲染机制、状态管理、异步等），具备复杂Flutter模块的开发能力。3. 具备良好的架构设计能力，熟悉常见的...,互联网,http://jobs.zhaopin.com/CC000544460J40784621716.htm,10000人以上,2025-12-31 10:12:16
APP开发工程师,重庆,东方鑫源集团有限公司,本科,5-10年,"架构设计,跨平台开发,车联网,蓝牙",2-2.5万·13薪,岗位职责：1、负责手机APP开发，实现应用上架/下架管理、版本更新、权限控制、下载安装等核心功能，保障应用分发安全与用户操作流畅性2、参与需求分析与技术方案设计，输出APP模块详细设计文档（如界面流程图、接口定义、数据存储方案）3、对接UI/UX团队与测试团队，解决APP开发过程中的界面兼容性、功能逻辑异常等问题4、跟踪APP上线后的数据表现（如用户活跃度、崩溃率、功能使用率），输出迭代优化方案5...,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40811938011.htm,10000人以上,2025-12-17 01:32:44
