职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
对日开发初级技术员到项目经理的全职位招聘,重庆,株式会社ProfaceSystems,大专,1-3年,"C,Python,Java,AI,赴日,对日,MySQL,PostgreSQL,Spring,Hibernate,Struts,SQLServer",2-4万,【会社概要】当社は、公共事業や受託開発、SES型開発を中心に、AIなどの先端技術を活用した新規マーケットの開拓も行っています。また、ITマネジメント人材の育成、組織運営、経営への参画など、幅広い開発環境・業務領域を提供しています。多様なプロジェクトを通じて、あなたの経験・スキル・可能性を最大限に発揮できるポジションをご用意しております。本公司以公共事业、委托开发和SES模式开发为核心业务，同时也积...,计算机软件,http://jobs.zhaopin.com/CC579165780J40398754113.htm,20-99人,2025-11-27 10:48:24
车载部件应用开发13薪 熟悉AUTOSAR,重庆,四川蓉城蕾茗科技有限公司,本科,1-3年,"带薪年假,生日福利,节假日福利",2-4万,工作内容：1、参与车厂差异化通信矩阵、网络管理、诊断、加载等协议功能开发，完成相应需求开发，并在原有工具基础上进行迭代优化;2、参与产品开发、调测全流程配套工具链开发，熟悉AUTOSAR相关协议栈，能熟练掌握相关功能的参数配置;3、保证开发质量，完成基本接口的相关测试，提升工具软件质量、使用效率;4、熟悉车载行业OBC、MCU部件的相关功能，具备OBC功能开发或电机功能开发，有标定相关的工作经验优...,互联网,http://jobs.zhaopin.com/CCL1244220070J40833759012.htm,1000-9999人,2025-10-10 18:28:38
赴日软件工程师,重庆,阳光软件株式会社,大专,经验不限,"日语,Java,C#",2-4万,公司名称：SUNNYSOFT阳光软件株式会社直招岗位：赴日软件工程师工作地点：东京及周边岗位要求：1、日语5级以上，能够进行日常会话，能正确理解设计书内容，有过1年以上对日开发经验或有日语能力2级以上资格证书者优先录用；2、有以下任何一门开发语言有1年以上开发经验、或计算机专业毕业、或日语一计算机专业毕业即可：JAVA，.NET，C#，C++/C，SAP，PHP，COBOL，IOS，Android...,计算机软件,http://jobs.zhaopin.com/CC814253860J00090304809.htm,100-299人,2025-03-26 08:37:41
【正编】mcu嵌入式软件工程师 25-35K 五险一金,重庆,浙江杰博人力资源股份有限公司,本科,5-10年,,2.3-3.5万,职位详情双休岗位岗位职责:负责汽车空调控制器、座椅控制器、车灯、水阀产品的嵌入式软件开发工作。任职要求:1、本科及以上学历;5年以上汽车电子产品软件开发经验;2、精通网络通信或电机控制;3、本岗位对嵌入式软件专业技术方面要求较高，经验不够者慎投。,人力资源服务,http://jobs.zhaopin.com/CC810318680J40822452514.htm,500-999人,2026-01-10 01:42:36
autosar软件工程师-可线上面试-薪资可谈,重庆,四川蓉城蕾茗科技有限公司,本科,1-3年,"C语言,C#,DCDC变换机,Autosar,DSP,ARM处理器,OBC,BCM,应用层开发",2-4万·13薪,综合薪资：20-40k*13薪 五险一金 岗位职责:1、参与车厂差异化通信矩阵、网络管理、诊断、加载等协议功能开发，完成相应需求开发，并在原有工具基础上进行迭代优化;2、参与产品开发、调测全流程配套工具链开发，熟悉AUTOSAR相关协议栈，能熟练掌握相关功能的参数配置;3、保证开发质量，完成基本接口的相关测试，提升工具软件质量、使用效率;4、熟悉车载行业OBC、MCU部件的相关功能，具备 OBC功...,互联网,http://jobs.zhaopin.com/CCL1244220070J40833540512.htm,1000-9999人,2025-09-24 19:02:23
C/C++/Java/Python/JS软件开发/算法/数据,重庆,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C语言",1.5-3万·15薪,岗位选择： 软件开发、软件测试、嵌入式开发、算法、运维、数据分析等（工作地点可选北京、上海、深圳、东莞、杭州、南京、武汉、成都、西安、长沙、苏州、济南、广州等） 岗位要求： 1、统招本科及以上学历（学信网可查），985/211/双一流大学优先；计算机、通信相关专业优先，非相关专业有相关工作经验也可以。 2、热爱编程，基础扎实，熟悉JAVA/C++/C/Python/JS/HTML/GO等编程语言中...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40616279705.htm,10000人以上,2026-01-12 00:24:19
嵌入式软件工程师,重庆,重庆力华科技有限责任公司,本科,3-5年,"C语言,C++,Python,8位单片机,32位单片机,PIC单片机,IIC总线,SPI总线,PC端编程软件",1.5-3万·13薪,1.根据项目任务书，设计项目相关应用软件，并进行调试验证。2.结合硬件电路，进行嵌入式软件搭建，进行软硬件调试，并做好相关设计说明文档。3.验证设计方案，解决调试软件难点，完成设计及验证工作。4.梳理开发资料并归档，协助公司完成其他相关工作。5.熟练使用PC端编程软件（QT、Python 、C#等）可独立设计制作相关PC端配套软件，能独立制作自动化测试平台软件，并能够进行外接设备的操作。任职资格：...,电子商务,http://jobs.zhaopin.com/CC555545820J40802515809.htm,20-99人,2026-01-08 08:57:18
BMS底层软件开发工程师,重庆,重庆美顺电子科技有限公司,大专,5-10年,"汽车BMS,软件需求",1.5-3万,岗位职责：1.负责产品的底层软件开发、集成、测试、维护；2.负责基础软件调试、Bug修复；3.负责MCU外设驱动开发、测试、维护；4.负责复杂驱动开发、测试、维护；5.负责产品的CAN协议栈、网络管理、UDS诊断功能的开发；6.负责产品软件质量问题的分析、解决；7.负责软件需求、软件架构、详细设计等文档编写；8.协助算法工程师进行问题定位；9.协助产品功能测试设备调试、问题分析、问题定位。 任职要...,电子设备制造,http://jobs.zhaopin.com/CC583052920J40822282712.htm,100-299人,2025-12-27 00:00:02
电动转向底层软件工程师（央企）,重庆,南方新华,本科,经验不限,"C语言,嵌入式软件开发,驱动开发,芯片开发,Autosar,单片机开发",1.8-3万·14薪,1）负责控制器底层软件功能需求分析及软件实施 2）参与软件整体方案的设计及评审 3）负责底软开发各个阶段文档的编写及归档工作 4）负责CP AUTOSAR底层软件配置，包括COM、DEM、DCM等 5）负责CDD的开发包括电驱动芯片、SBC、CAN收发器等 6）负责RTE配置及软件集成职位福利：五险一金、公积金12%、绩效奖金、年底双薪、带薪年假、节日福利、周末双休,人力资源服务,http://jobs.zhaopin.com/CC346219280J40317715611.htm,100-299人,2025-12-09 17:39:23
视频处理嵌入式工程师,重庆,重庆逐际科技有限公司,本科,3-5年,,1.5-3万,"职位描述：1、 负责基于Linux的嵌入式应用软件或单片机软件的开发和维护工作；2、 负责相关的芯片验证和linux驱动开发，有相关图像处理从业经验者可从事cmodel和算法开发。3、 负责Linux系统下Cmos驱动开发，调试USB,mipi接口的摄像头设备；4、 熟悉H.264，H.265等主流编解码算法，流媒体服务功能开发及性能优化；5、 熟悉嵌入式AI部署6、 参与项目需求确认，能够准确把...",船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1493847930J40766908907.htm,20-99人,2025-12-02 14:47:26
