职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
平面设计,重庆,重庆图灵室内设计工程有限公司,大专,3-5年,"VI设计,包装设计,PS,AI,品牌设计",3000-6000元/周,岗位内容：1. 根据客户需求，进行平面设计、VI设计、海报设计、产品包装设计等相关工作；2. 设计并制作企业形象宣传资料，包括公司画册、产品样本、宣传册、广告海报、DM单页、PPT、视频等；3. 参与网站界面设计、微信公众号运营和活动策划，提高公司品牌知名度。任职要求：1. 大专及以上学历，平面设计或相关专业毕业，有3年以上品牌设计经验；2. 熟练使用Ai、Ps、Id等设计软件，可以独立完成各类设...,电子商务,http://jobs.zhaopin.com/CCL1484860280J40781564612.htm,20人以下,2025-06-07 09:36:37
UI设计工程师,重庆,重庆中电自能科技有限公司,本科,5-10年,界面设计,1-2万·16薪,任职要求1. 本科及以上学历，设计、美术或相关专业，5年以上互联网或软件产品UI设计经验。2. 精通Figma、Sketch、Adobe XD等主流设计工具，具备出色的视觉设计、界面排版与交互设计能力。3. 熟悉用户体验设计流程与方法论，能独立完成从需求分析到设计落地的全过程。4. 具备良好的逻辑思维与沟通表达能力，理解B端或数据可视化业务者优先。5. 拥有强烈的责任心和团队合作精神，作品集能体现...,IT服务,http://jobs.zhaopin.com/CC383364020J40978466004.htm,20-99人,2026-01-09 17:08:55
国企/UX设计师,重庆,中智四川经济技术合作有限公司,大专,5-10年,"交互设计,UX设计师",1.2-1.6万,"简历提交时，需附带作品集（需重点展示交互设计作品） 【岗位职责】： 1.负责全平台界面设计工作，包括业务理解、交互设计、视觉设计等；根据产品需求和对业务流程的理解，有效地产出具有优秀用户体验的视觉交互设计方案 2.参与整个需求的讨论，并从设计角度给出专业意见，跟进从产品到设计、研发到走查的全流程，跟踪产品效果、保障最终设计质量 【任职要求】： 1.设计相关专业,五年以上UI/UX设计经验，熟悉we...",人力资源服务,http://jobs.zhaopin.com/CC158905110J40765774809.htm,100-299人,2026-01-07 15:02:48
UI设计师,重庆,中国电信重庆分公司,本科,3-5年,视觉设计,1-1.5万,大数据和AI中心岗位职责：1. 根据各种业务线的用户群，提出构思新颖、有高度吸引力的设计提案。2. 对互联网应用产品的人机交互方面有自己的理解和认识。 3. 在必要情况下可以给予更多支持（根据所会能力而定，如建模、演示文档设计、品牌设计、物料设计等）。任职要求：1. 精通设计工具 C4D、Figma、Sketch，AE，Final Cut等；2. 了解设计趋势，具有专业审美能力，精通色彩搭配、排版...,通信/网络设备,http://jobs.zhaopin.com/CC203258710J40317528110.htm,500-999人,2025-12-12 00:12:22
平面设计师,重庆,中恩国际文化发展有限公司,本科,5-10年,"方案设计,广告设计,包装设计,PS,CDR,CAD",7000-14000元,岗位职责：1.负责公关活动的KV及延展设计，包括但不限于线上线下延展物料、创意海报等；2.基于客户的项目要求，组织实施项目设计策划中的创意工作和理念传达；3.深刻理解项目需求中的创意和设计，输出平面创意作品；4.结合客户提供的信息，配合项目及策划团队，整合、修改，完善提案；5.根据工作中遇到的各种问题总结归纳并提出合理的可行性建议。 任职要求：1.美术、广告、视觉传达等相关专业，熟悉广告公关行业，...,会议/展览,http://jobs.zhaopin.com/CC605326080J40801983814.htm,20-99人,2025-09-11 17:13:20
资深平面设计师【双休--光电园】,重庆,重庆堡食空间餐饮管理有限公司,大专,5-10年,"PS,AI",9000-13000元,【岗位职责】：1.负责品牌视觉体系搭建，包括但不限于品牌VI、宣传物料、包装设计、线上线下活动视觉等:2.独立完成插画创作，结合品牌调性输出原创插画，动态插画、形象设计等:3.参与营销活动视觉策划，提供创意方案并落地执行(如包装物料、主视觉海报、社交媒体配图等):4.配合团队完成产品上新相关印刷品设计、线上视觉优化等综合性设计需求:5.关注设计趋势，持续优化设计质量，推动品牌视觉升级。【任职要求】...,餐饮服务,http://jobs.zhaopin.com/CCL1431023430J40912889015.htm,500-999人,2025-12-26 15:13:59
前端开发（会UI设计）,重庆,软通动力信息技术(集团)股份有限公司,大专,5-10年,"GIS/地图项目,大屏/可视化项目,JavaScript,Vue,uni-app,Node.js,Echarts,UI",1.1-1.3万,岗位职责：1. 负责前端页面的开发与维护，确保兼容各种浏览器；2. 根据产品需求，与团队合作，完成高质量的编码工作；3. 参与前端技术研究，推动前端技术的创新与优化；4. 负责UI设计，确保设计质量和用户体验；5. 解决各种浏览器的兼容性问题。任职要求：1. 具备良好的前端开发技能，熟悉HTML/CSS/JavaScript等前端开发技术；2. 能够独立完成UI设计工作，具有良好的审美观和创新能力...,互联网,http://jobs.zhaopin.com/CC000544460J40774519016.htm,10000人以上,2025-11-18 14:27:02
UI设计师（物联网/机器人/车企经验、产品经验）,重庆,七腾机器人有限公司,本科,5-10年,"界面设计,交互设计,网页端,移动端,PS,AI,Sketch,大屏,数字孪生,机器人",9000-12000元,岗位职责：1. 协助完成机器人监管平台的需求调研、业务流程梳理及功能原型设计，输出标准化产品文档。2. 负责公司Web端、移动端APP、小程序等产品的整体视觉风格定义、高保真界面设计及视觉规范制定。3. 创建并迭代产品设计系统，包括组件库、样式指南，确保多产品线设计语言的一致性与高效协作。4. 主动研究行业设计趋势、竞品动态和新兴设计模式，并能将优秀实践有理有据地应用于实际项目。任职要求：1. 本...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40819140101.htm,500-999人,2026-01-07 15:58:10
ux设计师兼产品经理,重庆,智博融资租赁(深圳)有限公司,本科,3-5年,"交互设计,界面设计,Axure",1-1.2万,岗位职责1、负责 Web、移动 App、后台管理系统等产品的 UI 和 UX 的设计工作，包括视觉风格、界面布局、交互细节等；2、参与产品需求讨论，结合用户体验提出合理的界面结构、信息架构和交互设计方案；3、输出高质量的原型图、流程图、视觉稿、设计规范等设计文档；4、与产品经理、前端开发、研发团队紧密合作，推动设计方案高质量落地；5、根据用户反馈与数据表现，不断优化产品体验与视觉表现。任职要求1、...,投资/融资,http://jobs.zhaopin.com/CCL1450838020J40737244506.htm,500-999人,2026-01-07 01:15:34
用户体验设计师实习生+双休,重庆,重庆德合益供应链科技有限公司,大专,经验不限,,6000-12000元,岗位内容：1. 负责公司产品线上的UI设计工作，为全球用户提供优秀的产品使用体验；2. 执行公司相关的设计标准与流程，设计各类产品的UI界面，包括网站、APP、系统界面、宣传资料等；3. 及时提出并解决设计中遇到的问题，持续优化UI设计效果，提升用户体验。任职要求：1. 大专以上学历，过往工作经验不限，专业不限；2. 对用户体验有较好的理解和认识，了解市场流行趋势和变化，具有一定的数据分析能力；3...,计算机软件,http://jobs.zhaopin.com/CC432293710J40796967505.htm,20-99人,2026-01-07 01:11:10
ui设计工程师,重庆,重庆长江电工工业集团有限公司,本科,1-3年,"界面设计,交互设计,移动端,网页端,客户端,PS,AI,Sketch",7000-12000元,具备能力：根据需求对公司信息系统的PC、web端进行设计和优化，管理和制定UI规范。 1、有2年以上信息系统、互联网产品等领域的UI设计经验（移动端和Web端）； 2、能熟练运用Sketch、PS、AI、C4D等相关软件，有扎实的UI和平面设计功底，需展示比较完整的设计案例；其它：1年以上UI设计经验。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC203234910J40834287902.htm,1000-9999人,2025-12-19 13:12:30
平面设计（汽车类）,重庆,重庆四季卓熠文化传媒有限公司,大专,3-5年,VI设计,8000-12000元,1、负责公司项目广告设计及视觉呈现的创意与执行;2、参与创意策略讨论，为营销推广提供专业视觉建议:3、配合团队完成项目进度，确保设计在各类媒介上的呈现效果达到最佳。任职要求:1、大专及以上学历，具备3年以上汽车广告设计相关工作经验;2、精通Photoshop、lllustrator、After Effects等设计软件，会动效者优先;3、拥有敏锐的审美观和创新能力，对设计趋势有深刻理解;4、能够使...,广告/营销,http://jobs.zhaopin.com/CC508015180J40907732615.htm,20-99人,2025-12-03 12:11:42
平面设计师,重庆,重庆雷玛科技有限公司,大专,5-10年,电商设计,6000-12000元,"职位描述 1、负责产品的图片的处理，精修，美化等、以及配合运营活动页面、海报推广图设计等； 2、辅助公司产品拍摄构图，场景搭建和平面创意拍摄，以及品牌产品图库整理和规范； 3、负责相关产品的包装设计、说明书、宣传册 易拉宝等； 4、负责制作公司产品，公司企业文化宣发以及其他视觉相关的图片及视频。 任职要求 1、有较强的美术功底和出色的网页平面设计审美功力,对美具有敏锐的洞察力; 2、从事过电商行业...",专业技术服务,http://jobs.zhaopin.com/CCL1486991830J40889760015.htm,20-99人,2025-10-14 13:31:00
ui设计工程师,重庆,中电智安科技有限公司,本科,3-5年,UI设计,7000-11000元,一、职位描述1.精通Photoshop、illusreator、flash等图形软件的，html、Dreamweaver等网页制作工具，能独立完成静态网页设计工作，熟悉html，css，javascript，Ajax；2.对通用类软件或互联网应用产品的人机交互方面有自己的理解和认识；3.具备良好的审美能力，深厚的美术功底，有较强的平面设计和网页设计能力；优秀的创新思维能力，较好的宏观规划能力和严密...,通信/网络设备,http://jobs.zhaopin.com/CC269568518J00302237504.htm,500-999人,2025-08-12 15:55:55
视觉设计师,重庆,重庆新政媒网络科技有限公司,本科,5-10年,"视觉设计,设计师,品牌设计,VI设计,广告设计,标识导视设计",9000-11000元·13薪,岗位内容：1. 根据项目需求，制定公司品牌视觉标识体系，提升企业品牌形象；2. 负责各种平面设计、包装设计、VI设计及各类应用、互动新媒体设计等工作；3. 参与公司宣传渠道的规划、策划及实施、通过创新的设计语言，为产品及公司形象塑造建立更具竞争力的视觉形象。任职要求：1. 本科及以上学历，平面设计或者相关专业，5年以上品牌设计工作经验；2. 对于品牌推广，视觉形象设计以及与用户交互体验有很深的理解...,新媒体,http://jobs.zhaopin.com/CCL1493599410J40838971515.htm,20-99人,2025-05-07 09:12:43
网页设计师助理,重庆,深圳领境教育科技有限公司,学历不限,经验不限,,5000-10000元,岗位内容：1. 负责网站、APP等UI设计，改进和完善之前的设计，提升用户体验度。2. 根据运营需求，制定设计风格，规划视觉统一性。3. 持续关注行业的市场动态和新趋势，总结并应用到网页和产品之中。4. 与前端开发人员、产品经理进行紧密沟通，持续增强产品的用户友好性。任职要求：1. 熟练掌握Photoshop、Sketch等设计工具，能够独立完成设计任务。2. 具备良好的审美观和设计能力，熟悉常见...,新媒体,http://jobs.zhaopin.com/CCL1508941400J40849776313.htm,20人以下,2026-01-12 01:36:06
web前端页面设计助理,重庆,重庆德合益供应链科技有限公司,大专,经验不限,,7000-10000元,岗位内容：1、负责前端网页的设计与开发；2、配合程序员做好H5网页制作；3. 协调需求，与其他团队成员进行有效沟通和协作。任职要求：1. 大专以上学历，计算机相关专业优先；2. 不限过往工作经验，可接受应届生，学习能力及可塑性强；3. 擅长和团队合作，具备很好的沟通和协调能力。福利待遇：综合收入6000-10000元+五险一金，周末双休，带薪休假。,计算机软件,http://jobs.zhaopin.com/CC432293710J40837620405.htm,20-99人,2026-01-12 01:12:58
