职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品总监（底料、调味品）,重庆,重庆汇香园食品科技有限公司,本科,5-10年,"火锅底料,复合调味料",15-25万,岗位职责：1、根据品牌策略和市场洞察，负责公司火锅底料相关产品的挖掘与开发；2、根据市场动向，挖掘品牌调性并执行落地；3、联动相关部门共同完成产品开发目标，并确保产品顺利上市，推动销售目标达成；4、负责所开发产品的全生命周期管理及问题解决；5、负责定期梳理产品结构、利润结构，协同各部优化产品矩阵； 任职资格： 1、本科及以上学历，食品类同行业相关工作经验不少于5年； 2、有过往成功开发同类型产品的...,农副产品加工制造,http://jobs.zhaopin.com/CCL1486725840J40789249205.htm,20-99人,2026-01-08 01:12:11
董事长助理,重庆,有友食品,本科,5-10年,"上市公司,全面经营管理",5-8万,一、主要职责： 1、在董事长授权范围内开展相关工作，对董事长负责并报告工作； 2、负责编制公司发展战略，并根据董事会批准的战略目标拟订实施计划与方案；3、主导公司经营管理团队建设，按照上市公司治理要求，规范内部管理并强化执行，全面达成董事会批准的年度经营目标；4、推进公司品牌发展战略和企业文化建设相关工作，塑造良好企业品牌形象；5、处理公司重大突发事件。 二、任职要求：1、本科及以上学历，专业不限...,快速消费品,http://jobs.zhaopin.com/CC193270420J40661772306.htm,1000-9999人,2025-06-06 00:06:42
销售助理,重庆,重庆肖恩医疗设备有限公司,大专,经验不限,"标书制作,office",5.5-7.5万,工作内容： 1、招投标工作的编写； 2、上下游客户的资料对接； 3、设备及器械的安装交付、验收等相关工作； 4、销售台账的整理： 5、应收款的整理催收； 6、上级领导安排的其他工作。 技能要求： 1、熟练掌握办公软件 熟练运用Ps 2、认同医疗行业的发展 3、认同企业文化和公司制度 4、 持有汽车C1驾驶证个人要求： 1、具有较强的学习能力 2、具有稳定性 3、具有强烈的就职意望 4、 具有生活积...,医疗设备/器械,http://jobs.zhaopin.com/CCL1389590420J40232636806.htm,20人以下,2025-12-03 09:22:24
高级液压产品开发工程师,重庆,中船重庆液压机电有限公司,硕士,5-10年,"液压设计,液压系统设计,液压系统,液压设备,液压元器件",2.5-5万,岗位内容：1. 负责公司高端液压产品的设计、研发工作。2. 负责公司科研项目的实施。3. 参与对新技术、新材料的研究和开发，为公司产品提供技术支持。4. 协同相关部门推动研发产品的市场推广。任职要求：1. 机械工程或液压与气动相关专业，有液压系统设计和维护经验者优先，并且在工作中表现出良好的工作素质和能力；2. 熟悉液压系统的基础理论、操作流程及相关原理，掌握AutoCAD等设计软件；3. 具备较...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1485478590J40571196106.htm,500-999人,2026-01-11 01:13:10
医学学术经理/产品经理,重庆,重庆博冠医药有限公司,大专,3-5年,"医药制造,医药批发/零售,医院,儿科,神经内科,处方药,精神科,中医科,脑科,学术推广",2.5-5万,学术经理/产品经理 岗位职责：1、负责目标区域市场活动的策划、实施及协调工作，有临床药品（儿科/神内领域尤佳）推广经验，对独立统筹并落地省级学术会议，利用地区性学术会议平台积极宣传公司和产品；2、精通市场运营策划及管理，定期制定、收集市场各项报表，并对其分析及总结后提供可行性的市场策划方案，落地执行并监督、剖析、调整至公司整体上量措施，为企业可持续发展提供长期有效的支持；3、年龄45岁以下，对学术...,医药制造,http://jobs.zhaopin.com/CC313746230J40701046702.htm,100-299人,2026-01-09 15:49:33
产品策划总监,重庆,东方鑫源集团有限公司,本科,10年以上,,3.5-5万,职能职责：1、战略与方向把控：承接公司整体产品战略，牵头制定部门中长期车型规划，明确各车型产品定位、核心卖点及上市节奏，确保部门工作与公司战略同频；2、资源与跨部门统筹，保障策划方案顺利推进；3、风险与质量管控：牵头审核重要车型的产品策划方案，从合规性、市场竞争力、成本可控性等维度把控风险，同时定期复盘已上市车型的市场反馈，优化后续策划逻辑；4、团队与人才建设：搭建部门人才梯队，制定核心成员培养计...,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40806461211.htm,10000人以上,2026-01-07 01:30:49
SQE工程师/主任工程师/工程师/助理工程师,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"质量体系工程师,供应商质量工程师,新能源汽车 汽车零部件,汽车主机厂,SQE工程师 主任工程师,新能源汽车,乘用车,四轮车",2.5-5万,工作职责1、负责潜在供应商考察/准入审核；2、负责Q-SOR/工业化基线编制维护、数据审核、设计方案制造可行性评审；3、负责推荐供应商质量可采购性评估、工业化要求评审，输出评审意见；4、负责零部件定点后APQP、PPAP开发工作，推动零部件高质量开发及问题解决；5、负责供应商过程管控、飞行审核，主导“4M1E”变更，推动供应商质量持续提升；6、牵头量产QR、市场零部件质量问题解决，给出断点信息，验...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40896215815.htm,1000-9999人,2025-10-17 13:35:57
高级合伙人助理（业务开发方向）,重庆,上海锦天城(重庆)律师事务所,本科,经验不限,"诉讼,非诉讼,律师事务所,法院,律师执业证,A类法律职业资格证",3-5万,高级合伙人助理（业务开发方向） 薪酬待遇： 3W-5W岗位职责：1、关注法律行业市场动态，了解行业相关领域的市场需求，结合行业发展趋势，协助或主导团队中长期业务拓展，通过多渠道主动寻求开拓高端客户资源；2、建立并维护与关键客户长期、稳定的深度合作关系，洞察客户的多元化需求，提升服务质量与客户满意度；3、能独立或陪同团队高级合伙人进行高水平的商务接待、拜访、洽谈，能够清晰阐述团队的专业优势和价值主张...,互联网,http://jobs.zhaopin.com/CC447814420J40716003806.htm,100-299人,2025-09-16 00:00:02
高级产品推广/市场学术经理,重庆,重庆博冠医药有限公司,本科,3-5年,"医药批发/零售,中成药,儿科药,医院,经销商,儿科,神经内科,精神科,中医科,脑科,儿保科,学术推广",2.5-4.5万,岗位职责：1.做好全国的学术培训工作，负责对接全国儿童精神领域大专家，统筹规划并组织开展学术会议，以及各省份直营团队、经销商的市场推广沟通和对接、市场方案的制度执行与传递，充分利用公司给予的学术支持资源；2. 负责收集反馈分析整理市场信息（包括竞品信息），了解客户需求，研究产品市场特点结合产品营销策略，策划、组织、落地产品营销策略及学术项目。3. 熟练设计专家PPT课件内容为产品发声，经营KOL网...,医药制造,http://jobs.zhaopin.com/CC313746230J40754623002.htm,100-299人,2026-01-09 15:49:32
空气环境产品开发经理,重庆,理工清科(重庆)先进材料研究院有限公司,本科,3-5年,"空气净化材料,产品开发",2.5-4.5万,职位定位：负责将公司已有的空气净化，以及除湿材料优势转化为设备或系统产品，统筹研发、工艺设计、设备开发与产业化落地，推动材料到产品的完整链条。 主要职责： 1.产品开发：基于公司净化与除湿材料，设计和开发空气净化设备、除湿模块及复合型系统产品。 2.工艺设计与优化：负责设备工艺流程设计，提升产品性能、稳定性与能效。 3.技术集成：整合滤芯、风机、管路、控制系统等模块，形成完整的空气环境解决方案。 ...,学术/科研,http://jobs.zhaopin.com/CCL1405507520J40864598303.htm,20-99人,2026-01-05 01:07:17
