职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
产品总监（底料、调味品）,重庆,重庆汇香园食品科技有限公司,本科,5-10年,"火锅底料,复合调味料",15-25万,岗位职责：1、根据品牌策略和市场洞察，负责公司火锅底料相关产品的挖掘与开发；2、根据市场动向，挖掘品牌调性并执行落地；3、联动相关部门共同完成产品开发目标，并确保产品顺利上市，推动销售目标达成；4、负责所开发产品的全生命周期管理及问题解决；5、负责定期梳理产品结构、利润结构，协同各部优化产品矩阵； 任职资格： 1、本科及以上学历，食品类同行业相关工作经验不少于5年； 2、有过往成功开发同类型产品的...,农副产品加工制造,http://jobs.zhaopin.com/CCL1486725840J40789249205.htm,20-99人,2026-01-08 01:12:11
华为系流程管理变革专家（IPD、ISC、IPMS、数字化等方向）,重庆,悦汇(天津)咨询有限公司,本科,10年以上,"IPD,ISC,IPMS,流程变革,流程管理",5-10万,作为专家进入公司业务流程变革项目组，主要负责供应链/研发/销售公司流程重构、流程运营、内控管理、PCT重量级团队打造，具体如下：1、流程重构：指导和辅助业务部门规划、开发L2-L5业务流程，建立所辖流程开发体系；2、流程运营：负责指导和辅助业务部门推行、建立所辖业务流程运营体系，定期进行流程诊断，推进解决业务痛难点，熟悉流程成熟度评价模型；3、内控管理：熟悉内控管理机制，开展CT、PR、SACA评...,咨询服务,http://jobs.zhaopin.com/CC882110990J40788670014.htm,10000人以上,2025-12-30 14:02:28
医学学术经理/产品经理,重庆,重庆博冠医药有限公司,大专,3-5年,"医药制造,医药批发/零售,医院,儿科,神经内科,处方药,精神科,中医科,脑科,学术推广",2.5-5万,学术经理/产品经理 岗位职责：1、负责目标区域市场活动的策划、实施及协调工作，有临床药品（儿科/神内领域尤佳）推广经验，对独立统筹并落地省级学术会议，利用地区性学术会议平台积极宣传公司和产品；2、精通市场运营策划及管理，定期制定、收集市场各项报表，并对其分析及总结后提供可行性的市场策划方案，落地执行并监督、剖析、调整至公司整体上量措施，为企业可持续发展提供长期有效的支持；3、年龄45岁以下，对学术...,医药制造,http://jobs.zhaopin.com/CC313746230J40701046702.htm,100-299人,2026-01-09 15:49:33
产品策划总监,重庆,东方鑫源集团有限公司,本科,10年以上,,3.5-5万,职能职责：1、战略与方向把控：承接公司整体产品战略，牵头制定部门中长期车型规划，明确各车型产品定位、核心卖点及上市节奏，确保部门工作与公司战略同频；2、资源与跨部门统筹，保障策划方案顺利推进；3、风险与质量管控：牵头审核重要车型的产品策划方案，从合规性、市场竞争力、成本可控性等维度把控风险，同时定期复盘已上市车型的市场反馈，优化后续策划逻辑；4、团队与人才建设：搭建部门人才梯队，制定核心成员培养计...,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40806461211.htm,10000人以上,2026-01-07 01:30:49
供应链项目管理/供应链数字化建设/供应链体系管理,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"供应链体系管理工程师,3年以上制造业采购工作经验,熟悉汽车板块供应商资源,了解整车开发全流程",2.5-5万,一、供应链项目管理工程师负责制定项目方案（含项目计划、APQP计划），组织供应链各部门及产品线评审、实施；负责项目进度监控及风险识别、信息汇总、升级处理闭环，跨单位/部门横向纵向沟通协调，项目阀点资料收集、评审、签批、提交；负责制定采购订单策略、报批、调整。本科及以上；机械制造设计、汽车行业等专业相关；3年以上主机厂供应商质量、开发、项目工作相关经验；熟悉汽车主机厂项目的策划、分解、推进、集成、汇...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40896228015.htm,1000-9999人,2025-12-24 10:07:45
空调/净化设备产品经理(J10113),重庆,再升科技,本科,5-10年,"硬件产品,技术攻坚,产品迭代,无尘空调",2-4万,工作职责1、战略产品规划建立用户需求洞察体系（数据分析+深度访谈+实地验证），精准定位移动无尘空间、固定无尘空间场景需求。2、主导产品升级迭代确保实现「四维突破」：外观设计｜能效比｜品控标准｜成本优势。3、技术攻坚突破领导跨职能团队（工业设计/空气动力学/控制开发）攻克三大技术融合，极简美学与结构工程的平衡、空气流场仿真与降噪技术、智能控制算法优化。3、构建三级品控体系（零部件/模组/整机），实现...,非金属矿物制品业,http://jobs.zhaopin.com/CC296051510J40844629203.htm,1000-9999人,2026-01-06 15:52:41
生态/商业模式创新负责人,重庆,重庆通用人工智能研究院,本科,5-10年,AI产品,2-4万·15薪,岗位职责：1、制定生态合作战略，负责200家生态伙伴网络的顶层设计、分级管理与活性提升。2、主导设计并落地创新的商业模式，如联合研发、SaaS订阅、绩效付费等，确保资金杠杆比率KPI达成。3、拓展并维护与战略级、核心级伙伴（包括顶尖解决方案商、投资机构等）的高层关系。4、洞察行业痛点，提出具有前瞻性的生态合作模式和价值分配机制，提升联合中标项目金额占比。5、指导团队完成企业孵化与引进的生态对接工作...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40909252708.htm,20-99人,2026-01-01 01:20:44
自有品牌产品负责人（生物行业+股权激励）,重庆,重庆华雅思创生物医药科技有限公司,博士,3-5年,"国内市场,肿瘤免疫,基因编辑,产品商业化,分子诊断,带团队,CRISPR,CAR-T,IPSC",2.5-4万,核心职责1、领导公司自有品牌战略落地的产品线矩阵开发；2、推动自有品牌从技术研发到商业化落地的全流程；3、深度参与行业学术活动，建立专家网络，提升品牌技术权威性；必备条件1、技术背景：肿瘤、免疫、长寿及基因编辑领域，博士期间发表过肿瘤/免疫/基因编辑领域高水平论文（IF≥10或专业顶刊）；2、熟悉CRISPR、CAR-T、iPSCs、液体活检等前沿技术路线，深入理解市场和产业化逻辑（必需项）；3、...,专业技术服务,http://jobs.zhaopin.com/CCL1308514140J40782004902.htm,20-99人,2025-07-29 10:52:40
产品规划专员,重庆,天津尘时科技有限责任公司,本科,5-10年,,2.3-3.5万,1.联动市场研究和用户研究部门，收集潜在产品机会(如细分市场新品类、用户未满足的痛点需求、政策驱动的新车型)，梳理机会清单。2.根据机会清单，明确核心技术需求，联动研发技术部门，结合公司现有研发能力、供应链体系、生产制造工艺，判断是否具备落地条件;若存在技术缺口，评估外部合作(如技术引进、联合研发)或自主攻关的可行性与周期。输出可行性论证报告，为公司高层领导决策提供支撑。3.负麦总结沉淀新产品机会...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40854067413.htm,500-999人,2026-01-07 13:16:27
产品策划部长,重庆,东方鑫源集团有限公司,本科,5-10年,,2.6-3.5万·13薪,岗位职责：1、负责产品战略规划、策划工作以及在产产品优化工作，履行产品全生命周期管理职能2、全面统筹全部门产品规划、策划、生命周期管理工作及市场分析研究等相关工作3、负责牵头制定部门工作计划及监督各个项目的推进情况4、完善、改进内部工作流程及方法任职要求：本科以上学历具备8年以上SUV、轻型商用车等产品规划项目经验,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40806460911.htm,10000人以上,2026-01-07 01:30:49
航天智能软件产品经理,重庆,重庆航天火箭电子技术有限公司,硕士,3-5年,,2-3.5万,1.硕士研究生及以上学历。 2.具有3年以上智能软件开发相关工作经验，主导至少2个航天智能或体系作战项目。3.熟练使用Axure/Xmind等工具，有较好的用户交互设计能力。4.深入理解人工智能技术，特别是大模型以及智能体的应用场景。,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC399395110J40713866903.htm,500-999人,2025-11-25 08:49:00
AI产品经理,重庆,浙江中天数算科技有限公司,本科,5-10年,"大模型,AIGC",1.5-3万,公司简介我们是一家专注于算力贸易、建设及运营的算力服务企业，公司致力于为人工智能、科学研究、图形渲染等领域提供高效、可靠的算力解决方案。现AI产业快速 发展，诚邀一位兼具产品思维与项目管理能力的精英加入，共同开拓算力市场。岗位职责1、需求挖掘与产品定义： 深入对接前端客户，精准理解并分析客户在算力、异构计算等方面的业务需求，将其转化为清晰的产品需求、用户故事和原型设计。2、产品方案与Demo演示：...,云计算/大数据,http://jobs.zhaopin.com/CCL1500426490J40822646610.htm,20-99人,2026-01-11 01:25:37
APS产品经理,重庆,软通动力信息技术(集团)股份有限公司,本科,5-10年,,2-3万,岗位职责：负责企业级 APS（Advanced Planning and Scheduling，高级计划与排程）产品 的全生命周期管理，包括市场调研、需求分析、功能规划、版本迭代与落地交付；深入理解制造、供应链或物流行业的计划排程业务场景（如主生产计划 MPS、详细排程 DS、有限产能排程 FCS、多工厂协同、订单承诺 ATP 等），将客户痛点转化为可落地的产品方案；与运筹优化算法团队紧密协作，定...,互联网,http://jobs.zhaopin.com/CC000544460J40783662416.htm,10000人以上,2026-01-09 01:46:25
产品经理（成都工作）,重庆,千禾味业,本科,5-10年,"C端产品,产品生命周期管理,产品开发,产品上市推广,调味品,母婴产品",2-3万·13薪,岗位职责：1、负责深入研究食品市场趋势、消费者喜好及竞品情况，结合公司发展战略，制定长期品类规划、优化现有产品体系、寻找新的产品机会。2、负责与研发端、运营端和营销端等协同，推动新产品的规划、设计、研发、测试、上市和推广等工作。3、负责对产品上市的全生命周期管理，包括产品的改进、产品线延伸、包装升级、淘汰方案等工作。任职要求：1、本科及以上学历，市场营销、食品科学或相关专业背景优先。2、大型快消品...,快速消费品,http://jobs.zhaopin.com/CC339677710J40846121613.htm,1000-9999人,2026-01-08 15:14:44
