职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
流量增值业务总监,重庆,大龙网,本科,10年以上,"toB,toC,用户运营,产品运营",5-7万,【工作职责】1、负责公司流量增值服务平台的运营及营销推广团队管理，KPI考核体系、激励体系的制定并监督执行，成功实现业务复制；2、负责公司增值服务平台的营销战略规划、流量运营规划、营销渠道公关及建设等工作，塑造公司平台在海外的品牌形象，提升平台品牌在用户中的认知度与美誉度，对流量、用户量及营销投入产出效果负责； 3、负责主流营销渠道的算法研究、规则研究和效果研究，总结并提升投资回报，建立科学的营销...,互联网,http://jobs.zhaopin.com/CC341272510J40805451608.htm,500-999人,2025-09-30 13:56:57
集团职能总部-流程管理专家（IPD）(J17276),重庆,赛力斯集团股份有限公司,本科,10年以上,IPD,3-6万·16薪,岗位职责:1、主导IPD流程（涵盖产品规划、研发、市场、外包、操盘等）的规划、设计、建设、试点及持续优化；2、策划并主导IPD变革项目，制定实施方案，协调跨部门资源确保落地，设计流程监控机制（如绩效评估、数据分析），确保流程执行质量；3、拉通IPD与其他业务域（如LTC、供应链）的接口，确保端到端流程高效协同；4、开发IPD培训课程，对业务部门进行流程方法论、工具赋能，提升组织流程意识；制定变革宣...,汽车研发/制造,http://jobs.zhaopin.com/CC465219810J40865619203.htm,10000人以上,2025-12-23 16:59:25
经营管理部部长（整车行业）,重庆,重庆臻果优业商业管理有限公司,本科,5-10年,,3-4.5万,运营部长岗位职责：1、协助制定公司的年度经营计划，并推动实施；2、负责组织和协调各部门进行月度经营分析，确保公司运营目标的达成；3、参与重要事项的决策，协助领导处理日常管理事务；4、负责跨部门项目的管理和协调，确保项目按时高质量完成；5、定期向总经理汇报工作进展，提出改进建议。岗位要求：1、本科及以上学历，管理类相关专业优先；2、具有5年以上汽车企业管理或相关工作经验；3、具备较强的组织协调能力和...,人力资源服务,http://jobs.zhaopin.com/CC839541400J40811773905.htm,20-99人,2025-09-11 16:06:23
空调/净化设备产品经理(J10113),重庆,再升科技,本科,5-10年,"硬件产品,技术攻坚,产品迭代,无尘空调",2-4万,工作职责1、战略产品规划建立用户需求洞察体系（数据分析+深度访谈+实地验证），精准定位移动无尘空间、固定无尘空间场景需求。2、主导产品升级迭代确保实现「四维突破」：外观设计｜能效比｜品控标准｜成本优势。3、技术攻坚突破领导跨职能团队（工业设计/空气动力学/控制开发）攻克三大技术融合，极简美学与结构工程的平衡、空气流场仿真与降噪技术、智能控制算法优化。3、构建三级品控体系（零部件/模组/整机），实现...,非金属矿物制品业,http://jobs.zhaopin.com/CC296051510J40844629203.htm,1000-9999人,2026-01-06 15:52:41
渠道运营高级经理/渠道运营经理,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"销售运营,汽车行业渠道运营管理",2.5-4万,职位描述1、负责建立零标运营体系的搭建与管理。2、负责对门店的分层分级管理与运用，建立低效店、无效店预警运营机制。3、负责人员配置、车辆配置、店面硬件的运营管理，协同管理SOP流程4、网络汰换机制等渠道运营体系搭建5、负责商务政策的整体结算，门店0容忍管理、经销商满意度管理等职位要求本科及以上学历，市场营销、汽车工程、工商管理等相关专业优先；5年以上汽车行业渠道运营管理岗经验；有主机厂总部渠道运营...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40907527815.htm,1000-9999人,2025-12-02 14:17:11
销售运营经理（提供客户资源-双休）,重庆,芜湖保成企业管理咨询有限公司,大专,经验不限,"渠道销售,销售管理,团队管理",1.9-3.5万,【福利待遇】培训津贴、岗位津贴、完善奖金制度、团建活动、定期培训【工作时间】周一至周五，09:00-18:00法定节假日，不加班，双休【行业优势】根据国家统计局数据，到2035年，中国60岁以上人口将超过4亿，进入重度老龄化社会。银发经济市场潜力巨大，预计到2050年，老年人口消费总量将占中国GDP的21%。新一代中老年人群教育水平普遍较高，他们在退休后更重视生活质量和社交活动，愿意为自己兴趣和爱...,人力资源服务,http://jobs.zhaopin.com/CCL1472173870J40841973213.htm,20-99人,2025-11-14 11:21:06
产品经理（成都工作）,重庆,千禾味业,本科,5-10年,"C端产品,产品生命周期管理,产品开发,产品上市推广,调味品,母婴产品",2-3万·13薪,岗位职责：1、负责深入研究食品市场趋势、消费者喜好及竞品情况，结合公司发展战略，制定长期品类规划、优化现有产品体系、寻找新的产品机会。2、负责与研发端、运营端和营销端等协同，推动新产品的规划、设计、研发、测试、上市和推广等工作。3、负责对产品上市的全生命周期管理，包括产品的改进、产品线延伸、包装升级、淘汰方案等工作。任职要求：1、本科及以上学历，市场营销、食品科学或相关专业背景优先。2、大型快消品...,快速消费品,http://jobs.zhaopin.com/CC339677710J40846121613.htm,1000-9999人,2026-01-08 15:14:44
高级产品经理,重庆,云测数联(重庆)科技有限公司,本科,5-10年,软件产品,2-3万,岗位职责：1. 调研、挖掘用户需求及业务需求，独立完成产品功能规划和设计；2. 产品流程梳理，输出产品原型图，产品需求文档等产品资料；3. 推进产品开发进度，并协调UI、开发、运营等资源，确保产品按计划开发并发布；4. 产品全生命周期管理，收集并分析用户意见反馈，再次挖掘用户需求，不断迭代产品；5. 参与产品运营，跟踪产品运营数据；6. 协助产品推广及培训相关工作。 任职要求：1.本科毕业，5年以...,互联网,http://jobs.zhaopin.com/CCL1394599500J40810064607.htm,100-299人,2026-01-05 19:12:13
平安社区金融运营主管（保险金融行业）/正编岗位,重庆,中国平安人寿保险股份有限公司重庆分公司2,大专,5-10年,销售运营,2.5-3万,社区网格区域主任4.1 岗位职责：1) 负责区域内专员的管理、培训、经营指标督导等；区域内新老客户提供答谢会组织安排，提供客户满意的售后服务等；2) 负责总分公司相关政策落地执行，制定业务拓展规划，并按计划开展业务，督导专员完成客户信息搜集、问题解决等；3) 接受公司系统的培训学习，通过专业知识技能学习，不断提升自身管理能力，独立完成组织内专员管理；4.2 任职要求：年龄：28-45 岁学历：大专...,保险,http://jobs.zhaopin.com/CCL1487620300J40864290404.htm,1000-9999人,2025-12-05 18:18:41
重庆外企综合管理,重庆,上海祝君臻人力资源有限公司,大专,1-3年,早九晚5,1.5-3万·14薪,任职要求：1、年龄要求26-48周岁，男女不限2、大专学历及以上（学信网可查）3、在重庆本地有两年以上工作经验 岗位职责： 1、穿戴整齐干净 2、部门对接工作，监督业绩考核 3、组织公司内部会议，做好会议记录并跟进执行情况。 4、协助制定公司规章制度，推动行政制度落地执行。 5、性格外向，吃苦耐劳；职业素养良好，领悟力强；擅沟通协调。 工作时间：9:00-17:00 周末双休 法定节假日休,人力资源服务,http://jobs.zhaopin.com/CCL1501921150J40810271301.htm,1000-9999人,2025-12-01 10:22:37
