职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
股票投资顾问,重庆,重庆皮克特互联网信息服务有限公司,大专,经验不限,"股票市场,技术面分析",2-4万,岗位职责：1. 每日撰写一篇股票复盘文章，要求对股票市场有深入理解2. 分析股票市场的情绪周期3. 理解并分析龙头个股的市场表现岗位要求：1. 懂股票，有股票市场分析能力2. 懂得分析情绪周期对股票市场的影响3. 能够准确把握龙头个股的市场动态,互联网,http://jobs.zhaopin.com/CCL1499862990J40702847706.htm,20-99人,2025-12-24 01:15:18
全国有岗位（开发、测试、算法、数据分析等,重庆,外企德科数字技术有限公司,本科,经验不限,"C语言,Python,Java",1.9-3.5万·16薪,"岗位： C/C++，java，JS，python、Go等通用软件开发工程师，软件测试工程师（ 社招模式），各产品线各类语言开发岗位开放，只要你懂一门语言，就有合适的岗位! 工作稳定，工作内容相同（pl无差异分配任务）（机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟进可查, 一个部门不满意可转推不同部门）：工作：接触并开发核心业务代码，技术栈全面，技术牛人多...",专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40632910605.htm,100-299人,2026-01-12 00:24:20
机器人云数据分析研发经理,重庆,七腾机器人有限公司,本科,5-10年,"数据库开发,大数据开发,云端数据分析,拆解核心数据需求,分布式计算优化,高并发巡检数据处理",2-3.5万,岗位职责：1.负责云端数据分析团队的人员招聘、能力梯队建设（如数据开发骨干、建模专项人才培养）及绩效激励，制定团队技术成长计划2.深度联动防爆巡检车和机器人业务端（研发、运维、产品），拆解核心数据需求：如 SLAM 导航精度优化、设备故障预测、防爆环境风险监控、巡检效率提升等；3.负责巡检车和机器人云端数据体系架构规划，主导技术选型与难点突破：如大数据框架（Hadoop/Spark/Flink）的...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40818268301.htm,500-999人,2026-01-08 01:02:19
数据分析师（粉体/流体混合配料设备及产线）,重庆,重庆中承利璟环保机械设备有限公司,本科,经验不限,"数据建模,数据挖掘,Python,Sql,Matlab",1.5-2.5万,岗位职责1.负责粉体 / 流体混合配料设备及产线的全生命周期数据体系搭建，包括生产工艺数据（混合均匀度、配料精度、流量压力）、设备运行数据（电机转速、振动、温度、能耗）、物料特性数据（颗粒度、含水率、粘度）、环境数据（温湿度、气压）的采集、整理与标准化；2.与 AI 算法工程师深度协同，提供算法研发所需数据支撑，完成数据清洗、特征工程（如时序特征提取、多变量关联分析）、数据集构建与标注，保障算法训...,专用设备制造,http://jobs.zhaopin.com/CCL1487088090J40786840516.htm,20-99人,2026-01-12 08:59:00
数据分析师,重庆,重庆泓展建设工程咨询有限公司,本科,5-10年,"数据挖掘,数据建模",2-2.5万,岗位职责：1、制定并执行数据治理政策、标准和流程，确保数据治理在公司内得到有效实施；2、负责公司各类别原始数据（包括业务部门数据、财务、人事等）的收集和关联数据的抓取，进行整理、规范化预处理和常态管理，并通过统计分析方法解析数据，进行初步的维度分析，分析结果；3、通过数据分析，挖掘业务问题，对实际业务提出优化建议，并及时汇报公司领导；4、制定和执行数据安全策略，确保数据在存储、传输和使用过程中的安...,工程施工,http://jobs.zhaopin.com/CC316008810J40626843308.htm,100-299人,2024-07-30 18:20:46
股指期货操盘手（可异地线上）,重庆,广西极犇资本有限公司,学历不限,1-3年,"期货市场,股指期货,T0交易",1-2万,【岗位职责】1、研究分析国内股指期货即沪深300、中证500、中证1000和上证50指数的走势及规律，关注国内外资本市场，分析大盘行情和各种交易数据。2、每日进行复盘、交易总结、市场判断分析、资讯信息收集等工作。3、进行研究分析课题的数据收集等相关整理工作。4、独立操作公司股指期货账户，把握交易机会实现稳定盈利。5、严格遵守各项业务规章制度，严格风险控制，做好止盈止损。【岗位要求】1、国内股指期货...,证券/期货,http://jobs.zhaopin.com/CCL1386522980J40304978610.htm,20人以下,2026-01-10 01:28:22
专业型投资顾问,重庆,国信证券股份有限公司重庆分公司,本科,5-10年,"股票市场,投资分析,证券从业资格证,基金从业资格证,证券投资咨询资格证,期货从业资格证,投顾产品运营",1-2万,【岗位职责】 1.A股市场投研，市场资讯收集、整理，与观点输出。 2.组织开发分公司投资顾问产品，为客户提供投顾咨询服务。 3.通过专业能力助力前台展业和推动分公司投顾业务的发展。 4.部门内需协作的其它工作。 【任职要求】 1.本科及以上学历，研究生优先。 2.具有8年以上证券行业从业经历，其中至少5年专业投资顾问岗位经验。 3.具备基金从业资格、证券投资顾问资格、期货从业资格。 4.具备良好的...,证券/期货,http://jobs.zhaopin.com/CC214063180J40911689315.htm,10000人以上,2025-12-22 11:18:19
财经分析师,重庆,重庆皮克特互联网信息服务有限公司,学历不限,经验不限,"股票市场,基本面分析,证券从业资格证",1-2万,"任职要求1、年龄20~35, (可放宽)2、具备证券从业资格证优先；3、具备良好的沟通能力、逻辑表达能力及较强的文案功底 ；4、懂财经尤其是股票，喜欢财经这个行业。岗位职责1、负责跟进与收集财经实时热点，形成公众号文章内容的编辑素材；2、通过文字科普财经、股票、行业趋势、政策解读等3、打造公众号财经自媒体，知识付费创作者。岗位福利1、5000无责底薪+行业天花板提成；2、周末双休，超出法定节假日规...",互联网,http://jobs.zhaopin.com/CCL1499862990J40653069606.htm,20-99人,2025-12-13 01:15:00
A股短线操盘手（广西南宁）,重庆,广西极犇资本有限公司,本科,1-3年,"股票市场,投资分析,基本面分析,量化分析,Python",1-2万,岗位职责 1、管理和运作公司内部自有资金账户，负责公司账户的交易，达到获利的目标。 2、有效进行风险控制，解决交易中的问题，确保交易账户达到稳定盈利。 3、分析行情，做出每日交易计划。 4、定期对操作进行总结，不断完善交易系统。 5、定期进行课题数据分析，不断完善交易系统。 岗位要求 1、精准识别并A股二级交易市场中的强势领涨品种，把握核心主升趋势。 2、对市场热点、资金流向、板块轮动有高度敏感性...,证券/期货,http://jobs.zhaopin.com/CCL1386522980J40298175710.htm,20人以下,2026-01-08 01:25:24
数据分析工程师,重庆,中电智安科技有限公司,本科,3-5年,"数据建模,数据挖掘,Sql",1-2万,一、职位描述：1. 搭建并优化数据治理体系，制定数据标准、监控数据质量、管理数据血缘及安全；开展数据质量巡检与问题整改，梳理数据资产并建立资产目录；2. 设计开发ETL流程与数据处理管道；负责数据仓库的模型设计、维护及性能优化；完成数据源对接、数据采集、清洗与整合，提供高质量数据支撑；3. 搭建并应用数据分析模型，深入挖掘数据价值，定位业务问题与增长机会，为关键决策提供依据；4. 对接多部门转化业...,通信/网络设备,http://jobs.zhaopin.com/CC269568510J40732462616.htm,500-999人,2025-12-11 15:41:06
