职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
研发总监,重庆,青天伟业仪器仪表有限公司,本科,10年以上,"C语言,嵌入式技术,嵌入式硬件开发,嵌入式软件开发,结构设计",3-6万,岗位职责：1. 领导流量计研发部门，制定公司技术创新战略与研发规划；2. 负责新产品、新技术的研发工作，指导并推进项目执行；3. 优化研发流程，提升团队技术水平，确保研发质量与效率；4. 协调跨部门合作，确保研发成果满足市场需求并顺利转化。任职要求：1. 本科以上学历，博士优先，拥有十年以上丰富的研发管理经验，熟悉流量计行业相关技术；2. 深厚的专业背景，具备解决复杂技术问题的能力。,仪器仪表制造,http://jobs.zhaopin.com/CC458315210J40775173111.htm,100-299人,2026-01-10 01:32:15
AI应用工程师（集团总部）,重庆,欧菲斯集团股份有限公司,本科,1-3年,,3-6万·13薪,我们正在寻找一位能“听懂业务、动手做事”的AI智能体开发专家。您的使命不是搭建聊天机器人，而是构建真正能代替人完成任务的自主AI智能体。您将作为公司AI智能体体系的核心建设者，深入理解业务流程，从0到1设计并落地高价值智能体。初期重点攻坚两大场景：采购智能体、内部知识库智能体。长期目标是系统性解放重复性人力，让员工专注创造性工作。 核心职责：1、业务需求转化官：深入各业务部门，一起找出“最值得让A...,零售/批发,http://jobs.zhaopin.com/CC667064920J40902548108.htm,1000-9999人,2025-12-13 01:22:50
技术总监,重庆,云测数联(重庆)科技有限公司,本科,10年以上,,3-5万,岗位职责：1.负责制定公司研发战略与技术路线图，引领技术创新方向；2.负责系统架构设计，确保技术解决方案的可扩展性和高效性；3.主导技术难题攻关，推动关键技术决策，提升产品性能与稳定性；4.管理并指导研发团队，确保高质量产品和技术解决方案的交付；5.协调整合跨部门资源，优化研发流程，提升研发效率和产品竞争力；6.跟踪行业技术发展动态，评估新兴技术对公司业务的潜在影响；7.建立和维护与外部技术合作伙...,互联网,http://jobs.zhaopin.com/CCL1394599500J40810064307.htm,100-299人,2026-01-11 01:17:34
拔尖计划-生活物联网AI大模型技术专家,重庆,中移物联网,硕士,5-10年,,3-5万·16薪,工作职责1、负责AI大模型相关基础技术研究，追踪AI大模型前沿技术方向并进行技术预研，制定技术发展计划；2、负责开展生活物联网场景智能体的设计，负责解决其中的关键难题，确保产品在关键环节具备竞争力；3、制定AI智能体研发规范和流程，为团队提供专业的技术指导和支持；4、负责跨部门AI能力的协调与融合，推进项目的开展与实施；5、完成上级领导交办的其他事项；任职资格1、教育背景：拥有计算机、人工智能等相...,物联网,http://jobs.zhaopin.com/CC545530120J40831928010.htm,1000-9999人,2026-01-06 14:56:58
AI 图编译器工程师,重庆,象帝先计算技术(重庆)有限公司成都分公司,本科,3-5年,"C++,LLVM,MLIR",2.5-5万·16薪,岗位职责：1. 负责开发图编译器，对接使能各个模型；2. 负责图优化；3. 负责开发组内各种工具和其他工作；任职要求：1. 具备丰富的C++开发经验，熟悉基本的数据结构和算法；2. 熟悉LLVM和MLIR相关知识；3. 具备一定的AI基础知识；4. 良好的问题解决能力与团队沟通能力。,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1311940980J40943648604.htm,500-999人,2026-01-04 15:39:05
算法工程师,重庆,重庆通用人工智能研究院,本科,3-5年,"机器学习,深度学习",2.5-5万·15薪,重庆通用人工智能研究院；高级、中级、初级均有岗位1、负责项目场景的算法开发，根据已有的算力资源搭建合适的算法框架。2、学习前沿算法技术，为中级算法工程师及实习算法工程师进行算法培训与指导。3、与产品经理对接算法开发进度以及资源需求情况。要求：1、硕士学历及以上，5年以上相关工作经验。2、精通Python（主流）、C++或Java。深厚的算法理论基础，熟悉机器学习、深度学习、优化算法等。3、熟练使用...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40906429108.htm,20-99人,2025-12-31 10:06:27
高级算法专家,重庆,重庆富沛和科技有限公司,本科,3-5年,"机器学习,图像算法,大模型算法,C++,Python",3-4.5万,一、 战略与规划1、制定并执行公司算法技术的长期发展战略、发展施路线图和实时策略，确保与公司整体业务目标对齐。2、洞察业界最新算法技术趋势（如大模型、多模态、计算机视觉技术等），评估其与公司业务的结合点，推动技术前瞻性试验与落地。3、负责算法团队的技术选型、架构设计、数据体系建设和评审，确保技术方案的先进性、可扩展性和稳定性。二、 团队建设与管理1、负责算法团队的搭建、培养和管理，包括但不限于招聘...,IT服务,http://jobs.zhaopin.com/CC311178430J40823275010.htm,20-99人,2025-11-24 16:47:03
AI Framework工程师,重庆,象帝先计算技术(重庆)有限公司成都分公司,本科,3-5年,AI架构,2.5-5万·16薪,"岗位职责：1. 基于高性能算子库和AI编译器，对接各个AI开源框架；2. 负责使能模型业务；3. 负责其他与AI框架相关的开发工作；任职要求：1. 具备丰富的C++开发经验，熟悉基本的数据结构和算法；2. 熟悉常见的AI框架，比如tensorflow,pytorch，vllm等；3. 具备相关AI框架的开发经验优先；4. 良好的问题解决能力与团队沟通能力。",电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1311940980J40942004604.htm,500-999人,2026-01-04 15:37:53
NLP高级算法工程师,重庆,重庆通用人工智能研究院,硕士,5-10年,"PyTorch,TensorFlow",3-5万·15薪,1、主导知识表征、多模态数据建模、知识推理等核心算法研发，支撑数据知识加工流水线搭建；2、主导行业知识库架构设计与构建，推动行业知识库落地应用；3、牵头算法团队攻克技术难点，保障数据知识加工流水线稳定运行；4、参与智能体模板设计，输出数字智能体核心算法模块；5、主导算法相关知识产权布局，牵头完成核心技术专利/软著申报。要求： 1、硕士及以上学历，计算机、统计、人工智能等相关专业； 2、5年以上NL...,学术/科研,http://jobs.zhaopin.com/CCL1514232650J40908066308.htm,20-99人,2025-12-30 01:22:29
雷达数据处理算法工程师,重庆,河南承方人力资源服务有限公司,本科,3-5年,雷达算法,2-4万·13薪,岗位职责：1. 负麦汽车雷达多目标轨迹跟踪、预测算法的开发与调试:2. 负麦解决汽车雷达实际应用中的多目标跟踪问题;3. 负麦汽车雷达大量路试数据的后处理，优化目标跟踪算法；4. 负责汽车雷达多目标轨迹跟踪算法的相关技术文档撰写;5. 协助汽车雷达测试、数据采集及分析；6. 协助汽车雷达多目标轨迹跟踪算法的嵌入式软件实现。任职要求：1. 学历要求:电子、信号处理、计算机等相关专业，本科及以上学历;...,人力资源服务,http://jobs.zhaopin.com/CCL1484302980J40825609114.htm,100-299人,2026-01-08 09:25:45
