职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
集团职能总部-流程管理专家（IPD）(J17276),重庆,赛力斯集团股份有限公司,本科,10年以上,IPD,3-6万·16薪,岗位职责:1、主导IPD流程（涵盖产品规划、研发、市场、外包、操盘等）的规划、设计、建设、试点及持续优化；2、策划并主导IPD变革项目，制定实施方案，协调跨部门资源确保落地，设计流程监控机制（如绩效评估、数据分析），确保流程执行质量；3、拉通IPD与其他业务域（如LTC、供应链）的接口，确保端到端流程高效协同；4、开发IPD培训课程，对业务部门进行流程方法论、工具赋能，提升组织流程意识；制定变革宣...,汽车研发/制造,http://jobs.zhaopin.com/CC465219810J40865619203.htm,10000人以上,2025-12-23 16:59:25
经营管理部部长（整车行业）,重庆,重庆臻果优业商业管理有限公司,本科,5-10年,,3-4.5万,运营部长岗位职责：1、协助制定公司的年度经营计划，并推动实施；2、负责组织和协调各部门进行月度经营分析，确保公司运营目标的达成；3、参与重要事项的决策，协助领导处理日常管理事务；4、负责跨部门项目的管理和协调，确保项目按时高质量完成；5、定期向总经理汇报工作进展，提出改进建议。岗位要求：1、本科及以上学历，管理类相关专业优先；2、具有5年以上汽车企业管理或相关工作经验；3、具备较强的组织协调能力和...,人力资源服务,http://jobs.zhaopin.com/CC839541400J40811773905.htm,20-99人,2025-09-11 16:06:23
渠道运营高级经理/渠道运营经理,重庆,武汉搜马人力资源服务有限公司,本科,5-10年,"销售运营,汽车行业渠道运营管理",2.5-4万,职位描述1、负责建立零标运营体系的搭建与管理。2、负责对门店的分层分级管理与运用，建立低效店、无效店预警运营机制。3、负责人员配置、车辆配置、店面硬件的运营管理，协同管理SOP流程4、网络汰换机制等渠道运营体系搭建5、负责商务政策的整体结算，门店0容忍管理、经销商满意度管理等职位要求本科及以上学历，市场营销、汽车工程、工商管理等相关专业优先；5年以上汽车行业渠道运营管理岗经验；有主机厂总部渠道运营...,汽车研发/制造,http://jobs.zhaopin.com/CC668399420J40907527815.htm,1000-9999人,2025-12-02 14:17:11
平安社区金融运营主管（保险金融行业）/正编岗位,重庆,中国平安人寿保险股份有限公司重庆分公司2,大专,5-10年,销售运营,2.5-3万,社区网格区域主任4.1 岗位职责：1) 负责区域内专员的管理、培训、经营指标督导等；区域内新老客户提供答谢会组织安排，提供客户满意的售后服务等；2) 负责总分公司相关政策落地执行，制定业务拓展规划，并按计划开展业务，督导专员完成客户信息搜集、问题解决等；3) 接受公司系统的培训学习，通过专业知识技能学习，不断提升自身管理能力，独立完成组织内专员管理；4.2 任职要求：年龄：28-45 岁学历：大专...,保险,http://jobs.zhaopin.com/CCL1487620300J40864290404.htm,1000-9999人,2025-12-05 18:18:41
重庆外企综合管理,重庆,上海祝君臻人力资源有限公司,大专,1-3年,早九晚5,1.5-3万·14薪,任职要求：1、年龄要求26-48周岁，男女不限2、大专学历及以上（学信网可查）3、在重庆本地有两年以上工作经验 岗位职责： 1、穿戴整齐干净 2、部门对接工作，监督业绩考核 3、组织公司内部会议，做好会议记录并跟进执行情况。 4、协助制定公司规章制度，推动行政制度落地执行。 5、性格外向，吃苦耐劳；职业素养良好，领悟力强；擅沟通协调。 工作时间：9:00-17:00 周末双休 法定节假日休,人力资源服务,http://jobs.zhaopin.com/CCL1501921150J40810271301.htm,1000-9999人,2025-12-01 10:22:37
外企-企业协助（955）,重庆,中美联泰大都会人寿保险有限公司宁波中心支公司,大专,1-3年,"新媒体运营,产品运营,活动运营",1.6-2.7万·13薪,岗位职责:1. 支持企业日常运营管理，确保流程和系统运行高效。2. 参与跨部门团队合作，共同推进项目和业务目标。3. 组织和协调企业内部活动，包括会议、培训和团队建设。任职要求：1. 具备出色的沟通技巧和团队协作能力，能与不同背景的人士有效互动。2. 有能力在快节奏环境中保持积极主动的工作态度。3. 能够处理多任务并确保高质量完成工作。,保险,http://jobs.zhaopin.com/CC510061780J40838609413.htm,100-299人,2025-12-05 13:22:03
小红书运营,重庆,常州缪幻商贸有限公司,学历不限,经验不限,"图文平台,小红书,内容运营,电商运营",100-150元/时,1.小红书店铺运营，笔记输出，日常工作编辑，发布。2.小红书笔记产品，产品上架。3.能认真对待。,电子商务,http://jobs.zhaopin.com/CCL1511490180J40891966902.htm,100-299人,2025-12-29 17:57:20
新媒体运营策划专家,重庆,重庆商社新世纪百货连锁经营有限公司,本科,3-5年,"企业官网,短视频平台,新闻类,内容运营,品牌运营",1.5-2.5万,1、策略体系搭建：基于零售企业定位制定新媒体整体策略，明确各平台分工，制定年度 / 季度运营目标。2、内容与品牌协同：牵头搭建零售 “内容矩阵”，统一品牌调性，输出差异化内容。3、直播与短视频操盘：主导零售直播策划，统筹直播团队，优化直播 “观看人数→下单转化率”。4、团队与资源管理：搭建新媒体团队，制定岗位职责与考核标准；拓展外部资源，洽谈合作方案。5、数据驱动优化：分析各平台 “流量成本”、“...,零售/批发,http://jobs.zhaopin.com/CC456390710J40671196906.htm,1000-9999人,2025-09-16 14:23:45
资深医疗新媒体运营/主管,重庆,重庆小米熊儿童医院有限公司,本科,1-3年,"新媒体运营,抖音,小红书",1.2-2.4万,擅长：带团队，做业绩，担责任行业经验3年以上，工资1.5-3w（面试定薪） 1、医疗自媒体（抖音、快手、小红书）等渠道的运营统筹，账号运营策略制定，数据分析，具备成熟的自然引流或者投流经验及技巧；2、在大型医疗mcn公司2年以上从业经验，带领过团队，熟悉行业规则和平台规则；3、熟悉白号矩阵打法，有成功带团队运营目标达成成绩。 要求：1、有标杆账号内容运营模式，有独立带号经验和团队管理经验；2、思维...,医院,http://jobs.zhaopin.com/CC569351730J40802432507.htm,300-499人,2025-10-21 15:05:22
海外社媒运营,重庆,华融联大(重庆)科技有限公司,本科,1-3年,"独立站运营,内容运营,短视频运营,Instagram,海外平台,Facebook,WhatsApp",1-2万·13薪,"【岗位职责】1. 全平台运营与内容创作：-负责客户/公司海外核心社媒矩阵（独立站、谷歌、TikTok, Facebook, Instagram, YouTube 等）的日常运营与管理。-独立策划、创作并发布高质量、高吸引力的英文内容（图文、短视频等），提升品牌声量与用户粘性。-积极维护社群，专业、及时地与粉丝互动（评论、私信）。2.与第三方独立站运营对接推广，并完成独立站文章更新。3. 策略执行与...",新能源汽车,http://jobs.zhaopin.com/CCL1488523010J40764903311.htm,20-99人,2026-01-09 15:45:15
