职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
拔尖计划-生活物联网智能硬件开发技术专家,重庆,中移物联网,硕士,无经验,,3-5万·16薪,工作职责1、负责洞察智能硬件行业趋势，协助揭榜团队制定 3-5 年硬件产品技术路线图与生活物联网硬件技术方向选型与架构标准化。2、 负责部门硬件产品核心架构设计与技术攻坚。主导复杂硬件系统的全流程架构设计，解决技术难点，推动硬件与算法协同优化。3、负责部门硬件产品全生命周期管理。从需求分析到量产交付全流程把控，主导原理图设计评审、PCB Layout 优化、EMC/EMI 测试，确保产品良率达到业...,物联网,http://jobs.zhaopin.com/CC545530120J40831928510.htm,1000-9999人,2026-01-06 14:57:16
高级非标机械设计师,重庆,重庆丰海坤翔实业(集团)有限公司,本科,10年以上,"设计,结构设计,制图设计,非标设备,注塑工艺,装配工艺,SolidWorks,AutoCAD",2.5-5万,职位描述：1、独立完成从设备方案设计、3D建模、2D工程图纸绘制到BOM清单编制的全流程工作，包括不限于主导产品从需求分析、概念设计到详细出图；2、独立完成方案评估和方案设计，确保方案可行性和可靠性；3、统筹电气、工艺及生产团队，完成机械与电气系统的集成设计，解决设计、装配及调试中的关键技术问题，推进项目落地；4、独立撰写设备设计说明书、技术协议等文档。 岗位要求：1、30-40岁，一本及以上学历...,橡胶和塑料制品,http://jobs.zhaopin.com/CCL1203913000J40823295009.htm,500-999人,2025-12-29 09:48:04
硬件工程师-逆变器,重庆,重庆力华自动化技术有限责任公司,本科,5-10年,"硬件开发,光伏逆变器",2-4万,一、岗位职责1、硬件设计与开发负责单相/三相户储逆变器（1kW-15kW）的硬件开发，涵盖离网、并网及混合拓扑，主导功率变换单元设计（如双向DC/DC、DC/AC）、磁性器件选型、热设计及EMC优化。精通主流拓扑架构（如PSFB/DAB/Heric/H6/T-NPC），独立完成原理图设计、PCB布局指导、关键器件选型及损耗仿真。2、测试与问题解决主导样机调试与性能验证，使用示波器、功率分析仪等工具...,汽车零部件,http://jobs.zhaopin.com/CC270553110J40801488909.htm,1000-9999人,2025-11-27 16:59:51
结构工程师（工业设计）,重庆,湖南乐孚信息技术有限公司,本科,5-10年,"机械,起重机",2-4万,1、负责汽车起重机、越野轮胎起重机、履带起重机产品造型相关零部件从设计到量产的全流程技术落地；2、负责产品的机棚、护板等关键造型部件的设计开发，主导设计方案及可行性验证，评估结构强度、装配效率、材料适配性及量产的兼容性，提前规避试制/量产技术风险；3、负责覆盖件的技术规划及研究、技术成果转化，相关标准编制及修订。4、负责行业新技术与工艺发展趋势研究，推动技术创新与设计降本。,互联网,http://jobs.zhaopin.com/CC846956650J40844024512.htm,10000人以上,2025-10-29 14:26:42
硬件开发部经理,重庆,重庆天如生物科技有限公司,本科,5-10年,胃肠镜,2-4万,岗位职责1. 负责团队完成公司硬件开发部项目的整体规划、管理与监督；设定团队目标和绩效标准，激励团队成员，提升团队士气和凝聚力；提供技术指导和支持，解决团队在开发过程中遇到的技术难题；2. 产品需求的收集，制定项目开发计划，牵头对产品的系统、架构进行设计；3. 负责系统方案、子系统详细设计的评审和把关； 4. 负责参与产品的功能、稳定性和可靠性测试、EMC测试、安规测试；5. 负责产品开发及过程文...,医疗设备/器械,http://jobs.zhaopin.com/CC501908020J40923770404.htm,20-99人,2025-06-19 11:38:11
一级房建/市政带业绩,重庆,重庆航佐建筑工程咨询有限公司,大专,经验不限,"一级建造师（市政工程）,一级建造师（建筑工程）",2-4万,1、持有一级建造师房建或者市政专业执业资格证书。2、需配合公司完成项目出场招标、项目验收、日常管理等相关工作。3、专科及以上学历，有无相关工作经验均可。 4、一级房建专业需做业绩分数8分以上，市政6分以上（A级3分，B级2分，C级一分）公司招投标项目分别为四川、西藏。,专业技术服务,http://jobs.zhaopin.com/CCL1483780990J40899575604.htm,20-99人,2025-04-14 16:47:55
高级硬件工程师,重庆,重庆赛特制冷设备有限公司,本科,3-5年,"设计,PCB设计,EMC设计,硬件测试",1.8-3.5万,岗位内容：1. 独立设计和开发嵌入式系统的硬件电路和原理图；2. 独立进行器件选型和布局，设计PCB板并进行调试和验证；3. 独立责硬件功能测试、故障分析和解决方案的制定；4. 独立参与产品的设计评审和技术讨论，提出优化方案； 5.能管理团队，做好项目开发。 任职要求： 1. 本科及以上学历，电子工程等相关专业，3年及以上硬件开发经验； 2. 熟悉嵌入式系统、模拟电路、数字电路的设计方法和器件选型...,电气机械/电力设备,http://jobs.zhaopin.com/CC332669610J40804826313.htm,500-999人,2025-12-31 08:58:55
龙湖重庆-地产土建工程师,重庆,龙湖集团,本科,5-10年,"住宅建筑,一级建造师,二级建造师,施工员证,四代宅项目经验",2.5-3万,岗位职责负责项目土建工程的施工管理工作，涵盖施工进度、质量、安全、成本的全流程管控，确保项目按计划、高标准完成。参与土建工程相关的招投标工作，协助编制招标文件、审核投标单位资质及投标文件，参与评标及合同谈判签订工作。负责审核施工单位提交的施工组织设计、专项施工方案、进度计划等技术文件，提出优化建议并监督实施。定期组织施工现场巡查，及时发现并解决施工过程中出现的技术问题和质量隐患，督促施工单位落实整...,房地产开发,http://jobs.zhaopin.com/CC375739230J40815790111.htm,10000人以上,2026-01-12 00:13:00
机械工程师,重庆,苏州智氪纪元机器人有限公司,本科,5-10年,"结构设计,特种设备,非标设备,研发,设计,SolidWorks,建筑、煤矿等特种作业",1.5-3万·13薪,岗位职责：1.负责机器人的研究和开发，提供技术支持和解决方案； 2.负责器人的方案设计、机构设计、传动设计、计算和仿真；3.负责机器人常用零部件的技计算选型，包含伺服电机、标准件和非标件以及传感器选型等；4.负责零部件的BOM表以及图样的绘制及输出；5.跟进产品制造和调试，根据应用情况迭代产品。 任职要求：1.机械专业，5年以上机械设备开发工作的经验，本科及以上学历；2.熟练掌握机械原理、理论力学...,机器人,http://jobs.zhaopin.com/CCL1506249770J40790805209.htm,100-299人,2026-01-12 00:00:02
市政项目技术负责人,重庆,重庆励辰骏图企业管理有限公司,学历不限,经验不限,施工管理,1.5-3万,配合公司申办一级或二级的市政总承包资质1、需要具备市政相关的高级工程师或者是一级市政建造师2、主持过至少2项规模达到二级市政总包资质申办要求的市政项目,互联网,http://jobs.zhaopin.com/CCL1301509960J40723854205.htm,20人以下,2026-01-10 01:12:17
动总结构工程师,重庆,东方鑫源集团有限公司,本科,3-5年,,1.5-3万·13薪,1、负责动总机械结构部件集成设计与性能仿真； 2、负责与车身结构工程师对接动总悬置方式和动总边界尺寸规约等；3、负责样机的组装、问题分析评审，负责动总集成结构相关专利的撰写；4、负责动总系统物料清单的编制，负责样机组装过程的问题解决、试验调试与机械结构整改；5、根据公司流程体系，按项目要求完成各阶段技术文档的编写，包括设计方案书、设计规范、检验规范、装配工艺、工装夹具测试设备购置等；,汽车研发/制造,http://jobs.zhaopin.com/CC880859730J40815131611.htm,10000人以上,2025-12-30 01:33:30
pack—电池结构主任工程师,重庆,重庆赣锋锂电科技有限公司,本科,5-10年,"研发,硬件研发,软件研发,锂电池,储能电池",1.8-3万·13薪,岗位职责 1、参与公司项目，向项目团队提供结构人才、平台技术人才人力； 2、实现电池PACK结构子系统详细设计，负责设计文档、图档的编制和归档，参与项目评审； 3、负责结构类质量问题解决及技术攻关； 4、维护量产产品技术状态及年度降本； 5、前瞻技术调研、预研及量产可行性探究与前瞻技术标准制定； 6、设计规范维护、设计校核文件维护、SOR及图纸模板更新； 7、新平台、新技术规划； 8、制定新人培养...,新能源,http://jobs.zhaopin.com/CCL1407140800J40976971504.htm,100-299人,2025-12-29 14:07:13
资深结构设计工程师,重庆,七腾机器人有限公司,本科,5-10年,"非标设备,特种设备",1.5-3万,岗位职责： 1、主导机器人 / 机械装备核心结构研发：负责复杂项目（如机器人本体、高精度运动部件）结构方案设计、技术选型，主导从概念到量产的全流程技术统筹； 2、技术攻坚与优化：解决结构相关关键问题（如精度损失、强度不足、振动超标），通过仿真分析（强度 / 模态 / 动力学）优化设计，平衡性能、成本与工艺； 3、项目管理：带领项目小组，分配任务、把控进度与质量，审核设计成果； 4、协同工作：对接电...,专用设备制造,http://jobs.zhaopin.com/CC387441310J40803565101.htm,500-999人,2025-12-26 16:46:13
硬件工程师（重庆）,重庆,深圳芯珑电子技术有限公司,本科,3-5年,,1.5-3万,一、产品开发:1.设计开发:根据研发计划，完成产品硬件的需求分解、硬件平台搭建、原理图设计、物料选型、样机性能自测、产品BOM制作等硬件开发工作;2.技术评审:参与产品研发各阶段的技术评审，包括方案评审、原理及PCB评审、产品用料及BOM评审:生产工艺评审等事项3.资料归档:按计划输出各阶段硬件相关技术文档并提交审核归档;二、产品维护1.招投标:根据招投标技术要求，输出详细技术类资料，配合完成招投...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC405654510J40743836106.htm,20-99人,2025-12-26 09:59:20
