职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电池工艺经理,杭州,北京碳索传媒有限公司,本科,3-5年,"锂电池,储能电池,燃料电池",2.8-4.5万·13薪,1. 技术战略与规划： 负责制定并实施TOPCon电池工艺技术的中长期发展规划与路线图，2. 工艺优化与创新： 主导PECVD等核心TOPCon技术路线的持续优化，3. 良率与成本控制： 建立和完善工艺监控与数据分析体系，深入分析异常，持续提升产品良率；通过工艺改进，有效降低物料损耗与生产成本。4. 团队建设与管理： 组建、培养和管理一支高水平的工艺工程师团队，建立高效的技术人才培养和知识管理体系...,新能源,http://jobs.zhaopin.com/CCL1502663090J40806254307.htm,20-99人,2025-11-04 14:01:23
晶型结晶工艺研究员,杭州,浙江九洲药业,博士,经验不限,"药物合成,化学药,仿制药,原料药,结晶工艺,晶型研究,晶筛",2-4万,岗位职责： 1.负责药物晶型的研究与分析，包括但不限于药物的晶型筛选、表征及稳定性评估；2.参与结晶工艺的开发与优化，确保药物产品的高效稳定生产；3.进行固态研究，探索不同晶型对药物物理化学性质的影响及其在药物制剂中的应用；4.参与制定并执行相关实验计划，记录实验数据，并进行数据分析；5.撰写实验报告和技术文档，与其他研发人员分享研究成果。任职要求： 1.博士及以上学历，药学、有机化学、制药工程或...,医药制造,http://jobs.zhaopin.com/CC435042410J40871080202.htm,1000-9999人,2025-12-01 12:49:37
化学工程与工艺设计（熟练专业设计人员）,杭州,浙江华亿工程设计股份有限公司,本科,5-10年,,2-4万,岗位要求： 1、遵守国家法律法规 2、认同公司的企业文化 3、化学工程与工艺、过程装备与控制工程、应用化学等相关专业 4、能独立完成PID图、设备布置图、管道布置图、安全专篇、职业卫生专篇编制等 5、专业技能 ①熟悉化工原理及单元操作设计 ②熟练使用AutoCAD或SolidWorks等工程制图工具 ③熟悉化工设备选型、安全设计规范及环保法规(如HAZOP、LOPA分析)优先 ④注册化工工程师优先...,石油/石化,http://jobs.zhaopin.com/CC251198580J40759359814.htm,100-299人,2025-11-22 10:33:27
工艺研发工程师,杭州,左蓝微电子,本科,5-10年,"工艺改良,工艺设计",2.5-4万,1、参与滤波器的开发过程，负责研究滤波器的可制造性，完成滤波器的试产的准备，跟踪，产品设计转换，生产过程过程导入；2、负责滤波器前道晶圆制备3、负责编制滤波器产品工艺及现场培训，设计工艺路线及工艺流程图；4、负责对产品的工艺不良，制订改善计划及纠正预防措施，负责改善验证；5、负责新产品的试产，验证，认证及确认；6、建立和开发滤波器工艺流程。提供工艺知识，识别潜在的制造问题和关键的工艺敏感性，以确保...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC476129630J40545427201.htm,20-99人,2025-08-07 09:44:14
水泥工艺专家,杭州,中才邦业(杭州)智能技术有限公司,本科,10年以上,,2.5-3.5万·14薪,1、技术领导：参与制定公司技术发展战略，聚焦水泥生产场景，围绕“1公斤煤、1度电、1Mpa强度、1%熟料掺入量和中控操作1个人”的客户价值创造，指导团队制定系统性解决方案，确保公司技术在行业中的先发和领先优势；2、团队管理：协助领导和管理工程交付团队，包括招聘、培训、评估和激励团队成员，确保团队高效协作，达成公司技术目标；3、部门协同：与销售、研发和交付等部门紧密合作，并负责解决技术相关问题，确保...,计算机软件,http://jobs.zhaopin.com/CCL1461208640J40909408808.htm,100-299人,2025-12-31 15:22:53
mems工艺整合工程师,杭州,杭州汇健科技有限公司,硕士,3-5年,"薄膜工艺,半导体,芯片,传感器",2.5-3.5万·14薪,气体传感MEMS芯片工艺整合工程师主要负责气体传感器芯片在微机电系统（MEMS）制造过程中的工艺流程整合与优化，确保产品从研发到量产的顺利推进。该岗位的职责要求通常包括以下几个方面：1. 工艺流程设计与整合 - 负责MEMS气体传感器芯片制造工艺的整体流程规划，整合薄膜沉积、光刻、刻蚀、键合、掺杂、释放等关键工艺步骤。 - 协调各工艺模块（如前道与后道工艺）之间的接口与兼容性，确保工艺流程的连贯性...,学术/科研,http://jobs.zhaopin.com/CC454470280J40718832606.htm,100-299人,2025-12-19 09:57:10
资深工艺设计工程师,杭州,浙江恒逸集团有限公司,本科,10年以上,工艺设计,2.6-3.5万·14薪,岗位职责:1. 指导完成工艺流程开发、设计工作。 2. 指导完成工艺包编制工作，指导完成基础设计与详细设计工作。涉及项目为大化工、精细化工以及材料化工，围绕聚酯以及聚酰胺产业链。3、充当导师角色，指导团队完成过程开发工作。 任职要求:1. 教育背景：化学工程、化学工程与工艺、化工机械、化工过程设备、过程装备与控制工程等相关专业（优秀人才学历限制可放宽）；2. 工作经验：本科20年以上，硕士15年以...,石油/石化,http://jobs.zhaopin.com/CC140408290J40895095208.htm,10000人以上,2025-11-25 13:38:04
副总工程师（水泥工艺专家）,杭州,中才邦业(杭州)智能技术有限公司,本科,10年以上,,2.5-3.5万·14薪,1、技术领导：在分管副总经理领导下，参与制定公司技术发展战略，聚焦水泥生产场景，围绕“1公斤煤、1度电、1Mpa强度、1%熟料掺入量和中控操作1个人”的客户价值创造，指导团队制定系统性解决方案，确保公司技术在行业中的先进和领先优势；2、团队管理：协助副总经理领导和管理技术团队，包括招聘、培训、评估和激励团队成员，确保团队高效协作，达成公司技术目标；3、部门协同：与销售、研发和交付等部门紧密合作，并...,计算机软件,http://jobs.zhaopin.com/CCL1461208640J40909406708.htm,100-299人,2025-12-31 15:19:33
材料与工艺部专家/高级经理,杭州,杭州卡涞复合材料科技有限公司,硕士,10年以上,"材料工艺设计,高分子材料,复合材料,玻璃纤维,碳纤维,树脂材料,纤维材料,成型工艺,热处理工艺,表面处理工艺",2.5-3.5万,岗位概述作为具备深厚工业背景的核心技术管理人才，以高分子材料专业为基础，主导复合材料产品研发、工程化应用及技术升级工作。带领材料、工艺、测试团队，深度联动外部优秀材料供应商，聚焦终端客户需求与实际应用场景，系统探索新材料性能及应用潜力，制定适配的材料技术路线，推动材料开发与量产落地，统筹跨部门协作，全面助力公司材料技术能力建设与核心竞争力升级。岗位职责1.组织、制定、完善、优化部门管理体系，包括管...,汽车研发/制造,http://jobs.zhaopin.com/CCL1242533990J40828512405.htm,300-499人,2025-11-24 14:33:25
工艺工程师,杭州,著领(大连)人力资源有限公司,本科,3-5年,"压铸工艺,绕线工艺,冲压工艺,装配工艺",2-3.5万,工艺产品类型：1、冰箱压缩机或空调压缩机用电机工艺方向：熟悉电机绕线工艺开发与维护；2、微特电机工艺方向：冲压、压铸工艺的管理提供电机工艺技术支持，协同研发开展新产品、新器件、新材料、新工艺等导入验证活动，支持研发技术研究实验。,人力资源服务,http://jobs.zhaopin.com/CCL1484975980J40897253015.htm,1000-9999人,2025-10-22 10:36:20
工艺经理（杭州/洛阳/广州）,杭州,广州纳诺新材料科技有限公司,本科,5-10年,"机加工工艺,热处理工艺,成型工艺,新品导入（NPI）,工艺设计,工艺改良",1.8-3.5万,岗位职责：1.负责工艺文件编制、审核、发布等文件管理工作；2.负责新产品、新工艺、新技术的量产实施、验证与总结；3.负责制程工艺的稳定、优化及具体工艺问题的验证和解决，固化工艺标准，联合四功能共同提高生产效率；4.负责公司技术方向持续改进工作的推进；5.负责客户技术服务，了解用户在技术与业务上的发展需求，出具8D报告，为客户解决产品技术问题；6.负责组织制定和实施公司重大技术决策和技术方案；7.负...,新能源,http://jobs.zhaopin.com/CC270574080J40788209014.htm,1000-9999人,2025-08-07 11:26:33
工艺管道设计工程师,杭州,浙江省天正设计工程有限公司,本科,5-10年,"管道设计,工业管道,压力管道",2-3万,平台： 1、世界500强，国有大型骨干央企中国中化集团下属成员企业； 2、公司提供具有市场竞争力的薪酬福利待遇； 3、公司提供完善的培训培养体系、职业发展通道； 4、该职位属于公司正式员工编制，一经录用将与公司签订正式劳动合同。 岗位职责: 1、从事精细化工、医药化工、石油化工、新能源、新材料、物流仓储等行业工艺管道设计工作。 2、项目初步设计、施工图设计，内容包括：管线空间规划、管道布置图、管道...,工程技术与设计服务,http://jobs.zhaopin.com/CC144375590J40770310807.htm,500-999人,2026-01-10 01:18:24
工艺工程部经理,杭州,杭州凡略科技有限公司,大专,5-10年,SMT工艺,2-3万·13薪,位职责：1、根据公司产品技术和工艺标准要求，主导编写工艺管理制度和工艺控制文件。2、负责编制产品生产工艺流程，并根据实际需要进行优化、完善，并监督执行。3、负责产线工艺问题的处理、闭环，并组织产品工艺的优化改进，提升产品品质。4、 负责推进生产系统自动化和智能化的提升。不断提高企业智能制造水平。5、 负责编制和完善设备操作规程、点检标准、维护保养计划，确保设备处于最佳技术状态。6、负责解决设备重大...,互联网,http://jobs.zhaopin.com/CC827220350J40979026404.htm,20-99人,2026-01-08 16:19:07
电芯工艺工程师,杭州,深圳欣界能源科技股份有限公司,本科,3-5年,"锂电池,研发,技术支持,固态电池,电极段,装配段,化成段",1.5-3万,"【岗位职责】：1、对新技术、新工艺、新材料进行相关的实验方案设计、验证及导入；2、电池制造过程关键问题分析识别和关键参数的DOE的验证；3、对产线异常的分析及改善，对产品失效分析，根据失效模式设计方案，实施方案及推广方案，推动产品改善；4、提高所负责工序的产品质量及生产良率,提高电池制造工序的制程能力；5、产线SOP、MI和PFMEA等相关文件进行制定及优化。【任职要求】：1、本科及以上学历，有2...",新能源,http://jobs.zhaopin.com/CCL1478923000J40811051511.htm,300-499人,2026-01-07 14:01:18
