职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级ai架构师,杭州,凌纪元(深圳)科技有限公司杭州分公司,本科,5-10年,"Go,Python,Java",5-10万,【岗位职责】1. 负责基于LLM的产品应用开发、优化与落地，包括但不限于RAG框架的设计与优化，实现高质量的文本生成与知识检索能力；2. 负责基于LLM的Agent系统设计与开发，包括意图理解、对话管理、任务规划、工具调用等核心模块。针对垂直场景（如数据分析、自动化流程）优化模型效果，提升意图识别准确率、响应逻辑合理性及多轮对话流畅性；3. 深入参与大模型微调工作，根据业务需求进行高效的模型优化和...,人工智能,http://jobs.zhaopin.com/CCL1508459310J40774338411.htm,20-99人,2025-09-18 09:41:31
大数据团队负责人(base福州),杭州,扬腾创新(福建)信息科技股份有限公司,本科,5-10年,"数据建模,大数据开发,数据仓库,跨境电商,团队管理",6-8万·13薪,岗位职责: 1. 结合公司战略业务能力建设优先级，沿公司核心业务价值链对各业务领域数据运营、业务决策诊断、智能领导驾驶舱进行体系化规划与实施路径设计以便保障业务数字化变革推进，达到业务分析数据化、决策数据化、分析体系化与智能化； 2. 结合公司数智化战略与业务数据能力建设优先级，对数据中台与AI平台能力逐层建设节奏与公司内外部数据资产化建设进行路径与落地策略规划，以便保障公司数据资产业务价值化，推...,电子商务,http://jobs.zhaopin.com/CCL1217026990J40735663002.htm,1000-9999人,2025-12-24 01:03:00
芯片架构师-AI集群架构,杭州,进迭时空(杭州)科技有限公司,本科,5-10年,,3.5-6.5万,职位描述：和一流芯片架构和设计团队一起进行高端芯片架构研发，主导AI芯片集群系统构建。职责如下：1. 解析市场需求，形成高性能AI芯片的需求包和技术规格2. 参与从应用场景分析/产品定义/芯片开发到AI芯片集群方案落地工作3. 负责芯片架构设计/性能分析/低功耗设计和服务器芯片顶层架构设计及微架构设计4. 负责关键IP选型和需求分析，包括互连接口/xPU/GPU/片上总线/存储接口等芯片整体方案竞...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1378359190J40778309507.htm,100-299人,2025-07-29 17:43:40
储能充电具身机器人电子电气架构师,杭州,智联猎头,本科,5-10年,,4.5-5.5万,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将作为技术核心，主导一款前沿的储能充电复合型具身机器人的整体电子电气架构设计，其核心是赋予机器人感知、决策、规划和执行的全面能力，实现高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦一款复合型具身智能机器人的EE架构设计。核心职责 全局EE架构设计...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114203.htm,10000人以上,2026-01-09 01:06:50
高级架构师,杭州,紫光华智,本科,10年以上,,3-5万·14薪,【岗位职责】1、系统架构定义： 主导AI服务器（8-GPU/16-GPU模组）的整机系统架构设计。定义CPU-GPU互连拓扑（NVLink/PCIe Switch架构）、内存子系统及I/O扩展方案，解决“Memory Wall”和“IO Wall”瓶颈。2、关键技术路径决策： 针对SXM/OAM级别的高功耗设备（>10kW/Rack），决策散热技术路径（风冷 vs DLC冷板式液冷 vs 浸没式）...,IT服务,http://jobs.zhaopin.com/CC710438980J40745869506.htm,500-999人,2026-01-12 01:15:27
数据管理工程师(J14605),杭州,北控水务(中国)投资有限公司,本科,5-10年,"数据架构,数据仓库,数据挖掘,Sql",3-5万,岗位职责:1、深入参与数据产品建设生命周期，为公司内外提供完善的数据解决方案。2、负责公司数据分析平台、指标体系的建设和维护。3、负责组织数据实体的梳理、建模和实现；负责主数据系统、数据目录的建设和维护。4、与业务部门对接，完成数据、报表和报告的价值闭环。任职要求:1、精通SQL开发与调优，熟悉MySQL、Postgres、Oracle等常用数据库产品；熟悉Doris、ClickHouse等MPP...,环保,http://jobs.zhaopin.com/CC306391710J40814527307.htm,1000-9999人,2026-01-06 01:18:35
化学研发部门经理,杭州,京新药业,硕士,5-10年,,4-5万·14薪,1、负责项目选题调研和立项，负责项目选题、立项调研，立项资料撰写和立项评审的组织，评估讨论，并最终立项。2、负责项目开发：负责组建项目组，项目目标的制定以及项目组工作安排；对项目进行技术指导，并解决项目中遇到的技术问题。3、负责项目管理：负责按照项目计划书确定的目标对项目进行管理，协调多方资源，保障项目按计划实施。4、负责部门和跨部门沟通：负责解决项目进展过程中部门内部或部门间的沟通工作。5、负责...,医药制造,http://jobs.zhaopin.com/CC120018550J40730930002.htm,1000-9999人,2026-01-06 01:02:38
大模型平台专家/智能体专家,杭州,亚信科技(中国)有限公司,硕士,5-10年,"NLP,大模型,AIGC",3-5万·13薪,岗位职责：1、技术前瞻与引入： 主导大模型与智能体领域前沿技术的调研、评估与引入，持续驱动系统架构演进与核心技术指标的优化。2、系统架构设计： 负责基于大语言模型和智能体的下一代平台、工具及核心应用的架构设计与技术选型，主导模块级与系统级的蓝图规划。3、模型优化与调优： 负责大模型与智能体产品在具体业务场景中的微调与性能优化，通过指令微调、提示工程、RAG等技术，显著提升模型在垂直领域的任务表现。...,通信/网络设备,http://jobs.zhaopin.com/CC139131340J40808117411.htm,10000人以上,2026-01-01 01:30:22
研发经理（充电桩）,杭州,上海音特电子有限公司,本科,5-10年,充电桩方向,3-5万,岗位职责1. 了解充电桩国内外市场发展趋势、相关政策、用户核心需求，思考行业发展趋势，完成业务模式的提炼和设计，规划充电桩软件平台发展路线图；2. 高质量的输出PRD及交互、原型设计，并与能源云端研发团队、IOT中台团队及桩端产品研发团队紧密合作，最终确保产品高质量的交付；3. 撰写产品工具包，对能源运营、销售、售后团队等进行产品培训；4. 负责充电桩行业动态监控、市场趋势分析、竞品分析，形成竞品...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC239732510J40664704604.htm,20-99人,2025-12-26 01:07:35
AI 平台架构专家(J11220),杭州,烟台睿创微纳技术股份有限公司,硕士,5-10年,平台架构,3-5万,岗位职责:1.AI平台架构设计a.主导企业级AI训练/推理软件平台的全栈架构设计，支持多模态大模型的云边端高效部署b.开发分布式训练框架与推理服务中间件，实现计算资源动态调度与性能瓶颈突破c.构建从数据预处理到模型服务的端到端自动化流水线2.加速器深度优化a.针对GPU/NPU/ASIC等异构计算设备，设计算子级优化方案（如Tensor Core适配、内存访问优化）b.实现编译时优化与运行时优化的...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC200206520J40815385014.htm,1000-9999人,2025-10-28 11:16:02
