职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
美妆护肤达播总监,杭州,杭州小马当先企业管理咨询有限公司,大专,5-10年,"抖音,快手,小红书,美妆类",5-8万,岗位职责：1、负责结合公司发展战略，主导协同制定公司未来2年的达播竞争力战略，且能通过当年公司下发的目标通过方法创新和存量优化拆解到团队目标和策略落地来完成销售目标；2、结合公司品牌目标和品牌的内容主力，及时同步超头主播极萌品牌新动向，新结果，新创新给超头主播建立品牌心智，同时给超头主播每场直播能提供内容创新，和品牌销售结果，增加主播粘性，提供给主播情绪价值增加品牌服务好感度；3、搭建品牌日播团队...,企业服务,http://jobs.zhaopin.com/CCL1321376270J40780232016.htm,100-299人,2025-12-11 10:59:53
新媒体营运总监,杭州,正立建设集团有限公司,本科,5-10年,"内容运营,品牌运营",4-8万,基本要求：1、年龄：30-40 岁之间，具备一定行业沉淀的同时，能适应快节奏、高压力的工作环境。2、学历：本科及以上学历，传媒、广告、市场营销等相关专业优先。3、工作经验：拥有 5 年以上 MCN、互联网平台或内容行业经验，1 年以上头部 MCN 运营或商务负责人经历为佳。具备管理过年度 GMV 亿级的商务团队，或孵化过单平台粉丝百万级达人的经验。4、专业技能：①运营规划能力：精通品牌营销、直播带...,工程施工,http://jobs.zhaopin.com/CC478189280J40837572813.htm,500-999人,2025-10-30 09:34:19
新媒体营销负责人—（智能图书、管幅30+）,杭州,作业帮,本科,3-5年,"短视频平台,抖音,微信视频号,小红书,教育类,美妆类,母婴类,内容运营,短视频运营,直播运营,电商运用",4-6万,异地招聘：江西省南昌市青山湖区【岗位职责】直播体系搭建1. 策划并执行直播营销方案，统筹直播选品、脚本策划、流程执行及数据复盘；2. 优化直播流量获取与转化路径，提升GMV及用户留存率。短视频内容战略3. 制定短视频内容矩阵规划，监督选题、拍摄、后期全流程质量；4. 基于平台算法与用户画像，优化分发策略，提升爆款产出效率。达人团队管理5. 负责达人招募、签约、孵化及KPI考核，建立分层管理机制；6...,互联网,http://jobs.zhaopin.com/CC287198080J40785585214.htm,10000人以上,2025-09-10 00:05:40
新媒体运营经理,杭州,沈阳市沈河区卓秀美眼秀美容服务店,本科,3-5年,"短视频平台,抖音,快手,医疗类,美妆类,内容运营,用户运营,活动运营",2.5-5万,我们正在寻找一位专业的新媒体运营经理，负责全面管理与优化公司的各类新媒体平台。工作内容：1. 制定和执行投流战略；2. 管理并优化各社交媒体平台；3. 设计并执行脱客活动；4. 分析数据，调整策略；5. 与各部门合作，协同推广。岗位要求：1. 本科及以上学历，3-5年相关工作经验；2. 精通各新媒体平台运营，能有美容行业低价引流经验优先；3. 良好的设计和内容创作能力；4. 出色的沟通和团队合作技...,美发/美容/保健,http://jobs.zhaopin.com/CCL1390609960J40819560301.htm,20人以下,2026-01-08 19:35:34
团购直播运营,杭州,杭州辛海鞋业有限公司,学历不限,1-3年,"抖音,电商类",3-5万,岗位职责：- 负责公司团购直播的策划、执行和运营管理- 通过直播平台进行产品推广，提升品牌知名度和销售业绩- 与供应商协调，组织团购活动，确保产品供应链的稳定- 监控直播数据，优化直播内容和推广策略岗位要求：- 熟悉直播平台运营规则和流程- 具备良好的沟通协调能力和市场分析能力- 有团购直播运营经验者优先- 对鞋类产品有一定了解和兴趣,电子商务,http://jobs.zhaopin.com/CCL1505059050J40864987603.htm,100-299人,2025-12-22 10:50:23
全域电商负责人,杭州,杭州茗雨轩食品贸易有限公司,本科,3-5年,"电商运营,新媒体运营,直播运营",3-5万,一、岗位职责：1、负责公司线上渠道全盘（抖快视、小红书、得物、天猫、京东、直播）运营管理工作，制定整体运营战略规划，实现公司运营目标，对P&L负责；2、根据公司发展战略及行业特点，制定各电商平台的运营战略，电商业务规划布局；3、结合市场整体行情和行业数据对竞争对手的产品策略、促销策略、营销策略、推广策略组合分析研究，提出应对措施；4、把控全年费比，建立运营/营销项目指标，把控全年投入产出比，负责站...,食品/饮料,http://jobs.zhaopin.com/CC884003240J40860228003.htm,20-99人,2025-12-02 09:26:21
全平台新媒体快销品农产品类电商总经理,杭州,山西田森集团,本科,3-5年,"电商运营,销售运营,产品运营,搜推产品,商业化产品,增长产品,toB,toC",3-5万,品类：口感番茄鲜果、红酒、番茄衍生品：番茄饮品、番茄调味品、番茄食品，正在开发重点还有功能饮品、保健品、保健食品等 一、岗位核心内容 1. 战略与经营管理：依据公司整体战略，制定天猫、京东、抖音等全电商平台的年度经营计划，明确GMV、利润、市场占有率等核心指标，主导预算编制与执行，对最终经营结果负总责。 2. 全渠道运营统筹：管控各平台日常运营，制定推广、活动及商品策略，优化流量结构与转化路径；主...,房地产开发,http://jobs.zhaopin.com/CC214754910J40847856702.htm,100-299人,2025-10-30 00:00:01
mcn运营总监,杭州,杭州隐成网络科技有限公司,本科,3-5年,"电商运营,新媒体运营,直播运营,运营管理",3-5万,1、根据公司发展战略要求，以网红自身特质为中心，制定红人专属运营方案并不断优化，参与MCN商业模式的研究，制定发展策略，并推动整体战略的实现；2、以红人成长为目标，把控所有红人的阶段性布局，需策划红人相关内容、推广等工作并监督红人执行，负责公司所有网红人员的培养和精细化运营管理，以及网红资源的合理配置；3、搭建、管理MCN团队，促进团队目标达成;把控IP账号的内容方向和质量，优化内容生产，提高容生...,电子商务,http://jobs.zhaopin.com/CCL1492064240J40729432816.htm,100-299人,2025-07-05 17:44:13
视频号直播运营负责人,杭州,南方新华,本科,5-10年,"视频号,抖音,电商类,大健康品类",2-4万,"主要职责：1、以视频号常态化直播为抓手，主导搭建从0到1的常态化直播体系，结合业务需求完成账号定位升级及内容矩阵规划，保障直播内容与生态流量属性的匹配；2、统筹视频号常态化直播全流程运营，包括用户需求、品类策划、货盘搭建、脚本优化、全域预热引流及数据复盘迭代，保障视频号直播运营效率；3、搭建视频号公私域联动增长体系，设计从直播公域流量到私域沉淀的用户流转路径，精通视频号投流策略,实现流量精准转化与...",人力资源服务,http://jobs.zhaopin.com/CC346219280J40819602011.htm,100-299人,2026-01-08 00:22:51
抖音运营经理,杭州,浙江久炀科技有限公司,本科,3-5年,"微信视频号,小红书",2.1-4万·14薪,工作职责：1.内容策划与执行：负责抖音平台账号的内容策划和执行，包括创意输出、脚本制作、指导拍摄、发布、数据维护及优化等。2.账号运营与管理：全面负责抖音账号的搭建、运营和日常管理，例如视频制作发布、拍摄剪辑、场景策划、直播策划、流量推流、团队管理、复盘总结等。3.数据分析与优化：监控和分析运营数据，对转化率等活动运营数据进行分析，并根据数据分析结果及时调整运营策略。4.粉丝互动与增长：负责抖音平...,人工智能,http://jobs.zhaopin.com/CCL1458780030J40850294312.htm,500-999人,2025-12-20 12:00:26
