职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
智慧存储-硬件工程师-DIMM（内存条）-杭州,杭州,杭州海康威视数字技术股份有限公司,本科,1-3年,,15-25万,职位描述：1、负责公司存储类产品硬件的器件方案选型、原理图设计、PCB检查、单板BOM建立及量产落地工作。2、负责硬件电路调试，功能测试及硬件问题的debug。3、配合信号测试工程师，完成DIMM（DDR4/DDR5）、SATA、PCIE、HDMI、USB、I2C、I3C、CKD、PMIC等关键的信号（高速、低速）质量测试。4、配合热设计工程师、结构工程师一起解决硬件整机产品的散热、EMC问题。5...,人工智能,http://jobs.zhaopin.com/CC120975580J40582824315.htm,10000人以上,2025-02-23 16:33:04
技术负责人,杭州,杭州正卓建筑咨询有限公司,大专,经验不限,"公路工程,房建工程,土建工程,市政工程,路桥工程,水利工程,电力工程,桥梁工程",10-20万,高薪诚聘带业绩的建造师，一、房建／市政：业绩在四库等级为A/B有“技术指标”，有“项目发票”，无“未批先建”二、水利／公路：项目业绩资料齐全，业绩可回函！如满足：其他专业业绩可以具体谈！,咨询服务,http://jobs.zhaopin.com/CC332060710J40795548912.htm,20-99人,2025-11-11 00:00:02
硬件工程师,杭州,山西科达自控股份有限公司,博士,3-5年,,3-6万,岗位职责： 1、负责硬件电路设计，制定项目开发方案，为客户提供完善的硬件解决方案； 2、根据项目需求和开发计划，完成需求分析，进行研发产品的原理图设计、元器件选型、PCB设计、电路板调试等相关工作； 3、负责硬件系统设计及相关文档撰写； 4、负责硬件调试及配合相关其他专业工程师进行联调； 5、配合设备现场的安装、调试。 任职要求： 1、博士学历，电子、计算机、通信、自动化、测控等相关专业，3年及以...,电子设备制造,http://jobs.zhaopin.com/CC172695320J40791692307.htm,500-999人,2025-09-16 17:31:14
结构工程师（机器人本体）,杭州,伽利略(天津)技术有限公司,本科,3-5年,,2.5-5万,岗位职责：1. 机器人机械结构设计，包括但不限于四足、人型等；2. 负责机器人机械零部件的结构化及生产；3. 协助解决机器人调试过程中出现的问题；4. 解决完善产品结构设计及量产过程中的相关问题。5．持续优化产品标准化程度与可服务性，提升项目交付效率和稳定性；6.负责相关文档的输出，包括但不限于装配工艺流程图，质检流程规范岗位要求：1、本科及以上学历，机械设计相关专业；2、3年以上机构设计相关工作...,机器人,http://jobs.zhaopin.com/CCL1372383110J40915461215.htm,300-499人,2026-01-09 17:06:37
硬件工程师-机器人,杭州,浙江捷昌线性驱动科技股份有限公司,大专,10年以上,伺服驱动器,3-5万·13薪,岗位职责：1、负责机器人执行器的无刷伺服驱动器、编码器硬件选型与设计。2、负责机器人执行器产品的竞品或需求分析，设计整套电控硬件方案(器件选型、原理图、PCB等)，及后续的优化升级或定制产品的开发。3、根据实际性能指标需求，参考行业或产品标准，制定执行器整机性能测试方案，并执行电控相关的测试。4、编写技术开发设计文档，产品规格文档等。5、负责解决客户端的问题反馈。6、主导硬件的批量生产导入，包括生...,电气机械/电力设备,http://jobs.zhaopin.com/CC710407320J40805765307.htm,1000-9999人,2025-12-23 14:48:48
硬件工程师,杭州,南方新华,本科,5-10年,"芯片,电源",3-5万·16薪,岗位职责：1.带领团队一起研究整机、电路板对电源的详细需求（如纹波、效率、干扰、负载瞬态响应、可靠性等）、小电压小电流测量技术研究、高精度低噪声模拟信号链路研究；2.主导设计、仿真、实现各级电路的设计，并对其中关键技术点进行技术攻坚；3.带领团队一起研究负责针对成熟产品进行电源相关的技术改进，以及疑难问题的定位，输出解决方案；4.针对原理图设计、PCB设计、调试等环节提出重点指标与、关键步骤，并进...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40702148111.htm,100-299人,2025-10-24 16:56:11
硬件工程师,杭州,浙江亿邦通信科技股份有限公司,本科,5-10年,户储硬件,2.5-5万,岗位职责 1.电力电子线路设计及功率半导体器件应用，控制电路和通信电路以及相关接口设计；2.研发项目规划执行：与合作部门沟通、协调、及时调整目标和进度；3.主导解决技术问题，应用新技术、达成项目目标；4.按照设计流程完成产品设计并导入生产。任职要求 1.电力电子相关专业本科及以上学历，5年以上相关工作经验，熟悉模拟电路、数字电路，电力电子技术等相关知识；2.有电力电子相关产品如户用储能逆变器、光伏...,运营商/增值服务,http://jobs.zhaopin.com/CC352905910J40729426609.htm,300-499人,2025-10-22 00:00:02
关节模组结构工程师,杭州,伽利略(天津)技术有限公司,本科,3-5年,"关节模组,减速器",2.5-4.5万,一、岗位职责：1、负责人形/四足机器人关节模组的整体结构设计与优化，包括减速器设计、轴承选型、结构件设计等，确保关节模组紧凑性、高功率密度及高稳定性。2、进行齿轮强度校核、传动效率分析以及NVH优化设计；3、主导关节模组相关性能测试，如功能测试、寿命测试、防护等级测试等；4、主导解决关节模组试制过程中相关问题，协助生产解决关节模组量产过程中相关问题；5、行星减速器关节模组为主，拓展摆线减速器关节模...,机器人,http://jobs.zhaopin.com/CCL1372383110J40913547015.htm,300-499人,2025-12-30 17:58:14
机器人结构设计工程师(J40333),杭州,海信集团,本科,5-10年,"AutoCAD,机器人外壳结构,3D建模",面议,岗位职责:1、外壳结构方案设计：深入参与机器人产品的前期规划，根据产品功能需求、目标市场定位以及人机交互要求，主导机器人外壳结构的概念设计与方案制定。运用创新思维，提出多种可行性结构方案，并通过技术分析和成本评估，筛选出最优方案，确保外壳结构在满足功能的同时，具备良好的外观造型和用户体验。2、3D 建模与工程图绘制：熟练运用专业设计软件，如 SolidWorks、UG 等，进行高精度的机器人外壳三...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40834554203.htm,10000人以上,2025-09-05 13:56:44
PCS 高级硬件工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"PCS,逆变器",3.5-4.5万,职位职责：1、负责储能PCS系统的主控/通信/驱动电路原理图设计如DSP/ARM主控、以太网/CAN/URAT等通信接口设计、FPGA/CPLD、功率器件驱动等电路设计；2、负责PCS硬件拓扑选型、器件平台标准化，功率/电子等器件选型及验证、定制器件如电感等设计、滤波器设计等工作，输出BOM清单；3、负责硬件开发过程中各类设计文档编写；4、负责PCS硬件部分核心技术攻关；5、协同测试工程师完成PC...,新能源,http://jobs.zhaopin.com/CC653408580J40715535716.htm,500-999人,2025-05-22 16:41:44
