职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
物资设备管理（校招）,杭州,浙江交工国际工程有限公司,本科,无经验,"材料采购,物资采购,2026年毕业应届生",9-16万,负责项目机械、材料的需求计划编制与落实；对进场所有物资进行检验；对必须检验和试验的材料，通知试验人员抽样送检；做好原材料，成品和半成品的标识；负责物资的堆码、贮存、保管和发放工作；负责现场周转材料、工具的使用管理工作；根据施工预算，建立健全统计台帐；负责物资、设备等盘盈盘亏核算工作。 职位福利：六险二金、绩效奖金、定期体检、节日福利、公司重点项目、包吃、包住、高温补贴,工程施工,http://jobs.zhaopin.com/CC186905810J40043155209.htm,100-299人,2025-10-30 17:56:17
海外销售负责人（智能设备）,杭州,杭州凡略科技有限公司,本科,10年以上,"渠道销售,企业客户,KA大客户,海外",4.5-6万·15薪,核心产品为智能设备，行业级客户为主，销售方式以渠道和代理商为主base杭州，区域主要为：美洲、欧洲、中东、东南亚等主要职责：1. 深度开展市场研究工作，精准识别潜在商业契机，细致评估竞争对手的动态变化，为公司业务决策提供有力依据与前瞻性指引。2. 依据全面深入的市场调研成果，精心拟定并切实执行销售策略，涵盖产品定价的合理设定、富有创意的促销活动策划以及分销渠道的优化布局，全方位提升产品的市场竞争力...,互联网,http://jobs.zhaopin.com/CC827220350J40977828204.htm,20-99人,2026-01-04 14:17:20
销售总监（半导体设备）,杭州,浙江晶盛机电股份有限公司,本科,经验不限,"渠道销售,区域销售,代理商销售,KA大客户,企业客户",3-6万,职责描述：1、负责全国及国外半导体市场的开发和维护；2、按照公司计划以及项目需求推广、介绍产品并提供相应解决方案，并挖掘客户需求；3、与客户建立良好关系，积极的完成销售任务；4、因地制宜制定和实施性的发展计划，每个项目的跟进并负责货款的回收以及整个合同的执行工作；任职要求：1、本科及以上学历，具有敏锐的洞察力以及市场分析能力；2、无销售经验也可，热爱销售工作，有fab厂或者半导体设备销售工作经验优...,仪器仪表制造,http://jobs.zhaopin.com/CC508757620J40794880005.htm,1000-9999人,2025-12-29 13:23:20
光储冲一体电子电气工程师,杭州,智联猎头,本科,5-10年,,3.5-5.5万·14薪,职位概述我们正在寻找多位卓越的电子电气架构师，作为我们核心产品的技术奠基者。您将参与设计并实现一款前沿的储能充电机器人的电子电气架构。机器人能够自主移动、精准操作，完成高效的储能/充电任务。如果您渴望从0到1打造一个颠覆性的产品，并愿意与公司共同成长，这个职位是您的不二之选。此岗位职责聚焦储能充电模块的EE架构设计。核心职责 全局架构设计： 负责储能充电模块的电子电气系统顶层设计，定义能源分配、网...,互联网,http://jobs.zhaopin.com/CCL1318355140J40861114703.htm,10000人以上,2025-12-30 16:04:59
口扫设备项目负责人,杭州,杭州原华供应链管理有限公司,本科,3-5年,口扫设备,3-5万,岗位职责：1、搭建口扫设备制造工艺体系(1)主导口扫设备原型机到量产的全流程工艺设计，建立核心工艺节点。(2)开发适用于小批量试产的柔性化工艺方案，快速响应设计迭代需求。2、持续工艺优化与爬坡(1)建立关键工艺参数的实验模型，推动良率提升。(2)设计数据驱动的工艺监控系统，实现早期异常预警。3、工艺赋能：制定工艺验收标准等。岗位要求：1、专业背景：生物医学工程、光学等专业本硕博学历，有口腔扫描仪，...,医疗设备/器械,http://jobs.zhaopin.com/CC461407880J40876164715.htm,500-999人,2025-08-22 00:05:41
输配电设备研发总工,杭州,万马科技股份有限公司,本科,10年以上,"电力输配电设备研发和管理,设计管理,技术管理",3-4.5万,1、负责输配电设备的详细设计与开发工作，包括但不限于电气系统、配电设备的设计；2、根据项目需求进行产品设计，完成从概念到详细设计的全过程；3、 制定设计方案，确保其满足技术规范、安全标准和客户要求；4、与其他团队成员紧密合作，包括销售、生产和技术支持等，以确保项目的顺利进行；5、解决产品的测试、验证和改进过程，解决设计过程中出现的技术问题；6、持续关注行业动态和技术发展，为产品创新提出建议。【任职...,通信/网络设备,http://jobs.zhaopin.com/CC326860280J40858069012.htm,500-999人,2025-12-10 12:54:46
半导体设备销售经理,杭州,上海东方希望企业信息服务有限公司,本科,5-10年,"企业客户,KA大客户,渠道销售",3-4.5万,1、负责公司半导体设备（CVD 设备、CMP 相关设备、背面减薄设备、碳化硅外延炉、炉管设备等）的销售工作，制定并执行销售计划，完成公司下达的销售指标。2、积极开拓新客户，深入挖掘 fab 厂及封装测试类客户的需求，建立稳定的客户关系，维护客户资源。3、向客户全面、准确地介绍公司产品的性能、优势及应用，为客户提供专业的解决方案，协助客户做出购买决策。4、参与销售谈判，签订销售合同，确保合同的顺利履...,化学纤维制造业,http://jobs.zhaopin.com/CCL1443817340J40812572809.htm,10000人以上,2025-11-22 10:32:38
高级电气研发工程师,杭州,上海翎酉企业管理咨询有限公司,本科,5-10年,"储能箱,汇流柜",3-4.5万,岗位职责：1. 负责根据国内海外规范进行储能箱内电气设计，包括储能系统电气架构、配电柜、汇流柜、集装箱等设备电气设计选型，完成与供应商技术对接，并输出电气原理图、接线图、器件清单、技术协议等技术文件;2. 负责储能电站部分一次、二次电缆，监控等设备选型设计，并输出电缆清册等技术文件；3. 负责BMS、PCS升压一体舱等部件选型，完成与供应商技术对接，并根据项目要求输出相应技术协议；4. 负责IEC...,新能源,http://jobs.zhaopin.com/CC653408580J40715552416.htm,500-999人,2025-05-22 16:50:51
海外前端技术支持工程师,杭州,苏州科达,本科,经验不限,"网络通信设备,软件产品,安防系统,英语流利",3-4.5万,测试、实施工作，成长后担任测试或者实施项目经理岗位岗位职责： 1、能独立或者在指导下完成前端系统包括视频捕获设备、前端管理设备、拼接屏等的安装调试和效果演示工作；独立或者在指导下完成系统问题、功能需求的处理； 2、协助项目经理编写工程项目文档，包括工程实施方案、项目进度计划、项目成本估算、项目变更文件、到货清单、验收报告等； 3、协助项目经理协调工程项目实施业主、监理等各方关系，保证工程项目的顺利...,运营商/增值服务,http://jobs.zhaopin.com/CC133299610J40778366503.htm,1000-9999人,2025-04-15 16:30:12
PCS电气工程师（电控研究院）,杭州,浙江南都电源动力股份有限公司,本科,5-10年,"设计,配电柜,开关柜,PCS,逆变器,变流器",2-4万,职位职责：1、负责完成储能系统的电气设计，输出电气一次/二次图纸及BOM清单，线束图纸。2、负责储能系统相关电气设备选型及验证、器件平台标准化，如IGBT、断路器、电源、防雷器件、变压器等。3、负责系统的电气安规设计及相关认证，负责直流/交流滤波器EMI设计及参数确定。4、负责项目电气相关输出资料的编制整理及归档，并协助相关部门完成各类认证/验收工作。5、负责研发过程中的储能系统测试平台搭建，协同...,互联网,http://jobs.zhaopin.com/CCL1318355140J40766301403.htm,500-999人,2026-01-06 01:04:36
