职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
寿险公司总部-产品（精算）部-总经理,南京,南京市慧格一诺商务管理咨询有限公司,硕士,10年以上,"人身险,保险产品设计,中国精算师,FSA北美精算师,FIAA澳大利亚精算师,寿险产品",7-11万,工作职责（1）统筹进行产品市场研究，撰写市场产品信息报告；（2）统筹协调相关渠道制定有效的产品开发计划，进行产品全流程管理；（3）按照产品开发计划，组织各渠道产品的形态测试、条款撰写、费率厘定、利润测试及产品备案等工作；（4）审核产品总结报告等相关材料和数据，并及时报送监管机关；（5）审核各渠道产品的运营规则、销售材料，组织系统测试及保单质检等工作；（6）完成领导交办的其他工作。任职资格（1）统招...,咨询服务,http://jobs.zhaopin.com/CC813032710J40907465808.htm,100-299人,2025-12-19 16:27:32
产品vp,南京,江苏零浩网络科技有限公司,本科,经验不限,软件产品,7-9万·15薪,1、产研一体出身的开发经验，具备高度的客户思维2、确保项目按计划进行，监控项目的风险状况，及时调整项目计划和策略。3、协调技术部门与其他部门的协作，推动技术成果商业化，确保产品及易用性对项目的影响。4、具备后台高并发经验，有上千万用户处理经验，有相关大型互联网项目服务端整体架构和开发经验。5、过往做过市场反馈良好的成熟的产品，TOB和TOG端有同质化产品SAAS优先；6、50人以上的团队管理规模，...,互联网,http://jobs.zhaopin.com/CC293273230J40805869209.htm,500-999人,2025-11-25 17:46:10
产品销售经理,南京,南京瑞维尔电子技术有限公司,大专,1-3年,,5-9万,岗位：市场销售 公司目前开发生产的产品有： 无人驾驶扫地机、洗地机；激光雷达；汽车、列车障碍物探测系统。急需一批兼职销售人员来一起做大市场，欢迎有一定工作经验和市场渠道的人才加入，实现财富共营。职责： 1. 利用自己多年产品销售经验，增加自己的业务拓展。 2. 实现个人的价值，与我们的公司一起开拓市场。 3. 实现个人利润最大化，公司作为你施展才华的平台。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC523516520J40605830712.htm,20-99人,2025-05-19 11:19:12
董事/助理董事（VP/D）-可base全国,南京,重庆猎寻企业管理顾问有限公司,本科,5-10年,"并购投资,产业投资,债权投资",4-8万,岗位职责：1、根据公司战略发展规划，积极拓展企业家/企业客群资源；2、深度挖掘企业家（To C）资产安全、代际传承、资产管理、医疗健康等需求及其下属企业（To B）的融资类需求；3、根据企业家及其下属企业的需求组织集团境内外各平台资源；为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求：1、统招本科及以上学历，金融、财务、经济等统招本科专业优先，至少5年以上金融行业从业经验；2、具...,人力资源服务,http://jobs.zhaopin.com/CC664497020J40814268301.htm,10000人以上,2025-12-15 09:27:37
芯片产品经理,南京,某央企,硕士,经验不限,,3.5-7万,岗位职责：1、负责面向工业、消费电子、汽车电子等场景的芯片及相关解决方案（如处理器、传感器、功率芯片、AI芯片等）的产品定义、市场开发、客户沟通及商业化落地工作；2、调研分析芯片市场动态、技术趋势及容量规模，判断目标应用场景及客户群体，输出市场分析报告及产品策略；3、开发芯片领域潜在客户（如设备厂商、方案商、终端制造商等），维护核心客户关系，深度挖掘客户技术需求与商业痛点，定期向公司反馈需求优先级...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866290903.htm,500-999人,2026-01-09 01:07:10
产品部总经理(J11591),南京,利安人寿保险股份有限公司,硕士,经验不限,产品定价,5-7万·16薪,岗位职责:（1）统筹进行产品市场研究，撰写市场产品信息报告及市场研究类报告；（2）负责拟定产品开发策略，协同相关渠道制定有效的产品开发计划；（3）负责产品全流程管理，安排落实产品业务发展委员会相关的资产负债联动措施；（4）按照产品开发计划，组织各渠道产品的形态设计、条款撰写、费率厘定、利润测试、产品备案及再保险安排等工作；（5）审核产品总结报告等相关材料和数据，并及时报送监管机构；（6）协助各渠道...,保险,http://jobs.zhaopin.com/CC145078090J40738411506.htm,1000-9999人,2025-12-09 00:00:01
电力交易产品开发工程师(全栈),南京,福州盘桓轩信息科技有限公司,本科,5-10年,"Java,全栈开发",5-6万,岗位职责：1、负责前后端技术架构设计、技术选型、需求分析、方案设计及开发维护，具备撰写高质量技术方案能力。2、负责优化开发流程、搭建高效集成的开发环境，提高开发质量和效率。3、把握前后端技术发展潮流，牵头新技术的研究，推动业务发展。4、主导技术难题攻关，进行代码审查、技术分享，推动团队技术进步和蕞佳实践。5、参与产品需求讨论，从技术实现和用户体验角度提供洞见，提升产品用户体验。任职要求：1、5年及...,互联网,http://jobs.zhaopin.com/CCL1371080860J40910223608.htm,20-99人,2026-01-06 14:42:08
科研助理（公路工程研发方向）,南京,中路交科科技股份有限公司,博士,经验不限,,3-6万,工作职责:1、作为技术带头人，负责道路专业方向相关的重大科研项目策划，技术研发等相关研发工作；2、负责科研项目的管理及质量把控；3、协助项目申报、沟通汇报等工作；4、负责部门相关专业技术能力提升和项目团队人员的培训工作。任职资格:1、道路工程、道路材料相关专业，博士学历；2、有较强的科研能力，能够从事道路工程相关技术研发、科研创新、技术咨询等工作；3、思路开阔，吃苦耐劳，有良好沟通能力和团队精神。...,工程技术与设计服务,http://jobs.zhaopin.com/CC478337580J40749577601.htm,300-499人,2025-06-26 16:52:45
医药产品经理,南京,先声药业,本科,经验不限,"神经科,新药,化学药",3.5-5.5万,1.以客户为中心，定义产品细分领域目标市场与客户，发现增长机会点；2.搭建产品领域专业营销活动平台，提升品牌价值；3.围绕产品战略，制定产品领域营销策略、计划、预算并组织实施；4.应用PDCA工具复盘会议活动等有效性，持续纠偏，聚焦投入类指标改进；5.开展产品设计与生命周期管理；6.建立产品品牌，提供匹配客户需求的品牌提示物、互动资料等学术资源，以及提供高质量赋能内容，赋能一线。,医药制造,http://jobs.zhaopin.com/CC133958490J40729067606.htm,1000-9999人,2025-10-28 09:59:39
硬件产品GTM总监(J10013),南京,东集技术股份有限公司,本科,10年以上,"售前产品,物联网产品,产品/版本迭代,销售策略,市场推广",2.5-5万,岗位职责:1、产品规划和市场策略制定：负责产品的规划、设计、开发与优化工作，根据公司的发展规划和市场策略，制定市场拓展规划，确保产品在目标市场和行业中的持续增长。2、市场需求分析和用户反馈：深入了解市场需求和用户反馈，收集用户反馈，推动产品的持续优化和增长。3、产品生命周期管理：负责产品的全生命周期管理，包括销量预测、产能调控、库存监控等。4、市场推广和销售策略：制定并执行市场推广策略，确保产品在...,物联网,http://jobs.zhaopin.com/CC120918330J40741946606.htm,500-999人,2026-01-09 01:16:17
