职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营总经理,南京,江苏零浩网络科技有限公司,本科,经验不限,,5-7万·14薪,1、结合新能源物流行业政策、市场动态及平台定位，制定中长期发展战略与年度经营目标，明确业务拓展方向与盈利路径，对平台整体经营业绩负责。2、制定年度预算方案，严格管控电耗、车辆维保、人力、充换电基建等核心成本，通过数据分析输出降本增效策略，提升平台利润率。3、跟踪战略落地进度，定期复盘经营数据，根据政策变动和市场竞争及时调整战略方向，保障业务持续增长。4、主导新能源车辆全生命周期管理，包括车辆选型、...,互联网,http://jobs.zhaopin.com/CC293273230J40813598609.htm,500-999人,2025-11-25 17:45:52
私域电商负责人,南京,汇通达,大专,5-10年,,2.5-5万,岗位职责：1、根据公司战略和业务发展，负责电商业务部整体规划和私域分销板块业务规划2、负责私域分销体系搭建，从引流、转化、复购到分销的全链路运营体系，负责私域用户生命周期管理及优化3、分析市场趋势与用户需求，优化商品结构，制定差异化运营和销售策略4、负责管理和领导电商业务团队，带领团队完成部门目标任职资格：1、大专及以上学历，8年及以上电商分销相关工作经验，其中3年及以上0-1私域分销和团队管理经...,互联网,http://jobs.zhaopin.com/CC393677210J40800281313.htm,1000-9999人,2025-07-16 14:49:07
连锁便利店营运总监,南京,哈尔滨市新天地超市有限公司,大专,5-10年,销售运营,2-4万,岗位职责:1、制定营运发展规划和营运策划，积极推动公司各项经营指标、销售指标的完成;2、负责营运部各门店管理标准、服务标准、营运标准的制定与监督执行，对门店进行分析 考核，提高经营质量;3、制定门店检查制度，监督指导所有制度、流程和标准在各门店落地执行;4、负责完善连锁店面形象，指导并监督各门店陈列；及店面形象方面的提升工作;5、完成总部开店任务，确保开店质量和门店人员素质;6、负责营运部商品盘点...,快速消费品,http://jobs.zhaopin.com/CC397660230J40851695012.htm,1000-9999人,2026-01-04 15:33:18
医疗外贸运营,南京,江苏普渡医疗科技有限公司,本科,3-5年,"英语,医疗外贸运营,外贸运营",2-4万,一、岗位职责 1、负责阿里巴巴平台搭建、整体运营、维护和管理，确保账号安全和业绩增长； 2、对于线上销售的产品进行维护、修改和上下架，优化关键词描述等信息； 3、统计销售数据，库存书记等并做数据分析，及时调整销售策略，保持较好的库存流转率； 4、收集并分析竞品信息，定期优化产品，及时调整，保持产品优势，提高产品占有率； 5、利用公司平台，维护好客户关系，了解客户的具体需求，开拓新的客源渠道； 6、...,医疗设备/器械,http://jobs.zhaopin.com/CCL1387664710J40780243916.htm,20-99人,2025-12-11 11:22:03
总监助理,南京,江苏博润医院管理有限公司,硕士,1-3年,数据运营,2-4万,一、岗位职责1. 数据运营分析：牵头整合门诊量、住院周转率、病种结构等核心医疗数据，对接HIS/LIS系统提取有效信息，运用数据分析模型输出运营优化报告，支撑院长对科室绩效、资源调配的决策；2. 医疗流程优化：针对门诊导诊、急诊绿色通道、手术安排等关键流程进行梳理，结合精益管理思路设计优化方案，推动跨科室协作（如临床与医技科室衔接），提升患者就医体验与医疗效率；3. 项目沙盘推演：围绕等级医院评审...,卫生服务,http://jobs.zhaopin.com/CC289840530J40780176016.htm,1000-9999人,2025-12-11 09:37:23
电商经理/总监,南京,南京亿高医疗科技股份有限公司,本科,经验不限,"电商,家用医疗",2-4万,岗位职责：1、统筹天猫、京东、抖音等全电商渠道战略，制定销售目标，牵头完成年度销售额及市场份额增长；2、负责家用医疗品类（康复/理疗等）选品、定价、活动策划、内容营销等核心运营工作；3、搭建并管理电商团队，协调内部供应链、合规及外部平台、KOL 资源；4、监控渠道数据，分析竞品与市场趋势，优化运营策略，提升转化与复购；5、把控医疗器械电商合规风险，维护品牌专业形象。任职要求：1、本科及以上学历，5...,医疗设备/器械,http://jobs.zhaopin.com/CC133997410J40839900813.htm,500-999人,2025-11-07 11:56:12
跨境电商市场营销经理,南京,南京柯林恩倪电子科技有限公司,本科,3-5年,"管理经验,独立站,WordPress,数据分析,英语可作为工作语言",2-4万·13薪,招聘岗位：运营经理、总监 岗位职责： 1. 根据公司产品及品牌发展战略，合理策划各类营销、推广方案； 2. 把握市场及竞争品牌态势，及时调整销售策略及相关支持； 3. 完成网站管理及发展规划、促进网站、品牌知名度的提高； 4. 根据站点数据情况，制定相关营销策略； 5. 检查广告组提供的数据情况，制定，调整广告投放方案； 6. 推进公司市场推广项目进展； 7. 负责市场部团队管理工作。 任职要求：...,贸易/进出口,http://jobs.zhaopin.com/CC530442220J40324858310.htm,20-99人,2025-10-15 17:05:37
运营总监（负责人）,南京,先声药业,本科,5-10年,公司运营,3-4万·15薪,工作职责：1、部门管理：全面负责运营部管理工作，为业务提供各项支持；2、制度建设：负责公司制度流程搭建及优化，提出切实可行地建议及整改措施，督促跟踪落实；3、数据支持：结合业务开展需求，负责经营管理所需数据模型建立及更新管理；4、合规管理：负责内控制度执行情况的检查、评价、报告、建议职能，确保符合公司政策及合规要求;5、协调管理：负责部门间协调沟通，开展公司内由运营部主导及配合落实的相关工作；6、...,医药制造,http://jobs.zhaopin.com/CC133958490J40712465006.htm,1000-9999人,2025-09-10 10:30:10
南京兔宝宝整家运营总监,南京,南京柏圣家居有限公司,大专,5-10年,"销售运营,门店运营,toC",2-3.5万,【岗位职责】- 统筹南京区域整家定制业务全链路运营，制定区域战略规划、年度业务目标及实施路径，对南京区域整家业务的营收、利润等核心指标负总责；- 牵头整合南京本地产品、渠道、营销、服务资源，优化区域整家产品矩阵，搭建高效的区域渠道运营体系，推动线上线下协同拓客，深化小区团购、家装公司合作等本地特色渠道；- 负责南京区域运营团队的搭建、管理与赋能，制定科学的团队考核与激励机制，主导团队人才梯队建设，...,家具/家居/家电,http://jobs.zhaopin.com/CCL1422099520J40867304703.htm,20-99人,2026-01-04 09:52:56
新媒体运营总监,南京,全益(上海)人力资源有限公司,本科,1-3年,,3-3.5万,岗位职责1.运营体系搭建：负责搭建并优化公司新媒体广告投放运营体系，涵盖小红书、知乎、B 站、微博等平台的投放策略制定、账户管理、数据监测与效果优化，建立标准化的运营流程与服务规范。2.投放效果管控：统筹客户广告投放项目的全生命周期管理，对接客户需求并制定个性化投放方案，实时监控投放数据，根据数据反馈及时调整投放策略，确保投放效果达到客户预期，提升客户留存率。3.销售协同赋能：具备销售思维，主动参...,人力资源服务,http://jobs.zhaopin.com/CCL1317795840J40867295703.htm,500-999人,2026-01-04 09:36:43
