职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
兼职客服电话销售,南京,中国平安人寿保险股份有限公司江苏分公司第一营销服务部,高中,经验不限,"电话销售,保险行业,银行,投资/理财,网络销售,渠道销售",4500-8000元/时,老客户资料维护保单检视保单理赔保单保全银行，证券，投资，信托，贷款，理财，买车，信用卡等综合金融服务,保险,http://jobs.zhaopin.com/CC227971620J40383966303.htm,1000-9999人,2025-02-20 14:23:32
银行续期专员,南京,泰康人寿保险有限责任公司,本科,1-3年,,2-4万,岗位内容：1. 负责已在银行购买过本公司产品的客户续期服务，再次洽谈、协调和推进，完成业绩目标。（带参观养老社区，医院等服务）2. 根据客户需求，进行方案定制和产品推荐，提升客户满意度和忠诚度。3. 负责处理客户反馈问题，及时解决并跟进相关事宜。任职要求：1. 具有优秀的销售能力和洽谈技巧，至少2年以上销售或客户管理工作经验。2. 熟悉金融保险等行业，了解客户需求和市场动态。3. 具备高度的责任心...,保险,http://jobs.zhaopin.com/CC229745320J40719230301.htm,10000人以上,2025-05-26 18:06:29
银行保险续期经理,南京,泰康人寿保险有限责任公司江苏分公司,大专,1-3年,"现场客服,VIP客服,电话客服",1.5-3万·13薪,岗位内容： 1. 负责客户续期过程中的洽谈、协调和推进，完成业绩目标。2. 分析竞争对手和市场趋势，及时调整销售策略。3. 根据客户需求，进行方案定制和产品推荐，提升客户满意度和忠诚度。4. 负责处理客户反馈问题，及时解决并跟进相关事宜。任职要求： 1. 具有优秀的销售能力和洽谈技巧，至少2年以上销售或客户管理工作经验。2. 熟悉金融保险等行业，了解客户需求和市场动态。3. 具备高度的责任心和团队...,保险,http://jobs.zhaopin.com/CC131944300J40883796608.htm,10000人以上,2026-01-11 17:26:15
电话销售/招商客服/销售代表,南京,南京澳洁企业管理有限公司,中专/中技,1-3年,"个人客户,销售,电销",1.3-2.5万·13薪,我们的销售模式：公司提供优质客户资源，分给销售顾问名单资源，不用像其他快速消费品等业务员那样上门推销，工作环境舒适，不用外出陌生拜访，不用出差！一、岗位职责：1、电话与意向客户（公司公司分配的有效优质资源）进行加盟流程沟通；2、电话邀约意向客户来公司参观考察；3、来访客户全程协助接待、销售洽谈与谈判、意向合同、正式合同的签订。4、签约客户的后续执行沟通服务。二、岗位要求：1、中专及以上学历，年龄2...,耐用消费品,http://jobs.zhaopin.com/CC500537120J40405411809.htm,100-299人,2025-12-26 10:07:26
网络在线客服,南京,南京可优米网络科技有限公司,大专,1-3年,售后客服,1.3-2.5万,1、及时接听电话，商务通，微信等线上咨询者，专业、准确解答咨询客人的需求以及咨询者提出的各种疑问，能快速准确的对咨询需求做出有效回应；2、回复网站后台客户的留言，做好跟踪服务工作，及时处理后台预约客户信息，与现场咨询做好对接工作；3、把每日的咨询量、预约量、客户资料等内容及时录入系统，及时为预约客户在4、做好客户的回访工作及引导工作；系统上建立档案；任职资格：1、有做过客服或者销售，商务通、电话经...,通信/网络设备,http://jobs.zhaopin.com/CC456265680J40659773709.htm,100-299人,2025-07-17 16:59:33
老客户售后服务客户经理,南京,中国人寿保险股份有限公司南京市分公司收展营销服务部,大专,1-3年,"全白班,双休不加班,时间自由",1.2-2.4万,工作内容:1、联系并完善存量客户资料，如手机号、身份证有效期及家庭住址……；（不需要自行去开拓！！！）2、协助客户理赔资料提交;3、客户的定期权益活动通知，如缴费提醒、节日礼发放、星级礼品领取等；4、邀约老客户参与回馈活动，告知最新资讯，实现二次开发要求:1.年龄25 周岁~45周岁，大专及以上学历2.熟悉办公软件3.做事细心谨慎4.有上进心工作时间:上午 8:30-11:30午休2小时下午 13...,保险,http://jobs.zhaopin.com/CC606591220J40872051715.htm,10000人以上,2025-10-15 14:32:29
销售客服,南京,华乾万清科技,学历不限,无经验,"企业客户,个人客户,电话销售,渠道销售, 面销/陌拜,KA大客户",1.1-2.2万,财商钱道(江苏)科技有限公司→债务处置调处【使命】通过提供专业、同理心和高效的债务调解服务，帮助债务人摆脱财务困境，重建财务健康【公司主营】债务调解，综合法律服务。国家政策，合法合规!全国首批律所+司法调解中心的专业债务债权调解服务机构【工作内容】1.正规法务服务工作主要提供债务规划，债务延期，停息挂账，延期保房，债务减免追息等业务。2.了解客户需求，给客户进行债务知识普法宣传，根据客户收支情况，...,法律服务,http://jobs.zhaopin.com/CCL1495199390J40906880415.htm,100-299人,2026-01-06 16:26:32
满帮平台账号风控专员,南京,极牛控股集团有限公司,学历不限,经验不限,"投诉客服,VIP客服,满帮客服,满帮处理账号客服,货车帮",1.3-2.1万,工作职责：客诉处理与账号救赎： 全面负责处理公司名下所有“运满满司机端”及“货车帮司机端”账号的异常、处罚、封禁等客诉问题。沟通与谈判： 作为公司与满帮官方客服沟通的主要桥梁，通过电话、工单、邮件等多种方式，进行专业、高效的沟通与谈判，力争撤销处罚、降低罚款金额或缩短封禁时间。人脉资源运用： 充分利用您在满帮集团的内部人脉资源（特别是客服部门），快速定位问题关键人物，推动客诉案件优先、高效处理，争...,专用设备制造,http://jobs.zhaopin.com/CCL1495734450J40723272206.htm,20-99人,2025-10-11 10:18:58
下班不考勤的国企高薪岗,南京,中国人寿保险股份有限公司南京市分公司收展营销服务部,大专,1-3年,"双休不加班,时间自由,90 后/00 后",1.2-2.4万,工作内容:1、联系并完善存量客户资料，如手机号、身份证有效期及家庭住址……；（不需要自行去开拓！！！）2、协助客户理赔资料提交;3、客户的定期权益活动通知，如缴费提醒、节日礼发放、星级礼品领取等；4、邀约老客户参与回馈活动，告知最新资讯，实现二次开发要求:1.年龄25 周岁~45周岁，大专及以上学历2.熟悉办公软件3.做事细心谨慎4.有上进心工作时间:上午 8:30-11:30午休2小时下午 13...,保险,http://jobs.zhaopin.com/CC606591220J40871847515.htm,10000人以上,2025-10-15 14:32:24
销售客服（不需自己找客户，1.5W，休6天）,南京,南京阿余好饿科技有限公司,学历不限,经验不限,网络销售,1-2万,岗位职责：1.对接公司后台分配的精准客户资源，为客户提供专业的减脂指导，定制个性化课程与产品推荐；2.完成课程及产品的成单，达成每月销售目标；3.持续跟进客户减脂进展，提升客户满意度和复购率。岗位要求：1.年龄20-30岁，大专及以上学历，有线上成单或续费经验者优先；2.沟通表达清晰，具备一定的抗压能力和团队协作精神；3.热爱大健康行业，有相关经验或知识背景优先录用。福利待遇：薪资结构：底薪500...,互联网,http://jobs.zhaopin.com/CCL1510281440J40778058709.htm,300-499人,2026-01-09 10:53:06
