职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级C++开发工程师,南京,南京聚铭网络科技有限公司,本科,5-10年,,20-25万,任职要求：1、统招本科及以上学历，计算机相关专业，5年以上工作经验，3年以上网络安全产品开发经验2、精通Linux环境C/C++开发，对操作系统内核有一定的调优经验3、熟悉TCP/IP、HTTP协议，熟悉Socket、多线程并发4、有高性能编程经验、海量数据的存储、检索经验者优先5、有SIEMS、SOC、IDS、IPS等产品开发经验者优先6、熟悉常见的网络设备、安全设备产品使用者优先7、具有独立解...,互联网,http://jobs.zhaopin.com/CC388073530J40726990609.htm,100-299人,2025-04-23 16:08:48
研发总监,南京,南京紫金山科技产业发展集团有限公司,博士,5-10年,,4-7.5万,岗位内容：1. 领导和管理一个高素质的技术团队，共同完成公司的IT战略和目标。2. 参与系统规划和战略决策，制定和实施各类技术项目计划。3. 确保软件产品的质量和性能，并优化和改进现有的系统流程。4. 负责日常运营和维护，处理系统故障和客户投诉。任职要求：1. 具备较强的计算机科学和IT技术基础，对软件开发和系统架构有丰富的经验。2. 有7年以上的IT技术/研发经验，3年以上的管理经验。3. 能够...,互联网,http://jobs.zhaopin.com/CCL1318355140J40862420403.htm,500-999人,2025-12-30 01:07:41
Ai开发专家(J12209),南京,江苏鱼跃医疗设备股份有限公司,硕士,10年以上,"Python,大模型应用",5-7万·14薪,岗位职责1. 负责公司大模型应用方向的技术路线与架构设计：模型选型、能力规划、迭代节奏、成本与质量目标。2. 搭建可复用的 LLM 应用平台能力： - Agent/工作流编排、工具调用网关、权限与审计 - Prompt/模板与版本管理、配置化发布、灰度与回滚 - 统一会话/记忆管理、上下文压缩、长期记忆策略3. 负责 RAG 全链路工程化与治理：数据接入标准、索引策略、召回/重排优化、证据引用、知...,医疗设备/器械,http://jobs.zhaopin.com/CC199971310J40867912703.htm,10000人以上,2026-01-06 11:30:47
AI研发部负责人,南京,中储智运,硕士,5-10年,,3.5-7万,工作职责1. 制定和实施公司⼈工智能的发展战略和规划，将AGI研究与公司现有的业务目标相结合；2. 领导和管理⼈工智能的团队，包括招聘、培训、评估和激励员工，建⽴高效的团队合作和知识共享机制；3. 确定AGI在公司业务中的应用领域和机会，并提供相关技术和解决⽅案；4. 密切与业务部门合作，理解业务需求，并将AGI的研究成果转化为实际的产品和服务；5. 确保AGI研究成果的创新性和实用性，能够为公司...,货运/物流/仓储,http://jobs.zhaopin.com/CC673786820J40831113310.htm,1000-9999人,2026-01-05 15:42:33
人工智能总监,南京,药石科技,本科,10年以上,"Java,C语言,Python",3.5-7万,"负责公司人工智能技术的战略规划、团队建设与技术落地。领导团队在机器学习、大语言模型、生成式AI及智能体等前沿领域进行研发与创新应用。岗位描述1.制定并执行公司的人工智能技术发展路线图，确保技术方向与业务目标高度一致。跟踪AI领域前沿技术（如LLM, Generative AI, AI Agent等），评估并引入适合公司的先进技术与架构；2.组建、培养和管理高水平的人工智能技术团队（包括研究员、算法...",化学原料/化学制品,http://jobs.zhaopin.com/CC218331910J40797677111.htm,1000-9999人,2025-10-23 15:20:29
智算中心基础设施高级专家,南京,智联猎头,硕士,5-10年,数据中心,5-7万,岗位职责：（1）负责规划和引领江苏联通智算中心基础设施领域的研究探索，为企业智算业务的长远发展提供战略支撑。（2）负责打造支撑人工智能、智算业务需求的智算中心基础设施创新应用，本地化行业模型，承担公司智算中心基础设施类核心课题，解决复杂问题和推动业务价值提升。（3）负责开发与智算业务算力匹配的电力、暖通液冷等基础设施创新应用的解决方案，揭榜挂帅公司重点项目，提升公司人工智能、算网数智方面的竞争力和...,互联网,http://jobs.zhaopin.com/CCL1318355140J40844994203.htm,10000人以上,2025-10-10 09:32:07
人工智能专家（博士 福建福州办公）,南京,福建新大陆时代科技有限公司,博士,经验不限,"深度学习,机器学习,图像算法",4-7万·14薪,1、主导人工智能教学产品的整体开发工作，结合职业教育业务形态和教学目标，设计涵盖人工智能所有技术模块的教学产品架构。2、深入研究职业教育学生的特点和学习需求，开发出具有针对性、实用性和创新性的教学内容，包括但不限于课程体系、教学案例、实践项目等，确保学生能够有效掌握人工智能知识和技能。3、运用深厚的人工智能专业知识，为研发团队提供技术指导，解决产品开发过程中涉及到的复杂技术问题，如机器学习算法优化...,计算机软件,http://jobs.zhaopin.com/CC847122470J40830672602.htm,500-999人,2025-09-29 09:45:18
高级基带算法工程师,南京,南京沁恒微电子股份有限公司,博士,经验不限,,4.5-6万,岗位职责： 1、从事无线通信和数字基带信号处理等领域算法的研究和开发，并利用DSP，数字IC等硬件模块进行算法加速； 2、负责无线通信系统的需求分析、算法方案设计、算法选型、算法性能分析与优化、算法交付实现； 3、搭建链路级算法仿真平台，使用仿真工具进行关键算法仿真与验证； 4、编写、调试和维护算法代码(C/C++)，与软硬件团队紧密合作在实际项目中实现、集成和验证算法； 5、针对不同处理器架构(...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1215465070J40819581009.htm,100-299人,2026-01-06 14:56:45
（可兼职）C++逆向工程师,南京,江苏猎宝网络科技股份有限公司,学历不限,经验不限,"C语言,逆向,游戏安全",3-6万·13薪,"工作内容：1、负责软件逆向分析或还原、开发工作；2、负责配合产品线开发工程师的软件开发需求；3、负责对技术预研难点进行攻关；4、负责游戏反作弊相关工作；5、负责其它技术相关工作；工作要求：1、计算机软件或相关专业，3年以上工作经验；2、精通x86、x64反汇编;3、熟悉winodws原理和MFC,WIN32 API开发，掌握PE文件格式；4、熟练使用OD、IDA、x64Dbg、Windbg等调试器...",游戏,http://jobs.zhaopin.com/CC272311010J40808468007.htm,300-499人,2026-01-06 00:19:21
AI应用工程师（CV方向）,南京,某央企,硕士,3-5年,,3-6万·13薪,岗位职责：1、快速开发AI软件产品原型；2、对问题进行需求分析，选择合适的计算机视觉相关的智能模型。3、对模型进行训练和调优，以满足任务目标。 4、具备国产化硬件平台（华为、算能、寒武纪等）适配部署能力。5、收集运行数据，持续更新模型。6、配合项目相关的算法开发工作，研发演示系统，并支撑指标测试等工作。7、结合客户需求，为客户提供深度学习解决方案，并负责方案的落地；8、了解行业发展趋势，挖掘客户需...,互联网,http://jobs.zhaopin.com/CCL1318355140J40866293603.htm,500-999人,2026-01-05 01:07:23
