职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
设计管理中心总监（集团总部设计负责人）,南京,北京中企会人力资源科技有限公司,本科,10年以上,,6-6.5万,岗位职责：1、构建和完善标准化设计管理体系，涵盖流程、质量、成本控制等规范，推动设计管理科学化、规范化。2、统筹设计资源，包括内外部团队任务分配，外部合作方及顾问的选择、评估与管理，建立合格供应商库。3、主导项目从立项到交付全周期管理，把控设计各阶段（规划、方案、施工图等）进度、质量和成本。4、组织方案研讨与评审，确保设计成果符合市场需求、企业定位及成本要求，建立质量审查机制，减少施工变更。5、协...,人力资源服务,http://jobs.zhaopin.com/CCL1462776790J40812189608.htm,20-99人,2026-01-07 01:19:29
设计院院长,南京,江苏冠军科技集团股份有限公司,本科,10年以上,,2-4万,【工作内容】1、主导新型环保涂料的研发与产业化应用，参与大型桥梁、设备工程、钢结构项目的整体设计规划与技术方案制定，统筹钢构、机电等多专业协同设计；2、负责项目全周期技术管理，包括前期勘察、施工图深化、BIM建模及数字化交付等环节的技术把控；3、参与重大工程项目投标策划，编制可行性研究报告及技术标书，协调企业、监理及施工、政府单位对接；4、给予涂料配方、生产工艺及性能测试的技术方案评审，推动实验室...,石油/石化,http://jobs.zhaopin.com/CC158950710J40743914406.htm,100-299人,2026-01-04 01:15:15
规划设计总监（景枫集团）,南京,江苏景枫投资控股集团有限公司,本科,5-10年,,3-3.5万·14薪,岗位职责:1、项目设计全流程管理： 独立负责指定项目的概念、方案、初步及施工图设计管理，严格控制设计质量、进度和成本，对设计成果的可实施性与最终效果负责。2、专业协同与整合： 作为项目设计的核心协调人，高效整合建筑、结构、机电、装修、景观等内部各专业设计资源，组织技术评审，解决设计冲突，确保图纸的协调性与完整性。3、业务协同与支持： 深度参与项目开发过程，主动与营销、成本、工程等部门对接，将业务需...,房地产开发,http://jobs.zhaopin.com/CC578247820J40797433507.htm,1000-9999人,2026-01-11 01:17:01
空间设计总监（展览展示）,南京,南京思德展示科技股份有限公司,本科,经验不限,"CAD,SKetch,Sketchup,3D MAX",2.2-3.5万,岗位描述：1、根据公司战略规划与年度经营计划，制定空间创意设计团队年度工作计划，安排日常工作，推动部门的发展和进步；2、追踪和学习国、内外领先的设计理念和最新成果，结合行业发展趋势和公司战略目标，构建具有特色、行业领先的创意设计理念和设计服务体系；3、领导设计团队提供具备行业一流竞争力的空间创意方案，控制实施交付品质，达成预期效果，完成公司的销售指标；4、负责公司重点项目的需求调研、创意设计及设计...,广告/营销,http://jobs.zhaopin.com/CC407267780J40857675703.htm,300-499人,2025-12-26 01:06:22
建筑设计总监（地产）,南京,雨润集团,本科,10年以上,,2.5-3万,【工作内容】- 负责项目整体建筑设计方案的统筹与把控，确保设计质量与项目进度；- 组织协调各专业团队，推动设计工作的高效执行与落地；- 参与项目前期策划及方案比选，提出专业建议并优化设计方案；【任职要求】- 具备15-20年建筑设计相关工作经验，建筑学专业本科及以上学历；- 具有大型设计院和头部地产公司（如华润、龙湖、华发等优先）背景，熟悉国家设计规范及行业标准；- 具有建筑设计管理、技术管理及各...,食品/饮料,http://jobs.zhaopin.com/CC425437110J40821822413.htm,10000人以上,2026-01-10 01:39:04
设计管理（工业项目）,南京,中核华纬工程设计研究有限公司,本科,5-10年,"工业EPC,EPC,设计管理,工业结构",1.5-3万,【岗位职责】 1.负责组织项目设计执行计划的编制，监督项目设计执行计划的实施，确保项目的设计进度、设计质量与项目的整体目标一致。 2.与项目设计方的各专业部门保持联系，及时协调解决项目部提交的各类设计问题。 3.参与组织设计方案、设计变更的评审。 4.完成上级领导交办的其它工作。 【任职条件】 1.土木工程、结构工程、工程力学相关专业本科及以上学历；建筑学、土木工程、精装修专业优先。 2.主导负责...,建筑设计,http://jobs.zhaopin.com/CC163032910J40906226908.htm,1000-9999人,2026-01-10 01:22:31
公商装设计部门经理,南京,南京汉拓空间品牌策划有限公司,学历不限,3-5年,"设计主管,设计经理",1.5-3万,1、专业室内设计等相关专业2、3年以上相关工作经验及工装公司设计部门管理工作经验，或者自己开过8人以上团队的含施工相关的工作室者优先考虑3、有较强的视觉搭配能力，能熟练操作设计相关软件4、学习能力强、热爱设计工作、有创新精神5、量房、设计、预算、沟通、签单，熟练室内装修操作的工作流程6、富有创意及执行力，有责任感、有团队精神7、传播公司经营理念，帮助客户化解装修痛点公司福利：1、完善的社会保险福利...,装饰装修,http://jobs.zhaopin.com/CCL1227180200J40847283612.htm,20-99人,2026-01-09 01:33:21
深化设计总监,南京,南京思德展示科技股份有限公司,本科,5-10年,"CAD,SKetch,3D MAX,Sketchup",2-3万,工作职责：一：部门人员管理1.制定，调整，执行公司及深化部门内部人员绩效考核制度；2.根据项目情况进行人员分配管理，确保项目按计划实施；二：专业管理1.制定（修订）深化部门专业施工图纸绘图规范、制定（修订）深化设计专业标准打卡执行表，并对标准执行进行检查，审核图纸输出；2.建设各个专业设计资源库，制定外部资源使用管理流程、制度，建立完善的各专业深化设计技术管理模式和管理工具，对外部资源的专业输出文...,广告/营销,http://jobs.zhaopin.com/CC407267780J40856853203.htm,300-499人,2026-01-07 01:06:50
艺术与设计主管 - 移动休闲游戏（中国）,南京,邯郸太空船信息科技有限公司,本科,10年以上,"视觉设计,舞美设计,UI设计,主案设计师,美术指导,设计经理",2.5-3万,工作地点：中国各地（混合办公） 职能：负责艺术、UI/UX 和营销创意方面的创意领导工作 汇报对象：工作室主管 / 首席产品官 关于公司：这是一家总部位于新加坡的全球领先休闲移动游戏发行商，在土耳其、白俄罗斯、爱沙尼亚均设有团队。其游戏在全球平台上的下载量已超过 5 亿次。 使命：负责休闲游戏从概念到线上运营的视觉策略和执行工作，确保我们推出的游戏美观且性能良好，能够实现大规模的转化、留存和盈利。...,游戏,http://jobs.zhaopin.com/CCL1267141030J40826166405.htm,20-99人,2025-12-23 11:38:21
景观设计总监/经理,南京,雨润集团,本科,5-10年,,1.8-2.5万,岗位职责：1、负责项目的设计管理工作，确保设计符合公司的标准和客户需求；2、协调设计团队与其他部门的工作，保证项目的顺利进行；3、参与项目的设计评审，提出优化建议并监督实施；4、管理项目预算，控制成本，确保项目在预定的时间内完成。岗位要求：1、土木工程、机电安装、园林景观等专业本科及以上学历；2、具有5年以上建筑设计经验，其中至少3年的管理经验；3、熟悉地产项目设计流程及规范，具备较强的项目管理能...,食品/饮料,http://jobs.zhaopin.com/CC425437110J40805545713.htm,10000人以上,2026-01-10 01:38:37
设计督导,南京,南京我乐家居,大专,3-5年,"设计督导,设计培训",1.5-2.5万,岗位职责：1. 2年以上店面设计经验，熟练使用三维家、2020、cad、ps、3dmax软件2. 熟悉装修流程和各品类装修材料，了解装修色彩搭配和装修风水学3. 较强的语言沟通力，洞察力，分析力，讲解能力，成就感强，渴望影响他人4. 能够接受长期出差任职要求：1. 2年以上店面设计经验，熟练使用三维家、2020、cad、ps、3dmax软件2. 熟悉装修流程和各品类装修材料，了解装修色彩搭配和装修...,耐用消费品,http://jobs.zhaopin.com/CC131894260J40734430106.htm,1000-9999人,2026-01-10 01:16:56
招聘设计部门经理（商业空间）,南京,南京汉拓空间品牌策划有限公司,大专,5-10年,,1.5-2.5万,【管理岗薪资面议】【管理岗薪资面议】【管理岗薪资面议】1、专业室内设计等相关专业2、3年以上相关工作经验及工装公司设计部门管理工作经验，或者自己开过8人以上团队的含施工相关的工作室者优先考虑3、有较强的视觉搭配能力，能熟练操作设计相关软件4、学习能力强、热爱设计工作、有创新精神5、量房、设计、预算、沟通、签单，熟练室内装修操作的工作流程6、富有创意及执行力，有责任感、有团队精神7、传播公司经营理念...,装饰装修,http://jobs.zhaopin.com/CCL1227180200J40801844112.htm,20-99人,2026-01-09 01:31:59
机电设计总监/经理,南京,雨润集团,本科,5-10年,,2-2.5万,岗位职责：1、负责项目的设计管理工作，确保设计符合公司的标准和客户需求；2、协调设计团队与其他部门的工作，保证项目的顺利进行；3、参与项目的设计评审，提出优化建议并监督实施；4、管理项目预算，控制成本，确保项目在预定的时间内完成。岗位要求：1、土木工程、机电安装、园林景观等专业本科及以上学历；2、具有5年以上建筑设计经验，其中至少3年的管理经验；3、熟悉地产项目设计流程及规范，具备较强的项目管理能...,食品/饮料,http://jobs.zhaopin.com/CC425437110J40805545513.htm,10000人以上,2025-12-23 01:37:49
设计管理岗,南京,中国电建集团北京勘测设计研究院有限公司,本科,3-5年,,1.2-2.4万,本岗位非正式编制，入职后需与我公司合作的劳务公司签订劳动合同，通过劳务外包的方式聘用。职位职责：1.全面负责项目设计生产管理工作；2.负责组建设计团队，编制项目设计计划；3.负责澄清设计需求，组织内、外部设计启动与策划；4.负责做好与业主、监理的沟通，明确审批机制及流程；5.负责组织内外部设计例会、设计技术专题会、设计澄清和TQ回复等工作，对设计进度进行监督及纠偏；6.负责组织实施项目基本设计、详...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC675615520J40902877215.htm,1000-9999人,2026-01-09 01:42:57
招聘设计主管（商业空间）,南京,南京汉拓空间品牌策划有限公司,大专,5-10年,,1.5-2.5万,该岗位属于编制内新增！！新增！！岗位职责：1、负责组员日常工作的部署与检核2、负责组员专业能力的训练，并审核组员的各项设计方案，保证客户满意度；3、负责配合销售部门进行谈单，签订设计施工合同；4、负责签订施工后的现场交底，以及施工期间变更或增减的单价确认；二、任职要求：1、装饰设计、室内设计等相关专业；2、五年以上家装或工装设计行业经验，有签订施工项目的实战经验；3、学习能力强、热爱设计工作、有创...,装饰装修,http://jobs.zhaopin.com/CCL1227180200J40852783512.htm,20-99人,2025-12-23 01:36:22
地产设计总监/经理,南京,雨润集团,本科,5-10年,,1.6-2.5万,岗位职责：1、负责项目的设计管理工作，确保设计符合公司的标准和客户需求；2、协调设计团队与其他部门的工作，保证项目的顺利进行；3、参与项目的设计评审，提出优化建议并监督实施；4、管理项目预算，控制成本，确保项目在预定的时间内完成。岗位要求：1、土木工程、机电安装、园林景观等专业本科及以上学历；2、具有5年以上建筑设计经验，其中至少3年的管理经验；3、熟悉地产项目设计流程及规范，具备较强的项目管理能...,食品/饮料,http://jobs.zhaopin.com/CC425437110J40805273013.htm,10000人以上,2025-12-12 01:38:12
ui/ue用户体验设计师,南京,深圳市法本信息技术股份有限公司,本科,3-5年,交互设计,1.5-2.3万,【工作内容】1.参与C端数字产品用户体验设计2.根据需求背景和业务目标，提供优秀的设计方案3.关注用户体验，输出设计规范，持续迭代产品【工作要求】1.本科以上学历，3年以上移动互联网设计经验2.具有良好的输出方案能力，视觉表现力强，能够独立完成大型项目的方案输出及研发落地3.注重设计细节，熟悉Web、iOS、Android等平台的设计理念和规范4.关注设计趋势，有强烈的探索欲和创新力，为团队提供源...,计算机软件,http://jobs.zhaopin.com/CC385622410J40667311006.htm,1000-9999人,2025-12-30 15:24:03
资深平面设计师,南京,孩子王儿童用品股份有限公司,本科,3-5年,,1.1-2万,职责描述：1、负责孩子王服装事业部整体视觉设计把控，包括线上场景（宝贝详情页主图SKU图整体设计把握）及线下物料；2、通过对于品牌风格的理解，准确理解展示需求，把握整体设计风格，负责线上品牌店铺的视觉形象和调性的提升。3、根据目标消费群体的喜好和产品卖点做出精准视觉表现，提高运营转化效率。任职要求：1、 广告/美术设计类等相关专业本科；2、具备5年以上平面设计、视觉设计经验；有母婴类、服装类视觉设...,互联网,http://jobs.zhaopin.com/CC265894110J40746437106.htm,10000人以上,2026-01-09 09:18:40
