职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
工艺负责人,南京,南京锂源纳米科技有限公司,硕士,5-10年,"工艺设计,新品导入（NPI）",3-5万,岗位职责：1、工艺放大与工程化：①主导磷酸铁锂新工艺、新材料从 “实验室样品” 到 “商业化产品” 的全流程工艺放大设计。②建立严格的工艺放大数学模型与实验方法，系统性解决量产过程中的收率、一致性、能耗与成本问题。③输出权威的、数据驱动的 《工艺放大可行性报告》 和 《工艺优化方案》。2、产线设计与技术标准化（核心交付）：①基于现有的工艺包，主导设计 成熟，可快速复制、模块化 的下一代磷酸铁锂标准...,新能源,http://jobs.zhaopin.com/CCL1443841910J40813788601.htm,1000-9999人,2026-01-05 01:02:01
机械工程师（专利代理）,南京,北京龙双利达知识产权代理有限公司,硕士,无经验,,2.5-5万,职业发展这里没有代码和实验室，也不存在森严的等级，不以年龄论资排辈，仅凭专业能力便可傲视群雄，不需要职场的勾心斗角，35岁是正当年绝不存在被“毕业”。“人生就像滚雪球，最重要之事是发现湿雪和长长的坡。”技术会迭代，技术积累不会清零，法律会更新，法律理解不会失去意义。在龙双，你将永远处在科技浪潮的前沿，始终快人一步一睹未来风采，你将有更多机会与各行各业的技术大咖碰撞出智慧的火花，你可以尽享谈笑有鸿儒...,专利/商标/知识产权,http://jobs.zhaopin.com/CC184213220J40734546205.htm,100-299人,2025-12-04 00:06:42
销售总监（环保污水总承包/设备）,南京,江苏同瑞环保有限公司,本科,10年以上,"渠道销售,面销/陌拜,企业客户",2.5-5万·15薪,一、岗位职责1、销售计划制定与执行：根据公司的年度销售目标，负责完成公司产品的销售任务和经营目标。制定并达成销售年度、季度和月度的销售计划和回款计划。2、销售管理：负责管辖区域销售管理工作，并根据市场情况组织销售运作，制定相应的销售计划及销售政策。负责开发新的客户渠道，开拓市场，完成销售目标及支持公司业务的持续增长。3、客户服务与管理：负责公司产品的推广和销售活动，积极拓展市场占有率。负责公司客户...,环保,http://jobs.zhaopin.com/CC261089680J40697786001.htm,100-299人,2025-08-25 00:03:41
（半导体设备）硬件总监,南京,南京埃米仪器科技有限公司,本科,10年以上,"半导体量测设备,机械、电气、硬件",3-5万·14薪,岗位职责：1. 带领硬件研发技术团队，包括电气、硬件、机械等职能，负责半导体量测设备技术路线规划，领导硬件部件关键技术开发，开展先进技术研究和开发，引导产品持续发展。2、完成新产品的构思、设计、实物生产、测试验证、过程问题整改等；3、完成订单需求评审，对订单设计资料进行审核把关；4、负责标准制定及维护，建立并改善研发流程；5、上级部门领导安排的其他工作事项任职资格：1、统招硕士及以上学历，5年以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1461138680J40744409902.htm,20-99人,2025-05-27 10:36:38
机械专家,南京,江苏岚江智能科技有限公司,本科,10年以上,"特种设备,电气设备,SolidWorks,Pro/E,CATIA,整车设计",3.5-4.5万,岗位职责1、跟踪全球智能农业装备趋势（如自动驾驶、新能源化、精准农业技术），主导公司农业机器人机械系统整体架构设计，规划产品迭代方向，主导关键技术攻关； 2、负责履带式/轮式底盘设计，优化牵引力、通过性及地形适应性，确保复杂果园场景下的稳定性； 3、主导增程动力系统的机械集成，解决散热、振动、密封等工程化问题； 4、设计植保装置（药箱、泵阀、风机等）与机器人本体的匹配方案，提升作业效率与可靠性； ...,农/林/牧/渔,http://jobs.zhaopin.com/CCL1389528800J40895244808.htm,100-299人,2025-10-23 16:23:34
电气工程师主管,南京,南京恒标斯瑞冷冻机械制造有限公司,本科,3-5年,"控制柜,变频器,控制器,设计,安装/调试",2.8-4万,岗位职责：1.关注行业的技术发展动态，根据实际市场情况，进行技术产品规划；2.按照《设计开发控制程序》完成新产品设计、元器件选型、系统控制逻辑编程设计、样机逻辑测试、验证和交付。3.参与新产品设计过程中的控制改进和优化。4.负责标准系列产品的电气配置和控制程序等改进和优化工作。5.负责日常订单项目的元器件选型、电气原理图和布局图绘制、电气BOM制作、程序编写，以及电气生产工艺指导文件。6.完成上级...,电气机械/电力设备,http://jobs.zhaopin.com/CC361294410J40813968814.htm,100-299人,2026-01-09 11:36:58
（半导体设备）销售经理,南京,南京埃米仪器科技有限公司,本科,5-10年,"KA大客户	,企业客户	",3-5万·14薪,岗位职责：1、设定并实施年度销售目标，并拆分出月度、季度指标，监控团队实现业绩目标2、领导、培训和指导销售团队，确保团队成员能够实现个人和团队目标；3、开发和维护战略性合作伙伴关系，扩展全国销售网络和客户群；4、增加市场份额，寻找并开发新的销售机会；5、分析市场趋势和竞争对手，提出相关建议以优化销售策略；6、建立规范的销售政策和流程，并确保在市场得到执行和遵守；7、协调与其他部门的沟通和合作，以实...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1461138680J40631082902.htm,20-99人,2025-01-16 15:58:01
半导体设备销售经理（高级）,南京,众望金石(天津)自动化科技有限公司,大专,5-10年,"企业客户	,政府客户",2-4万,【岗位职责】1、团队建设与管理：负责区域团队内部建设、培训激励、日常管理与绩效考核，提升团队整体战斗力与专业素养。2、战略规划与目标管理：根据公司整体战略，制定所负责区域的年度、季度、月度销售计划、预算及市场拓展策略。设定并分解清晰的团队与个人业绩目标，通过过程追踪、分析复盘，确保战略有效落地与目标达成。3、项目攻坚与资源协调：主导区域重大项目的销售进程，有效整合公司内部技术、商务、交付等资源，为...,电子设备制造,http://jobs.zhaopin.com/CCL1328340570J40973468004.htm,20-99人,2026-01-08 11:13:47
总工艺师,南京,南京华聚微波技术有限公司,本科,5-10年,"工艺设计,微组装,总装工艺",2.5-4万,岗位要求: 1、负麦微组装、电钳装批量生产线的日常管理、升级改造与能力建设 2、产品工艺总方案的定制与编写、工艺文件的审核 3、工艺体系文件、规范的编写与制定4、新工艺的开发、试验与研究5、领导要求的其他工作内容 6、同行业科研院所或公司5年以上工作经验，资深工艺师及工艺管理负责人的薪资待遇面议,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1476263060J40820956807.htm,20-99人,2026-01-07 01:18:54
半导体设备研发工程师,南京,南京晶升装备股份有限公司,本科,3-5年,"半导体设备,机械系统开发,CVD/PVD/ALD 设备,真空炉,热处理炉,设备研发",2-4万·13薪,岗位职责：1、主导公司半导体设备机械系统的开发、方案设计制定、试制和试验验证工作；2、主导技术攻关，解决设备研发工程中的疑难问题；3、负责机械图纸的设计、审核与管理工作；4、主导新产品机械设计的专利申请、企业标准编制、科技成果鉴定工作；5、持续优化结构方案、提高设备稳定性、降低生产制造成本提高产品竞争力；6、负责总结和分析并改进已完成产品机械设计的缺陷和问题；7、负责对已售产品的机械相关问题提供技...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC461185820J40817445901.htm,100-299人,2025-12-29 15:45:51
电气工程师,南京,江苏赛弘通能源科技有限公司,本科,经验不限,"维修/保养,安装/调试,测试",2-4万,岗位内容： 1. 负责电气系统和设备的设计、测试、验证和维护工作。2. 根据市场需求或客户要求，制定电气方面的产品开发计划和需求分析。3. 参与协调各部门间的工作，满足公司的业务目标。4. 解决现场所涉及的电气问题和提供售后技术支持。任职要求： 1. 电气工程或相关专业背景，有相关工作经验者优先。2. 熟悉电气原理图设计软件，如Protel、OrCAD等。3. 熟悉多种数字信号处理、嵌入式软件开发...,电子商务,http://jobs.zhaopin.com/CCL1504692960J40969612804.htm,1000-9999人,2025-11-27 09:35:09
电气研发工程师,南京,江苏辰特动力有限公司,本科,5-10年,"设计,测试,安装/调试,自动化设计,电力设计,电路设计",2-4万,1.承担公司产品电气设计，参与全过程研制，包括电气图纸绘制、部件选型、样机试制、产品测试和试验，完成产品生产和调试，并能够解决和处理有关故障问题。完成技术文件编制，指导产品生产和装备。2.承担公司产品研发的硬件工作，独立完成硬件方案设计、电路实现及产品定型。3.承担原电气产品的性能改进及技术升级、参与相关电源产品标准的制定。任职资格：1. 至少5年大功率高频逆变电源开发、电气设计经验（重点要求）。...,电气机械/电力设备,http://jobs.zhaopin.com/CC466503980J40808120307.htm,20-99人,2025-11-11 08:53:39
电气工艺高级工程师,南京,德力股份,大专,10年以上,"设计,测试,安装/调试,自动化设计,PLC设计,电路设计",2-4万,岗位职责：1、负责集团及各子公司设备资产全面管理，包括设备选型、采购、安装、维护、调拨、报废等全流程管理；2、制定设备检修、更新改造计划，编制技术规程及管理制度，合理控制维修成本，确保设备运行可靠性。3、负责机械技术领域人员的培训；推进技术攻关，自主研发或引入新技术提升效率。4、操作文件、制度及培训文件的编制，建立技术档案，包括图纸、操作规程、检修记录等，确保数据完整可追溯，同时推进电子化档案系统...,金属制品业,http://jobs.zhaopin.com/CC398866820J40855632002.htm,1000-9999人,2025-11-10 16:10:36
机械工程师,南京,江苏赛弘通能源科技有限公司,本科,3-5年,,2-4万,岗位内容：1. 对机械产品进行研究和开发，提供技术支持和解决方案。2. 分析机械产品的性能和可靠性，为产品改进提供建议。3. 协调生产、品质和营销部门，确保产品符合客户需求。4. 解决客户在机械产品使用和维护过程中遇到的问题。任职要求：1. 机械工程或相关专业背景。2. 具备良好的机械产品知识和技术支持经验。3. 熟悉机械产品的生产和制造流程。4. 良好的沟通和解决问题的能力。5.能接受去海外工作...,电子商务,http://jobs.zhaopin.com/CCL1504692960J40967525904.htm,1000-9999人,2025-11-18 16:39:03
工业机械机电设备开发主管（博士）,南京,江苏绿森工程科技有限公司,博士,无经验,"设计,博士",2.5-4万,任职要求：1、博士学历，机械设计、机电一体化、机械工程及自动化、动力工程等相关专业；2、熟练应用机械设计常用设计软件，至少包括AutoCAD、Solidworks；工作职责：1、牵头工业产品开发；2、设备智能化改造方案设计：运行状态监测方案、健康状态监测方案、故障预警系统方案；3、设备使用说明书、安装说明、运维手册、采购技术规范等技术文件编写；,房地产开发,http://jobs.zhaopin.com/CC478369680J40792663501.htm,100-299人,2025-09-26 10:00:48
软件架构师 (医疗设备/心电监护方向),南京,善时医疗研究院(南京)有限公司,本科,5-10年,"Java,Python,C++,C语言,微服务架构,音视频编解码,负载均衡技术",3-4万,职位概述： 我们正在寻找一位软件架构师，为我们的心电监护产品线（涵盖设备端嵌入式系统、移动应用、云端平台）设计和构建高性能、高可靠、高安全性且符合严格医疗法规的软件架构。您将是软件技术路线的决策者，负责制定技术蓝图，攻克核心技术难题，并指导和提升整个软件团队的技术能力。 主要职责： 1. 架构设计与规划： 负责心电监护产品相关软件系统的整体架构设计，包括设备端（嵌入式实时操作系统如Linux）、移...,医疗设备/器械,http://jobs.zhaopin.com/CCL1511086350J40802899514.htm,20人以下,2025-09-23 00:00:01
自动化工程师,南京,江苏赛弘通能源科技有限公司,本科,3-5年,"安装/调试,设计,电气设计,自动化设计,机械设计",2-4万,岗位职责：- 负责自动化设备和系统的设计、编程、调试及优化- 参与自动化项目的执行，确保项目按时完成并满足技术要求- 对现有生产线进行自动化改造，提高生产效率- 支持和解决生产过程中的自动化技术问题岗位要求：- 自动化、机电一体化等相关专业毕业- 熟悉自动化设备及相关软件的使用- 具备良好的项目管理和问题解决能力- 有团队合作精神，能适应快节奏的工作环境,电子商务,http://jobs.zhaopin.com/CCL1504692960J40967523504.htm,1000-9999人,2025-11-18 16:37:17
环保设备•销售经理（南京）,南京,中创智成环保设备(江苏)有限公司,大专,1-3年,"企业客户,政府客户,区域销售,面销/陌拜,电话销售",2-4万,环保大产业，工程领域，各类水设备 ，区域销售精英招募：1、环保产业，前景大、空间广：区域市场和客户的开发和维护；2、负责市政和建筑领域的水设备销售（污水提升泵站、给排水成套设备等）回款、发货；3、工作责任心强，有较强的进取心和良好的沟通能力、服务意识强；4、好平台：成长快、发挥空间大、有晋升、有未来，共同创造物质与精神的双丰收；5、做业务个人年收入预计30万-50万，快速实际1年买车5年买房的人生...,环保,http://jobs.zhaopin.com/CCL1460024560J40637476108.htm,20-99人,2025-08-03 17:59:16
PACK 电气工程师,南京,江苏青杉控股集团有限公司,硕士,5-10年,PACK电气设计,2.5-3.5万,岗位职责： 1.根据电池系统需求及分解进行电气方案技术需求解读; 2.依据电池包整体布置及系统需求，进行电池包电气(线束、铜排、BDU、连接器、模组采样总成）详细设计、专利检索与规避等工作; 3.针对设计方案进行系统验证、实际装配验证、问题整改等; 4.负责电气零部件供应商导入、进度、样件质量问题、质量提升审核等供应商管理; 5.制定PACK电气领域（(含高压安全)相关开发的设计标准和设计规范，以...,新能源,http://jobs.zhaopin.com/CCL1476098090J40782389502.htm,300-499人,2026-01-08 09:10:27
电气设计（一二次集成设计）,南京,北京四方继保自动化股份有限公司,本科,经验不限,"设计,电力设计,中压,高压",2-3.5万,工作内容： 1、负责国内外新能源（风电/光伏项目、储能、分布式光伏、微电网、综合能源）相关项目的电气一次售前技术咨询及支持工作，包括前期技术咨询交流、现场勘查及收资、技术评审、初设方案设计、配合业务编制投标技术文件等； 2、负责为公司各业务提供存量站改(扩)建变电项目、新能源相关项目工程电气一次设计技术咨询工作； 3、负责国内外220kV及以下变电站项目的电气一次专业施工设计及工程量核算； 4、负...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC000599020J40820625907.htm,1000-9999人,2026-01-06 10:11:33
环保设备•销售经理（南京）,南京,中创智成环保设备(江苏)有限公司,大专,1-3年,"企业客户,政府客户,区域销售,面销/陌拜,电话销售",2-4万,环保大产业，工程领域，各类水设备 ，区域销售精英招募：1、环保产业，前景大、空间广：区域市场和客户的开发和维护；2、负责市政和建筑领域的水设备销售（污水提升泵站、给排水成套设备等）回款、发货；3、工作责任心强，有较强的进取心和良好的沟通能力、服务意识强；4、好平台：成长快、发挥空间大、有晋升、有未来，共同创造物质与精神的双丰收；5、做业务个人年收入预计30万-50万，快速实际1年买车5年买房的人生...,环保,http://jobs.zhaopin.com/CCL1460024560J40798172608.htm,20-99人,2025-04-17 14:13:34
PVD设备开发工程师,南京,南方新华,本科,5-10年,PVD设备,2-3.5万,【工作内容】1.负责主导磁控溅射PVD系统的核心模块设计，包括但不限于设备的设计、制造、测试及改进；2.根据市场需求和公司战略规划，制定研发项目计划，并确保项目的顺利进行；3.领导团队进行新技术的研究与开发，提升现有产品的性能和竞争力；4.持续关注行业动态和技术发展趋势，推动技术创新。【任职要求】1.具备电子工程、机械工程或相关领域的本科及以上学历；2.熟悉半导体磁控溅射设备，具有3年以上PVD设...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40811985811.htm,100-299人,2025-12-11 09:11:19
