职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级安卓开发工程师,深圳,深圳市易检车服科技有限公司,本科,5-10年,"Kotlin,Android Studio,JavaScript,COMPOSE,Java,Eclipse,硬件产品,Socket,熟练掌握蓝牙通信,EVENTBUS,DATABINDING,RxJava",17-25万,岗位职责：1、负责Android系统产品framework架构和实现；2、负责Android系统产品中间层软件开发和调试；3、负责Android系统产品架构文档，功能的需求，设计文档的编写。任职要求：1、5年及以上Android软件开发经验，Java基础扎实，能够熟练使用kotli，对JVM原理有一定的了解，具备解决复杂业务技术问题的能力，有多个完整的Android项目经验，并至少在一个大型项目中...,汽车后市场,http://jobs.zhaopin.com/CCL1303075740J40773943403.htm,100-299人,2025-04-03 11:41:24
Android开发工程师,深圳,深圳市启明联科技术有限公司,大专,1-3年,"Kotlin,Android,SMALI,Flutter,Framework",8-15万·14薪,岗位职责： 1、参与公司Android平台项目的设计、实现、维护； 2、根据产品需求，独立完成功能模块的设计与编码； 3、注重产品用户体验，主动持续地优化产品性能及用户体验； 4、能独立开发MMI界面，各种效果！ 任职要求： 1、计算机软件及相关专业，专科以上学历，具备一定的android开发经验，包含优秀应届生或实习生均可面谈。 2、熟悉面向对象编程设计，具备扎实的编程基础及良好的编码规范； 3...,互联网,http://jobs.zhaopin.com/CCL1296996470J40271517604.htm,20人以下,2025-10-31 16:56:58
端智能研发工程师,深圳,北京沃东天骏信息技术有限公司,本科,3-5年,"Java,iOS开发,架构设计,跨平台开发,Android开发,Objective-C,C++,Swift,Kotlin",5-10万·19薪,岗位职责：1、核心计算引擎建设：负责设计与开发端侧高性能、高可用的统一策略执行引擎，该引擎需集成动态python脚本执行、规则匹配（CEP）、数据流处理引擎与轻量级模型推理能力，为策略与模型提供稳定、高效的运行时环境。2、端上特征中心SDK开发：主导端侧特征中心SDK的架构与实现，构建统一的客户端特征计算体系。负责用户行为等数据的自动化采集、高频实时特征的计算与加工、特征的高效存储与查询接口暴露，...,电子商务,http://jobs.zhaopin.com/CC699180530J40858845812.htm,10000人以上,2025-12-12 10:58:36
高级 Android 开发工程师（音视频播放器）,深圳,道一(天津)企业管理咨询有限公司,本科,5-10年,"音视频工具,播放器,Kotlin,C++,Java,C端产品",5-8.5万·13薪,岗位职责1、负责视频播放器客户端的需求迭代开发，负责音视频播放器模块的开发与维护；2、配合产品经理、设计师、数据分析师等，深度参与产品评审等工作；3、承担其他重点、难点项目的技术攻坚工作；岗位要求1、本科及以上学历，计算机或电子通信等相关专业；2、5年以上Android或者其他移动平台开发经验，35岁以内，优先AndroidC端产品常规迭代的候选人；3、深入掌握Java/Kotlin/c++语言，...,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40866785612.htm,100-299人,2026-01-07 09:56:21
高级android开发工程师,深圳,中维星图(天津)信息技术有限公司,本科,5-10年,"电商项目,移动互联网,音视频,Java,Kotlin,Android Studio,React Native,Socket,Flutter,数据库,设计模式",3.5-6.5万,"工作职责﻿加入我们，你将会和我们一起: 1、参与亿万级别海外活跃用户的产品开发2、可以接触到核心的用户数据，能参与用户数据分析，参与产品决策 3、接触前沿的 Android 技术，接受复杂的技术挑战 4、能和一批有技术，有热情的小伙伴一起成长"" 岗位职责: 1、负责上亿月活用户 APP 产品的需求迭代开发2、负责插件、下载、播放等核心技术模块的维护与优化 3、参与产品数据分析、问题解决、机会挖掘和...",企业服务,http://jobs.zhaopin.com/CCL1510553990J40819708309.htm,20-99人,2025-12-15 23:23:57
Android开发工程师-豆包手机助手（深圳）,深圳,字节跳动,本科,经验不限,,3-6万,岗位职责：1、负责Android上应用及服务的设计、开发及实现工作，与产品，设计，QA等团队保持良好沟通，共同保证产品迭代顺利推进；2、参与Android端应用品质优化、架构设计等相关研发工作，推动团队技术体系建设；3、关注前沿技术，结合业务特点，推动新技术落地。任职要求：1、本科及以上学历，计算机、通信等相关专业；2、熟练掌握Java/Kotlin/C++，熟悉Android SDK/NDK，对...,互联网,http://jobs.zhaopin.com/CC469217510J40676063601.htm,10000人以上,2026-01-06 15:44:23
机器人应用开发资深工程师,深圳,小鹏汽车,本科,5-10年,"安卓,iOS",3-6万·15薪,岗位职责：1、负责机器人App开发，提供统一的机器人控制UI组件，比如摇杆控制、地图显示、视频流渲染等；2、负责机器人开发者 SDK 设计与开发，将机器人的核心功能封装成易于调用的接口，确保机器人SDK架构的质量和可维护性；3、与包括大语言模型、语音、运动控制等团队合作，设计并实现面向Android/iOS等多平台的机器人交互功能与接口。任职要求：1、计算机科学、电子工程或相关专业本科及以上学历；...,汽车研发/制造,http://jobs.zhaopin.com/CC405839980J40912253615.htm,10000人以上,2025-12-24 13:40:34
软件开发WIFI工程师,深圳,北京伟特英才科技有限公司,本科,3-5年,"应用开发,WiFi",3-6万,工作地点 深圳行业：手机软件开发WIFI工程师岗位职责:1. 设计和开发Android手机上的WiFi网络功能，包括WiFi连接、断开、扫描、配置和管理等功能。2. 负责WiFi模块的性能优化和调试，确保其稳定性和可靠性。3. 与团队合作，设计和实现WiFi相关的软件功能和接口。4. 跟踪并解决WiFi模块相关的问题和缺陷。5. 研究和分析最新的WiFi技术和标准，推动其在产品中的应用。岗位要求:...,企业服务,http://jobs.zhaopin.com/CCL1279665330J40696361701.htm,20-99人,2025-04-01 16:01:49
高级 Android 开发工程师（偏C端）,深圳,北京良沃资本管理有限公司,本科,5-10年,"音视频,Kotlin,Java,Android,音视频编解码,ffmpeg,Flutter",3-5万,岗位职责: 1、负责上亿月活用户 APP 产品的需求迭代开发；2、负责插件、下载、播放等核心技术模块的维护与优化 ；3、参与产品数据分析、问题解决、机会挖掘和产品决策。任职资格: 1、本科以上学历，计算机相关专业，6 年以上 Android 项目开发经验； 2、扎实的计算机理论基础，熟悉 Java/Kotlin、网络、数据库、设计模式等技术，并能深入了解相关技术原理；3、具有良好沟通能力和学习能力...,投资/融资,http://jobs.zhaopin.com/CCL1487893090J40835718005.htm,20-99人,2025-12-28 19:04:26
Android 集成交付负责人(J13664),深圳,深圳市广和通无线股份有限公司,本科,经验不限,"车载项目,物联网项目,Framework,Android Studio,SDK,Java,JavaScript,Python",3-5万·15薪,岗位职责:1. 技术方案制定与客户交付统筹：面向客户、售前及产品团队，提供解决方案与技术支持。主导客户项目的技术方案评估、风险识别、技术答疑与交付保障，确保项目顺利验收。支持重点客户的方案评审、技术澄清、问题攻关及交付验收。2.需求工程化与配置管理：负责将产品规格、客户定制需求系统性地转化为可执行的Android集成配置。3.差异治理客户定制化需求，主导建立客户配置与偏好管理库。4.团队管理与流程...,运营商/增值服务,http://jobs.zhaopin.com/CC133904260J40782862416.htm,1000-9999人,2025-12-23 11:35:22
