职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级广告算法工程师（广告推荐算法）,深圳,道一(天津)企业管理咨询有限公司,本科,5-10年,"Java,广告算法,推荐算法,TensorFlow,PyTorch,Hadoop,Python,C++",4-8万·13薪,工作职责1. 负责广告排序算法、oCPX 产品能力建设及流量效率挖掘与提升；2. 参与广告投放核心算法的研发与优化，包括 CTR/CVR 预估、RTA、流量预估等；3. 跟踪计算广告领域前沿技术，结合多模态学习（文本、图像、音视频等）优化广告推荐机制，挖掘用户兴趣与意图，提升广告推荐精准度；4. 通过数据驱动的方式持续迭代模型和策略，提升广告系统整体变现效率和用户体验。任职要求﻿1. 学历背景：计...,人力资源服务,http://jobs.zhaopin.com/CCL1447804550J40866794512.htm,100-299人,2026-01-09 01:34:31
EI大数据（modelarts方向）,深圳,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据中台开发,Java,Python,Shell,MaxCompute,MODELARTS,英语,数据运维",4-6.5万,岗位关键点：modelarts方向的 【工作职责】1、负责华为云大数据和AI相关云服务现网运维体系建设，进行高可用性架构设计，容灾演练及自动化恢复能力建设，看护服务SLA。2、负责华为云大数据和AI相关云服务现网运维指标体系建设，完善云服务监控能力，持续提升问题发现和定界能力。3、负责华为云大数据和AI相关云服务现网变更实施，日常运维巡检，监控，告警处理等。【任职要求】学历要求：本科及以上学历，计...,互联网,http://jobs.zhaopin.com/CC000544460J40779199016.htm,10000人以上,2025-12-06 16:49:06
高级数据治理工程师,深圳,牧原股份,本科,5-10年,数据治理,3-6万,岗位职责：1、数据治理体系建设：①协助制定和优化公司数据治理体系、制度、标准和流程，包括数据目录、数据血缘、数据质量、数据安全等规范。②推动企业级主数据管理（MDM）和元数据管理（Metadata Management）体系建设和落地。2、数据质量管理①设计和建设数据质量评估体系，推动关键指标质量监控、评估与持续优化。②开发数据质量规则，跟踪质量问题并推动业务整改。3、主数据和元数据管理①建设和维...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40783688411.htm,10000人以上,2025-11-21 11:55:16
博士后研究人员,深圳,方直科技,博士,经验不限,"数据分析,大数据分析,机器学习",3.5-6万·16薪,招聘要求1.在国内外已取得或即将取得博士研究生学位者，品学兼优，身心健康。2.具有扎实的学科理论基础，较强的敬业精神、职业操守、科研能力和团队合作能力，心理健康，能尽职尽责地完成博士后研究工作。3.能够全职从事博士后研究（在职人员不得兼职从事博士后研究工作）。4.研究方向：ü 大数据分析与自适应学习技术通过分析和记录学习者的数据，获得规律和算法，提供智能的个性化推荐和指导。ü 深度学习与语音评测技...,计算机软件,http://jobs.zhaopin.com/CC143270306J90250262000.htm,100-299人,2025-04-25 09:16:48
数据平台架构师,深圳,南昌拓点科技有限公司,本科,3-5年,"Kafka,CLICKHOUSE,Flink,数据仓库,数据治理,数据库开发",2.8-5.5万,定位：数据处理 + DevOps + 数据库工作地点： 深圳 / 杭州（可远程友好）---核心职责1. 数据处理- 架构 Kafka / RocketMQ-> S3 / Parquet 埋点管道：秒级增量聚合并写 Redis / Feature Store / ClickHouse / StarRocks；- 设计与维护统一的监控埋点规范及数据的处理；保证数据的可用性、完整性；将数据聚合、匿名化导...,计算机软件,http://jobs.zhaopin.com/CCL1321143300J40774026107.htm,20-99人,2025-07-15 22:26:09
大数据开发工程师 （需要出差国外）,深圳,软通动力信息技术(集团)股份有限公司,本科,3-5年,"数据治理,数据库开发,数据架构师,数据迁移",4-5万,大数据开发 统招大专及以上学历，简单英语就可以。 岗位JD： 1、熟悉华为云（DataArtsStudio）平台 2、有大数据迁移/数据治理项目经验 3、熟悉数据质量 4、熟练掌握4A架构设计中至少2A理论与设计经验 5、熟悉 Hadoop 生态系统及组件 任职要求: 1. 能够适应出差，本科及以上学历，8年以上工作经验，能用英语交流； 2. 有华为云工作经验经验，能自主开发及运维； 3. 熟悉企...,互联网,http://jobs.zhaopin.com/CC000544460J40777973816.htm,10000人以上,2025-12-31 17:17:16
数据科学家-博士,深圳,恩斯迈电子（深圳）有限公司,博士,经验不限,"自然语言,Java,C#,c,NLP",4-5万,1.数据处理：博士以上学历，计算机、数学、统计等专业优先，有统计分析、机器学习、深度学习、数据建模等相关理论知识，如逻辑回归、决策树、聚类分析、SVM、神经网络、XGBoost、GBDT等，有海量数据的挖掘、处理、分析、建模的落地经验者优先;2.模型设计：熟练应用包括不限于C#、JAVA、python等工具，熟悉常用数据库，有较强模型设计能力：可以对文本和图像数据进行特征提取（NLP、CNN等），...,计算机硬件,http://jobs.zhaopin.com/CC120200310J40831375608.htm,1000-9999人,2025-11-06 20:56:41
数据架构师,深圳,武汉启云方科技有限公司,本科,5-10年,"数据治理,数据建模",2-4万·14薪,公司介绍：我司启云方是由国资委100%控股的国企，聚焦于工业软件、IT和安全等产品的研发、销售、实施和服务，依托自主可控的核心技术，致力于为业界提供先进的工业软件以及专业化的IT应用集成服务。持续为行业提供领先的产品和解决方案。公司总部位于武汉，在上海和深圳设有全资子公司。岗位职责：负责数字平台4A架构规划设计及看护，组织技术攻关，持续提升产品的技术竞争力，降低产品成本。支撑数字平台售前解决方案设...,计算机软件,http://jobs.zhaopin.com/CCL1473755600J40819524911.htm,1000-9999人,2026-01-07 15:58:50
大数据开发专家（出差海外）,深圳,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Python,Scala,Spark,Flink,Hadoop,华为云大数据、大数据迁移,PYSAPRK,数据迁移、数据开发",3.5-4.5万,主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。2、精通 Hadoop、Spark、Flink、hive等大数据处理框架，python，...,互联网,http://jobs.zhaopin.com/CC000544460J40786493816.htm,10000人以上,2026-01-09 15:03:31
预制化数据中心架构师(J11474),深圳,科士达,本科,5-10年,预制化数据中心,2.5-4万·14薪,岗位职责:1. 配合销售负责为客户介绍公司预制化模块产品和解决方案；2. 参加专业会展和论坛介绍公司预制化模块产品和解决方案；3. 根据客户项目业务需求，负责规划和设计数据中心基础设施的整体架构，负责对数据中心的暖通、配电主要系统规划；4. 负责数据中心设备的选型，确保设备的性能、质量和成本符合客户项目要求；5.协助各专业进行初步设计，完成并审核技术方案和投标技术文件；6.跟踪行业技术发展趋势，为...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120731350J40813565211.htm,1000-9999人,2025-12-10 16:08:32
