职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级前端开发工程师,深圳,永亿(广州)网络科技有限公司,本科,5-10年,"Vue,React,Three.js,Cesium",4-7万·15薪,工作职责1. 参与软件产品的功能设计讨论，并和后端、算法等模块协作高质量的完成工程交付；2. 参与产品的技术方案设计与产品架构设计，守护前端性能和技术负债持续优化。任职要求1. 本科及以上学历，计算机专业或相关专业，3年以上开发经验；2. 熟悉浏览器特性、兼容性适配、性能优化及网页安全，有 Cesium、Three.js 等三维库开发经验优先；3. 熟悉常见前端框架（如 Vue、React），具备...,企业服务,http://jobs.zhaopin.com/CCL1471427700J40867121103.htm,500-999人,2025-12-31 19:06:02
研发总监,深圳,深圳市华诚达精密工业有限公司,本科,10年以上,"零部件产品结构设计,高精密",4-6万,岗位职责：1、制定和执行研发战略，确保研发团队与公司整体战略目标一致。2、负责研发团队的招聘、培训和管理，建立高效、协作的团队文化。3、负责新产品的研发、技术预研和专利申请工作，确保产品具有竞争优势。4、监控研发项目的进度和质量，确保项目按时交付并满足客户需求。5、负责与内外部合作伙伴的技术交流与合作，拓展公司的技术生态圈。6、领导跨部门协作，确保研发团队与其他部门（如市场营销、生产等）的有效沟通...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC396412810J40835703412.htm,1000-9999人,2025-11-03 09:44:30
研发经理,深圳,深圳立仪科技有限公司,硕士,5-10年,"FPGA开发,C++,团队管理,技术攻克",2.5-5万,招聘要求： 1.参与公司顶层设计与发展战略，确认技术研发方向；制定中长期研发计划； 2.新老产品的迭代，打造具有核心竞争力的主打产品； 3.协调和管理研发各小组的项目，从立项，研发里程碑和技术难点攻关； 4.研发团队的管理，工作目标设立，人员培训，人才培养以及人员考核； 任职资格： 1.行业要求：传感器、仪器、机器视觉、测量硬件或软件，B端产品行业，研发涉及光机电软； 2.知识技术要求：精通科技类...,仪器仪表制造,http://jobs.zhaopin.com/CC253214130J40201527114.htm,20-99人,2025-12-31 00:08:02
研发中心负责人（深圳）(R10182),深圳,北京星际荣耀科技有限责任公司,本科,1-3年,"嵌入式硬件开发,嵌入式软件开发,单片机开发,FPGA开发,DSP开发",2.5-5万,工作职责1、全面负责综合电子部门的团队管理和业务运营，制定部门发展战略和年度工作计划，推动目标达成。2、组织实施电子产品的研发、设计、测试及生产工作，确保项目按时交付且满足质量和成本要求。3、负责电子产品技术方案的制定与审核，优化产品性能、可靠性及制造工艺。4、监督并协调跨部门资源，与硬件、软件、结构、供应链等团队协作，确保产品开发与生产的顺利进行。5、主导重大技术决策与难题攻关，带领团队解决关键...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1264678700J40633548906.htm,100-299人,2025-12-19 09:18:49
软件开发专家（智能穿戴）(J13606),深圳,深圳市广和通无线股份有限公司,本科,5-10年,C语言,3-5万,岗位职责:1.负责智能手表/穿戴产品的软件设计及研究，包括需求分析，总体设计，技术选型决策，迭代任务开发拆解及过程把控；2.负责软件研发团队建设和管理，指导、审核各项目技术方案，对各项目进行最终质量评估，带领研发团队实现产品研发及项目交付；3.根据行业分析、技术调研、竞品分析和客户需求，制定软件开发技术发展路线，完成技术预研及落地，并组织输出过程交付件，形成项目经验和技术沉淀；4.及时处理客户提出...,运营商/增值服务,http://jobs.zhaopin.com/CC133904260J40774807016.htm,1000-9999人,2025-11-19 14:50:39
研发经理（工业机器人方向）,深圳,慧灵科技,硕士,5-10年,"研发管理,SCARA,机械臂,关节模组,力控机械臂",3-5万,岗位内容：1. 管理研发团队，完成产品从立项、开发到量产。2. 把握研发进度及资源分配，保障团队工作效率，掌控研发质量和进度，并认真解决问题。3. 精通行业技术路线和未来发展趋势，掌握行业发展动态。落实CTO的安排的相关工作。4. 带领团队高效的完成协作机器人、电动夹爪、末端执行器、直线电缸等产品开发与维护。6. 个人需要做研发的具体工作（非纯管理岗）。任职要求：1. 985/211硕士以上，自动...,仪器仪表制造,http://jobs.zhaopin.com/CC409009630J40741814101.htm,300-499人,2025-07-01 18:10:29
研发经理,深圳,深圳市魅动智能股份有限公司,本科,10年以上,"电子工程师,结构工程师",3.5-4.5万,职位描述：1、 负责协助总经理进行研发团队管理和整体规划工作，统筹降噪音频技术规划和SOUNDBAR声霸杜比技术专项课题，为公司业务发展提供全面的研发技术保障；2、 根据研发部门目标，负责协助总经理制定部门年度工作规划，洞察行业技术发展动态并制定年度《技术路线图》，并输出技术预研成果转化和项目孵化；3、 负责协助总经理来进行研发部的团队建设，包括人员培训、梯队建设、绩效考核、文化建设、组织架构优化...,互联网,http://jobs.zhaopin.com/CC454481730J40731125101.htm,100-299人,2026-01-11 00:12:01
研发主管,深圳,深圳市创意云途电子有限公司,本科,5-10年,"电路设计,Layout设计,PCB设计,单片机开发",3-4.5万,工作内容】- 负责统筹移动电源项目评审、立项及项目追踪管理；- 参与新产品研发流程，协调技术、生产与质量等部门协作；- 统筹移动电源产品开发与生产工艺优化，确保产品质量与生产效率；-负责部门日常管理与团队建设，推动部门高效运作；-负责对外客户及相关外联单位的对接及问题协调处理；- 制定并执行工程部工作计划，提升整体技术水平与创新能力。【任职要求】- 本科及以上学历，电子工程相关专业背景；- 10年...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC565882320J40831889110.htm,20-99人,2026-01-06 13:48:35
系统技术经理(base深圳、双休、上市公司 急急急！）,深圳,南方新华,本科,5-10年,"NET开发,数据库,分布式架构",3-4.5万,【招聘背景：新增 接受年后到岗！ 紧急！！！】【年薪包50w左右、base深圳 、双休出差极少】【公司简介：成立于2008年，是国内领xian的共享办公服务提供商之一，专注于为中小微企业、创业团队及自由职业者提供灵活办公解决方案。公司于2016年在新三板挂牌上市，业务覆盖全国主要一二线城市】岗位概要：为了团队发展需要及提升BCMS/WPMS的开发、运行效率，在现有BCMS/WPMS业务功能的基础上...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40819072011.htm,100-299人,2026-01-06 10:57:49
研发技术管理经理,深圳,恒洁卫浴集团有限公司,本科,3-5年,结构设计、硬件软件开发,2.6-4.5万,岗位职责:1. 负责研发内部产品技术标准化管理与设计规范标准化管理；2. 负责研发内技术与产品需求的管理，确保竞品对标、用户洞察、售后反馈、内部创新等技术需求能进入研发技术路线中；3. 负责研发技术资产的管理，包括软件代码、硬件与结构图纸、售后技术资料等，确保技术资产具有规范统一性、安全性；4. 负责研发过程数据化与研发内部绩效评估与改进；5. 负责研发内部测试能力的建设与测试输出，确保研发质量能...,建材,http://jobs.zhaopin.com/CC824578820J40761989702.htm,1000-9999人,2025-12-19 09:59:45
技术部经理,深圳,通联支付,本科,5-10年,"Java,团队管理",3-4.5万,"岗位职责:1.负责分公司整体技术规划、业务系统架构设计及优化;2.组织协调技术资源，统筹管理并指导技术人员配合市场需求，制定项目的开发计划及实施方案;3.负责项目的总体技术架构设计，主持项目的开发工作，为项目的开发进度和质量负责;4,主持项目的需求分析,概要设计,详细设计和集成联调工作;5.负责项目团队成员的日常管理，培训和指导团队成员的技术工作。岗位要求:1.6年以上JAVA开发经验，4年以上团...",证券/期货,http://jobs.zhaopin.com/CC236361810J40622184509.htm,1000-9999人,2025-12-17 09:38:20
前端开发工程师,深圳,华赢东方科技(深圳)有限公司,本科,5-10年,CPA,3.5-4.5万,"Accounting Manager Job Duties: • Handle full set accounting independently. • Oversee day-to-day accounting operations including book-keeping, staff reimbursement, payment processing, bank reconciliati...",投资/融资,http://jobs.zhaopin.com/CCL1451665190J40762936801.htm,20-99人,2025-09-05 15:15:30
研发经理（新型电力系统/光伏/储能）,深圳,深圳市名洋能源科技有限公司,本科,5-10年,"微电网,虚拟电力系统,项目团队管理,新能源长期规划,新能源研发管理,光储一体机,EMS",2.5-4.5万·13薪,岗位职责：1、负责管理研发团队、统筹跨部门资源，确保研发项目的顺利完成；2、制定公司新能源技术中长期的研发规划，带领研发团队统筹管理平台系统的研发设计、测试；3、主导新型电力系统、虚拟电厂系统、微电网等的市场调研和技术研究；4、负责与合作院校对接，把握联合开发的工作进度和项目落地转化。任职资格：1、本科及以上学历，电力电子、新能源、储能科学与工程等相关专业；2、5年以上新能源研发管理经验，具备丰富...,新能源,http://jobs.zhaopin.com/CC459564120J40799091212.htm,100-299人,2025-08-18 12:25:54
