职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
Keeta-C端视觉设计师,深圳,北京三快在线科技有限公司,本科,5-10年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40762254309.htm,10000人以上,2026-01-11 08:27:34
大疆--中/高级体验设计师（UI）（深圳）,深圳,天津尘时科技有限责任公司,本科,5-10年,交互设计,3-6万·15薪,工作职责1. 负责产品视觉设计工作（ Mobile / PC等 ），协作完成组件库建设工作；2. 高效、高质输出业务模块的需求，注重逻辑、使用体验，持续优化视觉及用户体验；3. 主动参与业务模块的深入讨论，与项目组和团队都能达成良好的沟通合作。任职要求1. 本科及以上学历设计相关专业；2. 思维逻辑能力较强，对复杂的行业业务内容学习能力强；3. 3-5年从业经验，具备中大型项目设计经验、软硬件结合...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40846915213.htm,500-999人,2025-12-03 15:02:59
高级工业设计师-AI 创新业务,深圳,字节跳动,本科,3-5年,,2.5-5万,岗位职责：1、设计趋势洞察：对审美趋势和技术趋势有敏感的洞察，能够时刻保持同理心感知用户需求；2、产品外观设计：负责穿戴类产品的整体外观形态设计，确保产品在市场上具有独特的视觉吸引力和视觉符号；3、用户体验设计：关注用户体验，设计符合人体工程学的产品外观材质和交互体验，确保产品易于使用和操作；4、设计故事表达：使用专业设计软件进行产品的3D建模和渲染，绘制故事版，高效准确表达设计概念；5、材料工艺...,互联网,http://jobs.zhaopin.com/CC469217510J40789474601.htm,10000人以上,2025-11-06 15:58:49
Keeta-B端体验设计师,深圳,北京三快在线科技有限公司,本科,1-3年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40818144609.htm,10000人以上,2026-01-11 08:23:18
视觉设计师,深圳,戴盟(深圳)机器人科技有限公司,学历不限,3-5年,VI设计,2-4万,1、负责公司品牌VI系统迭代，包括主视觉设计、产品手册、官网及社交媒体视觉创意。2、根据产品特点和营销目标，独立完成产品营销物料设计，包括但不限于海报、宣传单页、宣传册、邀请函、展会背景板、H5页面、banner等。3、与营销团队密切合作，参与产品营销活动的策划过程，提供创意性的视觉解决方案，将营销概念转化为具有吸引力的设计概念。4、协助更新和维护品牌视觉资产库，对品牌相关的设计文件进行整理、分类...,机器人,http://jobs.zhaopin.com/CCL1402331370J40794457711.htm,20-99人,2025-10-15 16:08:36
视觉设计师,深圳,济南金威刻激光科技股份有限公司,本科,3-5年,电商设计,2.5-3.5万,岗位职责：一、官网视觉设计1.负责 gweike官网（www.gweikecloud.com）和亚马逊等电商平台的视觉优化，包括首页、产品页、活动专题页等；2.设计高转化率的 Banner、产品展示图、功能对比图等营销素材；3.制作符合品牌调性的图标、插画、动态视觉元素（如产品演示 GIF/视频）； 二、产品可视化 1.基于 3D 模型渲染产品图，展示激光切割/雕刻效果（如木材、金属、皮革等材料）...,电气机械/电力设备,http://jobs.zhaopin.com/CC137071410J40852772415.htm,1000-9999人,2025-10-16 11:20:41
平面设计,深圳,深圳市新凯来技术有限公司,本科,5-10年,"PS,AI,AE",1.5-3万·14薪,主要职责1. 创意设计与执行：· 负责公司全线产品（仪表仪器产品）的市场营销材料设计，包括但不限于：品牌VI、产品彩页、宣传手册、技术白皮书封面、展会海报、易拉宝、广告横幅等。· 设计用于新媒体的视觉资产，如社交媒体图片、信息图等。· 参与和支持全球/区域性市场活动的视觉设计，如产品发布会、行业展会。2. 技术内容可视化：· 与市场、产品经理紧密合作，理解产品的核心技术和性能参数。将复杂的技术原理...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40894120915.htm,1000-9999人,2025-10-13 09:24:08
资深平面设计师,深圳,湖南太阳龙医疗科技有限公司,本科,5-10年,"VI设计,广告设计,包装设计,PS,AI,3D MAX",1.6-3万,岗位内容：1. 根据公司品牌定位和市场需求，进行平面设计、VI设计、海报设计、产品包装设计等相关工作；2. 设计并制作企业形象宣传资料，包括公司画册、产品样本、宣传册、电商产品详情页、广告海报、DM单页、PPT、视频等；3. 参与网站界面设计、微信公众号运营和活动策划，为产品及公司形象塑造建立更具竞争力的视觉形象。 任职要求： 1. 本科及以上学历，平面设计或者相关专业，5年以上品牌设计工作经验；...,医疗设备/器械,http://jobs.zhaopin.com/CC271065930J40734247109.htm,100-299人,2025-09-27 17:00:35
电商平面设计师（精品）,深圳,深圳市喜达科技有限公司,大专,1-3年,"电商设计,店铺设计,蓝禾,页面设计,PS",1.8-3万,岗位职责：1、负责公司旗下亚马逊电子商务平台店铺的规划以及设计；图片后期制作处理更新。结合商品的特性，制作成图文并茂、产品卖点突出，能引起购买欲望的图片；2、负责所有页面设计、改版、更新(包括店铺首页设计及排版、产品详细内容页的设计及排版、所有广告图片设计)；3、根据反馈的意见对设计方案进行修改和调整；4、协助各个业务部门处理工作中遇到的产品图片问题。任职资格：1、大专以上学历，艺术设计相关专业优...,贸易/进出口,http://jobs.zhaopin.com/CC372133630J40797103305.htm,100-299人,2025-08-21 11:56:13
高级UXUI设计师,深圳,深圳市喜德盛自行车股份有限公司,本科,3-5年,"APP,小程序,Web端",1.5-2.5万,Veo，于2017年正式成立，总部设立于美国洛杉矶，同时在深圳设立了软件研发中心。Veo的使命是通过为所有人提供绿色出行来结束对汽车的依赖。我们在北美60多个城市提供了数千万次的共享滑板车与电动车的骑行服务，是北美top2服务提供商。我们从不牺牲质量来实现增长。相反，我们专注于建立一个坚实、可持续发展的业务。我们正迈入未来三年的高速增长阶段，诚邀认同我们愿景、愿意共同推动公司增长发展的优秀人才，与...,金属制品业,http://jobs.zhaopin.com/CC585958980J40745067706.htm,10000人以上,2026-01-06 00:29:20
