职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
无人机-高级软件产品经理,深圳,北京三快在线科技有限公司,本科,5-10年,,面议,为了更好地提升城市即时配送的效率与体验，2017年，美团启动了无人机配送服务的探索，通过科技创新推动履约工具变革，加快建设空地协同的本地即时配送网络。在过去的六年里，美团无人机完成了飞行器、自动化机场及智能调度系统的研发工作，实现了研发设计、生产制造、运营运维全链条布局，达成了城市复杂场景物流无人机高频次、高密度、多天时、多天侯运行。2023年7月，美团无人机在上海发布了自主研发的第四代无人机，跟...,互联网,http://jobs.zhaopin.com/CC383625320J40797068309.htm,10000人以上,2026-01-11 08:30:13
信创产品规划设计岗,深圳,信创产品规划设计岗,硕士,5-10年,信创产品,6-9万,1、根据市场需求和信创技术发展趋势、行业竞争分析情况开展信创服务能力规划和产品设计等工作，负责产品相关文档的输出；2、负责跟踪并参与信创领域相关规范标准的制定、并根据客户需求主导地方/企业信创规范标准制定；3、负责信创关键技术研究以及相关专利/论文的编写和发表，并负责关键技术的产品转化工作；4、负责IT新技术跟踪以及信创产业市场研究等工作，定期输出相关研究报告；5、负责行业信创技术解决方案设计工作...,互联网,http://jobs.zhaopin.com/CCL1318355140J40776067803.htm,500-999人,2026-01-06 01:04:37
物流消费者体验运营-TikTok Shop,深圳,字节跳动,本科,5-10年,,4-8万,岗位职责：1、对接美国区域国际电商物流业务，深入了解消费者的物流体验痛点，建立以优化物流体验为核心的解决方案，协同运营、产品和相关治理团队，推动方案的落地，并持续推动相关业务目标的达成；2、深入了解海外市场和业务阶段，协同业务和合作伙伴，不断创新业务模式和产品方案，通过提升物流能力，提升用户转化、以及提升消费者的物流体验；3、深入分析相关数据，持续挖掘消费者体验痛点和机会，通过数据拆解、指标提升，...,互联网,http://jobs.zhaopin.com/CC469217510J40785857501.htm,10000人以上,2025-12-29 14:45:48
Keeta-效果广告渠道经理（Performance Marketing Manager）,深圳,北京三快在线科技有限公司,本科,1-3年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40746346909.htm,10000人以上,2026-01-11 08:47:26
产品专家（家庭业务/电视端）,深圳,某大厂旗下控股子公司,本科,10年以上,"软件产品,智慧服务,智慧家庭,家庭电视产品,TV端,用户体验,产品专家",5.5-9万·15薪,工作职责：1、负责互联网电视业务的产品规划、设计、实施及运营优化工作，确保产品满足市场需求和业务发展目标，同时结合运营服务，对现有产品模式进行拓展和突破。2、深入挖掘用户需求，结合互联网电视运营特点，持续优化产品设计，提升用户体验，推动产品和业务的共同成长。3、独立完成市场调研、竞品分析、用户需求分析等工作，制定产品策略，并输出详细的产品规划和原型设计，以实现产品模式的创新和突破。4、负责制定产品...,互联网,http://jobs.zhaopin.com/CCL1318355140J40670685603.htm,500-999人,2026-01-04 01:04:34
销售运营总监,深圳,长治市世纪景源房地产开发有限公司,本科,5-10年,"toB,总监",5-8万,1、制定可落地的销售目标与策略：基于公司战略拆解销量、回款指标，结合大宗商品“大额长单、周期长”特性，设计适配的渠道与客户覆盖方案并跟踪达成结果；2、搭建销售流程、考核机制、培训体系等标准化运营体系（梳理询价-报价-合同-物流-结算全流程 SOP），建立合规风控（如价格波动应对、履约担保）和 CRM 管理机制，优化人效；3、统筹销售数据复盘，搭建销售数据体系（客单价、回款周期、转化率等），通过数据...,贸易/进出口,http://jobs.zhaopin.com/CC464951110J40807563407.htm,1000-9999人,2025-11-08 09:59:11
国内K12培训业务总监,深圳,启德教育集团,本科,5-10年,"toC,销售运营,产品运营,K12,初中,高中",4-7万,岗位描述1. 根据公司战略，制定K12事业部年度/季度业务目标、销售策略与落地路径，对收入、利润、续费率、退费率等核心指标负责。2. 统筹全国/大区市场、咨询、教学、教务、校区五大模块，搭建标准化运营体系（SOP、质检、绩效、预算），实现复制扩张。3. 带领区域校长、销售总监、教学总监完成新开校区0→1爬坡及老校区1→N增长，确保校区月度、季度、年度业绩达成。4. 监控招生漏斗与转化数据，快速迭代...,咨询服务,http://jobs.zhaopin.com/CC184747420J40813044511.htm,1000-9999人,2025-12-12 00:14:41
跨境物流B段采购Leader-TikTok Shop,深圳,字节跳动,本科,10年以上,,4-7万,岗位职责：1、在指定范围内执行日常采购活动，推动沟通计划的制定并监督其实施，制定实施策略、职责分配和时间安排；2、能够向关键领导层和管理层有效展示并传达有说服力的商业案例和商品策略；具备数字化招标（RFP）、报价（RFQ）、信息征集（RFI）标准和流程的专业知识；3、能够深入分析市场，确保价格低于或符合市场水平，并识别供应商能力差异与企业发展愿景的匹配程度；能够根据成本、质量标准和交付目标管理多家...,互联网,http://jobs.zhaopin.com/CC469217510J40782652301.htm,10000人以上,2025-11-21 11:58:32
Keeta-搜索产品负责人,深圳,北京三快在线科技有限公司,本科,3-5年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40803609009.htm,10000人以上,2026-01-11 10:04:33
产品经理（营养添加方向）,深圳,陈克明食品股份有限公司,本科,3-5年,,4-6.5万,【岗位职责】1.战略规划：参与公司健康食品战略规划，主导营养强化与功能性添加产品线的年度经营计划制定与落地。2.产品设计与开发：负责营养导向产品开发全流程，基于消费者画像与购买决策研究，提炼产品卖点，独立完成核心单品从设计、研发到量产的工作。3.供应链管理：根据营养健康产品开发需求推进供应链产能建设，确保产品生产资源有效匹配与稳定供应。4.产品上市：制定有针对性的产品上市与终端推广策略，策划创新品...,快速消费品,http://jobs.zhaopin.com/CC226645520J40834676105.htm,1000-9999人,2025-12-23 15:01:43
