职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级算法专家（大模型方向）,深圳,牧原股份,硕士,5-10年,大模型算法,8-16万,岗位职责：负责集团行业大模型的建设与落地：1、主导业务需求分析与技术方案设计，规划行业大模型的整体技术架构与发展路线。2、负责构建行业大模型所需的数据体系，包括制定数据采集、清洗、标注规范，构建行业知识库（如文档库、向量库）。3、主导大模型的训练、微调（如SFT）、对齐优化（如RLHF/DPO）及性能评估全流程。4、推动大模型能力在具体业务场景（如智能问答、分析决策、内容生成）的应用集成与方案落地...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820141311.htm,10000人以上,2026-01-10 10:16:03
网络大模 型研发专 家,深圳,某大型央企,博士,5-10年,大模型算法,6-10万,1.牵头跟踪和评估网络大模型及网络人工智能相关领域的最新进展与技术趋势，制定和实施网络大模型的战略规划。2.带领团队开展网络大模型及网络人工智能相关领域的技术研究与产品创新，包括不限于大模型的架构、训练推理、工程化落地等方向。3.带领团队推进大模型技术（语言大模型、时序大模型、多模态大模型等）在信息通信相关领域的落地应用，并解决落地过程中的技术难题。4.组建具有前瞻性思维和创新能力的团队，明确团队...,互联网,http://jobs.zhaopin.com/CCL1318355140J40756817303.htm,500-999人,2025-12-24 01:05:14
大疆--中/高级SLAM算法工程师（深圳）,深圳,天津尘时科技有限责任公司,硕士,5-10年,"机器视觉,智能驾驶,导航算法",5-10万·15薪,工作职责1. 研发基于视觉、LiDAR、GNSS等多传感器的GVIO、LGVIO等紧组合算法，并落地产品；2. 研发基于视觉、LiDAR等多传感器的SLAM建图与重定位算法，并落地产品；3. 研发基于视觉、LiDAR等多传感器的语义SLAM，并落地产品；4. 推进机器学习技术在无人机建图定位功能中的应用，比3DGS、MASt3R等。任职要求1. SLAM相关方向硕士或以上学历，在相关行业有4年以上...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40842914713.htm,500-999人,2025-11-18 11:07:29
高级算法专家,深圳,牧原股份,硕士,5-10年,"深度学习,Caffe,TensorFlow,PyTorch,图像算法,机器视觉",6-12万,一、岗位职责1、核心算法研发 【1】主导机器学习/深度学习算法在业务场景的端到端落地（如边缘端视觉检测系统落地、集团大模型应用等）。 【2】设计高鲁棒性算法，解决数据稀疏、噪声等实际问题。【3】探索前沿技术（如大模型、多模态融合等）并推动业务适配，平衡创新性与工程成本。2、业务落地 【1】基于集团业务流程，梳理AI重点工作及对应实施落地方案 【2】构建通用算法部署落地方案，包括但不限于算力方案、数...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40815351811.htm,10000人以上,2025-12-18 10:35:30
日语AI培训讲师,深圳,深圳市璟润科技有限公司,大专,3-5年,"课程策划,项目实训,深度学习,搜索算法,推荐算法,语音算法,导航算法,日语N1,AI培训,课程教授,模式识别",300-500元/时,岗位内容：1. 负责人工智能课程的开发和讲授，帮助学员全面掌握人工智能领域的相关知识和技能。2. 定期更新和完善课程内容，提高课程实用性和针对性。3. 参与教材编写和课程改革等工作，提升教学质量。任职要求：1. 熟悉人工智能领域各类技术和算法，具备扎实的理论功底和实践能力。2. 具备较强的演讲和表达能力，能够将复杂的技术概念转化为易于理解的语言。3. 具备良好的团队合作和管理能力，能够有效组织和协...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1488054090J40733674606.htm,20人以下,2025-12-30 01:17:02
理工科博士研究员（需博士学历）,深圳,中财信忠(北京)科技有限公司,博士,3-5年,"太阳能,其他能源,风能,研究员,副研究员,研究实习员,人工智能,石油化工,智能制造",4-8万,一、岗位要求：1.学历：博士学历、理工科专业（已毕业，有毕业证书）2.近3年的海外工作经验：（25年1月之后回国或至今仍在国外）博士毕业后连续3年以上海外工作经验，企业或者高校工作经验或者连续2年博士后工作经验。 二、工作地点：可根据您的期望地点进行调整 三、专业要求：（9大类方向都可以，任选） 专业方向：人工智能、通讯技术、新能源与储能、材料方向、机械与结构、石油矿产、工业控制与自动化（系统整合...,科学技术推广,http://jobs.zhaopin.com/CC424188630J40855271412.htm,1000-9999人,2026-01-04 12:01:56
高级算法专家,深圳,牧原股份,硕士,5-10年,"机器学习,深度学习,大模型算法,Python,C++",8-12万,岗位职责：1、核心算法研发【1】主导机器学习/深度学习算法在业务场景的端到端落地（如推荐系统、CV/NLP、时序预测、运筹优化等）。【2】设计高鲁棒性算法，解决数据稀疏（如冷启动）、噪声（如工业传感器数据）等实际问题。【3】探索前沿技术（如大模型蒸馏、多模态融合）并推动业务适配，平衡创新性与工程成本。2、系统工程化【1】构建高性能推理框架，优化算法在高并发/低延迟场景的表现（如实时风控、自动驾驶决...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40773283711.htm,10000人以上,2025-08-20 11:38:01
Agent 算法工程师（通用）,深圳,南方新华,本科,1-3年,"强化学习 ,大模型算法,GPT,自然语言处理,PyTorch,TensorFlow,Python,AGENT,多智能体",4-8万,职位描述1. 负责多智能体 vibe coding 产品 https://mgx.dev的效果优化工作，聚焦编程场景，全面提升 Agent 的网页开发能力，使 Agent 能根据用户一句话，产出生产级应用2. 通过多智能体架构的设计、开发、优化，提升 Agent 在规划、工具使用、指令遵循、需求理解、多 Agent 协同方面的能力；构建相关 benchmark 科学评估各方面性能3. 落地前沿技术...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40815434011.htm,100-299人,2025-12-18 14:37:11
电机控制算法工程师,深圳,厦门雅迅智联科技股份有限公司,硕士,3-5年,"FOC/SVPWM,嵌入式实现,参数标定,诊断保护,台架测试",5-8万,岗位职责：1.负责两轮电动车用永磁同步电机控制算法的设计、仿真与实现，包括FOC、弱磁控制等，确保电机动态响应、效率及平顺性达到最优。2.负责算法在嵌入式平台上的代码实现、优化与调试，完成参数整定，解决电机运行中的振动、噪声等实际问题。3.设计与开发电机控制相关的诊断与保护功能，如过流、过压、过热、缺相等，提升系统鲁棒性与安全性。4.搭建电机台架测试环境，与硬件、测试工程师协同完成算法性能的验证与...,物联网,http://jobs.zhaopin.com/CC138128960J40776401216.htm,1000-9999人,2025-11-26 10:24:04
大模型算法工程师,深圳,牧原股份,硕士,3-5年,"深度学习,大模型算法,强化学习 ",4-8万,岗位职责：1、负责大模型（预训练、微调、对齐等）关键技术的研发、实现与调优，主导解决模型训练与推理中的性能瓶颈问题。2、参与或主导面向垂直领域的行业大模型从0到1的构建，包括技术方案设计、领域数据处理、模型训练及业务场景的集成落地。3、参与大模型技术栈与工具链的选型、搭建及优化，确保模型的高效、稳定部署，并支持相关产品的工程化实现。4、跟踪前沿技术动态，进行技术验证与储备；协助指导初级工程师，推动...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820140911.htm,10000人以上,2026-01-10 10:11:13
AI视觉高级工程师-博士,深圳,恩斯迈电子（深圳）有限公司,博士,经验不限,,4-8万,职位描述1. 智能制造领域核心视觉算法优化和创新研究，包括但不限于：检测分类，分割，OCR等；2. 大规模深度学习/机器学习相关的核心算法研究，包括但不限于：网络结构设计、大规模分布式训练、持续学习、无/自/半监督学习、部署量化等；3. 针对智能制造领域的实际需求，进行算法设计、实现、迭代优化等工作，将算法功能交付下游团队；职位要求1. 博士学历，计算机相关专业毕业；2. 具有计算机视觉，机器学习...,计算机硬件,http://jobs.zhaopin.com/CC120200310J40583459408.htm,1000-9999人,2025-11-06 20:56:28
大模型算法工程师（研发总监）,深圳,深圳市先创数字技术有限公司,硕士,5-10年,"大模型算法,深度学习,GPT,Transformer,导航算法,搜索/推荐算法,PyTorch,TensorFlow,Python,云原生云架构,大模型",4-8万,学历要求：计算机科学、人工智能或相关领域的硕士及以上学历，博士学历优先。工作经验：需要具备5年及以上的大模型研发或人工智能相关领域的工作经验，在大规模分布式训练、深度学习、NLP/NLU领域算法有丰富的经验和架构能力。专业技能：掌握业界领先大模型的基本原理和训练以及微调方法，如GPT系列、LLaMA、ChatGLM等的RLHF三阶段训练及LoRA微调等。熟练掌握TensorFlow、PyTorch...,计算机软件,http://jobs.zhaopin.com/CC130455220J40615624007.htm,100-299人,2025-06-27 13:55:24
图像算法工程师--深圳 (MJ015096),深圳,牧原股份,本科,1-3年,"TensorFlow,PyTorch,Python,C++,Caffe",4-8万,岗位职责：1、负责基于深度学习的计算机视觉算法开发和优化，涉及到的领域包括但不限于：目标检测、目标跟踪、行为识别、图像分类、关键点检测等；2、优化模型和算法在数据集上的表现，持续提升产品的算法落地效果；3、负责常用工具库的封装，训练集、测试集的持续维护等；4、负责算法开发质量保障，提升团队的算法研发质量和效率。任职要求：1、本科及以上学历，计算机科学、应用数学、模式识别等相关专业，2年以上算法工作...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40677562611.htm,10000人以上,2026-01-10 09:59:01
