职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
数据分析中级工程师,深圳,某深圳知名消费电子企业,本科,3-5年,"Sql,Python,SPSS",3-6万,岗位要求：1、协助搭建和完善战略洞察数据分析体系，负责数据采集、清洗、整理及常规分析工作，输出数据报表与可视化图表。2、参与数据模型的基础构建与优化，协助产品经理完成模型产品的测试与迭代。与业务部门沟通，挖掘数据需求，提供数据支持与分析建议，保障数据准确、及时，助力战略洞察工作开展。任职资格：1、统计学、数学、计算机等相关专业本科及以上学历，3 年以上数据分析工作经验，有消费品行业数据分析经历优先...,互联网,http://jobs.zhaopin.com/CCL1318355140J40863140503.htm,500-999人,2026-01-07 01:07:14
期货研究员,深圳,深圳市澳华集团股份有限公司,本科,5-10年,,3-5万·14薪,岗位职责：1. 负责所分配品种的相关市场信息搜集整理工作，跟踪商品基本面数据，配合公司投研工作；2. 具备较完整的品种研究逻辑框架，能够独立分析，定期完成日报、周报及专题策略报告等，持续迭代完善投资策略；3. 深入产业链进行相关调研，并形成调研报告，有独立观点；4. 有期货交易投研经历优先。职位要求：1. 有期货实盘交易、资金管理经验，具备业绩证明者优先；2. 本科及以上学历，金融、投资或品种相关...,农/林/牧/渔,http://jobs.zhaopin.com/CC221587610J40826547503.htm,1000-9999人,2025-08-18 16:17:25
数据分析师,深圳,刷薪记录,大专,1-3年,,2-4万,岗位内容：1. 分析和挖掘大量的数据源，为业务发展和决策提供支持。2. 负责开发、维护和优化各类数据仓库和数据报表，保证数据质量和准确性。3. 与业务团队紧密合作，深入了解业务需求，提供全面的数据分析解决方案。4. 执行并监督指标和KPI体系，跟踪业务进展和成效。任职要求：1. 具备统计学、数学、计算机科学或相关领域的本科及以上学历，并拥有至少两年相关工作经验。2. 精通SQL语言和常用的数据分析...,咨询服务,http://jobs.zhaopin.com/CC623260320J40836097312.htm,300-499人,2025-09-30 14:40:57
研究所-权益及期权策略研究岗G01279,深圳,中信期货有限公司,硕士,1-3年,期货研究,2-4万,岗位职责： 1、深入研究国内/国外宏观政策、行业基本面、股市资金面；2、参与股指类衍生品（如：股指期货、股指期权、ETF期权、场外期权等）市场行情分析和策略研究工作；3、协助搭建团队研究产品及国际化产品体系；4、协助部门开展专业客户服务工作；5、支持公司及部门其他相关研究需求。岗位要求： 1、经济、金融、统计或相关专业研究生及以上学历；股票市场相关工作经验优先；2、具有较好的经济学理论基础和宏观经...,证券/期货,http://jobs.zhaopin.com/CC274328810J40777293908.htm,1000-9999人,2025-02-26 10:29:06
市场研究分析师,深圳,啄木鸟医疗,本科,3-5年,"竞品调研,市场调研,行业调研",2-3.5万,岗位职责： 1、竞争分析：持续开展竞品对标分析，了解竞争对手的产品、技术、价格、渠道和营销策略等，输出竞品分析报告，提供差异化竞争策略建议，支撑公司战略决策；构建竞争对手动态监控机制，跟踪竞争对手的行为和策略，分析其优势和劣势，建立并维护竞情信息库。 2、行业分析：负责行业市场调查和分析，通过PEST模型等工具对行业空间、行业价值转移趋势、竞争格局等方面进行分析。 3、客户分析：分析现有和潜在客户...,医疗设备/器械,http://jobs.zhaopin.com/CC141184140J40737228016.htm,500-999人,2026-01-10 01:47:05
PMC/品质/物流/数据分析经理,深圳,深圳市泽锦实业有限公司,大专,3-5年,"质量管理,PMC管理,成本管理",2-3.5万·13薪,岗位职责：1、负责供应链端（PMC计划、品质或物流其中某一个板块的日常工作管理）；2、根据公司发展目标制定平台年度及月度规划，复盘，数据化运作落实执行；3、熟悉供应链管理运作流程管控，能够对跨境电商产品计划、采购、物流、仓储、成本资金等方面资源进行有效规划、整合及优化；4、团队业务目标，包括GMV总量及增长率、利润总量及增长率、库存周转率等，注重成本核算；5、建立和健全供应商的维护、跟踪及评估体系...,电子商务,http://jobs.zhaopin.com/CCL1308134160J40732135606.htm,100-299人,2025-11-10 11:12:05
知识管理经理 (MJ000619),深圳,大族数控,本科,5-10年,"数据治理,知识管理,知识体系,知识分类",2-3.5万,岗位职责：1、负责集团级知识管理体系的整体规划、设计与实施，确保知识管理体系契合企业战略发展2、根据知识的分类维度，组织开展集团内外部知识资源的识别、采集、整理与共享应用工作3、对接业务部门需求，配合业务部门提炼知识，输出专项业务场景知识解决方案4、定期对知识资产进行评估与更新，确保知识的准确性、时效性和可用性5、制定知识共享激励政策与文化建设方案，策划并组织各类知识分享活动，促进全员分享知识6、...,电气机械/电力设备,http://jobs.zhaopin.com/CC334402310J40850840802.htm,1000-9999人,2025-11-03 14:30:54
经营分析/战略岗,深圳,五矿期货有限公司,本科,5-10年,"经营分析,战略",3-3.5万,岗位职责：1、负责经营分析工作，包括行业对标、公司经营等数据收集与深度分析，编制经营分析报告，准确识别及呈现业务运营存在的问题和瓶颈。2、负责完善公司经营分析体系与机制，根据公司特点健全经营分析指标库。3、参与公司战略规划、业务规划、经营计划等编制相关工作。岗位要求：1、硕士及以上学历，金融、经济、管理等相关专业；2、具备经营分析、战略规划模块工作经验，具有金融行业或咨询从业经验；3、熟练使用数据...,证券/期货,http://jobs.zhaopin.com/CC146062180J40729843114.htm,300-499人,2025-10-20 13:43:51
数据运营资深经理,深圳,中电数据产业集团有限公司,本科,5-10年,,2-3.5万·15薪,岗位职责1、根据公司的经营方针，制订相应的行业业务运营规划，组织协调资源，完成公司下达的业务和利润指标； 2、负责数源端、渠道端、客户端资源开发，不断扩大和推动面向政府、企业的数据合作范围、深度； 3、负责行业合作伙伴和客户的关系开发与维护，支持客户调研、需求对接、数据测试、产品交付等全过程工作； 4、协助地方合资公司数据要素业务发展，支持数据交易落地全过程工作； 5、负责与数源方、需求方、合资公...,云计算/大数据,http://jobs.zhaopin.com/CCL1485595580J40763777811.htm,20-99人,2025-07-29 09:03:33
开发、测试、算法、数据分析等（接受应届生）,深圳,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++",1.5-3万·14薪,公司福利： 1. 底薪+绩效+项目奖金+年终奖； 2. 全额缴纳五险一金； 3.一年数次考评，薪资可上浮~ 4.带薪年假5-15天，双休； 5.享有健身房、班车、加班打车报销等软性福利。岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40793630905.htm,10000人以上,2026-01-11 00:24:39
