职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
架构规划岗（深圳）2441,深圳,中移动信息技术有限公司,硕士,3-5年,C语言,7-10万,岗位职责:1、设计并优化高并发、低延迟音视频架构，支持元宇宙场景下的实时通信2、攻克WebRTC在3D虚拟环境中的适配难题（如动态码率分配、虚拟遮挡音频优化）3、研发抗弱网传输策略（FEC/NACK/自适应JitterBuffer），确保20%丢包下流畅通话4、构建全链路质量监控系统，实现问题快速定位（如延迟图谱、丢包溯源）5、设计支持海光/兆芯CPU的分布式SFU架构6、推动前沿技术落地（如AV...,IT服务,http://jobs.zhaopin.com/CC838625830J40759330801.htm,1000-9999人,2025-07-25 21:09:10
软件架构师,深圳,中广核智能科技(深圳)有限责任公司,本科,10年以上,"Java,Python,Go,微服务架构,Spring,Django,云计算架构,React",6-9万,岗位职责：架构规划与设计：负责公司软件系统的整体架构规划和设计，包括系统模块划分、技术选型、接口设计、数据流设计等；负责制定符合公司业务战略和技术发展趋势的软件系统架构方案，确保系统高效、稳定、安全运行；根据业务需求，从技术角度提出可行性建议，规划软件技术架构的演进路线，引领团队实现技术创新与能力提升。技术标准与规范：负责制定软件开发过程中的技术规范、设计原则和编码标准；负责建立架构相关的文档体系...,互联网,http://jobs.zhaopin.com/CCL1318355140J40819498703.htm,500-999人,2026-01-11 01:04:41
AI 系统架构师-博士,深圳,恩斯迈电子（深圳）有限公司,博士,经验不限,,4-8万,职位描述：1.从事AI算法模型在不同平台上的工程化设计、实现与加速、系统集成与工程化落地； 2.公司AI服务器软硬件平台的规划、定义和技术架构设计； 3.根据公司AI专案应用情景，规划与设计视觉算法工程化、机器学习平台，开发和日常运营。 职位要求： 1.博士学位，大学计算机相关专业，必须具备扎实的技术背景 2.三年以上年软件开发经验，熟悉多种编程语言和开发框架，如Java、Python、C++等；...,计算机硬件,http://jobs.zhaopin.com/CC120200310J40672419508.htm,1000-9999人,2025-11-06 20:56:05
EI大数据（modelarts方向）,深圳,软通动力信息技术(集团)股份有限公司,本科,经验不限,"数据中台开发,Java,Python,Shell,MaxCompute,MODELARTS,英语,数据运维",4-6.5万,岗位关键点：modelarts方向的 【工作职责】1、负责华为云大数据和AI相关云服务现网运维体系建设，进行高可用性架构设计，容灾演练及自动化恢复能力建设，看护服务SLA。2、负责华为云大数据和AI相关云服务现网运维指标体系建设，完善云服务监控能力，持续提升问题发现和定界能力。3、负责华为云大数据和AI相关云服务现网变更实施，日常运维巡检，监控，告警处理等。【任职要求】学历要求：本科及以上学历，计...,互联网,http://jobs.zhaopin.com/CC000544460J40779199016.htm,10000人以上,2025-12-06 16:49:06
架构师,深圳,深圳市共济科技股份有限公司,本科,10年以上,Go,4-6万,岗位职位：1、 技术平台规划与架构设计（核心职责）1) 负责公司核心技术平台的整体架构规划，包括平台分层、技术选型、演进路线和技术边界定义。2) 结合业务发展和产品规划，设计可扩展、可演进、高可用的系统架构。3) 对关键系统和复杂模块进行架构设计与方案输出，指导研发团队落地实施。2、 架构评审与技术治理1) 主导或参与关键系统的架构评审，识别并规避系统性技术风险。2) 建立并推动架构规范、设计原则...,计算机软件,http://jobs.zhaopin.com/CC145235980J40865331603.htm,500-999人,2025-12-22 15:46:23
高级数据治理工程师,深圳,牧原股份,本科,5-10年,数据治理,3-6万,岗位职责：1、数据治理体系建设：①协助制定和优化公司数据治理体系、制度、标准和流程，包括数据目录、数据血缘、数据质量、数据安全等规范。②推动企业级主数据管理（MDM）和元数据管理（Metadata Management）体系建设和落地。2、数据质量管理①设计和建设数据质量评估体系，推动关键指标质量监控、评估与持续优化。②开发数据质量规则，跟踪质量问题并推动业务整改。3、主数据和元数据管理①建设和维...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40783688411.htm,10000人以上,2025-11-21 11:55:16
研发总监,深圳,深圳市华诚达精密工业有限公司,本科,10年以上,"零部件产品结构设计,高精密",4-6万,岗位职责：1、制定和执行研发战略，确保研发团队与公司整体战略目标一致。2、负责研发团队的招聘、培训和管理，建立高效、协作的团队文化。3、负责新产品的研发、技术预研和专利申请工作，确保产品具有竞争优势。4、监控研发项目的进度和质量，确保项目按时交付并满足客户需求。5、负责与内外部合作伙伴的技术交流与合作，拓展公司的技术生态圈。6、领导跨部门协作，确保研发团队与其他部门（如市场营销、生产等）的有效沟通...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC396412810J40835703412.htm,1000-9999人,2025-11-03 09:44:30
Solution Architect,深圳,深圳香港马会技术开发有限公司,本科,10年以上,"英文流利,前端架构,平台架构,云计算架构,微服务架构",4-6万,"JOB SUMMARY• Responsible for the end-to-end solution design, alignment, and governance of IT applications and technology solutions to support business initiatives in mainland China.• Close collaborati...",计算机软件,http://jobs.zhaopin.com/CC573422420J40766854414.htm,100-299人,2025-06-20 17:35:34
博士后研究人员,深圳,方直科技,博士,经验不限,"数据分析,大数据分析,机器学习",3.5-6万·16薪,招聘要求1.在国内外已取得或即将取得博士研究生学位者，品学兼优，身心健康。2.具有扎实的学科理论基础，较强的敬业精神、职业操守、科研能力和团队合作能力，心理健康，能尽职尽责地完成博士后研究工作。3.能够全职从事博士后研究（在职人员不得兼职从事博士后研究工作）。4.研究方向：ü 大数据分析与自适应学习技术通过分析和记录学习者的数据，获得规律和算法，提供智能的个性化推荐和指导。ü 深度学习与语音评测技...,计算机软件,http://jobs.zhaopin.com/CC143270306J90250262000.htm,100-299人,2025-04-25 09:16:48
SOC系统设计专家 (MJ000129),深圳,深圳市中兴微电子技术有限公司,硕士,5-10年,SOC,3-6万,工作职责：1、负责终端芯片在Spec、SoC集成、IP选型和RTL设计方向上的技术突破；2、负责终端芯片规格定义以及管理无线终端芯片需求开发；3、负责SoC架构设计/方案评估和优化4、负责管控终端芯片开发的整体进度以及风险，推动芯片开发交付；5、负责终端芯片在产品的应用导入和量产维护任职要求：1.硕士及以上学历，通讯、电子、芯片类专业，8年以上芯片设计领域经验，有成功流片经验；2.熟悉IC的设计、...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC332136610J40478473808.htm,1000-9999人,2025-03-24 15:06:51
