职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
品质管理中心负责人,深圳,青岛晟业管理咨询有限公司,本科,10年以上,"QC,QA",4-7万,一、岗位职责：1. 体系搭建：构建覆盖公司研发、采购、生产、交付全链路的质量管理体系（如 ISO 系列），制定统一的体系运行规范与管理要求。2. 体系认证：对接第三方机构开展质量管理体系认证、年度监督审核，跟踪各事业部不符合项整改，保障体系合规有效运行。3. 标准统筹：结合行业法规、客户需求及市场标准，制定公司统一的产品质量标准、检测规范及验收准则，同步更新至各事业部。4. 全链监督：监督各事业部...,咨询服务,http://jobs.zhaopin.com/CC858246550J40743492806.htm,20人以下,2025-12-24 14:32:29
研发资深测试主管,深圳,淮安市纳杰云服技术服务有限责任公司,本科,10年以上,,4.5-6万,工作职责：1.负责制定研发阶段硬件产品的测试计划和测试方案，确保产品测试的全面性和有效性。2.执行硬件产品的功能测试、性能测试、可靠性测试等各类测试工作，对测试过程中发现的问题进行详细记录和分析，及时反馈给相关开发人员。3.开发和维护自动化测试脚本和工具，提高测试效率和准确性，推动测试工作的自动化进程。4.参与产品的需求评审和设计评审，从测试角度提出合理的建议和意见，预防产品缺陷的产生。5.协助解...,互联网,http://jobs.zhaopin.com/CCL1479851850J40819569511.htm,100-299人,2026-01-07 17:26:14
质量总监,深圳,恒洁卫浴集团有限公司,本科,经验不限,全面质量管理体系,4-6万,岗位职责:1. 负责公司智陶产品质量规划、目标的贯彻落实贯彻落实，统筹智陶产品全生命周期（研发、采购、制造、市场、用户端）质量管理工作的优化与提升，推动研发、采购、制程、市场质量体系协同发力，确保智陶产品全链路质量可控。2. 统筹公司智能产品质量战略在研发端的落地，主导研发端质量体系的规划、搭建与全流程管控；牵头建立智能产品研发全生命周期质量风险防控体系，运用 DFMEA 等开展研发质量风险识别，...,建材,http://jobs.zhaopin.com/CC824578820J40874448902.htm,1000-9999人,2025-12-05 11:11:41
高级测试工程师,深圳,厦门雅迅智联科技股份有限公司,本科,3-5年,"自动化测试,HIL/台架测试,缺陷管理,质量保障",4-6万,岗位职责： 1.负责电机控制器产品的测试策略与计划制定，构建覆盖单元测试、集成测试、系统测试及可靠性测试的完整测试体系。 2.设计与开发自动化测试用例、测试脚本及测试工装，执行硬件在环测试、台架测试和整车路试，全面验证产品功能、性能及耐久性。 3.负责搭建和管理测试环境（如HIL台架、功率台架），维护测试设备与工具，确保测试数据的准确性与可追溯性。 4.准确记录、分析和跟踪测试过程中发现的缺陷，与...,物联网,http://jobs.zhaopin.com/CC138128960J40776405116.htm,1000-9999人,2025-11-26 10:30:06
品质总监,深圳,深圳市欧亿光电技术有限公司,本科,5-10年,,3-6万,岗位职责：1、规划、完善、监督落实公司各项管理体系、制度流程、工作规范、产品标准化、文件表单等全盘品质工作；2、负责质量风险和事故的统筹处理，协调各部门的相关工作，提出预防、持续改进措施；定期开展质量事故改善项目专题讨论、分析并执行；3、监督各部门的工作，以符合严格的标准化品质流程要求；4、主导公司各项认证、客户验厂、供应商评价与辅导等相关工作；根据各项认证、客户验厂要求进行系统性的改善；5、负责...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1251117600J40842593113.htm,100-299人,2025-11-17 11:12:15
大疆-中/高级产品测试工程师（通用）,深圳,天津尘时科技有限责任公司,本科,5-10年,"软件测试,自动化测试,硬件测试",3-6万·15薪,工作职责1. 负责项目产品的测试方案制定、测试用例编写和测试执行验收，组织测试专题，确保产品测试完整性和有效性；2. 根据实际场景和用户需求，提前识别质量风险，提出合理的测试方案，并推动执行落地；3. 负责制定项目各阶段的质量运作机制和准出标准，并能够持续迭代，推进产品质量目标持续改进；4. 负责对测试方法、机制持续迭代优化，提升测试质量和效率。任职要求1. 本科及以上学历，计算机、通信、软件工程...,IT服务,http://jobs.zhaopin.com/CCL1252029180J40839831113.htm,500-999人,2025-11-07 09:59:21
Keeta-测试开发专家（资损防控方向）-深圳,深圳,北京三快在线科技有限公司,本科,3-5年,,面议,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,互联网,http://jobs.zhaopin.com/CC383625320J40824840709.htm,10000人以上,2026-01-11 08:46:14
【大疆正编】高级测试工艺工程师,深圳,外企德科,本科,5-10年,工艺设计,2.5-5万·15薪,"——大疆正编！正编！【薪资】25K-50K，15薪，面试通过根据近半年薪资流水+面试表现定薪；入职即购买五险一金【上班时间】弹性打卡，9:00-10:30打卡，12:30-14:00午休,18:00-19:30区间下班打卡,周末双休工作职责1. 负责新产品生产测试风险评估，测试可制造可量产性设计和评审；2. 制定新产品生产测试工艺方案，评估测试需求、约束设计、收敛测试阔值、闭环测试覆盖率问题，保证...",人力资源服务,http://jobs.zhaopin.com/CC138117190J40837838005.htm,10000人以上,2026-01-11 00:23:21
自动化测试工具研发专家,深圳,湖北电行科技有限公司,本科,5-10年,"Linux,Python",3-5万,【工作职责】1、主导设计并搭建公司产品的自动化测试框架与平台。2、开发高效、稳定的自动化测试脚本与工具，提升测试效率。3、将自动化测试集成至CI/CD流程，实现质量保障闭环。4、解决测试中的复杂技术难题，指导团队技术进步。【任职要求】1、精通Android/Linux终端或边缘设备的自动化测试开发。2、精通Python/Shell等脚本语言，熟悉主流测试框架。3、具备从零构建或深度优化自动化测试平...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40786478516.htm,20-99人,2026-01-09 13:38:13
无人车业务部-自动驾驶测试专家,深圳,北京三快在线科技有限公司,本科,1-3年,,面议,美团自动配送以自研L4级自动驾驶软硬件技术为核心，与美团即时零售业务结合，形成满足公开道路、校园、社区、工业园区等室外全场景下的自动配送整体解决方案。美团无人车团队成立于2016年，团队成员来自于Waymo、Cruise、Pony.ai、泛亚等自动驾驶行业头部公司，自动驾驶技术团队博士占比高达30%，依靠视觉、激光等传感器，实时感知预测周围环境，通过高精地图定位和智能决策规划，保证自动配送车全场景...,互联网,http://jobs.zhaopin.com/CC383625320J40818523909.htm,10000人以上,2026-01-11 10:09:33
品质管理总监,深圳,深圳市澳华集团股份有限公司,本科,10年以上,,4-5万·18薪,1、根据公司经营发展战略，完善品质安全管理体系建设，建立健全质量控制、质量验证和质量改善等相关的各项规章制度，以持续提高公司品质安全管理水平。 2、制定公司年度方针质量目标，分解部门品控安全和质量目标并组织部门实施达成。3、组织制定从原材料进厂、生产加工和成品出厂产品实现全过程的安全控制和持续质量改善的方法。 4、负责组织体系专员，建立、维护公司各体系的有效运行和逐步完善。 5、负责组织公司的内部...,农/林/牧/渔,http://jobs.zhaopin.com/CC221587610J40747605703.htm,1000-9999人,2026-01-04 17:38:19
【大厂正编】测试工艺工程师,深圳,北京外企德科人力资源服务深圳有限公司,本科,经验不限,"工艺设计,试制生产,装配工艺,消费电子,生产制造工艺,整机产测",3-5万·14薪,【不是】外包！！！【不是】外包！！！【工作职责】1. 负责新产品生产测试风险评估，测试可制造可量产性设计和评审；2. 制定新产品生产测试工艺方案，评估测试需求、约束设计、收敛测试阔值、闭环测试覆盖率问题，保证测试有效性和高效性；3. 按项目进度完成生产测试工站导入，参与设计变更，主导工艺变更导入，负责试产成熟度收敛，保证试产及量产产出；4. 跟进项目试产，完成不良分析、测试问题闭环，达成阶段的生产...,人力资源服务,http://jobs.zhaopin.com/CC157144120J40909667608.htm,10000人以上,2026-01-04 11:13:42
品控专家,深圳,深圳市新旗滨科技有限公司,本科,5-10年,,3-5万,岗位职责：1、负责品控部全面管理和内外上下沟通，组织部门人员履行公司赋予的职责及各项工作任务；2、根据行业及市场需求，制定合理的内控质量管控标准，并根据客诉情况及市场反馈，实时更新优化质量管控标准；3、组织部门人员，对厂内大宗原材料、辅耗材以及产品进行质量管控；4、定期收集友商产品，内部对比外观、理化性能及强化性能等数据，为生产提供友商产品信息；5、根据公司销售需求，协调安排人员进行编写相关产品规...,非金属矿物制品业,http://jobs.zhaopin.com/CC454284030J40863787212.htm,10000人以上,2025-12-26 16:00:01
质量总监（研发类）,深圳,深圳市共济科技股份有限公司,本科,经验不限,"质量体系,测试",3-5万,1、研发运营与效率提升（核心职责）1)负责研发体系的运营管理，围绕 效率、节奏、协同和可预测性 持续改进研发效能。2)建设并持续优化研发相关流程，包括但不限于：3)需求流转、研发计划、版本管理、发布流程、缺陷流转、变更控制等。4)识别研发过程中的瓶颈与浪费，推动流程优化与规范落地，而不是“纸面流程”。2、 研发效能度量与数据分析1)建立研发效能度量体系，对研发过程进行量化分析与持续跟踪，例如：2)...,计算机软件,http://jobs.zhaopin.com/CC145235980J40865962803.htm,500-999人,2025-12-25 15:06:51
【大厂正编】测试工艺工程师,深圳,北京外企德科人力资源服务深圳有限公司,本科,经验不限,"工艺设计,试制生产,装配工艺,消费电子,生产制造工艺,整机产测",3-5万·14薪,【不是】外包！！！【不是】外包！！！【工作职责】1. 负责新产品生产测试风险评估，测试可制造可量产性设计和评审；2. 制定新产品生产测试工艺方案，评估测试需求、约束设计、收敛测试阔值、闭环测试覆盖率问题，保证测试有效性和高效性；3. 按项目进度完成生产测试工站导入，参与设计变更，主导工艺变更导入，负责试产成熟度收敛，保证试产及量产产出；4. 跟进项目试产，完成不良分析、测试问题闭环，达成阶段的生产...,人力资源服务,http://jobs.zhaopin.com/CC157144120J40909667508.htm,10000人以上,2026-01-04 11:13:41
安全质量监督,深圳,深圳明华航运有限公司,大专,5-10年,,3-5万,岗位职责： 负责跟踪 ISM CODE、ISPS CODE、MLC、ISO 标准及认证机构要求，收集、分析、过滤内、外部法律法规和行业标准。 负责船舶 SMC、ISSC、MLC 证书管理，保持与认证机构联系。 负责组织、参与船舶内外、审和登轮检查，跟踪不合格项纠正和预防措施的落实。 参与公司内、外审，并协助跟踪公司内审不符合项的纠正和预防措施的落实。 负责公司管理体系在船运运行的日常监控。 跟踪监...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1241997280J40849231713.htm,300-499人,2025-12-12 15:20:25
