职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
零售运营总监,深圳,深圳市铁马体育文化发展有限公司,大专,5-10年,"门店运营,社群运营,toB,toC,鞋服配饰,连锁门店,男女服饰,电商运营",20-25万·13薪,连锁零售门店/电商运营总监（运动品牌）工作职责1、统筹公司品牌全国线下门店与线上商城的整体运营工作2、根据公司的发展战略和规划，制定线下门店、线上商城的年度经营计划并组织落实执行3、定期对线上线下营运数据进行统计分析，并输出分析报告，提出优化建议并为选品团队提供数据支撑4、制定直营新开店与阶段性运营方案，评估渠道及店铺拓展、推动新店落地，同时优化现有门店效率、提升盈利5、分析运动品牌行业市场状况，...,体育,http://jobs.zhaopin.com/CCL1463304600J40909266308.htm,500-999人,2025-12-30 17:20:59
亚马逊运营（美国站精品）,深圳,深圳卓熠科电子有限公司,大专,1-3年,"亚马逊,精品运营,数据运营,英语,3c电子,跨境电商运营,AMAZON",7-12万,"职位描述1、负责Amazon站点帐号管理，产品上架，维护和优化listing页面，确保帐号安全；2、按产品品类划分，负责Amazon市场调查分析，寻找热销产品；3、售前、售中、售后的客户服务，提高Review的质量和数量；4、完成公司规定的销售目标.任职要求:1、2年以上Amazon亚马逊平台操作经验,可独立操作一个或多个站点；2、国际贸易，电子商务，外贸，翻译，市场营销，外语专业优先；3、英语C...",贸易/进出口,http://jobs.zhaopin.com/CC497939820J40775988403.htm,20-99人,2025-10-10 15:52:50
京东渠道负责人/合伙人（属于事业合伙人）,深圳,深圳市慕雅居贸易有限公司,大专,5-10年,"京东运营,运营总监,合伙人",5-10万,我们不是在招一个“运营总监”，而是在找一位 能并肩作战的事业合伙人。如果您在京东深耕多年，有业绩、有团队、有野心，这里给您的是一片能挥刀冲锋的疆场。岗位职责一、战略规划与业绩突破1、全面负责京东全渠道的经营策略、业绩目标和增长路径；2、监控和分析京东平台的经营数据，制定优化运营方案，提升销售业绩；3、对京东渠道的整体业务结果负责。二、运营与项目管理1、深度参与店铺运营，策划并落地高转化的运营方案；...,零售/批发,http://jobs.zhaopin.com/CC454656380J40758568816.htm,500-999人,2026-01-09 00:08:21
运营副总,深圳,深圳君佩珠宝集团有限公司,大专,5-10年,"电商运营,新媒体运营,销售运营,toC",6-8万,岗位职责：1、协助总经理统筹公司整体运营管理工作；2、协助制定公司的战略规划及年度经营计划，组织落实相关工作，确保年度经营目标的达成；3、健全公司内部运营管理体系，完善管理制度、管理流程、考核标准等，推动公司经营管理的规范化和科学化；4、根据销售指标计划，参与制定和调整销售方案、活动策划方案、异业合作方案、商城运营方案、私域承接方案等；5、根据公司战略，进行公司品牌战略规划，制定年度市场工作目标和...,珠宝/首饰,http://jobs.zhaopin.com/CCL1459983570J40908013915.htm,300-499人,2025-12-04 13:51:26
电商总监,深圳,泉州市嘉信才略投资有限公司,大专,3-5年,"3C智能硬件,电商全渠道运营,组建新品牌",5-7万,岗位职责1、 根据公司战略目标，制定电商全平台(天猫、京东、拼多多、抖音等)战略布局及整体运营方案；2、 完成电商全渠道运营布局，分解销售目标，制定部门年、季、月等各周期运营方案，并负责监督实施，完成销售目标；3、 负责组织策划并审定产品、市场推广、运营、市场研究等活动策略、推广方案，相关预算、组织整合资源并实施监督，提高品牌知名度和美誉度；4、 保证线上电商平台产品价格定位、供应链管控，有效降低...,人力资源服务,http://jobs.zhaopin.com/CC700772380J40978468604.htm,20-99人,2026-01-06 16:40:30
国内K12培训业务总监,深圳,启德教育集团,本科,5-10年,"toC,销售运营,产品运营,K12,初中,高中",4-7万,岗位描述1. 根据公司战略，制定K12事业部年度/季度业务目标、销售策略与落地路径，对收入、利润、续费率、退费率等核心指标负责。2. 统筹全国/大区市场、咨询、教学、教务、校区五大模块，搭建标准化运营体系（SOP、质检、绩效、预算），实现复制扩张。3. 带领区域校长、销售总监、教学总监完成新开校区0→1爬坡及老校区1→N增长，确保校区月度、季度、年度业绩达成。4. 监控招生漏斗与转化数据，快速迭代...,咨询服务,http://jobs.zhaopin.com/CC184747420J40813044511.htm,1000-9999人,2025-12-12 00:14:41
独立站运营经理,深圳,宁波渠成集团有限公司,本科,3-5年,"独立站运营,跨境运营",4-7万,岗位职责：1、0-1搭建运营跨境独立站，统筹负责独立站的整体运营；2、负责独立站站点架构、广告投放、网站活动与产品精细化运营等工作；3、负责品牌广告投放，擅长营销推广，利用facebook、Instagram、Twitter、LinkedIn、Tiktok等社交媒体渠道进行推广，组建公司自己的站外渠道； 4、掌握SEO优化知识，熟悉搜索引擎排名技术、能通过优化网站程序，提高网站搜索引擎友好度；5、...,贸易/进出口,http://jobs.zhaopin.com/CC388690030J40759002102.htm,500-999人,2025-06-24 18:13:52
流程管理部总监,深圳,长沙泰锐普企业管理咨询有限公司,本科,5-10年,toC,5-6万·15薪,核心职责：主导研产销全链路流程变革，打通跨部门流程堵点；推动IPD、LTC等核心流程优化与数字化落地；建立流程运营管理体系，培育流程文化。硬性要求：10年以上流程管理经验，6年以上团队管理经验；有50亿+营收企业流程1号位经验；精通APQC、PEMM等方法论，持有PMP/六西格玛黑带优先；甲方背景为主，乙方经验需深入落地。,咨询服务,http://jobs.zhaopin.com/CC560075080J40819482211.htm,20人以下,2026-01-07 14:29:46
亚马逊运营总监,深圳,深圳宥成供应链科技有限公司,大专,1-3年,"精品运营,跨境店铺运营,管理经验,Amazon,小语种",3-6万,"1、（需要具备亚马逊管理20人以上团队的相关经验，）培养过三个销售冠军，根据公司年度发展规划，制定团队年度，季度,月度销售目标和运营计划，并带领团队实施与达成，对运营风险，销量和毛利目标负责。2、负责品牌、品类线、产品划分、店铺划分及团队人员配置给与全面规划布局。3、负责运营方向的把控和实施路径的落实。制定及优化产品运营方案，运营情况的跟踪及复盘，数据分析及数据化决策。4、定期调查分析市场以及持续...",电子商务,http://jobs.zhaopin.com/CCL1282468830J40386614804.htm,20-99人,2025-12-24 16:49:12
跨境亚马逊运营总监（精品，垂直）,深圳,广州屹谨信息科技有限公司,大专,5-10年,"电商运营,toB,toC,toG",3-6万,精品运营 (偏品牌) 1、品类不限，做过纺织类/家具/快消品)的产品更佳，其他品也可以。2、规模:该企业深圳 中心 杭州多家公司(深圳独立站5亿体量，亚马逊刚开始不久，新财年大力发展，需要操盘手0-1开始，工作地点:深圳南山大学城)3、男女不限、专业不限、学历大专以上、年龄38岁以内4、底薪4万以下，优秀可放宽至5万，股权可谈(试用期可签)，综合年包第一年70万以下，第二年百万的候选人可谈。5、双...,咨询服务,http://jobs.zhaopin.com/CCL1294351570J40910375215.htm,20人以下,2025-12-16 00:00:02
