职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
零售运营总监,深圳,深圳市铁马体育文化发展有限公司,大专,5-10年,"门店运营,社群运营,toB,toC,鞋服配饰,连锁门店,男女服饰,电商运营",20-25万·13薪,连锁零售门店/电商运营总监（运动品牌）工作职责1、统筹公司品牌全国线下门店与线上商城的整体运营工作2、根据公司的发展战略和规划，制定线下门店、线上商城的年度经营计划并组织落实执行3、定期对线上线下营运数据进行统计分析，并输出分析报告，提出优化建议并为选品团队提供数据支撑4、制定直营新开店与阶段性运营方案，评估渠道及店铺拓展、推动新店落地，同时优化现有门店效率、提升盈利5、分析运动品牌行业市场状况，...,体育,http://jobs.zhaopin.com/CCL1463304600J40909266308.htm,500-999人,2025-12-30 17:20:59
薪酬绩效高级专员,深圳,顺丰速运,本科,5-10年,,15-25万,岗位职责：1、经营人工成本管控体系搭建，制定经营人工成本预算、分析、管控，保障经营人工成本投产管控在预算目标内；2、岗位薪酬绩效标准体系及相关机制流程的建立，对推动及实施效果进行管理与评估；3、岗位薪酬绩效实施管理与分析，推动员工薪酬健康度提升；4、根据对应岗位薪酬绩效类需求，制定解决方案。任职要求：1、本科以上学历，5年以上薪酬福利经验，具有物流行业HRBP工作经验优先；2、熟练掌握现代人力资源...,货运/物流/仓储,http://jobs.zhaopin.com/CC131486150J40803745614.htm,10000人以上,2025-09-16 17:41:16
销售专员,深圳,深圳市广聚能源股份有限公司,本科,经验不限,"销售专员,企业客户,政府客户,渠道销售,代理商销售",12-20万,岗位职责:1、积极拓展新的业务项目；2、协同完成公司年度目标；3、拓展新业务板块，发掘商机并积极落地；4、能够胜任长期驻外出差工作；5、完成领导安排的其他工作事项。任职要求:1、学历：本科2、工作年限：不限3、有进取心，能承受一定的销售工作压力4、具备良好的沟通能力5、适应能力强，能适应出差,石油/石化,http://jobs.zhaopin.com/CC146991600J40881382715.htm,20-99人,2025-11-14 14:55:08
中控直播运营,深圳,深圳市南山区浩浩天空服饰工作室(个体工商户),高中,3-5年,"抖音,快手",10-12万,招聘直播中控运营 岗位职责1. 负责直播全程操作，精准控制推流、上下架商品链接、发放优惠券及互动道具，确保直播流程顺畅。 2. 实时监控直播数据（观看人数、转化率、销售额等），快速响应主播需求，配合调整直播节奏。 3. 协助筹备直播前的物料核对、设备调试（灯光、声音、网络），以及直播后的数据分析与复盘总结.,电子商务,http://jobs.zhaopin.com/CCL1513386800J40818010710.htm,20人以下,2025-11-06 11:13:06
亚马逊运营（美国站精品）,深圳,深圳卓熠科电子有限公司,大专,1-3年,"亚马逊,精品运营,数据运营,英语,3c电子,跨境电商运营,AMAZON",7-12万,"职位描述1、负责Amazon站点帐号管理，产品上架，维护和优化listing页面，确保帐号安全；2、按产品品类划分，负责Amazon市场调查分析，寻找热销产品；3、售前、售中、售后的客户服务，提高Review的质量和数量；4、完成公司规定的销售目标.任职要求:1、2年以上Amazon亚马逊平台操作经验,可独立操作一个或多个站点；2、国际贸易，电子商务，外贸，翻译，市场营销，外语专业优先；3、英语C...",贸易/进出口,http://jobs.zhaopin.com/CC497939820J40775988403.htm,20-99人,2025-10-10 15:52:50
Keeta-效果广告渠道经理（Performance Marketing Manager）,深圳,北京三快在线科技有限公司,本科,1-3年,,面议,Keeta是全球领先的外卖平台美团旗下独立品牌，专注于国际市场的餐饮与商品即时配送服务，致力推进全球市场的创新发展，实践“帮大家吃得更好，生活更好”的公司使命。我们于2023年从中国香港起步，不到一年便成为当地行业的领跑者。紧接着，我们在2024年快速进入沙特阿拉伯，现已覆盖20余城。2025年我们继续提速，在短短40天内接连开拓卡塔尔、科威特和阿联酋。随后我们登陆巴西，以桑托斯和圣维森特为试点，...,互联网,http://jobs.zhaopin.com/CC383625320J40746346909.htm,10000人以上,2026-01-11 08:47:26
仓储物流专员电子仓储6500-8500元 深圳 福永 大专,深圳,深圳市新瑞科技有限公司,大专,1-3年,"ERP,制造业,仓库管理,电商仓",6.5-8.5万,仓储物流专员电子仓储6500-8000元深圳 福永 大专 1-3年 职位详情：.物流承运商管理 物流异常处理 安全管理 熟练使用ERP系统 库存控制/盘点 高位货架仓库工作经验 工厂连接器线束岗位职责：物料管理:负责电子物料(如电阻、电容、二极管等)的验收、入库、出库及库存管理，确保账、物、卡一致;系统操作:熟练使用ERP系统进行数据录入、库存查询及日常报表整理;仓储规范:执行5S管理，优化物料摆...,电子设备制造,http://jobs.zhaopin.com/CC239899110J40816553511.htm,100-299人,2026-01-11 00:04:41
物流消费者体验运营-TikTok Shop,深圳,字节跳动,本科,5-10年,,4-8万,岗位职责：1、对接美国区域国际电商物流业务，深入了解消费者的物流体验痛点，建立以优化物流体验为核心的解决方案，协同运营、产品和相关治理团队，推动方案的落地，并持续推动相关业务目标的达成；2、深入了解海外市场和业务阶段，协同业务和合作伙伴，不断创新业务模式和产品方案，通过提升物流能力，提升用户转化、以及提升消费者的物流体验；3、深入分析相关数据，持续挖掘消费者体验痛点和机会，通过数据拆解、指标提升，...,互联网,http://jobs.zhaopin.com/CC469217510J40785857501.htm,10000人以上,2025-12-29 14:45:48
运营副总,深圳,深圳君佩珠宝集团有限公司,大专,5-10年,"电商运营,新媒体运营,销售运营,toC",6-8万,岗位职责：1、协助总经理统筹公司整体运营管理工作；2、协助制定公司的战略规划及年度经营计划，组织落实相关工作，确保年度经营目标的达成；3、健全公司内部运营管理体系，完善管理制度、管理流程、考核标准等，推动公司经营管理的规范化和科学化；4、根据销售指标计划，参与制定和调整销售方案、活动策划方案、异业合作方案、商城运营方案、私域承接方案等；5、根据公司战略，进行公司品牌战略规划，制定年度市场工作目标和...,珠宝/首饰,http://jobs.zhaopin.com/CCL1459983570J40908013915.htm,300-499人,2025-12-04 13:51:26
销售运营总监,深圳,长治市世纪景源房地产开发有限公司,本科,5-10年,"toB,总监",5-8万,1、制定可落地的销售目标与策略：基于公司战略拆解销量、回款指标，结合大宗商品“大额长单、周期长”特性，设计适配的渠道与客户覆盖方案并跟踪达成结果；2、搭建销售流程、考核机制、培训体系等标准化运营体系（梳理询价-报价-合同-物流-结算全流程 SOP），建立合规风控（如价格波动应对、履约担保）和 CRM 管理机制，优化人效；3、统筹销售数据复盘，搭建销售数据体系（客单价、回款周期、转化率等），通过数据...,贸易/进出口,http://jobs.zhaopin.com/CC464951110J40807563407.htm,1000-9999人,2025-11-08 09:59:11
