职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
高级UI设计师,武汉,武汉慧猎达网络科技有限公司,本科,3-5年,,2.5-4万·13薪,岗位职责设计执行：依据产品需求和用户研究，运用专业设计软件（如Adobe Photoshop、Sketch等），进行高质量界面设计，涵盖移动应用、网页等多平台，确保设计风格统一、界面布局合理、元素协调，像电商APP的商品展示页，需突出商品且操作便捷。• 用户体验优化：深入研究用户行为与心理，通过可用性测试、竞品分析，挖掘用户需求，优化界面交互流程，提升易用性与用户满意度，比如简化社交APP的注册流...,电子商务,http://jobs.zhaopin.com/CCL1278039650J40818526907.htm,20-99人,2025-12-22 11:51:12
U//UX工程师-奕派科技,武汉,东风汽车,本科,5-10年,交互设计,1.5-2.5万,岗位职责:1、有车企工作经验或者项目经验，熟悉车企营销类业务;2、负责用户研究全流程，挖掘用户痛点，输出用户画像、旅程图、需求优先级报告，3、依据品牌调性设计UI规范，能够输出符合多终端适配要求的高保真稿与标注文件;4、响应 Web、iOS、Android、H5 等多终端设计需求，保障不同场景下的体验统一性:5、较强沟通能力，与前端开发工程师对齐设计细节，解释交互逻辑与视觉标准，跟进开发落地过程，...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40831892205.htm,10000人以上,2025-12-29 10:20:09
UI/UE 设计师,武汉,武汉绛芸科技有限公司,大专,3-5年,"界面设计,交互设计,动画动效设计,移动端",1.4-2万,岗位内容： 负责UI/UE设计 任职要求： 3年以上 UI/UE 设计经验，有仿真产品、工业模拟、虚拟实验等相关设计案例； 熟练使用 Figma、Adobe XD 等设计工具，熟悉 C4D、Unity 或 Unreal Engine 等 3D 建模与开发工具者优先； 具备出色的空间思维与逻辑分析能力，擅长将复杂仿真数据转化为可视化界面；,计算机软件,http://jobs.zhaopin.com/CCL1501862500J40669757206.htm,20-99人,2025-11-10 15:36:33
ui设计工程师,武汉,超星集团有限公司,本科,1-3年,"界面设计,网页端",1.3-2万,岗位职责：1.负责负责各大高校/图书馆等门户官网的整体视觉设计美化，及动效设计，并使用公司建站平台搭建双端页面上线；2.负责不同业务类型的可视化大数据屏的设计、美化、搭建；3.负责iOS、Android等移动端和PC端产品的视觉设计；4.负责参与各平台的UI规范、交互规范制定；5.熟练使用公司的微服务平台为业务提供支持，持续优化公司的产品和服务；6.和研发团队紧密配合，协助达成最终产品目标。岗位要...,在线教育,http://jobs.zhaopin.com/CCL1219635220J40807175603.htm,1000-9999人,2025-10-31 00:06:21
场景体验定义专业工程师-奕派科技,武汉,东风汽车,本科,1-3年,"交互设计,界面设计",1.5-2.5万,岗位职责:1. 场景体验定义与设计 负责各车型 USP 场景需求定义与达成检核，确保产品的核心场景体验能够满足用户需求 进行场景切片分解、详细体验需求和目标定义与点检评价，确保场景体验的可实现性和可评估性 设计场景的人机交互定义，确保用户在不同场景下的交互体验流畅自然 制定场景体验定义的实践模板 PEA，为团队提供统一的场景体验定义方法论2. 用户体验分析与研究 分析用户：明确为谁服务，...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40834792105.htm,10000人以上,2025-12-24 09:16:18
平面设计总监,武汉,亦品空间设计(武汉)有限公司,本科,5-10年,"美工,设计师",1-2万,"岗位职责：1、 负责平面设计部项目的组织实施，执行项目设计的规划、分配工作及规则制定；2、 负责对本部门下属培训，协调下属之间工作上的问题,充分调动下属专业方面的最大创意能力及创意效率；3、 能独立做出概念设计方案；同时负责与客户进行谈判，精准地向客户阐述出设计理念，并让客户信服；4、 建立设计部产品规划文档及部门开发过程中的各种规定；5、 考核部门内部员工的业绩、态度和潜力；6、 部门财务预算制...",装饰装修,http://jobs.zhaopin.com/CC558974022J90250054000.htm,20-99人,2025-10-13 14:58:18
资深UED工程师/用户体验（UE/UX）设计师（英语流利）,武汉,融捷科技(武汉)有限公司,本科,5-10年,"交互设计,英语听说流利,网页端,客户端,Axure,会CSS编辑,UI/UX",1.5-2万·13薪,"岗位职责：1. 从用户体验的角度出发，为产品提出交互设计方案, 与视觉设计师合作参与具体设计工作;2. 根据需求和用户研究的结果，完成界面的信息架构、流程设计和原型设计，提高产品的易用性;3. 负责网页/界面设计标准和规范, 监督规范实施效果;4. 参与用户研究及产品需求制定的整个过程能给出有效的交互解决方案，并推动方案的落地;5. 对现有产品的可用性测试和评估，提出改进方案，持续优化产品的用户体...",计算机软件,http://jobs.zhaopin.com/CC388737810J40719779601.htm,100-299人,2025-07-28 16:48:43
U//UX工程师,武汉,东风汽车,本科,经验不限,"界面设计,UI设计,UX设计",1.3-2.3万·13薪,岗位职责：1.有车企工作经验或者项目经验，熟悉车企营销类业务; 2.负责用户研究全流程，挖掘用户痛点，输出用户画像、旅程图、需求优先级报告， 3.依据品牌调性设计UI规范，能够输出符合多终端适配要求的高保真稿与标注文件; 4.响应 Web、iOS、Android、H5 等多终端设计需求，保障不同场景下的体验统一性 5.较强沟通能力，与前端开发工程师对齐设计细节，解释交互逻辑与视觉标准，跟进开发落地...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40833612905.htm,10000人以上,2026-01-04 14:30:40
UX 设计师,武汉,武汉新创云图科技有限公司,大专,5-10年,B端项目的产品界面设计,1.2-1.8万,岗位职责：1. 负责B端项目的产品界面设计工作，包括功能迭代、竞品分析、交互设计、视觉设计，能够将产品细节和视觉打磨并打造优秀的多端联动体验；2. 参与产品规划和讨论，与产品经理和其他交互设计师协作，产出高保真设计图稿。跟进从需求到设计、研发到走查的全流程，保证最终设计质量；3. 良好的时间管理和项目管理能力，合理安排自己当下的设计任务；4. 良好的沟通能力，可以清晰有效的与其他设计师、产品经理和...,计算机软件,http://jobs.zhaopin.com/CC373771530J40720632011.htm,20-99人,2025-10-21 09:48:57
ui界面设计师,武汉,武汉小嘀科技有限公司,本科,5-10年,"界面设计,交互设计,移动端,客户端",1.3-1.8万,"岗位描述:1.负责部门产品UI设计，含web端，app端,小程序端等，把控界面视觉一致性和用户体验2.根据领导及用户反馈提升产品设计和交互体验。3.拥有良好专业能力的同时，善于分享，乐于学习业务能力和创新能力岗位要求:1.5-8年及以上互联网UI从业经验，深入理解移动端和web端，前后台产品设计规范。2.具有扎实的视觉设计功底，美术，设计及相关专业优先3.独立设计或负责至少1款上线并经过版本迭代的...",互联网,http://jobs.zhaopin.com/CC830814150J40721950314.htm,20-99人,2025-08-03 00:00:01
