职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
web前端开发工程师,武汉,武汉长江科创科技发展有限公司,大专,1-3年,GIS/地图项目,14-18万,1.熟悉web开发，熟悉使用VUE2、VUE3、HTML、CSS与JavaScript进行页面开发。2.熟悉使用Element、antd等通用前端开发库。3.熟悉Openlayers、Cesium等地图前端开源框架。4.了解GIS基本原理和数据组织，掌握常用的空间数据结构，熟悉GIS相关数据处理。5.最好有Cesium、Threejs开发经验，可以实现前端特效编排，熟悉webgl可视化渲染开发。6...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC278844210J40845238712.htm,100-299人,2025-11-03 10:26:35
软件开发、测试、算法、前端、大数据,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C++,JavaScript",1.8-3.5万·14薪,岗位名称:多岗位根据自己简历情况选择面试岗位包括;Java/C/C++/Python/js前端等地点:全国都有，西安，杭州、上海，南京，武汉，北京，苏州，东莞，深圳，成都岗位要求：1. 本科及以上学历；2. 有一定算法和代码基础；具体面试要求依自己对口职位为准,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831601005.htm,10000人以上,2026-01-11 00:26:41
前端开发-react-AI/大数据/云平台,武汉,软通动力信息技术(集团)股份有限公司,本科,5-10年,"AI/云/大数据项目,React,Node.js,CI/CD,持续集成,数据可视化,Python",1.8-3.5万,----------react---本、民本也可 ------vue不合适不可投--------- 面试流程:线上腾讯会议电脑端+简单代码(主要考察代码要求问题沟通解决) 岗位一: 近期是react-（2人）2+年 学信统招 简历要求:个人技术栈优势+工作内容+项目亮点+业绩/成就+解决的难题 职责： 1. 负责公司级云平台、大数据平台和 AI 平台的前端模块设计与研发； 2. 与产品、设计、后端...,互联网,http://jobs.zhaopin.com/CC000544460J40637010516.htm,10000人以上,2025-11-13 18:25:07
前端架构师,武汉,武汉慧猎达网络科技有限公司,本科,5-10年,"Vue,前端架构",2.5-3.5万,岗位职责：1、核心功能开发、技术攻坚2、线上疑难杂症问题处理及维护3、系统瓶颈模块性能优化4、技术创新以及调研5、技术方案评审 任职要求：1. 本科及以上学历，6年以上前端研发经验，有团队管理经验；2. 精通各种Web前端技术，熟悉常见设计模式，能把良好的架构设计落地到项目实践中，掌握前端常见的多端适配和性能优化方案；3. 有前端架构设计.性能优化.组件化和模块化方面的实践经验，有系统重构的能力；...,电子商务,http://jobs.zhaopin.com/CCL1278039650J40804483507.htm,20-99人,2025-10-28 15:14:23
前端开发工程师,武汉,北京鼎腾科技有限公司,本科,3-5年,"HTML5,TypeScript,Vue,React,Three.js",1.8-3.5万,岗位职责：1、准确理解产品需求、交互文档或原型，进行前端开发。2、与产品团队充分沟通，快速理解、消化各方需求，并落实为具体的开发工作。3、负责/协助制定 开发规范，开发风格一致的模板和组件。4、技术视野广阔，有前端技术方案设计的能力和经验，能够独立完成大型项目模块的研发；5、编写前端开发技术文档、周期性沉淀技术输出文档，主动分享、组织前端技术不断创新和提升；6、关注业界前端技术，对用户体验、交互操...,IT服务,http://jobs.zhaopin.com/CC821752090J40797141208.htm,500-999人,2025-09-04 00:02:21
Java/python/web/c/c++/js/go/测试/安卓,武汉,外企德科数字技术有限公司,本科,经验不限,,1.5-3万·14薪,1、熟悉Java/Python/C/C++/Go等一种或多种编程语言；2、熟悉数据结构和算法，热爱代码； 3、熟练软件开发流程，热爱编程，有良好的代码风格； 4、善于沟通，有独立解决问题的能力。试用期全薪，入职即缴纳五险一金（全额）,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837307605.htm,10000人以上,2026-01-11 00:27:05
前端开发工程师,武汉,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",1.6-3万,岗位职责：1. 负责公司产品的网页前端开发工作2. 利用前端技术实现界面设计稿的精确还原3. 优化页面性能，确保良好的用户体验4. 与后端开发人员协作完成数据交互和功能开发5. 维护和更新现有的前端代码岗位要求：1. 熟悉HTML5、CSS3、JavaScript等前端技术2. 熟悉Vue.js、React.js等主流前端框架3. 了解前后端分离的开发模式，能与后端工程师有效沟通4. 对浏览器兼容...,互联网,http://jobs.zhaopin.com/CC427775130J40911227815.htm,20-99人,2025-12-19 10:34:28
前端客服专员底薪无责6000+超长年假,武汉,武汉高分贝商务咨询有限公司,高中,无经验,"售前客服,电话客服,全白班,电话邀约,客服专员,小白应届生",1.5-3万,注:此岗位为公司直招哦!，不收取任何费用，请放心投递年假15天以上!年假15天以上!年假15天以上!薪资福利:1、底薪无责6000+提成40%+社保+奖金（3K-3W），新人前期在8k以上目前均薪也在2w-5w以上2.带薪培训，有专业人指导，轻松上手!3.带薪年假，定期团建等!4.工龄奖：每三个月无责底薪涨300元！ 工作时间:9:00—11:50 14:00—18:00 节假日正常休。交通便捷，...,银行,http://jobs.zhaopin.com/CCL1503159200J40799612607.htm,20-99人,2025-11-09 14:04:10
Java/C/C++/Python/软测前端,武汉,外企德科数字技术有限公司,本科,经验不限,C++,1.5-3万·14薪,岗位名称:Java/C/C++/Python/js前端等地点:全国都有，西安，上海，南京，武汉，北京，苏州，东莞，深圳，成都 岗位要求： 1. 本科及以上学历； 2. 有一定算法和代码基础； 3. 熟练掌握编程语言及面向对象程序设计和编程； 4. 熟悉Spring、MyBatis等主流开源框架； 5. 具备良好的编码习惯和文档编写能力； 6. 有团队精神，善于沟通协作。,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40828087805.htm,10000人以上,2026-01-11 00:26:27
web前端工程师,武汉,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,"CSS,JavaScript,HTML5",1.6-3万,岗位职责：- 负责公司产品的的前端开发工作- 优化前端功能，提升用户体验- 与设计师和开发团队协作，确保产品质量和开发进度岗位要求：- 熟悉HTML5、CSS3、JavaScript等前端技术- 了解主流前端框架（如React、Vue等）的使用- 有良好的代码习惯，对前端性能优化有一定的了解和实践- 具备良好的团队合作精神和沟通能力,互联网,http://jobs.zhaopin.com/CC427775130J40909732515.htm,20-99人,2025-12-11 15:52:56
