职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电气设计助理,武汉,中国电力工程顾问集团中南电力设计院有限公司,本科,1-3年,"发电工程,光伏发电,火力发电,电力设计",9-12万,因工作需要，现面向社会招聘电气设计助理，具体要求如下：一、岗位职责1、在专业负责人的指导下，承担火电厂、变电站、光伏电站等电力工程项目电气设计工作，保质保量完成生产任务。2、参与工程项目的全过程配合与服务。3、承担技术开发项目工作。4、完成领导交办的其他工作。二、基本条件1、电气工程及相关专业本科及以上学历，从事本专业设计年限2年以上，具有初级及以上专业技术职称，年龄35周岁以下。2、具有全过程的...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC507994720J40256302510.htm,1000-9999人,2025-08-27 12:07:39
CFO助理,武汉,远大医药,硕士,经验不限,"外企,国内上市公司",6-9万·14薪,1. 财务投资管理体系搭建与执行 战略投资规划：协助 BD 部门制定集团年度投资策略，建立财务投资研究框架（覆盖生物、医疗器械、肿瘤等大健康医疗赛道），输出行业白皮书及标的筛选标准，支撑百亿级投资组合布局。 全周期管理：设计“投前-投中-投后”标准化流程，搭建项目财务估值模型（DCF/LBO）、风险评估矩阵及退出收益测算工具，推动 3 个以上 BD 项目落地。2. 资金运营体系优化 全球资金调度：...,医药制造,http://jobs.zhaopin.com/CC120101230J40831728505.htm,10000人以上,2025-12-24 00:00:00
BI产品研发主管,武汉,东华医为科技有限公司,本科,5-10年,"Java,Oracle,MySQL,Javascript,jQuery,ETL,FineReport",3-5万,岗位职责1) 根据公司的发展战略，负责带领团队进行医疗BI产品的前瞻性规划、技术路线和架构设计；2) 负责推动医疗BI产品的市场调研和竞品分析，提出相应的解决方案；3) 负责制定医疗BI产品产品开发计划，指导和攻关解决开发过程中的关键问题，确保产品开发的进度与质量；4) 负责完成本团队的绩效执行与考核，以及梯队建设、人员技能培养和提升等管理工作；5) 负责制定本团队所负责产品的相关技术标准，以及完...,IT服务,http://jobs.zhaopin.com/CC649781480J40462618005.htm,1000-9999人,2026-01-11 00:18:02
汽车行业国际产品总监,武汉,湖北电行科技有限公司,本科,3-5年,,3-5万,工作内容：1、海外交付中心建设，承接国内发包海外交付项目的海外现地交付工作。目前主要是海外测试。2、海外市场、竞对、客户洞察。3、能力链接。指导产品部、联合合作伙伴输出匹配海外客户的产品方案。发展海外生态，输出匹配国内市场的产品方案。4、获取海外本地业务。任职要求：1、本科及以上学历，英文流利；2、熟悉汽车产业国际业务；能适应1/3时间海外出差；3、有较好的技术基础，对智能驾驶/智能座舱等产品比较...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40786477816.htm,20-99人,2026-01-09 11:31:58
数据产品经理,武汉,九艺云科技(湖北)有限公司,本科,3-5年,"Python,Hadoop,Spark,大数据产品,智慧城市产品,平台产品",2.6-5万,岗位内容：1. 负责收集和分析公司数据资源，构建数据产品体系，提高业务决策效率；2. 与核心业务团队紧密合作，了解业务需求，提出相应的数据产品解决方案；3. 将数据结果转换为对业务的实际支持，提供数据驱动的业务建议；4. 参与数据产品整个生命周期的管理，监控产品运营情况，不断迭代和优化。任职要求：数据核心：数据通用型人才数据接入：MQTT/API数据分析：Python（Pandas）简单建模：规划...,计算机软件,http://jobs.zhaopin.com/CCL1500978180J40791510202.htm,20-99人,2026-01-07 01:02:50
VP/D/助理董事/董事/业务专家/业务开发-可base全国,武汉,重庆猎寻企业管理顾问有限公司,本科,5-10年,"并购投资,产业投资,企业投资",3-5万,岗位职责：1、根据公司战略发展规划，积极拓展企业家/企业客群资源；2、深度挖掘企业家（To C）资产安全、代际传承、资产管理、医疗健康等需求及其下属企业（To B）的融资类需求；3、根据企业家及其下属企业的需求组织集团境内外各平台资源；为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求：1、统招本科及以上学历，金融、财务、经济等统招本科专业优先，至少5年以上金融行业从业经验；2、具...,人力资源服务,http://jobs.zhaopin.com/CC664497020J40814602301.htm,10000人以上,2026-01-04 23:33:14
智驾（具身智能）产品总监,武汉,湖北电行科技有限公司,本科,5-10年,软件开发,3-5万,1.负责与NVIDIA、地平线等芯片厂商深度合作，定义智能驾驶软件架构及接口规范2.主导自动驾驶软件Roadmap规划3.对接主机厂客户需求，完成量产项目软件方案设计4.协调软件团队完成产品计划。任职要求：1.8年以上汽车电子行业经验，3年智能驾驶软件开发管理经验2.熟悉SoC芯片软件架构，有英伟达/地平线项目经验3.主导过2个以上ADAS/AD软件量产项目全生命周期管理,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40785292716.htm,20-99人,2026-01-05 11:56:03
金融产品经理,武汉,湖北志成速融商务有限公司,学历不限,1年以下,,2.5-5万,宋钱@微信@微信联系人 12/29 14:11:18公司临近地铁口，交通非常便利，6A级写字楼，1300多平超大职场，环境氛围非常好哦！每天还有丰富的下午茶，日常奖励红包拿到手软！Nice的老板一枚，Nice的同事若干，给你家人般的工作氛围！【岗位职责】：1、通过电话，微信线上方式邀约客户(资源和电话都是公司提供，超好出单，打打电话，话术复制粘贴即可)不用销售！不用销售！不用销售！2、只用进行客户...,投资/融资,http://jobs.zhaopin.com/CCL1511058880J40891730102.htm,300-499人,2025-12-29 14:13:03
董事长助理（动物科学博士）,武汉,路德生物环保科技股份有限公司,博士,1-3年,"上市公司,集团公司,饲料",3-5万,【工作内容】- 参与公司战略规划与决策支持，协助起草相关报告和材料；- 负责与内外部重要客户、合作伙伴的沟通协调工作； - 协助董事长处理日常事务，包括会议安排、日程管理及重要文件的整理与传递； - 支持董事长在动物科学/饲料领域的研究与项目推进，提供专业建议与信息支持。 【任职要求】 - 拥有动物科学或相关领域博士学位，具备扎实的专业知识； - 具备良好的沟通能力与组织协调能力，能够高效处理多任...,环保,http://jobs.zhaopin.com/CC208057410J40787964409.htm,300-499人,2025-09-26 14:49:27
TD 产品专家(J10582),武汉,长飞先进半导体(武汉)有限公司,本科,5-10年,产品开发,2.5-5万·15薪,岗位职责:1.根据每日良率监控结果，及时发现异常并根据失效现象制定分析方案，确保异常问题得到及时解决。2.根据异常结构与电性失效形式，建立失效模型及验证方案，为产品性能提升及异常问题排查提供指导意义。3.根据产品设计不同，判断电性风险点并制定工艺窗口验证方案，不断提升设计与工艺的兼容度。4.依据良率监控和分析需要，与信息技术部门合作开发和完善相应系统，不断提升工作效率和分析准确度。任职要求:1.学...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1450318470J40768376214.htm,1000-9999人,2025-06-19 15:11:03
