职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
运营总监,武汉,BCC商霖华通,硕士,5-10年,硬件产品,3-5.5万·13薪,待遇优厚，详情可电话沟通,咨询服务,http://jobs.zhaopin.com/CC262586610J40448856710.htm,100-299人,2025-04-01 17:47:46
汽车行业国际产品总监,武汉,湖北电行科技有限公司,本科,3-5年,,3-5万,工作内容：1、海外交付中心建设，承接国内发包海外交付项目的海外现地交付工作。目前主要是海外测试。2、海外市场、竞对、客户洞察。3、能力链接。指导产品部、联合合作伙伴输出匹配海外客户的产品方案。发展海外生态，输出匹配国内市场的产品方案。4、获取海外本地业务。任职要求：1、本科及以上学历，英文流利；2、熟悉汽车产业国际业务；能适应1/3时间海外出差；3、有较好的技术基础，对智能驾驶/智能座舱等产品比较...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40786477816.htm,20-99人,2026-01-09 11:31:58
数据产品经理,武汉,九艺云科技(湖北)有限公司,本科,3-5年,"Python,Hadoop,Spark,大数据产品,智慧城市产品,平台产品",2.6-5万,岗位内容：1. 负责收集和分析公司数据资源，构建数据产品体系，提高业务决策效率；2. 与核心业务团队紧密合作，了解业务需求，提出相应的数据产品解决方案；3. 将数据结果转换为对业务的实际支持，提供数据驱动的业务建议；4. 参与数据产品整个生命周期的管理，监控产品运营情况，不断迭代和优化。任职要求：数据核心：数据通用型人才数据接入：MQTT/API数据分析：Python（Pandas）简单建模：规划...,计算机软件,http://jobs.zhaopin.com/CCL1500978180J40791510202.htm,20-99人,2026-01-07 01:02:50
金融产品经理,武汉,湖北志成速融商务有限公司,学历不限,1年以下,,2.5-5万,宋钱@微信@微信联系人 12/29 14:11:18公司临近地铁口，交通非常便利，6A级写字楼，1300多平超大职场，环境氛围非常好哦！每天还有丰富的下午茶，日常奖励红包拿到手软！Nice的老板一枚，Nice的同事若干，给你家人般的工作氛围！【岗位职责】：1、通过电话，微信线上方式邀约客户(资源和电话都是公司提供，超好出单，打打电话，话术复制粘贴即可)不用销售！不用销售！不用销售！2、只用进行客户...,投资/融资,http://jobs.zhaopin.com/CCL1511058880J40891730102.htm,300-499人,2025-12-29 14:13:03
智驾（具身智能）产品总监,武汉,湖北电行科技有限公司,本科,5-10年,软件开发,3-5万,1.负责与NVIDIA、地平线等芯片厂商深度合作，定义智能驾驶软件架构及接口规范2.主导自动驾驶软件Roadmap规划3.对接主机厂客户需求，完成量产项目软件方案设计4.协调软件团队完成产品计划。任职要求：1.8年以上汽车电子行业经验，3年智能驾驶软件开发管理经验2.熟悉SoC芯片软件架构，有英伟达/地平线项目经验3.主导过2个以上ADAS/AD软件量产项目全生命周期管理,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40785292716.htm,20-99人,2026-01-05 11:56:03
国际产品总监,武汉,武汉克莱蒙特科技技术有限公司,本科,10年以上,英语口语,3-4.5万,岗位职责：1、国际市场及友商洞察，定期输出国际市场洞察及规划报告；2、协同相关部门牵头制定汽车国际市场开拓计划及产品方案需求规划；3、建立国际现地交付中心和生态。任职要求：1、统招本科及以上学历，汽车行业5年以上工作经验，从事过技术类岗位工作。2、有至少1年以上的国际工作经验，熟悉汽车行业国际市场环境，在海外现地有生态资源。3、学习能力强、沟通组织能力强、独立工作能力强、开拓能力强。4、能接受国际...,企业服务,http://jobs.zhaopin.com/CC840972090J40841131112.htm,100-299人,2025-10-20 19:34:10
产品经理（懂设计 / 熟悉 AI Coding 工具）,武汉,武汉瓜豆科技有限公司,本科,3-5年,,2-4万,关于团队我们以产品与用户价值为核心，用 AI Agents + AI 辅助开发工具（Lovable、Replit 等）将复杂需求迅速落地为真正可用、可增长的产品。团队强调数据驱动迭代、严格的评测与观测，以及对交付速度、质量与安全性的高标准。关于职位你将以“产品负责人 + AI 架构设计者”的复合角色，主导从问题定义 → PRD → MVP → 上线 → 评测与增长的端到端闭环。你熟练把 Lovab...,计算机软件,http://jobs.zhaopin.com/CCL1206970160J40824868310.htm,20-99人,2026-01-09 10:53:54
金融产品经理,武汉,湖北志成速融商务有限公司,学历不限,1年以下,,2.5-4万,开年招人，今天面试，明天来上班!不忽悠/没有套路/诚信招人，来了就是自己人，赚钱我们是认真执着的!!一、薪资+福利待遇:1、底薪6500+高提成20%-60%+开单奖+月度激励奖金+各种红包福利;新人综合工资8K左右，老员工综合工资20-50K左右2、合伙人模式，直接提成55%（优秀者可以面议，工作上没有任何限制）3、大小休（真实不加班）+法定节假日休息+下午茶+每月团建+聚餐4、每月10日发薪日...,投资/融资,http://jobs.zhaopin.com/CCL1511058880J40891744102.htm,300-499人,2026-01-09 01:04:10
产品开发总监（博士）,武汉,溧阳中科海钠科技有限责任公司,博士,3-5年,"电芯开发,体系开发,配方",2.5-4万,岗位职责:工作职责1、负责统筹电芯开发部门工作和与公司内各部门之间的协调工作。2、分析客户需求，规划电芯研发项目方向，统筹电芯新产品的设计开发。3、电芯设计开发、工艺研究及新产品导入。4、负责研发项目的管理工作，包括任务分配、实验推进、阶段报告等。 任职要求:任职要求1、博士学历，电化学/化学/材料/物理化学或相关专业。2、3年以上电芯开发工作经验，有国内外动力锂/钠电池企业工作经历者优先。3、有...,矿产/采掘,http://jobs.zhaopin.com/CC647022080J40835763914.htm,20-99人,2026-01-08 09:27:06
产品策略-奕派科技,武汉,东风汽车,本科,3-5年,,2-4万,岗位职责:1、负责将技术优势转化为市场卖点，分析市场环境、客户和竞争者，组织卖点秀，建立技术-市场转化模型，输出产品卖点市场策略报告；2、负责技术搭载研究，提升技术品牌的市场影响力；3、负责竞品攻防话术，应对市场竞品的变化分析竞争对手的产品和策略，制定相应的竞争策略及话术；4、负责牵头组织产品卖点的接受度调研，通过关键意见领袖和关键意见消费者进行产品接受度调研；5、负责研发领域产品上市卖点方案制定...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40800886405.htm,10000人以上,2026-01-06 09:29:47
