职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
BI产品研发主管,武汉,东华医为科技有限公司,本科,5-10年,"Java,Oracle,MySQL,Javascript,jQuery,ETL,FineReport",3-5万,岗位职责1) 根据公司的发展战略，负责带领团队进行医疗BI产品的前瞻性规划、技术路线和架构设计；2) 负责推动医疗BI产品的市场调研和竞品分析，提出相应的解决方案；3) 负责制定医疗BI产品产品开发计划，指导和攻关解决开发过程中的关键问题，确保产品开发的进度与质量；4) 负责完成本团队的绩效执行与考核，以及梯队建设、人员技能培养和提升等管理工作；5) 负责制定本团队所负责产品的相关技术标准，以及完...,IT服务,http://jobs.zhaopin.com/CC649781480J40462618005.htm,1000-9999人,2026-01-11 00:18:02
Andriod架构师,武汉,湖北电行科技有限公司,本科,5-10年,,3-5万,工作职责1、主导Android架构设计：负责核心产品的整体Android技术架构设计、评审与演进，制定开发规范与最佳实践。2、深耕系统底层与性能优化：深入Framework及Native层，主导性能调优（启动、内存、渲染、功耗）、稳定性攻坚及复杂技术问题排查。3、构建核心基础能力：设计并实现高可用、可扩展的基础组件与系统级解决方案（如网络、存储、多线程、安全框架）。4、技术领导与团队赋能：主导关键...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40785290016.htm,20-99人,2026-01-09 01:46:31
软件研发负责人(平板电脑),武汉,北京一种生活互联网信息服务有限公司,本科,5-10年,"C语言,Android开发,INUX,RTOS,嵌入式技术,嵌入式软件开发",3.5-5万·15薪,【Base武汉】45岁内（优秀可适当放宽1-2岁），统招本科，带过百人团队，0-1搭建过团队，有带队经验，电子制造-平板电脑/手机软件负责人背景。【岗位职责】 1、制定部门的长期规划和短期计划，满足组织和业务发展需要，制定并更新项目特定软件开发计划(进度、成本和资源计划);2、搭建、领导和管理软件开发团队，包括招聘、培训、指导和评估团队成员;合理分配团队资源，包括人力、技术等资源;3、监督各开发项...,IT服务,http://jobs.zhaopin.com/CC717849130J40821401109.htm,20人以下,2025-12-22 11:11:29
软件研发经理（二三维一体化）,武汉,北京数字绿土科技股份有限公司,本科,5-10年,"C++,二三维一体化",2.5-5万,【岗位职责】1.全面负责相关产品/项目的研发工作，从需求分析、技术选型、方案设计到实施交付，确保产品/项目按计划高质量完成。2.负责研发团队的日常管理，合理分配工作任务，提升团队整体技术水平和工作效率。3.关注测绘、地理信息行业技术发展动态，推动公司技术的创新与升级。4.搭建核心管理团队，制定人才梯队培养计划，完善选拔、考核、激励制度。【任职要求】1.本科及以上学历，测绘工程、地理信息科学、遥感科...,计算机软件,http://jobs.zhaopin.com/CC540407920J40816100607.htm,300-499人,2025-12-10 15:16:04
EE架构设计,武汉,东风汽车,本科,3-5年,,2.5-5万,岗位职责:1、负责整车电源分配管理/整车通信网络/功能分配等领域；2、负责以太网和服务开发和优化，提升服务的可扩展性及可维护性；3、实施并参与制定整车电源分配管理/整车通信网络/功能分配等业务，从整体判断系统优化解决方案并实施；4、能够参与并进行现有电子电器系统变更来达成更具性价比的解决方案的开发工作；5、需要与开发团队、业务部门及外部合作伙伴紧密协作，确保架构与业务需求和技术目标一致，制定技术规...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825885105.htm,10000人以上,2025-11-17 09:16:01
大数据开发工程师-补贴2w-海外出差-短期,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765716.htm,10000人以上,2026-01-10 21:23:45
系统架构师,武汉,中邮数智(西安)科技有限公司,本科,10年以上,"DDD,微服务架构",2.5-4万,岗位职责1. 中台架构设计与DDD落地- 主导商品中心、订单中心、营销中心等核心底层中台的架构规划，基于领域驱动设计（DDD）思想完成业务领域建模，明确限界上下文、领域对象及领域服务，划分合理的微服务边界，确保架构具备高内聚低耦合特性。- 负责中台核心域的架构蓝图设计，输出领域模型图、服务调用关系图、数据流程图等技术文档，指导开发团队理解并落地架构方案，解决架构落地过程中的领域边界模糊、服务依赖混...,IT服务,http://jobs.zhaopin.com/CCL1491316070J40978595504.htm,100-299人,2026-01-10 01:11:51
研发系统建设及管理,武汉,东风汽车,本科,5-10年,,2.5-5万,岗位职责:1、负责研发IT系统的搭建和运营管理；2、负责对接研发各领域的IT需求，并连携外部供应商，处理研发内部系统建设，软件购买，运营维护等；3、负责研发全部系统和软件的账号，权限，信息和网联安全维护等；4、负责研发系统与外部合作单位，供应商等的数据传递，共享，及网联信息安全的保障；5、负责研发内部局域网络的建设和域管理 任职要求:1、学历要求：统招本科及以上学历并具有相应学位；2、专业要求：计...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825899305.htm,10000人以上,2025-11-12 11:21:11
大数据开发 印尼/新加坡 短期项目（有出差补贴）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"大数据迁移,Hadoop,Flink,Spark,Sql",2-4万,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786308116.htm,10000人以上,2026-01-10 01:49:13
研发经理,武汉,深圳市海思瑞科电气技术有限公司,本科,5-10年,"硬件开发,电源设计,嵌入式软件开发,DSP开发,电源产品,电控",2-4万,岗位职责： 1.精通电力电子技术，具备电力电子行业研发经验，有SVG/UPS/APF/变频器/充电桩/逆变器等电力电子产品软件/硬件开发设计经验者优先。 2.具备良好的领导管理能力，能对项目进行良好的管理; 3.具备敏锐的思维能力和创新意识; 4.具备良好的沟通协调能力; 5.具备管理一支具有高度合作和团结的队伍。 任职要求： 1.本科及以上学历，电气工程、电力电子、自动化、控制工程、电子信息、仪...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC469741010J40237736013.htm,20-99人,2025-09-18 00:08:01
