职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
硬件测试,武汉,武汉绒花树网络技术有限公司,大专,1-3年,"可靠性测试,四级",5-7万,可靠性测试岗位职责：1、按规范要求执行各种手机可靠性实验，收集实验数据，汇总实验报告，提供给研发团队；2、对实验缺陷及测试异常进行现象描述及初步分析。3、支持实验标准研究，支持实验方法及流程优化；4、实验室测试设备日常维护和现场5S管理； 任职要求：1、大专及以上学历，要求电子，通讯，自动化等电类相关专业，有1年以上相关工作经验（不含实习经验）；2、英语4级；4、能适应晚上延时及周末加班，能接受夜...,IT服务,http://jobs.zhaopin.com/CC884475280J40752849611.htm,100-299人,2025-12-10 11:35:55
智能驾驶实车测试（行车、大里程泛化、主动安全）,武汉,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"功能测试,自动化测试,车载测试,Python,C++,JIRA,CANoe",3-6万·15薪,"实车测试工程师-行车""工作职责1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写；2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等；3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计；4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告；5.负责定期...",咨询服务,http://jobs.zhaopin.com/CC453635220J40858586603.htm,1000-9999人,2025-11-24 17:52:14
内外饰品质测试,武汉,东风汽车,本科,3-5年,"供应商质量工程师,汽车内饰,汽车外饰",2.5-5万,岗位职责:1. 负责汽车内外饰系统（如仪表板、座椅、门饰板、保险杠、灯光等）的性能、品质及耐久性测试验证；2. 制定内外饰零部件的材料、工艺、外观质感、操作力、间隙面差等品质目标与DV/PV试验计划；3. 开展包括耐候性（光照、温湿度）、机械耐久、操作耐久、清洁维护及异响在内的各项专项测试；4. 基于测试结果，对内外饰件的色差、光泽、磨损、变形、松动等问题进行根因分析，并推动供应商及设计部门进行改...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825934205.htm,10000人以上,2026-01-10 01:14:23
自动化测试工具研发专家,武汉,湖北电行科技有限公司,本科,5-10年,Linux,3-5万,主导设计并搭建公司产品的自动化测试框架与平台。开发高效、稳定的自动化测试脚本与工具，提升测试效率。将自动化测试集成至CI/CD流程，实现质量保障闭环。解决测试中的复杂技术难题，指导团队技术进步。【任职要求】拥有华为或中兴等企业的产品测试自动化经验。精通Android/Linux终端或边缘设备的自动化测试开发。精通Python/Shell等脚本语言，熟悉主流测试框架。具备从零构建或深度优化自动化测试...,新能源汽车,http://jobs.zhaopin.com/CCL1297472490J40785293116.htm,20-99人,2026-01-05 11:55:59
质量高级经理-【饮料公司】,武汉,万宝瑞华人才管理咨询(上海)有限公司,本科,5-10年,"QC,QA,QE,来料检验（IQC）,制程检验（IPQC）,成品检验（FQC）,食品安全管理体系",2.5-5万·14薪,Responsibilities 岗位职责 ·协同供应链赋能销售，提升质量意识和质量文化水平;根据产品在货架的质量表现，识别、调査并制定改善措施，提升消费者满意度。·通过有效的相关方管理，使用有效的项目风险和变更管理，支持业务灵活供应、增长和变革。·通过有效的KP 及数据分析管理，寻找并持续推动全链路质量的持续改善点，提升客户和消费者满意度。·通过有效的上游管理策划，保障上游原辅料的持续稳定的供应...,咨询服务,http://jobs.zhaopin.com/CC493621620J40828022305.htm,10000人以上,2025-11-21 10:38:53
质量规划高级专家-奕派科技,武汉,东风汽车,本科,5-10年,"QC,QE",3.5-5万,岗位职责:1、负责公司质量方针目标的开发与管理 2、负责公司质量管理体系、计量管理体系的策划与管理，以及产品认证管理3、负责质量意识和质量文化的推广落地 4、负责公司内部质量培训的策划与实施 5、负责公司质量工具、方法的策划、导入及推广应用 6、负责公司QC改善管理与推进 7、负责公司质量成本管理及改善，内部质量激励管理 任职要求:1、熟悉质量管理体系、流程、工具及方法，具有强烈的成本及改善意识2...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40800876505.htm,10000人以上,2025-08-07 19:47:50
机器学习工程师（模型训练与测试方向）,武汉,中交第二公路勘察设计研究院有限公司,硕士,1-3年,"Python,PyTorch,TensorFlow,linux,Sklearn",2.5-4.5万,岗位职责：1. 负责机器学习模型的训练、调优和评估工作，确保模型性能和效果达到业务需求2. 设计并实现高效的模型训练流程，优化训练效率和资源利用率3. 开发完善的模型测试框架，包括单元测试、集成测试和性能测试4. 续优化模型训练和测试的工程化流程技术要求：1. 编程基础- 精通Python，熟悉Linux开发环境- 掌握常用数据结构与算法2. 机器学习框架- 熟练使用PyTorch/TensorF...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737250509.htm,1000-9999人,2025-05-22 15:35:38
java/Python/C/C++/JS/AI算法/软件测试,武汉,外企德科数字技术有限公司,本科,经验不限,"深度学习,机器学习,图像算法,VGGNet",2-4万·14薪,1、本科及以上学历；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40837669805.htm,10000人以上,2026-01-11 00:27:06
质量部总监-南斗六星,武汉,东风汽车,本科,5-10年,,3-4.5万,岗位职责:本岗位招聘单位为南斗六星技术有限公司。1.负责建立并实施公司质量管理体系，推动质量管理体系的持续改进；2.统筹公司质量方针、质量目标制定与分解落实，推动质量改进与提升；3.负责对公司终端产品的开发过程、原辅材料、制程过程、产品成品、市场质量等全流程的质量监控，质量问题的分析、改善及追踪验证，产品生产一致性的管理和监督审核；4.负责产品全生命周期的质量管理与控制，产品在各个阶段的质量目标同...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40829245005.htm,10000人以上,2025-11-27 10:21:38
车规芯片试验技术研究,武汉,襄阳伯乐猎聘人才服务有限公司,本科,10年以上,"车规芯片架构,汽车电子电气架构,汽车电子芯片测试",3-4万,岗位职责：1、负责研究制定汽车芯片检测方法、检测流程等相关技术规范和标准，包含可靠性、失效分析、EMC、功能安全和信息安全等内容2、负责汽车芯片检测实验室相关能力建设、实验室建设、设备选型等工作，搭建芯片级、板级、系统部件级、整车级各类测试体系；3、负责车规级芯片相关测试技术的研究、认证审查技术研究等；4、负责配合车载芯片与整车电子系统软硬件联调测试，保障车载芯片功能、可靠性与稳定性；5、配合芯片...,人力资源服务,http://jobs.zhaopin.com/CCL1486118410J40745541606.htm,20人以下,2026-01-09 01:16:29
java/Python/C/C++/JS/AI算法/软件测试,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C语言,Java,五险一金,全程线上面试,算法编程基础",1.8-3.5万·14薪,1、本科及以上学历毕业生（25届毕业生），学信网可查，毕业证与学位证齐全。；2、熟悉Java，C/C++，Python等任意一种后端开发技术；3、编写概要设计能力要强；4、沟通表达能力较好，逻辑思维清晰；5、资深导师专业带教，五险一金，法定节假日福利，内部知识论坛；6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求1、计算机、软件、通信等相关专业，统招本科及以上学历；2、基础扎实，熟...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40836804705.htm,10000人以上,2026-01-11 00:27:03
系统测试-奕派科技,武汉,东风汽车,本科,3-5年,系统测试,2-4万,"岗位职责:测试执行：1. 制定测试策略,使用自动化测试工具（如 Selenium、JUnit 等）提升测试效率，记录测试过程与结果2. 负责系统集成测试 ,搭建测试环境，验证系统功能完整性与交互正确性。3. 输出相关测试文档。4. 跟踪缺陷修复进度，对修复后的问题进行回归测试。测试质量策划：1、制定应用质量策划方案。2. 开展质量控制工作，在项目各阶段（需求评审、设计评审、开发、测试 ）参与检查，...",汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40824073305.htm,10000人以上,2025-12-29 11:20:52
软件测试工程师,武汉,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,,1.6-3万,岗位职责：1. 负责公司APP产品的功能测试、性能测试和安全测试2. 编写测试计划、测试用例和测试报告3. 跟踪缺陷，推动开发人员及时修复4. 验证修改后的效果，确保产品质量5. 持续优化测试流程和方法，提高测试效率岗位要求：1. 计算机相关专业，大专及以上学历2. 熟悉软件测试理论、方法和流程3. 具备一定的编程能力，能编写自动化测试脚本4. 熟悉Android和iOS操作系统，有实际操作经验5...,互联网,http://jobs.zhaopin.com/CC427775130J40905237415.htm,20-99人,2026-01-08 13:28:58
开发岗/不限语言,武汉,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++,Golang,Windows,Linux,MacOS,Android,Oracle,MySQL,SQL Server",1.8-3.5万·16薪,核心项目开发Java/python/JS/C++/测试，均有岗位在招聘【福利待遇】1、薪资open+14-16薪2、入职全额六险一金+双休，双倍加班费+加班餐补+加班打车 报销3、上下班有班车，园区有饭堂、免费健身房4、资深导师一对一带教【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历，专业优秀者可放宽；2、热爱编程，基础扎实，熟悉掌握 测试/Java/python/JS/C++编程语言...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40833283605.htm,10000人以上,2026-01-11 00:26:49
智能驾驶测试-奕派科技,武汉,东风汽车,本科,1-3年,,2-4万,岗位职责:1、深入理解智能驾驶产品需求、产品定义等设计文档，负责根据功能定义等文档制定测试用例、测试计划并完成测试任务，保证团队遵循项目进度和质量要求；2、负责智能驾驶问题分解，问题管理并编制测试报告；3、负责更新维护智驾测试用例、场景库、测试路线等资源；3、负责竞品车型智能驾驶功性能对标分析；4、负责协助产品定义、产品开发完成问题封闭；5、负责仿真测试台架搭建和维护。 任职要求:1、年龄≤40岁...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40833041605.htm,10000人以上,2025-12-16 08:48:17
品质高级工程师（工程师/高工/经理）,武汉,优途人力资源(武汉)有限公司,本科,3-5年,"QA,QE,汽车行业质量管理体系,质量管理,英语",1.5-3万,1.制程品质异常处理，跟进现场制程反馈的异常，并推进异常的解决，质量会议推动制程改善及标准化；2.现场稽核，现场标准操作流程的稽核工作，不符合项进行跟进并推动改善；3.人员管理，组织培训，提高员工质量意识，营造学习型的氛围；4.质量数据分析，输出质量分析报告；5.质量改善专项报告撰写；,人力资源服务,http://jobs.zhaopin.com/CCL1478638670J40835481114.htm,10000人以上,2026-01-07 09:19:38
软件开发、测试、算法、前端、大数据,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C++,JavaScript",1.8-3.5万·14薪,岗位名称:多岗位根据自己简历情况选择面试岗位包括;Java/C/C++/Python/js前端等地点:全国都有，西安，杭州、上海，南京，武汉，北京，苏州，东莞，深圳，成都岗位要求：1. 本科及以上学历；2. 有一定算法和代码基础；具体面试要求依自己对口职位为准,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40831601005.htm,10000人以上,2026-01-11 00:26:41
测试,武汉,东风汽车,本科,3-5年,功能测试,1.5-3万,"岗位职责:""1.具备2年以上IT测试项目管理经验，熟悉新能源汽车IT系统测试场景（如车载 APP、生产管理系统、用户后台）；2.能根据项目需求制定测试计划、设计测试用例，协调测试执行团队开展功能测试、兼容性测试，把控测试覆盖率；3.擅长缺陷管理，可跟踪测试过程中的问题闭环，推动开发团队及时修复，同步业务部门确认问题解决效果；能对接业务、开发团队明确测试优先级，平衡测试质量与项目进度，确保上线系统符...",汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825943805.htm,10000人以上,2026-01-09 01:12:57
AE工程师（ATE测试）,武汉,东莞美璟供应链管理有限公司,本科,3-5年,"应用测试开发,ATE测试工程师,芯片测试工程师",2-3万,工作职责1.主导负责产品的售前技术支持、demo，了解客户需求，评估提供最优的解决方案2.主导负责客户的技术协议等关键技术资料的确认3.主导负责产品的技术验证工作，确保产品顺利导入客户端4.主导负责完成用户端应用方案设计，客户培训，程序、算法的编写及优化并通过测试验证，确保满足客户产品的测试应用需求5.主导负责竞品的性能、应用方案的测试验证，为新产品开发、优化迭代提供建议6.主导负责应用技术文档编...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40820036507.htm,20-99人,2026-01-06 01:20:52
Java/C/C++软件开发/测试工程师（双休+五险一金+年终奖）,武汉,外企德科数字技术有限公司,本科,经验不限,"Python,C++,C,Spring,Mybatis,Struts,MySQL,PostgreSQL,Oracle,软件测试",1.9-3.5万·16薪,全国均有岗位（开发、测试、算法、数据分析等）岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；2....,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40823002905.htm,10000人以上,2026-01-11 00:26:07
通信卡测试工程师(J10213),武汉,楚天龙股份有限公司湖北分公司,本科,5-10年,"移动通信测试,性能测试,安全测试,TCP/IP协议,HTTP,Java,C语言",1.5-3万,岗位职责:1、根据公司产品功能需求和相关标准规范，编写测试方案及测试用例。2、根据测试方案进行测试工具的开发及测试方案的实施，并输出全面、清晰的测试报告（含错误分析）。3、协助完成客户现场测试，并对现场测试及市场反馈等问题进行分析与定位，为生产、研发等提供错误分析报告。4、完成公司产品在相关机构的送检工作，并将错误案例补充至内部测试用例库。5、测试工具等工具软件的开发和维护工作。6、参与部门内部的...,IT服务,http://jobs.zhaopin.com/CCL1227301820J40836860405.htm,300-499人,2026-01-05 17:13:01
芯片&单管产品测试工程师(J10521)（测试开发）,武汉,长飞先进半导体(武汉)有限公司,本科,3-5年,功率器件,1.5-3万·15薪,岗位职责:1.依据公司战略需求，深度参与项目及产品开发。参与产品 IOS 定义，协助技术PM对产品性能进行评估，确保研发最终交付的器件符合产品规格要求；2.根据项目需求，负责制定产品开发过程中CP、FT、可靠性测试和特性测试所需的样品方案，按时交付项目各节点的交付件；3.分析新产品开发项目在进入研发阶段和试产阶段所需的FT数据，协助解决器件开发过程中遇到的CP / FT测试问题；4.为器件开发提供...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1450318470J40834061514.htm,1000-9999人,2025-12-30 15:44:15
