职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
MCU单片机PM,武汉,大连恒馨科技有限公司,本科,5-10年,STM32单片机,4-7万·13薪,岗位职责：1. 根据客户需求参与制定产品系统解决⽅案；2. 负责公司产品单⽚机软件的总体架构设计与规划，输出相关设计⽂档；3. 负责单⽚机软件代码编写、测试与优化，审核后提交归档；4. 负责研发产品调研⼯作，指导下级⼯程师展开⼯作。岗位要求：1. 统招本科及以上学历，电⼦、通信、计算机等相关专业； 懂线控底盘；2.五年以上单⽚机软件开发经验，精通单⽚机C语⾔编程，有良好的编码习惯，熟练掌握单⽚机开...,计算机软件,http://jobs.zhaopin.com/CC852820150J40979188204.htm,20-99人,2026-01-09 11:30:01
国央企背景-诚聘文旅/交通/化工/民生/电子/机械板块大项目承揽岗-平台超级好-薪资high就近分灵办公,武汉,四川宇韬人力资源有限公司,本科,5-10年,"金融衍生品,银行产品,基金产品,大项目承揽经验",3.5-7万,岗位职责:1.根据公司战略发展规划，积极拓展企业家/企业客群资源。2.深度挖掘企业家(T0 C)资产安全、代际传承、资产管理、医疗健康等需求及其下属企业(To B)的融资类需求。3.根据企业家及其下属企业的需求组织集团境内外各平台盗源;为企业及企业家制定综合性解决方案，并推动方案的落地和执行。岗位要求:1.统招本科及以上学历，原则上年龄40周岁以内，优秀者可以适当放宽。2.金融、财务、经济等统招本...,人力资源服务,http://jobs.zhaopin.com/CCL1355073800J40805872701.htm,500-999人,2026-01-03 17:32:27
高级软件工程师（高级经理）,武汉,浙江长江汽车电子有限公司,大专,5-10年,"嵌入式软件研发,控制器,汽车空调,车身域控,BCM,ZCU,DCU",3-5万·13薪,岗位职责：1、负责软件科室项目管理和日常协调工作；2、负责软件科室发展规划；3、对接内外部客户，推动软件技术问题的解决；任职要求：1、电子相关专业，熟练使用各种办公软件，会使用需求管理工具2、7年以上软件开发经验，3年带团队经验；熟悉AUTOSAR软件架构，熟悉APP、BSW和网络；3、有车身控制器，peps，空调热管理等车身域需求开发经验者优先考虑4、良好的沟通能力，分析能力，学习能力，严谨细致...,汽车研发/制造,http://jobs.zhaopin.com/CC408437220J40665074305.htm,1000-9999人,2025-12-13 16:28:29
武汉 整车 电器架构专家,武汉,武汉克莱蒙特科技技术有限公司,本科,10年以上,"控制器,VCU,电子电器 架构,EEA 域控 功能",2.5-5万,1.据客户需求、法规要求及市场基准分析，定义整车电气系统的功能需求，并转化为技术规范。例如，制定整车级电气系统技术要求，明确ASIL等级(基于IS026262标准)。2.电器架构方案设计，主导电子电气架构的顶层设计，包括硬件和软件的整体布局，划分功能域(如车身控制、动力传动、信息娱乐等)，并建立子系统间的交互机制(如CAN/LIN总线信号设计)。3.平台化开发，推动电气架构的通用化和模块化设计，优...,企业服务,http://jobs.zhaopin.com/CC840972090J40767834112.htm,100-299人,2025-04-27 18:13:20
车载硬件开发工程师,武汉,上海圣驭管理咨询有限公司,本科,5-10年,"设计,技术支持,硬件测试",2.5-4.5万·14薪,"Mission of the Role:The HW Engineer is tasked with leading Cockpit Domain Controller or Display HW design, delivery the cost competitive solution and robust products with high efficiency. Key Objectiv...",农/林/牧/渔,http://jobs.zhaopin.com/CC372339510J40857557903.htm,20-99人,2026-01-04 12:44:10
电气设计工程师（电气专业主设人）,武汉,中国电力工程顾问集团中南电力设计院有限公司,硕士,3-5年,"高压,超高压,特高压",2.5-4.5万,岗位职责：1. 全周期电气设计 承担特高压及超高压变电站/换流站/输电线路各阶段设计工作（前期咨询—>投标—>可研—>初设—>施工图—>竣工图），完成相关阶段设计成果。 负责设备选型及采购要求，编制技术规范书。 配合与服务工程建设管理单位、施工单位、运维单位解决设计相关技术问题。2. 技术创新应用 研究应用能源电力新技术。 负责相关科技项目、标准化、信息化项目申请及执行。任职要求：1. ...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC507994720J40778174410.htm,1000-9999人,2025-08-20 18:01:05
【大功率电源高级工程师/专家】,武汉,广州旭之源科技有限公司,本科,5-10年,"电路设计,电源,PFC,LLC,Boost,Buck,升压,全桥",2-4万·18薪,岗位职责:1、负责ACDC砖类/大机壳/双向等1kw-20KW电源的设计和开发；2、负责开发项目的总体方案设计和产品的调试、测试和优化设计；3、负责分析与解决产品在生产和市场中的相关问题。任职要求:1、本科及以上学历，电子类相关专业，硕士3年以上或本科5年以上电源研发和设计经验2、熟悉模拟电路及各种常用电子器件性能和使用方法；3、熟悉开关电源的设计和调试，掌握EMC和安规等相关知识；4、具备团队合...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1486212500J40977177204.htm,100-299人,2026-01-09 01:10:28
硬件研发总监,武汉,武汉脉博人力资源有限公司,本科,5-10年,"硬件测试,设计,LED研发",3-4万,岗位职责：1、全面负责公司硬件、结构、工艺等相关模块工作，制定技术路线，把握技术发展方向，确保技术可行性和产品竞争力2、参与公司产品战略的制定，以及硬件类相关产品评审，为公司产品规划目标从技术角度提供决策支撑3、参与供应商及合作伙伴的评估与筛选工作，从技术的角度支持公司供应链体系建设及三方设计/施工方案的选型4、负责新一代微间距LED直显产品交付工作，包括方案评估、硬件设计（结构/PCB）、调试及...,人力资源服务,http://jobs.zhaopin.com/CCL1492665750J40825302009.htm,20-99人,2026-01-06 16:06:46
软件芯片技术开发,武汉,襄阳伯乐猎聘人才服务有限公司,博士,经验不限,"车规芯片,AEC-Q100,ISO-26262",3-4万,岗位职责：1.负责软件芯片领域技术规划、能力建设规划；2.牵头负责软件芯片政策标准法规的研究、新技术研究课题、新产品开发项目（含能力建设）；3.负责研究制定汽车芯片检测方法、检测流程等相关技术规范和标准，负责汽车芯片检测实验室相关能力建设、实验室建设、设备选型等工作。任职要求：1.微电子、电子工程、汽车电子相关专业本科及以上学历，熟悉半导体制造工艺及汽车电子系统；2.精通车规芯片测试标准及工具链（...,人力资源服务,http://jobs.zhaopin.com/CCL1486118410J40745530306.htm,20人以下,2026-01-05 17:22:32
【激光电源高级工程师】,武汉,广州旭之源科技有限公司,本科,5-10年,"电路设计,IGBT,电容,二极管,PLC,FPGA,电源,PFC,LLC",2-4万·18薪,岗位职责:1、负责大功率激光电源电源等的设计和开发；2、负责开发项目的总体方案设计和产品的调试、测试和优化设计；3、负责分析与解决产品在生产和市场中的相关问题。任职要求:1、本科及以上学历，电子类相关专业，硕士3年以上或本科5年以上电源研发和设计经验2、熟悉模拟电路及各种常用电子器件性能和使用方法；3、熟悉开关电源的设计和调试，掌握EMC和安规等相关知识；4、具备团队合作精神，自我激励，能够按进度...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1486212500J40977176104.htm,100-299人,2026-01-06 01:10:28
