职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
机械设计工程师,武汉,深圳市新凯来技术有限公司,本科,5-10年,"研发,设计,结构设计,非标设备,装配设备,精密设备",2.6-5万·15薪,岗位职责：1、从事半导体设备精密机械平台及相关部件的设计与开发工作，负责机械总体方案、机械结构设计、加工工艺、仿真分析（包含力学、热、电气、人机工程等）、运动学/动力学求解、减振设计、公差分析等；2、负责精密机械零件加工工艺指导和质量控制，设备机械部件的精密装配与测试测量，配合各模块研发人员完成产品总装与调试等；3、探索超精密加工和装配工艺瓶颈，突破工程极限，打造领先的超精密运动机械产品。任职要求...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40892890115.htm,1000-9999人,2026-01-07 11:11:54
电气设计工程师（电气专业主设人）,武汉,中国电力工程顾问集团中南电力设计院有限公司,硕士,3-5年,"高压,超高压,特高压",2.5-4.5万,岗位职责：1. 全周期电气设计 承担特高压及超高压变电站/换流站/输电线路各阶段设计工作（前期咨询—>投标—>可研—>初设—>施工图—>竣工图），完成相关阶段设计成果。 负责设备选型及采购要求，编制技术规范书。 配合与服务工程建设管理单位、施工单位、运维单位解决设计相关技术问题。2. 技术创新应用 研究应用能源电力新技术。 负责相关科技项目、标准化、信息化项目申请及执行。任职要求：1. ...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC507994720J40778174410.htm,1000-9999人,2025-08-20 18:01:05
高级研发工程师,武汉,浙江华工赛百数据系统有限公司,博士,经验不限,"研发,非标设备,UGNX,AutoCAD,SolidWorks",3.5-4.5万,本岗位属于华工科技智能制造业务1.智能物流核心装备研发：负责物流仓储，如穿梭车等设备的机械结构创新设计、动力学分析与可靠性验证，满足高精度、高负载作业需求。2.突破关键技术瓶颈：攻克高密度存储、动态分拣场景下的运动控制精度、多机协同调度等机械系统难题。3.创新机构设计与优化：开发新型输送/抓取/定位机构（如柔性夹具、仿生抓取臂），提升物流系统效率和适应性。4.机电系统集成与验证：主导机械结构与驱动...,计算机软件,http://jobs.zhaopin.com/CC837706020J40759773910.htm,20-99人,2025-08-12 17:20:41
机械设备经理（煤/磷/氟，国有正编，双休，包食宿）,武汉,南方新华,本科,5-10年,机械设备设计,2.3-4万,一、岗位描述1.主导工厂机械设备的整体规划，根据生产工艺及设计需求，参与制定设备选型方案，完成技术参数论证，依据技术要求组织编写招标文件及参与招标工作；2.负责机械设备采购流程，包括标书编写、招标、合同谈判、签订及交付进度跟踪，确保设备按时、按质、按量到位；3.统筹设备到货后的验收、卸货、搬运、安装及定位工作，保障安装过程安全、高效；4.参与设备单机调试、联动调试及试生产，对调试中出现的技术问题进...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40814508611.htm,100-299人,2025-12-15 11:29:50
机械设计工程师,武汉,深圳市新凯来技术有限公司,本科,经验不限,"研发,设计,结构设计,精密设备,工装设备,钣金工艺,CATIA",2-4万,1、从事精密机械平台及相关部件的设计与开发工作，负责机械总体方案、机械结构设计、加工工艺、仿真分析、公差分析等；2、负责精密机械零件加工工艺指导和质量控制，设备机械部件的精密装配与测试测量，配合各模块研发人员完成产品总装与调试等；3、负责识别、分析精密设备结构的设计需求，基于需求给出稳定、可靠的结构设计方案。4、负责精密设备系统中的机械结构设计和装配设计，保证相关模组的角度和位置装配精度。5、探索...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40908976615.htm,1000-9999人,2025-12-09 09:26:54
电气设计工程师,武汉,武汉国试电气设备有限公司,本科,1-3年,设计,2-4万,岗位职责1.负责电气系统设计、开发、调试及优化，包括电气图纸绘制、PLC编程、自动化控制系统搭建等；2.参与项目方案制定，协助完成设备选型、成本估算及技术文档编制；3.解决生产、安装及运维过程中的电气技术问题，提供现场或远程支持；4.跟踪行业技术动态，参与新技术、新设备的研发与测试；5.配合团队完成项目验收及客户培训，确保项目按时高质量交付。任职要求 1.学历专业： 电气工程及其自动化、机电一体化...,仪器仪表制造,http://jobs.zhaopin.com/CC120481650J40722212501.htm,20-99人,2025-12-04 00:00:01
光机工程师,武汉,仙微视觉科技(南京)有限公司,本科,5-10年,"研发,光学显微镜",2-4万,岗位职责：1.负责对光机产品结构设计，配合光学设计，完成光机系统和零件设计；2.进行精密光学系统的光机结构部分指标的误差分析及分配；3.负责光机部分设计方案的撰写，设计图纸、技术标准等技术文档的撰写输出；4.负责光机结构部分机械零件的加工和验收，提供装配、调试阶段的现场技术服务，及时解决现场技术问题；5.参与精密光学系统的集成装调和性能测试。任职要求：1.本科及以上学历，5年以上工作经验，光学、精...,医疗设备/器械,http://jobs.zhaopin.com/CCL1409131210J40798706211.htm,20-99人,2025-10-27 11:24:15
铁路行业总监（电力设备）,武汉,武汉比邻科技发展有限公司,本科,5-10年,铁路 电务 供电,3-4万,任职要求：1、本科及以上学历，电气工程、自动化、市场营销、工商管理等相关专业；2、8年以上电气设备销售经验，其中至少5年专注于铁路行业（中国国家铁路集团及其下属路局、中铁建、中铁工、城市轨道交通公司/地铁公司、铁路设计院等）的销售经验，并具备3年以上销售团队管理经验；3、拥有丰富的铁路行业客户资源和人脉网络，具备已验证的成功项目业绩；4、深刻理解铁路行业的运作模式、采购体系、决策链和项目流程。熟悉...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC303749210J40817846105.htm,100-299人,2025-10-20 14:11:01
自控工程师（海外项目）,武汉,上海河图工程股份有限公司武汉分公司,本科,10年以上,,2-4万,任职要求：1、全日制统招本科毕业，自动化等相关专业；2、熟悉国外工程公司设计文件体系，熟悉海外项目业主需求，英语口语交流顺畅；3、10年以上化工项目设计或管理经验，担任过中大型海外EPC项目或设计项目专业负责人；岗位职责：1、负责海外项目的FEED，DED阶段的设计管理、采购技术服务等工作。2、参与海外项目和国内的工程项目的设计、校核、审核等工作。3、关键自控技术方案设计、社保MR采购文件编制。4...,工程技术与设计服务,http://jobs.zhaopin.com/CC314013230J40826922113.htm,100-299人,2025-09-19 10:16:17
机械工程师/工业方向,武汉,盛视科技,硕士,1-3年,,2.5-4万·13薪,工作任务：· 设计机械子组件，并确保其从规格制定到生产制造的可行性· 在机器人的整个生命周期内，对机械子组件进行更新和改进· 确保子组件或功能（工作包负责人）在机电一体化开发中的一致性主要职责：· 与研发团队协作，设计机械架构和装配方案· 按照选定的设计规则（3D 打印、钣金、机械加工、注塑等），使用绘图软件进行 3D 建模· 制作技术图纸（2D 图纸、尺寸链分析），为工业化生产做准备所需技能：专...,人工智能,http://jobs.zhaopin.com/CC152838410J40710785606.htm,500-999人,2025-09-03 10:23:37
